rec,verdict,reason_code,note,doi,title
17,MAYBE,,"도시 공개공간 음향쾌적성 — 이용행태 병기 가능",10.1016/j.apacoust.2004.07.011,"Acoustic comfort evaluation in urban open public spaces"
18,MAYBE,,"초기 도시 음환경 실증 — 행태 측정 여부 불확실",10.1177/001391656900100104,"The Sonic Environment of Cities"
19,EXCLUDE,E2,"실내 슈퍼마켓 배경음악 실험(중복 레코드)",10.1177/002224298204600313,"Using Background Music to Affect the Behavior of Supermarket Shoppers"
20,EXCLUDE,E4,"의미분별척도 기반 지각 분석만",10.1016/j.buildenv.2009.05.014,"Semantic differential analysis of the soundscape in urban open public spaces"
21,MAYBE,,"셰필드 광장 음선호 — 이용행태 자료 포함 가능",10.1080/13574800500062395,"Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield"
22,EXCLUDE,E5,"코로나 이후 도시모델 제언·리뷰",10.1016/j.envint.2021.106850,"New urban models for more sustainable, liveable and healthier cities post covid19; reducing air pollution, noise and heat island effects and increasing green space and physical activity"
23,EXCLUDE,E5,"도시 사운드스케이프 개관 논문",10.1016/j.cities.2005.05.003,"Urban soundscapes: Experiences and knowledge"
24,EXCLUDE,E4,"사운드워크 기반 지각 평가만",10.1016/j.landurbplan.2013.12.003,"Effects of landscape on soundscape perception: Soundwalks in city parks"
25,CANDIDATE,,"소음수준이 도움행동에 미친 야외 현장실험",10.1037/0022-3514.32.4.571,"Environmental noise level as a determinant of helping behavior."
26,EXCLUDE,E3,"녹지-자전거 이용 — 음환경 변수 없음",10.1016/j.cities.2019.01.003,"Associations between overhead-view and eye-level urban greenness and cycling behaviors"
27,EXCLUDE,E3,"수변녹지-신체활동 — 음환경 변수 없음",10.1016/j.envint.2019.105016,"Neighbourhood blue space, health and wellbeing: The mediating role of different types of physical activity"
28,EXCLUDE,E4,"시청각 상호작용 지각·만족도만",10.1016/j.buildenv.2019.106544,"Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment"
29,EXCLUDE,E4,"도시맥락별 음환경 지각 구조모형",10.1016/j.landurbplan.2015.05.004,"Influence of urban contexts on soundscape perceptions: A structural equation modeling approach"
30,EXCLUDE,E4,"식생 통한 교통소음 저감 물리",10.1016/j.apacoust.2017.01.007,"Urban cities and road traffic noise: Reduction through vegetation"
31,EXCLUDE,E4,"녹지·공원 음환경 질 평가만",,"Soundscape quality in suburban green areas and city parks."
32,EXCLUDE,E4,"음·시각 요소 설계와 지각 개선",10.1121/1.4817924,"Designing sound and visual components for enhancement of urban soundscapes"
33,EXCLUDE,E5,"도시 음환경 개관·해설 성격",10.1260/135101007781448000,"Urban Sound Environment"
34,MAYBE,,"음환경 시공간 변동 — 활동·용도 연계 가능",10.1016/j.landurbplan.2013.03.008,"Spatiotemporal variability of soundscapes in a multiple functional urban area"
35,EXCLUDE,E4,"공개공간 음환경 평가·기술 논의",10.1068/b31162,"Towards the Evaluation, Description, and Creation of Soundscapes in Urban Open Spaces"
36,EXCLUDE,E3,"녹지방문-정신건강 매개 — 음환경 없음",10.1177/0013916517738563,"Do Physical Activity, Social Cohesion, and Loneliness Mediate the Association Between Time Spent Visiting Green Space and Mental Health?"
37,EXCLUDE,E4,"도시-농촌 구배 음환경 변동만",10.1016/j.landurbplan.2011.08.001,"Analysis and interpretation of variability in soundscapes along an urban–rural gradient"
38,EXCLUDE,E4,"새소리 다양성과 경관 선호 평가",10.1016/j.ufug.2014.04.002,"Bird song diversity influences young people's appreciation of urban landscapes"
39,EXCLUDE,E4,"녹지와 소음 지각 관계만",10.1016/j.ufug.2015.09.006,"Green spaces and environmental noise perception"
40,MAYBE,,"공원 자연접촉 경험 — 음환경 포함 여부 불확실",10.1016/j.landurbplan.2015.11.002,"Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá"
41,EXCLUDE,E4,"공원 소음측정·인터뷰 평가만",10.1016/j.scitotenv.2009.08.039,"Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise"
42,MAYBE,,"공원 이용행태 실측 — 음환경 변수 불확실",10.1177/0013916512470134,"Park Use Among Youth and Adults"
43,EXCLUDE,E4,"공원 음환경 지각 기반 유형화",10.1016/j.landurbplan.2015.05.005,"Classification of urban park soundscapes through perceptions of the acoustical environments"
44,EXCLUDE,E4,"물소리 음향특성·개선 효과만",10.1121/1.3681938,"Acoustical characteristics of water sounds for soundscape enhancement in urban open spaces"
45,EXCLUDE,E3,"가로녹지-보행 — 음환경 변수 없음",10.1016/j.jth.2018.11.003,"Green streetscape and walking: Exploring active mobility patterns in dense and compact cities"
46,EXCLUDE,E3,"녹지-능동교통 — 음환경 변수 없음",10.1016/j.tbs.2023.100673,"Exploring non-linear and synergistic effects of green spaces on active travel using crowdsourced data and interpretable machine learning"
47,EXCLUDE,E4,"교통소음-도시밀도·형태 관계만",10.1016/j.landurbplan.2012.06.017,"Urban traffic noise and the relation to urban density, form, and traffic elasticity"
48,EXCLUDE,E5,"시청각 상호작용 연구 리뷰",10.1016/j.apacoust.2020.107372,"A review of audio-visual interaction on soundscape assessment in urban built environments"
49,EXCLUDE,E5,"국립공원 음환경 관리 리뷰",10.1016/j.apacoust.2007.04.008,"US National Parks and management of park soundscapes: A review"
50,EXCLUDE,E4,"분수 소리의 음환경 질 효과만",10.1016/j.landurbplan.2013.12.005,"A field experiment on the impact of sounds from a jet-and-basin fountain on soundscape quality in an urban park"
51,EXCLUDE,E4,"실험실 기반 국가간 지각 비교",10.1016/j.apacoust.2017.12.016,"A cross-national comparison in assessment of urban park soundscapes in France, Korea, and Sweden through laboratory experiments"
52,EXCLUDE,E4,"비청각 요인의 평가 영향만",10.1121/1.3652902,"Non-auditory factors affecting urban soundscape evaluation"
53,EXCLUDE,E4,"자연음 부가와 지각 음량·질",10.1016/j.scitotenv.2019.134571,"Effects of adding natural sounds to urban noises on the perceived loudness of noise and soundscape quality"
54,EXCLUDE,E4,"사운드워크 식별 방법·개인 지각",10.1121/1.4807801,"Soundwalk approach to identify urban soundscapes individually"
55,EXCLUDE,E4,"거리뷰 이미지 기반 음환경 추정",10.1016/j.compenvurbsys.2022.101915,"Sensing urban soundscapes from street view imagery"
56,EXCLUDE,E4,"자연음 증강의 지각 개선 효과만",10.1016/j.landurbplan.2019.103705,"Interactive soundscape augmentation by natural sounds in a noise polluted urban park"
57,EXCLUDE,E4,"심리음향·음향 속성 탐색 평가",10.1016/j.apacoust.2011.03.006,"An exploratory evaluation of perceptual, psychoacoustic and acoustical properties of urban soundscapes"
58,EXCLUDE,E5,"음환경 질 측정도구 방법론",,"On a tool for measuring soundscape quality in urban residential areas"
59,EXCLUDE,E3,"주거녹지-아동 발달 — 음환경 변수 없음",10.1371/journal.pmed.1003213,"Residential green space and child intelligence and behavior across urban, suburban, and rural areas in Belgium: A longitudinal birth cohort study of twins"
60,EXCLUDE,E4,"국립공원 소음의 경제적 가치평가",10.1016/j.landurbplan.2013.11.006,"Noise pollution in national parks: Soundscape and economic valuation"
61,CANDIDATE,,"도시 활력(활동)을 사운드스케이프로 모델링 — 역방향",10.3390/ijerph15081712,"Towards an Urban Vibrancy Model: A Soundscape Approach"
62,EXCLUDE,E4,"음환경 변수 공간통계 분석만",10.1016/j.landurbplan.2016.08.006,"Exploring spatial relationships among soundscape variables in urban areas: A spatial statistical modelling approach"
63,MAYBE,,"청소년 공원방문 유인 속성 — 음환경 속성 가능",10.1016/j.landurbplan.2016.12.004,"Park attributes that encourage park visitation among adolescents: A conjoint analysis"
64,EXCLUDE,E4,"환경소음-도시형태 관계 분석",10.1016/j.envpol.2017.10.126,"Analysis of the relationships between environmental noise and urban morphology"
65,EXCLUDE,E4,"도시녹지 자연음 평가만",10.1098/rsos.170037,"Evaluation of natural sounds in urban greenery: potential impact for urban nature preservation"
66,EXCLUDE,E4,"공원 사운드스케이프 지각만",10.1121/1.3693644,"Perception of urban park soundscape"
67,MAYBE,,"고령자 옥외 신체활동 측정 — 음환경 변수 불확실",10.1007/s11524-017-0191-9,"The Aging Urban Brain: Analyzing Outdoor Physical Activity Using the Emotiv Affectiv Suite in Older People"
68,EXCLUDE,E4,"음환경 변동-도시형태 관계만",10.1016/j.buildenv.2017.10.021,"Relationship between spatiotemporal variability of soundscape and urban morphology in a multifunctional urban area: A case study in Seoul, Korea"
69,EXCLUDE,E4,"녹지 고요함 설문 평가만",10.1068/b38061,"Tranquillity and Soundscapes in Urban Green Spaces—Predicted and Actual Assessments from a Questionnaire Survey"
70,EXCLUDE,E4,"로마 공원 음환경 지각 질만",10.1121/1.4807811,"The perceived quality of soundscape in three urban parks in Rome"
71,EXCLUDE,E4,"음환경 적합성과 평가 결과만",10.1016/j.buildenv.2020.106975,"Effect of the appropriateness of sound environment on urban soundscape assessment"
72,EXCLUDE,E4,"국립공원 음환경 시간변동 측정",10.1007/s10980-011-9639-6,"Measuring and interpreting the temporal variability in the soundscape at four places in Sequoia National Park"
73,EXCLUDE,E4,"자연·도시음 회복성·선호 지각만",10.3389/fpsyg.2017.01705,"Restorative Qualities of and Preference for Natural and Urban Soundscapes"
74,EXCLUDE,E4,"공원 시청각 상호작용 평가 모형",10.1016/j.buildenv.2021.108166,"Overall environmental assessment in urban parks: Modelling audio-visual interaction with a structural equation model based on soundscape and landscape indices"
75,EXCLUDE,E4,"공개공간 사운드스케이프 분류만",10.1016/j.landurbplan.2019.04.016,"Classification of soundscapes of urban public open spaces"
76,MAYBE,,"캠퍼스 보행행태 종단연구 — 음환경 변수 불확실",10.1186/1476-072x-13-28,"How do changes to the built environment influence walking behaviors? a longitudinal study within a university campus in Hong Kong"
77,EXCLUDE,E4,"생리지표·주관적 회복성 결과만",10.1016/j.scs.2021.103360,"Physiological indicators and subjective restorativeness with audio-visual interactions in urban soundscapes"
78,EXCLUDE,E4,"도시 음향정체성 논의·행태 없음",10.1016/j.hbrcj.2014.12.005,"The phonic identity of the city urban soundscape for sustainable spaces"
79,EXCLUDE,E3,"녹지이용 의도 모형 — 음환경 변수 없음",10.1016/j.habitatint.2015.08.010,"Encouraging the use of urban green space: The mediating role of attitude, perceived usefulness and perceived behavioural control"
80,CANDIDATE,,"조용한 중정 이용(옥외 이용행태)과 소음반응",10.3390/ijerph7093359,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
81,EXCLUDE,E5,"ISO 프로토콜 비교 방법론",10.1016/j.apacoust.2019.05.024,"Exploring the compatibility of “Method A” and “Method B” data collection protocols reported in the ISO/TS 12913-2:2018 for urban soundscape via a soundwalk"
82,EXCLUDE,E4,"열-음환경 주관평가 결과만",10.1016/j.buildenv.2019.106517,"Combined effects of the thermal-acoustic environment on subjective evaluations in urban squares"
83,EXCLUDE,E4,"열쾌적성-음향쾌적성 지각만",10.1016/j.buildenv.2022.109884,"The influence of outdoor thermal comfort on acoustic comfort of urban parks based on plant communities"
84,EXCLUDE,E4,"밀라노 공원 음환경 질 평가만",10.3390/ijerph10062348,"The Soundscape Quality in Some Urban Parks in Milan, Italy"
85,EXCLUDE,E4,"VR 음환경 회복효과·성격 특성만",10.1016/j.landurbplan.2021.104188,"Potential restorative effects of urban soundscapes: Personality traits, temperament, and perceptions of VR urban environments"
86,EXCLUDE,E4,"스트레스 회복 생리·심리 결과만",10.1016/j.ufug.2024.128286,"Landscape and soundscape quality promote stress recovery in nearby urban nature: A multisensory field experiment"
87,EXCLUDE,E4,"물소리 도입 음환경 개선 평가",10.3397/1.3484183,"Evaluating water sounds to improve the soundscape of urban areas affected by traffic noise"
88,MAYBE,,"보행자 중심 가로 지각 측정 — 음환경·행태 불확실",10.1016/j.cities.2023.104472,"Measuring streetscape perceptions from driveways and sidewalks to inform pedestrian-oriented street renewal in Düsseldorf"
89,EXCLUDE,E4,"아동 심리생리 스트레스 회복만",10.1016/j.apacoust.2020.107293,"Restorative effects of urban park soundscapes on children’s psychophysiological stress"
90,CANDIDATE,,"음악 템포와 도시 보행속도 실증",10.3389/fpsyg.2014.01361,"Tempo and walking speed with music in the urban context"
91,EXCLUDE,E2,"주거 실내 사운드스케이프",10.1016/j.apacoust.2021.108305,"Indoor soundscapes at home during the COVID-19 lockdown in London – Part I: Associations between the perception of the acoustic environment, occupantś activity and well-being"
92,MAYBE,,"쾌적 보행경로 생성 시스템 — 실증·소음변수 불확실",10.3390/s18113794,"A System for Generating Customized Pleasant Pedestrian Routes Based on OpenStreetMap Data"
93,EXCLUDE,E3,"주거녹지-ADHD — 음환경 변수 없음",10.1289/ehp6729,"The Association between Residential Green Space in Childhood and Development of Attention Deficit Hyperactivity Disorder: A Population-Based Cohort Study"
94,EXCLUDE,E4,"가로 음환경 이미지평가·공간분석",10.1016/j.jenvp.2005.10.003,"Applying the methods of image evaluation and spatial analysis to study the sound environment of urban street areas"
95,EXCLUDE,E4,"경로상 음환경 쾌적성 모델링만",10.3813/aaa.919073,"Modeling Soundscape Pleasantness Using perceptual Assessments and Acoustic Measurements Along Paths in Urban Context"
96,EXCLUDE,E4,"새소리 회복성 지각 결과만",10.3390/ijerph17165659,"Effect of Birdsong Soundscape on Perceived Restorativeness in an Urban Park"
97,EXCLUDE,E5,"사운드스케이프 연구·설계 개관",10.1007/s44213-022-00005-6,"Soundscape in city and built environment: current developments and design potentials"
98,MAYBE,,"자전거도로 이용자 음지각·경험 — 활동 연계 가능",10.3390/ijerph15061118,"Influence of Personal Factors on Sound Perception and Overall Experience in Urban Green Areas. A Case Study of a Cycling Path Highly Exposed to Road Traffic Noise"
99,EXCLUDE,E2,"지하상가 실내 공간",10.1016/j.apacoust.2013.02.003,"Field study on the influence of spatial and environmental characteristics on the evaluation of subjective loudness and acoustic comfort in underground shopping streets"
100,MAYBE,,"산림공원 방문객 친환경행동 — 음환경 포함 불확실",10.1016/j.jort.2023.100621,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment"
101,EXCLUDE,E4,"도시형태-새소리 음량 물리 분석",10.1016/j.landurbplan.2015.01.006,"Integrated effects of urban morphology on birdsong loudness and visibility of green areas"
102,EXCLUDE,E4,"교통소음 특성 측정만",10.1016/j.apacoust.2009.11.008,"Characteristics of road traffic noise in Hanoi and Ho Chi Minh City, Vietnam"
103,EXCLUDE,E4,"음환경 지각·EEG 반응만",10.1016/j.ufug.2021.127269,"Soundscape components, perceptions, and EEG reactions in typical mountainous urban parks"
104,EXCLUDE,E4,"조용한 측면과 소음 성가심만",10.1121/1.3621180,"Urban road traffic noise and annoyance: The effect of a quiet façade"
105,MAYBE,,"도시 보행속도 실측 — 음환경 변수 불확실",10.1177/0013916589212001,"The Pace of Pedestrian Flows in Cities"
106,MAYBE,,"포장재별 발소리 — 행태 유발음이나 결과는 평가",10.1016/j.scs.2016.03.002,"Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks"
107,EXCLUDE,E4,"수변 음환경 회복성 지각만",10.1016/j.apacoust.2021.108600,"Relationships between landscape characteristics and the restorative quality of soundscapes in urban blue spaces"
