rec,verdict,reason_code,behavior_hint,note,doi,title
190,RETRIEVE,,일상활동·이동(GPS·활동일지),"활동맥락이 음노출·평가 좌우, 33인 실측 데이터",10.1177/2399808320965243,"The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies"
193,EXCLUDE,E3,,"보행-정지 관찰은 있으나 변수는 시각·문화 요소뿐",10.3390/buildings12122248,"Impacts of Micro-Scale Built Environment Features on Tourists’ Walking Behaviors in Historic Streets: Insights from Wudaoying Hutong, China"
196,EXCLUDE,E5,,"통합적 문헌고찰, 실증 연구 아님",10.3390/urbansci9020046,"Enhancing Urban Mobility for All: The Role of Universal Design in Supporting Social Inclusion for Older Adults and People with Disabilities"
208,RETRIEVE,,공원 보행량·보행행태,"정온성 등 설계속성과 보행행태 연계, 음환경 포함 가능",10.3390/land12101838,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting"
209,RETRIEVE,,보행(발자국음 유발),"재료별 보행음이 공원 사운드스케이프 지각 좌우, 역방향",10.3846/16486897.2016.1172076,"THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS"
212,UNCERTAIN,,,"초록 미확보, 녹지 속성에 음환경 포함 여부 불명",10.1016/j.cities.2024.105543,"How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data"
214,EXCLUDE,E3,,"초록 미확보, 제목상 노출=녹지·열환경, 음환경 없음",10.1016/j.ufug.2024.128655,"Urban greenery distribution and its heat mitigation effect on outdoor jogging activities"
215,EXCLUDE,E4,,"사운드스케이프 진정성 설계 프레임워크, 행태 아웃컴 없음",10.1186/s40494-024-01515-8,"Enhancing authenticity in historic districts via soundscape design"
216,EXCLUDE,E3,,"사람 존재 개입 현장실험, 음환경 변수 없음",10.1177/0013916520953147,"The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment"
217,EXCLUDE,E3,,"근린 토지이용·시설 변수만 사용, 음환경 변수 없음",10.3390/su142113927,"The Impact of the Neighborhood Built Environment on the Walking Activity of Older Adults: A Multi-Scale Spatial Heterogeneity Analysis"
219,UNCERTAIN,,,"초록 미확보, 근린설계·자전거 이용, 음환경 변수 불명",10.1016/j.jtrangeo.2022.103510,"The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience"
220,RETRIEVE,,가로 보행·정적 활동빈도,"다감각 지각 매개로 공공활동 분석, 청각 포함 가능",10.3390/land14010050,"The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology"
221,UNCERTAIN,,,"초록 미확보, 건조환경 변수에 음환경 포함 여부 불명",10.1016/j.apgeog.2024.103274,"Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu"
223,UNCERTAIN,,,"초록 미확보, 자연관찰 활동 연구, 자연음 관련성 불명",10.1016/j.jort.2019.100227,"Perceived importance of and satisfaction with nature observation activities in urban green areas"
226,EXCLUDE,E3,,"녹지 이용·사회적 상호작용 다루나 음환경 변수 없음",10.34133/ehs.0199,"Effective Recreational Activities in Urban Green Spaces for Mental Health of Scientific Researchers"
