rec,verdict,reason_code,behavior_hint,note,doi,title
342,RETRIEVE,,"참배·향피우기 등 일상활동","사원·인접공원 음경·냄새경관과 방문객 활동 인터뷰; 활동-감각 관계 확인",10.3390/su17167564,"Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin"
343,UNCERTAIN,,,"초록 미확보; 여성 보행행태 연구지만 음환경 변수 포함 불명",10.1016/j.cities.2025.106467,"Women's walking behavior: Investigating contributing factors in urban contexts"
346,EXCLUDE,E3,,"신체활동 관찰 있으나 특성변수는 2D공간·3D시각뿐, 음환경 없음",10.3724/j.fjyl.202402010079,"Research on Influence Mechanism of Park Green Space Characteristics on Physical Activity: A Case Study of Nanjing"
348,RETRIEVE,,"군중밀도·상업여가 활동(공간이용)","보행가로 활동밀도가 소음 형성; 역방향 관계 실측 범위 전문 확인",10.3390/s25123604,"Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision"
350,EXCLUDE,E3,,"그린웨이 방문·여가 신체활동 측정하나 음환경 변수 없음",10.1080/01490400.2024.2335918,"How Do Awareness, Perceptions, and Expectations of an Urban Greenway Influence Residents’ Visits and Recreational Physical Activity? Evidence From the Connswater Community Greenway, Belfast, Northern Ireland"
356,RETRIEVE,,"공공공간 이용·활동 관찰(PSI)","음경 속성과 공공공간지수 관찰 비교; 활동·이용 지표 포함 여부 확인",10.1080/17549175.2025.2529175,"Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown"
360,UNCERTAIN,,,"초록 미확보; 음경 공간예측 모델, 인간 행태변수 포함 여부 불명",10.1016/j.compenvurbsys.2026.102412,"Decoding urban soundscapes: spatial prediction and influence mechanism analysis with interpretable semi-supervised learning"
363,EXCLUDE,E4,,"음경 특성화 방법론·자료집 구축, 참여자 행태 측정 없음",10.3390/app16083630,"Soundscape-Informed Urban Planning and Architecture in Historic Centers: A Multi-Layer Method for Soundscape Characterization Applied to Bilbao Old Town"
364,EXCLUDE,E4,,"보행자 대상 오염영향 지각 설문만, 행태 아웃컴 없음",10.47604/ijes.1436,"ENVIRONMENTAL POLLUTION: EFFECT ON PEDESTRIANS WHILE WALKING IN URBAN STREET"
365,RETRIEVE,,"여가활동·이용실태·사회적 상호작용","근교림 이용자 350명 여가활동 조사; 음환경 변수 유무 전문 확인",10.15243/jdmlm.2024.113.5695,"Peri-urban forests: an exploratory study of users' recreational activities: The case of the El Meridj-Est recreational forest in Constantine, Algeria"
366,EXCLUDE,E3,,"아동 옥외놀이·독립이동 측정하나 녹지 질 5속성에 음환경 없음",10.1080/23748834.2024.2421100,"How parental satisfaction with green open spaces shapes children’s outdoor play considering independent mobility as the key mediator"
367,EXCLUDE,E4,,"음 기대 개념 제시·지각 중심 사례연구, 행태 아웃컴 없음",,"THREE ELEMENTS STRUCTURE AND SOUND EXPECTATION CONCEPT IN SOUNDSCAPE -- A CASE STUDY OF THE NEW LAKESIDE PARK, HANG ZHOU"
369,UNCERTAIN,,,"초록 미확보; 노인 활동행태 연구, 자연속성에 음환경 포함 불명",10.1016/j.tranpol.2025.05.015,"Identifying the effect of street network system on activity behaviours near the homes of older adults: An analytical framework integrating transportation, social, and natural attributes"
371,RETRIEVE,,"횡단 궤적·보행 경로(위성측위)","음향보행신호 구성별 횡단 궤적 객관 측정, 행태 아웃컴 명확",10.1016/j.jth.2024.101938,"Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada)"
372,EXCLUDE,E3,,"시공간 행태·이웃 상호작용 측정하나 음환경 변수 없음",10.1002/psp.2881,"Spatiotemporal‐Behavior‐Based Neighborhood Interaction Opportunities and Subjective Neighborhood Perception in Mixed‐Housing Neighborhoods: A Case Study of Fuzhou, China"
373,UNCERTAIN,,,"초록 미확보; 관찰·자기보고 활동 아웃컴 있으나 노출은 시각특성",10.1016/j.eiar.2026.108451,"Health-related activity outcomes of visual characteristics in urban green spaces: An on-site comparison between self-reported and observed activities"
374,EXCLUDE,E3,,"전문가 다기준 의사결정 지각모형, 음환경 변수·행태 실측 없음",10.3390/buildings15142488,"Evaluating Perceived Resilience of Urban Parks Through Perception–Behavior Feedback Mechanisms: A Hybrid Multi-Criteria Decision-Making Approach"
378,RETRIEVE,,"보행 촉진·억제 평가(통근보행)","소음이 보행 촉진·억제 평가의 주 예측변수; 보행행태 연결 확인",10.3390/ijerph23020206,"Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas of a Metropolitan Region: Exploring Measurement Perspectives"
382,RETRIEVE,,"포켓파크 체류 경험 개선","마스킹음 청취실험; 체류 관련 행태 측정 여부 전문 확인 필요",10.1051/aacus/2026051,"Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study"
