doi,year,journal,title
10.1121/10.0039523,2025,The Journal of the Acoustical Society of America,Shaping future soundscapes: Affective impact of unmanned aircraft systems noise in urban environments
,2013,Leonardo electronic almanac,"Situated Soundscapes: Redefining Media Art and the Urban Experience + Interview, Statement, Artwork"
10.3397/1.2832081,1978,Noise Control Engineering,The Behavior of Noise Exposure Variables in an Urban Noise Survey Sample
10.1515/noise-2020-0025,2020,Noise Mapping,Tranquillity mapping in New Zealand national parks – a pilot study
10.4028/www.scientific.net/amr.518-523.3830,2012,Advanced materials research,The Influence of Users' Behavioral Characteristics on Soundscape in the Waiting Halls of Railway Stations
10.24294/jipd8163,2024,Journal of Infrastructure Policy and Development,Soundscapes and sonicscapes in tourism: A decade of research insights from bibliometric analysis
,2013,International Journal of Innovative Research in Science Engineering and Technology,Effect of Road Traffic Noise Pollution in Cuddalore Town: A Case Study
,2007,Journal of environmental health,Investigation of Environmental Noise Perception of Residents in Lu'an City
10.47577/technium.v13i.9572,2023,Technium Romanian Journal of Applied Sciences and Technology,A study of heterogeneous traffic noise trigger parameters for urban areas
10.7146/se.v3i3.18442,2013,SoundEffects - An Interdisciplinary Journal of Sound and Sound Experience,"Conceptual overlays for urban soundscape design emerging from a transversal analysis of Lefebvre, Deleuze and Guattari, and Arendt"
10.47176/ijae.9.3.12371,2020,Iranian Journal of Applied Ecology,"Evaluation of Biophonies in Isfahan Parks, Using Acoustic Indices"
10.1016/0022-460x(78)90482-0,1978,Journal of Sound and Vibration,Effects of aircraft noise on mental health
,2015,Industrial engineering letters,Environmental Noise Assessment in Indore City
10.5406/21567417.67.3.11,2023,Ethnomusicology,Soundscapes of Uyghur Islam
,2018,Market Forces,External Stimuli and Impulsive Buying Behavior
10.21608/auej.2017.19265,2017,Journal of Al-Azhar University Engineering Sector,SOUNDSCAPE EXPERIENCE AND ITS IMPACT ON THE IMAGE OF ALEXANDRIA
10.28932/srjd.v7i2.6470,2023,Serat Rupa Journal of Design,The effect of soundscape on sense of place in the public library of Disarpus Bandung
10.1525/om.2012.74.1.6,2012,Ornithological Monographs,Chapter 2: Effects of noise pollution on birds: A brief review of our knowledge
10.1139/z07-101,2007,Canadian Journal of Zoology,The impacts of anthropogenic ocean noise on cetaceans and implications for management
,2016,Civil and environmental research,Noise Pollution and Its Impact on Human Health and Social Behavior using Systems Approach-A Case Study in Kurnool City
10.46248/kidrs.2025.2.49,2025,Korea Institute of Design Research Society,"Sound, Symbol, and Space: An Ethnosemiotic Analysis of Vernacular Soundscapes in Honghai Morning Market"
,2016,"Journal of Research in Forestry, Wildlife and Environment","Prospects and sustainability of ecotourism in Finima Nature Park, Bonny Island, Rivers State, Nigeria"
,2007,The Journal of the Acoustical Society of Korea,"Interaction Between Seasons and Auditory Elements, Features and Impressions of Soundscape in Influencing Auditory Preferences"
10.1080/14888386.2020.1715834,2020,Biodiversity,Soundscape shifts during the 2017 total solar eclipse: an application of dispersed automated recording units to study ephemeral acoustic events
10.9734/ijecc/2025/v15i95007,2025,International Journal of Environment and Climate Change,A Review on Urban Green Space Ecological and Socioeconomic Benefits: A Comprehensive Analysis
10.1088/1742-2140/4/3/e01,2007,Journal of Geophysics and Engineering,Sustainable urban development and geophysics
10.47125/jesam/2023_1/02,2023,Journal of Environmental Science and Management,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China"
10.24294/nrcr.v5i2.1578,2022,Natural Resources Conservation and Research,"Natural resource management in American national parks: Principles, problems and enlightenment"
10.1093/eurpub/ckaa166.096,2020,European Journal of Public Health,Urban health and Physical Activity: how urban design can improve cycling
10.1525/jams.2022.75.1.200,2022,Journal of the American Musicological Society,"<i>Moravian Soundscapes: A Sonic History of the Moravian Missions in Early Pennsylvania</i>, by Sarah Justina Eyerly"
10.3724/j.fjyl.202409200552,2025,Landscape Architecture,Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of Green Spaces and Their Activity Characteristics
10.1111/j.1467-8578.1992.tb00429.x,1992,British Journal of Special Education,Does the Acoustic Environment Make a Difference to Children with Multi‐sensory Impairments?
10.1016/j.copsyc.2019.08.026,2019,Current Opinion in Psychology,"Studying the impact of built environments on human mental health in everyday life: methodological developments, state-of-the-art and technological frontiers"
10.1016/j.rineng.2025.108142,2025,Results in Engineering,Modern mosque design proposal and investigation of acoustic comfort conditions
10.1111/j.1548-7458.2009.01022.x,2009,Visual Anthropology Review,Oak Park Stories Directed by Jay Ruby
10.1097/01.ee9.0000608120.50052.1d,2019,Environmental Epidemiology,"Associations of exposure to surrounding green, air pollution and traffic noise with mortality in a large national health survey"
10.21834/ebpj.v7i22.4161,2022,Environment-Behaviour Proceedings Journal,"Environmental Noise in Residential Environments: The Case for Quality of Life in Minna, Nigeria"
10.1016/j.euroneuro.2017.12.120,2018,European Neuropsychopharmacology,GPS-triggered electronic diaries and neuroscience to unravel risk and resilience factors of city dwellers mental health in everyday life
10.12691/wjee-1-1-2,2013,World journal of environmental engineering,Effective Noise Control Measures and Sustainable Development in Nigeria
10.1111/ibi.12949,2021,Ibis,A global synthesis of the impacts of urbanization on bird dawn choruses
10.5050/ksnve.2025.35.3.298,2025,Transactions of the Korean Society for Noise and Vibration Engineering,Microscopic Approach to Analyze the Impact of Lane Change on Road Traffic Noise
10.20961/arst.v16i1.20092,2018,Arsitektura,WWR OPTIMIZATION FOR VENTILATION AND ENVIRONMENTAL NOISE CONTROL OF TROPICAL DWELLING
10.1121/1.1863032,2005,The Journal of the Acoustical Society of America,Theory and design of sound field reproduction in reverberant rooms
10.1121/1.5137045,2019,The Journal of the Acoustical Society of America,Singing in the city: Trade-offs between signal salience and vocal performance in the presence of anthropogenic noise
10.1016/j.cub.2019.07.018,2019,Current Biology,Noise pollution
10.12933/therya_notes-25-202,2025,Therya notes,"First record and detailed description of calls from the Bolivian bamboo rat Dactylomys boliviensis in Carrasco National Park, Bolivia"
10.17271/2318847297220212964,2021,Revista Nacional de Gerenciamento de Cidades,Automotive traffic noise and urban public spaces
10.33736/jcshd.5933.2023,2023,Journal of Cognitive Sciences and Human Development,The Effects of Background Music on The Screen-Based Reading Material Among University Students: An Eye Tracking Study
10.47577/sustainability.v7i.11678,2024,Technium Sustainability,The Role of Soundscape on Urban Attractiveness in Traditional Cities
10.1093/beheco/arw103,2016,Behavioral Ecology,Moving beyond species-specific noise-induced changes in birdsong: a comment on Roca et al.
10.23880/jenr-16000342,2023,Journal of Ecology & Natural Resources,"The Environmental Consequence of Automobile and Motor-bike Traffic Noise Intensity on the Activity of African Grey Parrots (Psithacus erittacus) in Limbe Botanic Garden, Southwest Region, Cameroon"
10.30822/arteks.v7i3.1837,2022,ARTEKS Jurnal Teknik Arsitektur,"The relationship of soundscape and shopping behaviors in Malioboro Mall and Ambarrukmo Plaza, Yogyakarta"
10.1186/s42854-025-00072-y,2025,Urban Transformations,Evaluating the efficacy of small-plot restorative management in an urban park using low-tech soundscape tools: an exploratory study
10.1121/1.409379,1994,The Journal of the Acoustical Society of America,"Auto traffic noise, air traffic noise, and the environmental quality of city streets: Test of a model"
10.11124/jbisrir-2015-2311,2015,The JBI Database of Systematic Reviews and Implementation Reports,"The effectiveness of sleep education programs in improving sleep hygiene knowledge, sleep behavior practices and/or sleep quality of college students: a systematic review protocol"
10.32890/jeth2022.2.6,2022,Journal of Event Tourism and Hospitality Studies,"SOUNDSCAPE MAPPING OF AGODI PARK AND GARDENS, IBADAN SOUTHWESTERN NIGERIA"
10.3390/f16091416,2025,Forests,Spatiotemporal Heterogeneity of Forest Park Soundscapes Based on Deep Learning: A Case Study of Zhangjiajie National Forest Park
10.1007/s13762-022-04240-6,2022,International Journal of Environmental Science and Technology,"Smartphones, a tool for noise monitoring and noise mapping: an overview"
,1987,Transportation Research Record Journal of the Transportation Research Board,A TRAFFIC ASSIGNMENT MODEL TO REDUCE NOISE ANNOYANCE IN URBAN NETWORKS
10.61511/jocae.v3i1.2025.2077,2025,Journal of Character and Environment,The behavioral changes of birds as a result of urban noise levels
10.3724/j.fjyl.la20250363,2026,Landscape Architecture,Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity
10.1016/j.cub.2021.08.063,2021,Current Biology,Acoustic biodiversity
10.1016/0022-4375(90)90035-a,1990,Journal of Safety Research,Drug and alcohol attitudes and usage among elementary and secondary students
,2008,Transportation Research Board 87th Annual MeetingTransportation Research Board,Bicycle Tracks and Lanes: a Before-After Study
10.1121/1.2004991,1980,The Journal of the Acoustical Society of America,Aircraft noise and the health and behavior of children
10.5958/2249-7315.2016.01018.2,2016,Asian Journal of Research in Social Sciences and Humanities,Performance Analysis of Robust Recursive Least Square and its Lattice Structure for Noise Cancellation in ECG Signals
,2009,Shanxi Architecture,The design analysis of the urban parks for the disable
10.21608/ejom.2016.845,2016,Egyptian Journal of Occupational Medicine,COMMUNITY NOISE IN GREATER CAIRO
10.17097/agricultureatauni.1463488,2024,Research in Agricultural Sciences,Evaluation of Urumiyeh (Iran) City Park in Terms of Noise Analysis and Sound Landscape
10.1121/1.4877667,2014,The Journal of the Acoustical Society of America,"Measuring the sonic, infrasonic and seismic soundscape of the Southern White Rhinoceros <i>(Ceratotherium simum simum)</i> at a wildlife park conservation center"
,2005,The Journal of the Acoustical Society of Korea,The Evaluation Structure of Auditory Images on the Streetscapes - The Semantic Issues of Soundscape based on the Students' Fieldwork -
10.1086/ahr.116.2.316,2011,The American Historical Review,On Being Heard: A Case for Paying Attention to the Historical Ear
10.5406/19452349.40.4.15,2022,American Music,“The Music Industry Funds Private Prisons”: Analyzing Hip-Hop Urban Legend
10.14453/ltc.718,2020,Law/text/culture,"Earwitnessing the Queer Acoustics of Public Space: Law, Sex and Nature in Ultra-red’s Second Nature"
10.32347/2786-7269.2024.7.208-220,2024,Spatial development,ANALYSIS OF THE DEGREE OF STUDY AND GLOBAL EXPERIENCE IN OPTIMIZING URBAN NOISE POLLUTION
10.17271/2318847297220212962,2021,Revista Nacional de Gerenciamento de Cidades,Acoustic Behavior and Design of Large Urban Spaces – Canyon and Tunnel
10.1097/01.ede.0000362413.04194.60,2009,Epidemiology,Current Traffic Noise Exposure Assessment and Noise Effect of Distraction in Class Among Children in Xiʼan City
10.13001/uwnpsrc.2017.5583,2017,The UW National Parks Service Research Station Annual Reports,Environmental noise influences song frequency of Yellow Warblers (Dendroica petechia) in Grand Teton National Park
10.13001/uwnpsrc.2018.5665,2018,The UW National Parks Service Research Station Annual Reports,Environmental noise influences song frequency of Yellow Warblers (Dendroica petechia) in Grand Teton National Park
10.48044/jauf.1977.054,1977,Arboriculture & Urban Forestry,Trees Modify Metropolitan Climate and Noise
10.33225/jbse/18.17.187,2018,Journal of Baltic Science Education,THE INFLUENCE OF PARENTAL EDUCATION ON THE ENVIRONMENTAL EDUCATION OF PRE-SCHOOLERS: A CASE STUDY OF SELF-DESIGNED PICTURE BOOK
10.1525/jams.2015.68.2.435,2015,Journal of the American Musicological Society,"Review: Music, Piety, and Propaganda: The Soundscapes of Counter-Reformation Bavaria by Alexander J. Fisher"
10.1097/ee9.0000000000000383,2025,Environmental Epidemiology,Air pollution inequalities in Europe: A deeper understating of challenges in Eastern Europe and pathways forward towards closing the gap between East and West
10.1093/ehr/cem188,2007,The English Historical Review,At Day's Close: A History of Nighttime
10.1098/rspb.2009.1155,2006,"TRA - TRANSPORT RESEARCH ARENA EUROPE 2006: GOETEBORG, SWEDEN, JUNE 12TH-15TH 2006: GREENER, SAFER AND SMARTER ROAD TRANSPORT FOR EUROPE. PROCEEDINGS",Urban planning and traffic noise in Portugal: how did we get here?
10.21810/aer.v12i1.6112,2023,Acoustic Ecology Review,Interferences Between Acoustic Communication Threads in Enclosed Social Environments of Istanbul
10.1515/noise-2016-0001,2016,Noise Mapping,Exploiting ground effects for surface transportnoise abatement
10.1016/j.envint.2023.107730,2023,Environment International,"Exposure to outdoor residential noise during pregnancy, embryonic size, fetal growth, and birth outcomes"
10.70028/dcea.v2i2.79,2025,Disaster in Civil Engineering and Architecture,"Integrated Evaluation of Urban Transportation, Structural Performance, Environmental Impacts, and Human Safety in Developing Cities"
10.3390/su18147478,2026,Sustainability,Amplified by Heat: Modeling the Spatially Varying Impact of Thermal Environment on Urban Noise Complaints
10.1121/1.2021023,1983,The Journal of the Acoustical Society of America,"Compatibility of ships and whales in Glacier Bay, Alaska"
10.7757/persnewmusi.58.1.0005,2020,Perspectives of New Music,Composing Music with a Space
10.1353/pnm.2020.0000,2020,Perspectives of New Music,Composing Music with a Space
10.1642/0004-8038(2002)119[0587:citabv]2.0.co;2,2002,The Auk,COMPETITION IN THE AIR: BIRDS VERSUS AIRCRAFT
10.1121/1.4777474,2001,The Journal of the Acoustical Society of America,"Social survey carried out in the city of Curitiba, Brazil"
10.1097/aln.0000000000000319,2014,Anesthesiology,Noise in the Operating Room
10.1016/j.outlook.2017.08.001,2017,Nursing Outlook,Reduce noise: Improve the nation's health
10.1353/atj.2020.0049,2020,Asian Theatre Journal,Tokyo Listening: Sound and Sense in a Contemporary City by Lorraine Plourde
,2008,Monografies del Montseny,El Sanatori del Montseny
10.1515/noise-2021-0015,2021,Noise Mapping,Noise Mapping Special Issue: The noise climate at the time of SARS-CoV-2 Virus/COVID-19 Disease
10.1038/s41370-024-00725-3,2024,Journal of Exposure Science & Environmental Epidemiology,Neurodevelopmental costs of noise pollution–is history rhyming again?
10.4103/ipj.ipj_299_23,2023,Industrial Psychiatry Journal,Declining mental health: An aftermath of fast-paced urbanization
10.1002/alz.080144,2023,Alzheimer s & Dementia,The auditory phenotype of behavioural variant frontotemporal dementia
10.1353/ecy.2023.a950265,2023,"The Eighteenth century/The eighteenth century (Lubbock, Tex. Online)",“Noisy Pleasures” and “Noisy Evil[s]”: The Political Dimensions of Sound in Jane Austen’s Mansfield Park
10.6008/cbpc2179-6858.2022.007.0006,2023,Revista Ibero-Americana de Ciências Ambientais,Environmental noise assessment using vegetation indices extracted from satellite imaging
10.1093/auk/ukz001,2019,The Auk,Birds in the Ancient World: Winged Words
10.4103/indianjpsychiatry.indianjpsychiatry_792_23,2024,Indian Journal of Psychiatry,Clinical practice guidelines on the environment and mental well-being
10.21037/cdt.2017.03.08,2017,Cardiovascular Diagnosis and Therapy,The landscape of congenital heart disease
,2004,Acta Simulata Systematica Sinica,Research on Road Traffic Noise Prediction Model Based on Car-following Theory
10.1641/0006-3568(2006)56[849:waash]2.0.co;2,2006,BioScience,The Evolution of Animal Communication: Reliability and Deception in Signaling Systems
10.47116/apjcri.2025.08.30,2025,Asia-pacific Journal of Convergent Research Interchange,"An Analysis of Environmental Design Perception and Experience in Urban Squares Based on Phenomenology of Perception: A Citizen Interview Study of Dongfanghong Square in Lanzhou, China"
,2017,Malaysian Journal of Society and Space,Tahap kebisingan trafik dan kesannya terhadap persekitaran pengajaran-pembelajaran sekolah di pusat bandar Kuala Terengganu (Traffic noise and its impact on school teaching and learning environment in Kuala Terengganu city center)
10.1097/01.ede.0000392485.59925.d8,2010,Epidemiology,Does Traffic Noise Explain the Association of Residential Proximity to Traffic With Coronary Artery Calcification?
10.1055/s-0030-1266411,2010,Das Gesundheitswesen,Does traffic noise explain the association of residential proximity to traffic with coronary artery calcification?
10.1641/0006-3568(2004)054[0958:dfc]2.0.co;2,2004,BioScience,DIVING FOR CHOCOLATE
10.1016/0091-7435(79)90307-4,1979,Preventive Medicine,Perceived stress and coping behavior: A social-psychologic comparison of hypertensive and normotensive employees
,2001,INTER-NOISE 2001 - ABSTRACTS FROM INTERNATIONAL CONGRESS AND EXHIBITION ON NOISE CONTROL ENGINEERING,A speed and acceleration limit in the noise type approval of vehicles will enable silent cars to reveal their silence.
10.1002/oby.20712,2014,Obesity,"Teens' obesity, noise and sleep deprivation: A perverse liaison. Let's move beyond “movida”"
10.1016/0021-9169(59)90103-5,1959,Journal of Atmospheric and Terrestrial Physics,Radio scattering by tropospheric irregularities
10.1097/00001648-200407000-00416,2004,Epidemiology,"URBANIZATION, HOUSING QUALITY AND COMMUNITY NOISE ANNOYANCE"
10.69554/tmpv1796,2016,"Journal of building survey, appraisal & valuation",BIPV solutions in district renovations towards nearly zero-energy cities
,2018,Canadian acoustics,Impact of Traffic-Related Environmental Noise on School Children and Teachers in a Northeast Brazilian Capital
10.1002/alz.091457,2024,Alzheimer s & Dementia,The auditory phenotype of behavioural variant and right temporal variant frontotemporal dementia
10.1055/s-0030-1266410,2010,Das Gesundheitswesen,Do proximity to high traffic and traffic noise influence blood pressure and hypertension in the general population?
10.16910/10.16910/jemr.11.2.8,2018,Journal of Eye Movement Research,Eye movements in scene perception while listening to slow and fast music
10.1093/auk/119.3.587,2002,The Auk,Competition in the Air: Birds Versus Aircraft
10.15728/bbr.2012.9.3.5,2012,Brazilian Business Review,Influence of musical styles on customers attitude: experimental evidences in a retail store
10.15359/rca.58-2.1,2024,Revista de Ciencias Ambientales,"Caracterización acústica de fincas bajo pago por servicios ambientales en la Reserva Forestal Golfo Dulce, Costa Rica"
10.1111/head.12374,2014,Headache The Journal of Head and Face Pain,Perceived Body Weight Status of Youngsters Interferes With Headache in Obese and Non‐Obese Subjects
10.1016/j.protcy.2015.02.038,2015,Procedia Technology,Soundproofing Performance Evaluation of Panels Made of Fibers of Acrylonitrile Butadiene Styrene Copolymer (ABS)
10.1353/shb.2017.0044,2017,Shakespeare bulletin,“O’erwhelmed with Noise”: Sound-Houses and Sonic Experiments in Ben Jonson’s Epicene
10.1016/j.anbehav.2004.02.001,2004,Animal Behaviour,Animal Signals
10.1353/rah.2004.0027,2004,Reviews in American History,When Sound Mattered
10.1007/s44217-024-00335-z,2024,Discover Education,"Performance evaluation of students’ hostel of the college of Agriculture and Environmental Science Kaduna State University, Nigeria"
10.46505/ijbi.2021.3105,2021,International Journal of Biological Innovations,IMPACT OF SOUND POLLUTION ON ANIMAL AND HUMAN HEALTH
10.1044/jshr.1704.724,1974,Journal of Speech and Hearing Research,Monaural and Binaural Speech Perception through Hearing Aids under Noise and Reverberation with Normal and Hearing-Impaired Listeners
10.1525/jams.2021.74.3.663,2021,Journal of the American Musicological Society,"<i>Dancing Revolution: Bodies, Space and Sound in American Cultural History</i>, by Christopher J. Smith"
10.1121/10.0010698,2022,The Journal of the Acoustical Society of America,Spatio-temporal patterns of blue and fin whale sound production identified in National Oceanic Atmospheric Administration-National Park Service Ocean Noise Reference Station Network recording sites in the Pacific Ocean
10.14712/12128112.3516,2012,Lidé města,Urbanity and Ethnomusicology; a Perspective from Singapore
10.1186/2049-3258-73-s1-p16,2015,Archives of Public Health,Impact of green/blue spaces on specific morbidity and cause-specific mortality in Belgium: the GRESP-HEALTH project protocol (2015-2019)
10.54021/seesv5n1-116,2024,STUDIES IN ENGINEERING AND EXACT SCIENCES,"Acoustic analysis and control measures for noise in university: a case study of Adrar University, Algeria"
10.1642/auk-17-135.1,2017,The Auk,"Peter R. Marler, 1928–2014"
10.1093/oq/kbn018,2008,The Opera Quarterly,"Staging the Nation: Race, Religion, and History in Mexican Opera of the 1940s"
10.53982/agidigbo.2025.1302.15-j,2025,ABUAD Journal of the Humanities-AGIDIGBO,"Prayers at Dawn, Fuji at Noon: Music, Spirituality and Everyday Wellbeing among Urban Informal Workers in Ibadan"
10.1111/gcb.17083,2023,Global Change Biology,Cognition as a neglected mediator of responses to anthropogenic noise
,2008,Journal of Ningbo Radio & TV University,On the Types and Approaches of Urban Environment Treatment
10.4103/ijmd.ijmd_12_17,2017,Indian Journal of Multidisciplinary Dentistry,Influence of music therapy to reduce anxiety during dental procedures in the Department of Prosthodontics
10.12692/jbes/27.4.28-31,2025,Journal of Biodiversity and Environmental Sciences (JBES),Noise pollution in the urban environment and its impact on human health: A review
10.1016/j.matpr.2021.11.610,2021,Materials Today Proceedings,A Metropolis study of the isothermal magnetic entropy change in spin-1/2 Ising model
10.2307/4089960,2002,The Auk,Competition in the Air: Birds versus Aircraft
10.1111/j.1467-7709.2010.00909.x,2010,Diplomatic History,"Empires of the Senses: How Seeing, Hearing, Smelling, Tasting, and Touching ShapedImperial Encounters"
10.5406/21567417.66.1.03,2022,Ethnomusicology,The Social Spaces of Music Traditions in Baghdad before and after Destruction
10.1097/01.hj.0000833460.14917.2a,2022,The Hearing Journal,Noise Effects on Sleep and Health Consequences
10.1111/j.1365-2796.2011.02489.x,2011,Journal of Internal Medicine,Air pollution and its cardiovascular and other risks
10.1111/conl.12195,2015,Conservation Letters,Quantum Conservation Biology: A New Ecological Tool
10.58286/29772,2024,e-Journal of Nondestructive Testing,A Laboratory test aimed at demostrating the potential of an Interferometric Radar to estimate the Seismic Risk of damaged buildings
10.1097/01.hj.0000911304.65886.36,2022,The Hearing Journal,Hearing Health on Hold: Why We Need Silent Options
10.1525/res.2021.2.1.1,2021,Resonance The Journal of Sound and Culture,Introduction
10.1093/pubmed/fdy059,2018,Journal of Public Health,The challenge of opt-outs from NHS data: a small-area perspective
10.1093/eurheartj/ehaf1072,2025,European Heart Journal,From noise to heart disease: European Environment Agency sounds the alarm for Europe 2025
10.1111/scs.12620,2018,Scandinavian Journal of Caring Sciences,On locating the metaparadigm concept environment within caring science
10.3389/fpsyg.2025.1674161,2025,Frontiers in Psychology,Toward a more just and inclusive environmental psychology: moving beyond genderwashing and performative inclusion
10.5849/jof.16-010,2016,Journal of Forestry,A Special Issue of the &lt;I&gt;Journal of Forestry&lt;/I&gt;—Wilderness Science and Its Role in Wilderness Stewardship
10.1111/rest.12565,2019,Renaissance Studies,"Language‐learning, orality, and multilingualism in early modern Anglophone narratives of Mediterranean captivity"
10.1093/ae/tmae001,2024,American Entomologist,Art is Science is Art: Strengthening Connections Between Entomology and the Arts
10.1097/ee9.0000000000000151,2021,Environmental Epidemiology,"ISEE Young Virtual Conference, Basel, Switzerland, 18-19 February, 2021"
10.5204/mcj.1598,2019,M/C Journal,Wandering
10.1111/1365-2435.12245,2014,Functional Ecology,Road noise and signal divergence via developmental plasticity in an arthropod
,2018,Australasian Journal of Paramedicine,Seeking basic needs and other tales of excess
10.1353/fau.2012.0012,2012,The Faulkner journal,"“The Megaphone’s Bellowing and Bodiless Profanity”: If I Forget Thee, Jerusalem and the Culture of Cacophony"
10.1093/musqtl/gdaa012,2020,The Musical Quarterly,“Our Brothers Across Canal”: Forging Intraracial Unity through Western Art Music Practice in Mid-Nineteenth and Early Twentieth-Century New Orleans
10.1044/leader.ftr6.11162006.22,2006,ASHA Leader,Five Important Questions About FM Systems and Cochlear Implants
10.1097/01.ee9.0000611300.70501.8d,2019,Environmental Epidemiology,"On traffic-related air pollution and noise, mediating associations between urban design (including greenness) and mental health. Evidence from the Barcelona Health Survey"
10.1093/biosci/biad058,2023,BioScience,Artificial light at night: A research field in action
10.1002/bes2.1785,2020,Bulletin of the Ecological Society of America,Biological Field Stations in the Heart of the Congo Basin Rainforest
10.1111/lang.12618,2023,Language Learning,The Neurocognitive Underpinnings of Second Language Processing: Knowledge Gains From the Past and Future Outlook: A Response to Open Peer Commentaries
10.5204/mcj.931,2015,M/C Journal,Crocodile Tears? Authenticity in Televisual Pedagogy
