openalex_id,doi,title,year,journal,cited_by
W2889237112,10.3389/fpsyg.2018.01593,Public Space Users’ Soundscape Evaluations in Relation to Their Activities. An Amsterdam-Based Study,2018,Frontiers in Psychology,60
W2142744229,10.1642/0004-8038(2006)123[639:aciunc]2.0.co;2,AVIAN COMMUNICATION IN URBAN NOISE: CAUSES AND CONSEQUENCES OF VOCAL ADJUSTMENT,2006,The Auk,330
W1941877463,10.1111/j.1365-2664.2010.01914.x,Negative impact of traffic noise on avian reproductive success,2010,Journal of Applied Ecology,517
W3153539430,10.3390/f12040468,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational Forest Parks,2021,Forests,61
W1970053778,10.1016/j.anbehav.2012.01.034,Birdsongs keep pace with city life: changes in song over time in an urban songbird affects communication,2012,Animal Behaviour,142
W3048920453,10.1016/j.apacoust.2020.107570,Effects of environmental sound quality on soundscape preference in a public urban space,2020,Applied Acoustics,92
W3088886402,10.1126/science.abd5777,Singing in a silent spring: Birds respond to a half-century soundscape reversion during the COVID-19 shutdown,2020,Science,278
W1970246931,10.1642/0004-8038(2006)123[650:ssmmsv]2.0.co;2,SONG SPARROW (MELOSPIZA MELODIA) SONG VARIES WITH URBAN NOISE,2006,The Auk,245
W2474715542,10.1289/ehp220,Urban and Transport Planning Related Exposures and Mortality: A Health Impact Assessment for Cities,2016,Environmental Health Perspectives,265
W2898066108,10.3354/meps12784,Humpback whales Megaptera novaeangliae alter calling behavior in response to natural sounds and vessel noise,2018,Marine Ecology Progress Series,65
W1254698036,10.1016/j.cities.2015.08.002,A grounded theory approach to the subjective understanding of urban soundscape in Sheffield,2015,Cities,102
W4248070815,10.1093/auk/123.3.639,Avian Communication in Urban Noise: Causes and Consequences of Vocal Adjustment,2006,The Auk,207
W2761422938,10.1016/j.envres.2017.09.015,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,2017,Environmental Research,304
W3109761116,10.1016/j.buildenv.2020.107490,Investigating contextual influences on urban soundscape evaluations with structural equation modeling,2020,Building and Environment,73
W3089050219,10.1016/j.buildenv.2020.107327,"Comparing associations among sound sources, human behaviors, and soundscapes on central business and commercial streets in Seoul, Korea",2020,Building and Environment,40
W3000603226,10.1080/12265934.2020.1713863,Appraising the sonic environment of urban parks using the soundscape dimension of visually impaired people,2020,International Journal of Urban Sciences,25
W2898870964,10.1016/j.apacoust.2018.10.029,"Effect of background and foreground music on satisfaction, behavior, and emotional responses in public spaces of shopping malls",2018,Applied Acoustics,69
W2133335850,10.1186/s12940-015-0006-y,Street-level noise in an urban setting: assessment and contribution to personal exposure,2015,Environmental Health,109
W622948607,10.5751/es-02761-140129,Impacts of Traffic Noise and Traffic Volume on Birds of Roadside Habitats,2009,Ecology and Society,286
W2279932972,10.1016/j.envres.2016.02.010,"Long term effects of traffic noise on mortality in the city of Barcelona, 2004–2007",2016,Environmental Research,94
W3138174155,10.3389/fpsyg.2021.570741,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lockdown,2021,Frontiers in Psychology,48
W3005451570,10.1016/j.envres.2020.109238,"Is a liveable city a healthy city? Health impacts of urban and transport planning in Vienna, Austria.",2020,Environmental Research,113
W4233028651,10.1093/auk/123.3.650,Song Sparrow (Melospiza Melodia) Song Varies with Urban Noise,2006,The Auk,142
W2776009798,10.3390/ijerph15040752,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed,2018,International Journal of Environmental Research and Public Health,50
W2906220380,10.1016/j.physleta.2018.12.019,Experimental study on the effect of background music on pedestrian movement at high density,2018,Physics Letters A,53
W2512387368,10.1515/noise-2016-0016,Urban park soundscape in distinct socioculturaland geographical contexts,2016,Noise Mapping,19
W3013424487,10.3390/ijerph17072271,Does the Presence of Birdsongs Improve Perceived Levels of Mental Restoration from Park Use? Experiments on Parkways of Harbin Sun Island in China,2020,International Journal of Environmental Research and Public Health,49
W4319600649,10.3390/ijerph20042932,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,2023,International Journal of Environmental Research and Public Health,16
W2008607307,10.1016/j.anbehav.2005.07.014,Urban bioacoustics: it's not just noise,2006,Animal Behaviour,463
W4381430699,10.3390/f14061266,A Study on the Soundscape Preferences of the Elderly in the Urban Forest Parks of Underdeveloped Cities in China,2023,Forests,14
W2982441792,10.1016/j.buildenv.2019.106510,Using acoustic perception to water sounds in the planning of urban gardens,2019,Building and Environment,33
W2511044294,10.18666/jpra-2016-v34-i3-6927,Urban Park Soundscapes: Association of Noise and Danger With Perceived Restoration,2016,Journal of Park and Recreation Administration,17
W2567510067,10.1016/j.scitotenv.2016.12.061,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,2016,The Science of The Total Environment,56
W3021292134,10.1016/j.eiar.2020.106399,Spatial variations in pedestrian soundscape evaluation of traffic noise,2020,Environmental Impact Assessment Review,24
W4307730353,10.1002/pan3.10409,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound experiences,2022,People and Nature,26
W2753866902,10.1371/journal.pone.0183342,Effects of traffic noise on the calling behavior of two Neotropical hylid frogs,2017,PLoS ONE,71
W2045762914,10.1016/j.anbehav.2009.06.016,Blackbirds sing higher-pitched songs in cities: adaptation to habitat acoustics or side-effect of urbanization?,2009,Animal Behaviour,266
W4381280197,10.1177/09574565231179733,"The assessment of soundscape quality in historic urban parks: A case study of El-Goli Park of Tabriz, Iran",2023,Noise & Vibration Worldwide,15
W2314101159,10.1515/reveh.2000.15.1-2.43,Noise and Health in the Urban Environment,2000,Reviews on Environmental Health,355
W2035395222,10.1016/j.landurbplan.2005.12.003,Impacts of urban environmental elements on residential housing prices in Guangzhou (China),2006,Landscape and Urban Planning,447
W4377043651,10.3390/s23104797,Toward the Definition of a Soundscape Ranking Index (SRI) in an Urban Park Using Machine Learning Techniques,2023,Sensors,11
W2767524724,10.1016/j.ufug.2017.11.002,Spatial-temporal change analysis of plant soundscapes and their design methods,2017,Urban forestry & urban greening,49
W4403193625,10.3390/f15101751,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban Parks,2024,Forests,9
W2149091617,10.1016/j.jenvp.2012.05.002,Multiple environmental burdens and neighborhood-related health of city residents,2012,Journal of Environmental Psychology,114
W2754193229,10.1016/j.envint.2017.09.009,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",2017,Environment International,121
W4389138570,10.1016/j.envres.2023.117788,"Impact of exposure to natural versus urban soundscapes on brain functional connectivity, BOLD entropy and behavior",2023,Environmental Research,27
W3093985876,10.1002/pan3.10156,Ecosystem services enhanced through soundscape management link people and wildlife,2020,People and Nature,56
W2797530463,10.3390/app8020251,Monitoring and Prediction of Traffic Noise in Large Urban Areas,2018,Applied Sciences,58
W2141234864,10.1098/rspb.2012.2798,Bird song and anthropogenic noise: vocal constraints may explain why birds sing higher-frequency songs in cities,2013,Proceedings of the Royal Society B Biological Sciences,240
W2053598782,10.1016/0143-1471(81)90030-1,Behavioural responses of herring gulls Larus argentatus to aircraft noise,1981,Environmental Pollution Series A Ecological and Biological,31
W2129995093,10.1093/beheco/aru207,Birds living near airports advance their dawn chorus and reduce overlap with aircraft noise,2014,Behavioral Ecology,150
W2064576491,10.1371/journal.pone.0054497,Influence of Social and Behavioural Characteristics of Users on Their Evaluation of Subjective Loudness and Acoustic Comfort in Shopping Malls,2013,PLoS ONE,46
W4410383931,10.1016/j.jenvp.2025.102630,Effects of natural sound tempo and social conditions on social Interaction: An interactive virtual experiment,2025,Journal of Environmental Psychology,8
W1998794086,10.1086/671906,Predicting the Effect of Urban Noise on the Active Space of Avian Vocal Signals,2013,The American Naturalist,66
W2978796483,10.7717/peerj.7711,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,2019,PeerJ,13
W4386284933,10.3390/f14091758,Thermal–Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,2023,Forests,7
W2015015803,10.1291/hypres.31.775,Nighttime Road-Traffic Noise and Arterial Hypertension in an Urban Population,2008,Hypertension Research,53
W3032937112,10.3390/su12114619,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlation or Causation?,2020,Sustainability,19
W4366773758,10.3390/su15087002,The Bird Dawn Chorus Strength of an Urban Soundscape and Its Potential to Assess Urban Green Spaces,2023,Sustainability,14
W4362450785,10.1016/j.apacoust.2023.109350,Effects of soundscape on Chinese children's social interaction measured by self-reported behavioral expectations,2023,Applied Acoustics,7
W3169556488,10.1016/j.envint.2021.106700,Urban environment and obesity and weight-related behaviours in primary school children,2021,Environment International,62
W2342451222,10.1371/journal.pone.0154456,Patterns of Song across Natural and Anthropogenic Soundscapes Suggest That White-Crowned Sparrows Minimize Acoustic Masking and Maximize Signal Content,2016,PLoS ONE,79
W2058731186,10.1016/j.anbehav.2013.10.010,Urban noise undermines female sexual preferences for low-frequency songs in domestic canaries,2013,Animal Behaviour,71
W1576762355,10.1016/s0160-4120(97)00008-1,Subjective reactions to traffic noise with regard to some personality traits,1997,Environment International,98
W1563121073,,Acoustic Design Artifacts and Methods for Urban Soundscapes : A case study on the qualitative dimensions of sounds,2012,Journal of Architectural and Planning Research,21
W4407084098,10.1016/j.trf.2025.01.012,What’s your type? A taxonomy of pedestrian route choice behaviour in cities,2025,Transportation Research Part F Traffic Psychology and Behaviour,10
W2060943553,10.1016/j.landurbplan.2007.03.003,Noise and well-being in urban residential environments: The potential role of perceived availability to nearby green areas,2007,Landscape and Urban Planning,636
W3184172403,10.3390/su13158328,Effects of Evocative Audio-Visual Installations on the Restorativeness in Urban Parks,2021,Sustainability,34
W4386418126,10.3390/f14091798,"Does Soundscape Perception Affect Health Benefits, as Mediated by Restorative Perception?",2023,Forests,28
W3169330636,10.1093/icb/icab131,What is Known—and not Known—About Acoustic Communication in an Urban Soundscape,2021,Integrative and Comparative Biology,24
W3088802974,10.1121/10.0002008,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020,2020,The Journal of the Acoustical Society of America,116
W2212756512,10.1016/j.ygcen.2015.12.007,No evidence for an effect of traffic noise on the development of the corticosterone stress response in an urban exploiter,2015,General and Comparative Endocrinology,51
W4402414624,10.3390/land13091468,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emotional Responses,2024,Land,18
W2899467619,10.1016/j.apacoust.2018.10.011,Spatial aspects in urban soundscapes: Binaural parameters application in the study of soundscapes from Bogotá-Colombia and Brasília-Brazil,2018,Applied Acoustics,16
W3189112882,10.1016/j.envpol.2021.117898,Changes to an urban marina soundscape associated with COVID-19 lockdown in Guadeloupe,2021,Environmental Pollution,25
W3211496475,10.3390/ijerph182211774,"Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Assessment: An Example from Antwerp, Belgium",2021,International Journal of Environmental Research and Public Health,11
W2017969273,10.1016/j.anbehav.2009.09.005,"Effects of signal features and environmental noise on signal detection in the great tit, Parus major",2009,Animal Behaviour,90
W4399626382,10.1016/j.cub.2024.05.030,Experimental recreationist noise alters behavior and space use of wildlife,2024,Current Biology,44
W4322631388,10.3390/su15054255,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,2023,Sustainability,16
W2589035306,10.1016/j.ocecoaman.2017.01.015,"Effects of marine vessel management on the underwater acoustic environment of Glacier Bay National Park, AK",2017,Ocean & Coastal Management,32
W4382727141,10.1016/j.jenvp.2023.102060,"Soundscapes, music, and memories: Exploring the factors that influence emotional responses to virtual nature content",2023,Journal of Environmental Psychology,37
W4307266203,10.3390/f13111751,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its Landscape Spatial Influencing Factors,2022,Forests,20
W4220927282,10.3233/ais-220621,Enhancing the park experience by giving visitors control over the park’s soundscape,2022,Journal of Ambient Intelligence and Smart Environments,8
W2990658219,10.1371/journal.pone.0225347,Hamsters in the city: A study on the behaviour of a population of common hamsters (Cricetus cricetus) in urban environment,2019,PLoS ONE,19
W1994422585,10.1007/bf00844759,"An analysis of relationships among environmental noise, annoyance and sensitivity to noise, and the consequences for health and sleep",1993,Journal of Behavioral Medicine,101
W3181275331,10.3390/su13147857,Eco-Acoustic Assessment of an Urban Park by Statistical Analysis,2021,Sustainability,27
W4385835420,10.3390/su151612399,Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflective Review of Architectural Design Studio,2023,Sustainability,18
W2586088712,10.1016/j.apacoust.2017.01.027,A cognitive framework for the categorisation of auditory objects in urban soundscapes,2017,Applied Acoustics,16
W4385272000,10.3389/fpsyg.2023.1186806,The effects of the natural visual-aural attributes of urban green spaces on human behavior and emotional response,2023,Frontiers in Psychology,23
W4280510250,10.3390/f13050765,"Assessing the Traffic Noise Reduction Effect of Roadside Green Space Using LiDAR Point Cloud Data in Shenzhen, China",2022,Forests,19
W2024711314,10.1007/bf01826810,"Ecological, ethological, and ethically sound environments for animals: Toward symbiosis",1989,Journal of Agricultural and Environmental Ethics,87
W2990435503,10.1016/j.scitotenv.2019.135403,Gaps in terrestrial soundscape research: It’s time to focus on tropical wildlife,2019,The Science of The Total Environment,32
W4390953877,10.1111/1745-5871.12632,"Performance and atmosphere in urban public spaces: Street music in Guangzhou, China",2024,Geographical Research,5
W2111833345,10.1002/jez.1965,Traffic noise affects embryo mortality and nestling growth rates in captive zebra finches,2015,Journal of Experimental Zoology Part A Ecological Genetics and Physiology,85
W2039816681,10.1016/j.anbehav.2014.09.026,Silvereyes decrease acoustic frequency but increase efficacy of alarm calls in urban noise,2014,Animal Behaviour,49
W4295102800,10.3390/land11091505,"Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in Longcanggou Forest Park, China",2022,Land,8
W2727985486,10.3389/fevo.2017.00068,"European Blackbirds Exposed to Aircraft Noise Advance Their Chorus, Modify Their Song and Spend More Time Singing",2017,Frontiers in Ecology and Evolution,80
W2132006846,10.15517/rbt.v0i0.3152,Traffic noise affects forest bird species in a protected tropical forest,2010,Revista de Biología Tropical,59
W2756373951,10.1016/j.landurbplan.2017.09.003,Providing information to respondents in complex choice studies: A survey on recreational trail preferences in an urban nature park,2017,Landscape and Urban Planning,40
W2963096623,10.1016/j.apacoust.2019.07.004,Reliability of Dynamap traffic noise prediction,2019,Applied Acoustics,44
W2079494049,10.1073/pnas.1109091108,Low-frequency songs lose their potency in noisy urban conditions,2011,Proceedings of the National Academy of Sciences,312
W4310725244,10.1016/j.scs.2022.104336,Sustainable design of running friendly streets: Environmental exposures predict runnability by Volunteered Geographic Information and multilevel model approaches,2022,Sustainable Cities and Society,76
W2028909263,10.1111/j.1600-048x.2012.05796.x,Experimental evidence for an impact of anthropogenic noise on dawn chorus timing in urban birds,2013,Journal of Avian Biology,133
W4309833973,10.1016/j.apacoust.2022.109129,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",2022,Applied Acoustics,87
W2006957861,10.1016/j.apacoust.2007.05.014,Dynamic estimation of urban traffic noise: Influence of traffic and noise source representations,2007,Applied Acoustics,38
W1967348532,10.1016/j.amepre.2009.03.019,Real Noise from the Urban Environment,2009,American Journal of Preventive Medicine,186
W4392077976,10.3390/f15030417,"Differences in Soundscape Perception of Plants Space in Urban Green Space and the Influence of Factors: The Case of Fuzhou, China",2024,Forests,9
W4313327837,10.3389/fpsyg.2022.1038303,"The actual and ideal indoor soundscape for work, relaxation, physical and sexual activity at home: A case study during the COVID-19 lockdown in London",2022,Frontiers in Psychology,43
W4309315782,10.3390/su142215125,"Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Visitors: Evidence from Huolu Mountain Forest Park, Guangzhou",2022,Sustainability,18
W2893012582,10.1002/ecs2.2440,Surviving in the city: higher apparent survival for urban birds but worse condition on noisy territories,2018,Ecosphere,33
W3094497472,10.1097/aud.0000000000000945,The Virtual Reality Lab: Realization and Application of Virtual Sound Environments,2020,Ear and Hearing,65
W2081654957,10.3390/ijerph7113890,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas,2010,International Journal of Environmental Research and Public Health,4
W4389976344,10.1080/13467581.2023.2292069,Effects of interactions between thermal and acoustic environments on subjective comfort evaluations in outdoor public spaces,2023,Journal of Asian Architecture and Building Engineering,8
W3095782562,10.1016/j.anbehav.2020.10.007,Urban birdsongs: higher minimum song frequency of an urban colonist persists in a common garden experiment,2020,Animal Behaviour,35
W4312211220,10.3390/s22249976,Urban DAS Data Processing and Its Preliminary Application to City Traffic Monitoring,2022,Sensors,40
W3081985783,10.1080/09524622.2020.1813627,"Soundscape of urban-tolerant crickets (Orthoptera: Gryllidae, Trigonidiidae) in a tropical Southeast Asia city, Singapore",2020,Bioacoustics,8
W4307167591,10.3390/f13111754,Residents’ Preferences to Multiple Sound Sources in Urban Park: Integrating Soundscape Measurements and Semantic Differences,2022,Forests,6
W3210662477,10.3389/fpubh.2021.759444,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During the COVID-19 Pandemic in Southern China Megacities,2021,Frontiers in Public Health,23
W3213977679,10.1016/j.emospa.2021.100848,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Italy,2021,"Emotion, space and society",21
W2955492878,10.3389/fmars.2019.00347,"Caribbean Sea Soundscapes: Monitoring Humpback Whales, Biological Sounds, Geological Events, and Anthropogenic Impacts of Vessel Noise",2019,Frontiers in Marine Science,36
W7115925779,10.1016/j.enbuild.2025.116885,"Multisensory interaction: exploring the effects of soundscape, landscape, and smellscape on individual comforts and behavioral intentions in urban park",2025,Energy and Buildings,4
W4200575858,10.1016/j.jnc.2021.126110,"Human-nature connection and soundscape perception: Insights from Tierra del Fuego, Argentina",2021,Journal for Nature Conservation,29
W2555704998,10.3109/13668250.2016.1250251,A comparison of natural and non-natural soundscapes on people with severe or profound intellectual and multiple disabilities,2016,Journal of Intellectual & Developmental Disability,28
W4389639825,10.47836/pjssh.31.4.14,Influence of Perceived Soundscape and Sound Environment on Subjective Well-being of Park Visitors,2023,Pertanika journal of social science & humanities,3
W2760746259,10.1016/j.apacoust.2017.09.003,Dynamic traffic noise assessment tool: A comparative study between a roundabout and a signalised intersection,2017,Applied Acoustics,58
W2465101556,10.1098/rsos.160231,"Anthropogenic noise, but not artificial light levels predicts song behaviour in an equatorial bird",2016,Royal Society Open Science,70
W4385659008,10.1016/j.ecolind.2023.110729,Can acoustic indices reflect the characteristics of public recreational behavioral in urban green spaces?,2023,Ecological Indicators,12
W4205595550,10.1177/14703572211052638,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with psychosis,2022,Visual Communication,8
W2031825626,10.3109/00016487609124919,Behaviour Of CNV During Exposure To Urban Traffic Noise,1976,Acta Oto-Laryngologica,6
W2575911459,10.1111/jav.01139,Traffic noise decreases nestlings’ metabolic rates in an urban exploiter,2017,Journal of Avian Biology,21
W2743747715,10.1007/s40857-017-0106-7,A Tale of Two Soundscapes: Comparing the Acoustic Characteristics of Urban Versus Pristine Coastal Dolphin Habitats in Western Australia,2017,Acoustics Australia,17
W2943413028,10.3390/electronics8050483,Automatic Scene Recognition through Acoustic Classification for Behavioral Robotics,2019,Electronics,49
W1964178663,10.1371/journal.pone.0071476,Sleepless in Town – Drivers of the Temporal Shift in Dawn Song in Urban European Blackbirds,2013,PLoS ONE,133
W4322501469,10.3390/ijerph20054222,Building a City with Low Noise Pollution: Exploring the Mental Health Effect Thresholds of Spatiotemporal Environmental Noise Exposure and Urban Planning Solution,2023,International Journal of Environmental Research and Public Health,15
W4387054162,10.3390/f14101946,Predicting and Visualizing Human Soundscape Perception in Large-Scale Urban Green Spaces: A Case Study of the Chengdu Outer Ring Ecological Zone,2023,Forests,9
W4390535878,10.1007/s11252-023-01497-8,Aircraft noise modifies acoustic signals and social interactions of a microendemic frog from Mexico City,2024,Urban Ecosystems,3
W3015072568,10.3390/ijerph17072499,Effects of the Musical Sound Environment on Communicating Emotion,2020,International Journal of Environmental Research and Public Health,33
W3126545292,10.3390/acoustics3010007,The Social Construction of the Soundscape of the Castilian Cities (15th and 16th Centuries),2021,Acoustics,5
W4320718518,10.1016/j.envres.2023.115501,Unintended impacts of the Open Streets program on noise complaints in New York City,2023,Environmental Research,10
W3171844856,10.3390/su13116395,Mental Well-Being and the Influence of Place: Conceptual Approaches for the Built Environment for Planning Healthy and Walkable Cities,2021,Sustainability,52
W2316186793,10.1016/j.biocon.2012.03.007,Beyond masking: Endangered Stephen’s kangaroo rats respond to traffic noise with footdrumming,2012,Biological Conservation,51
W2066126011,10.1007/s00265-009-0857-8,Habitat-related birdsong divergence: a multi-level study on the influence of territory density and ambient noise in European blackbirds,2009,Behavioral Ecology and Sociobiology,91
W3111898009,10.1121/10.0002866,Meta-modeling for urban noise mapping,2020,The Journal of the Acoustical Society of America,15
W2076261387,10.1080/09524622.2011.9753650,URBAN NOISE PREDICTS SONG FREQUENCY IN NORTHERN CARDINALS AND AMERICAN ROBINS,2011,Bioacoustics,20
W1996190925,10.1080/00224545.1978.9924035,Effects of Urban Noise and Sidewalk Density upon Pedestrian Cooperation and Tempo,1978,The Journal of Social Psychology,18
W3205300935,10.1007/s11252-021-01163-x,The effect of artificial light on bat richness and nocturnal soundscapes along an urbanization gradient in an arid landscape of central Peru,2021,Urban Ecosystems,23
W2896292794,10.1177/1940082918804344,"Protected Area Zoning as a Strategy to Preserve Natural Soundscapes, Reduce Anthropogenic Noise Intrusion, and Conserve Biodiversity",2018,Tropical Conservation Science,22
W2126745886,10.1111/j.1365-2702.2009.02801.x,The effect of a music programme during lunchtime on the problem behaviour of the older residents with dementia at an institution in Taiwan,2010,Journal of Clinical Nursing,65
W4282935572,10.3390/acoustics4020031,Soundscape Approach in the Seaport of Ancona: A Case Study,2022,Acoustics,12
W4224260378,10.1016/j.apacoust.2022.108762,Nature and the City: Audiovisual interactions in pleasantness and psychophysiological reactions,2022,Applied Acoustics,21
W4362722586,10.1016/j.buildenv.2023.110267,"Indoor soundscape model: Assessing contextual factors in open-plan offices on university campuses in Surabaya, Indonesia",2023,Building and Environment,10
W3204141043,10.1186/s12889-021-11853-y,Road traffic noise and cognitive function in older adults: a cross-sectional investigation of The Irish Longitudinal Study on Ageing,2021,BMC Public Health,44
W2741475459,10.1016/j.envint.2017.07.020,Health impacts related to urban and transport planning: A burden of disease assessment,2017,Environment International,134
W3188497018,10.3390/ijerph18168271,Cluster Analysis of Urban Acoustic Environments on Barcelona Sensor Network Data,2021,International Journal of Environmental Research and Public Health,19
W4404251589,10.1057/s41599-024-03929-y,"Effect of human sound component on the sociability of urban public spaces—a case study in Sheffield, UK",2024,Humanities and Social Sciences Communications,7
W4386565952,10.1016/j.apacoust.2023.109627,Cross-cultural comparison of soundscape evaluation between Japanese and Vietnamese using standardized attributes,2023,Applied Acoustics,15
W2914288327,10.29252/jhehp.4.3.3,Association of Road Traffic Noise Exposure and Driving Behaviors,2018,Journal of Human Environment and Health Promotion,9
W4210775104,10.1007/s11356-021-17577-1,Vehicular traffic noise modelling of urban area—a contouring and artificial neural network based approach,2022,Environmental Science and Pollution Research,22
W3118279801,10.1111/jzo.12866,Traffic noise drives an immediate increase in call pitch in an urban frog,2021,Journal of Zoology,17
W3133613183,10.3390/su13052714,Semantic Crowdsourcing of Soundscapes Heritage: A Mojo Model for Data-Driven Storytelling,2021,Sustainability,15
W4283032373,10.3390/f13060948,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in China,2022,Forests,10
W4413006225,10.1038/s41598-025-08524-y,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,2025,Scientific Reports,11
W3189444678,10.1007/s10211-021-00378-7,Limited effects of traffic noise on behavioural responses to conspecific mating calls in the eastern sedge frog Litoria fallax,2021,acta ethologica,14
W2253442690,10.3161/15081109acc2015.17.2.010,Foraging Strategies Determine the Effect of Traffic Noise on Bats,2015,Acta Chiropterologica,23
W2115775052,10.1080/00140130410001712609,Directional guidance from audible pedestrian signals for street crossing,2004,Ergonomics,27
W2899584469,10.1007/s11252-018-0814-2,Urban noise and grey-headed flying-fox vocalisations: evidence of the silentium effect,2018,Urban Ecosystems,13
W4224729313,10.1016/j.anbehav.2022.03.021,Urban noise does not affect cognitive performance in wild Australian magpies,2022,Animal Behaviour,14
W1997854265,10.2478/aoa-2013-0024,Urban Noise Annoyance Between 2001 and 2013 – Study in a Romanian City,2013,Archives of Acoustics,5
W2087866089,10.1016/j.beproc.2014.10.002,Timing vocal behavior: Lack of temporal overlap avoidance to fluctuating noise levels in singing Eurasian wrens,2014,Behavioural Processes,24
W4286434985,10.1016/j.envres.2022.113956,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary disease,2022,Environmental Research,19
