openalex_id,doi,title,year,journal,cited_by,relevance
W2133335850,10.1186/s12940-015-0006-y,Street-level noise in an urban setting: assessment and contribution to personal exposure,2015,Environmental Health,109,283.95
W622948607,10.5751/es-02761-140129,Impacts of Traffic Noise and Traffic Volume on Birds of Roadside Habitats,2009,Ecology and Society,286,281.56
W3138174155,10.3389/fpsyg.2021.570741,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lockdown,2021,Frontiers in Psychology,48,274.39
W2279932972,10.1016/j.envres.2016.02.010,"Long term effects of traffic noise on mortality in the city of Barcelona, 2004–2007",2016,Environmental Research,94,274.24
W3005451570,10.1016/j.envres.2020.109238,"Is a liveable city a healthy city? Health impacts of urban and transport planning in Vienna, Austria.",2020,Environmental Research,113,271.37
W4233028651,10.1093/auk/123.3.650,Song Sparrow (Melospiza Melodia) Song Varies with Urban Noise,2006,The Auk,142,265.18
W2776009798,10.3390/ijerph15040752,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed,2018,International Journal of Environmental Research and Public Health,50,264.83
W2906220380,10.1016/j.physleta.2018.12.019,Experimental study on the effect of background music on pedestrian movement at high density,2018,Physics Letters A,53,262.92
W2512387368,10.1515/noise-2016-0016,Urban park soundscape in distinct socioculturaland geographical contexts,2016,Noise Mapping,19,261.58
W3013424487,10.3390/ijerph17072271,Does the Presence of Birdsongs Improve Perceived Levels of Mental Restoration from Park Use? Experiments on Parkways of Harbin Sun Island in China,2020,International Journal of Environmental Research and Public Health,49,260.71
W4319600649,10.3390/ijerph20042932,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,2023,International Journal of Environmental Research and Public Health,16,260.4
W2008607307,10.1016/j.anbehav.2005.07.014,Urban bioacoustics: it's not just noise,2006,Animal Behaviour,463,256.75
W4381430699,10.3390/f14061266,A Study on the Soundscape Preferences of the Elderly in the Urban Forest Parks of Underdeveloped Cities in China,2023,Forests,14,256.14
W2982441792,10.1016/j.buildenv.2019.106510,Using acoustic perception to water sounds in the planning of urban gardens,2019,Building and Environment,33,249.94
W2511044294,10.18666/jpra-2016-v34-i3-6927,Urban Park Soundscapes: Association of Noise and Danger With Perceived Restoration,2016,Journal of Park and Recreation Administration,17,248.37
W2567510067,10.1016/j.scitotenv.2016.12.061,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,2016,The Science of The Total Environment,56,246.68
W3021292134,10.1016/j.eiar.2020.106399,Spatial variations in pedestrian soundscape evaluation of traffic noise,2020,Environmental Impact Assessment Review,24,244.44
W4307730353,10.1002/pan3.10409,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound experiences,2022,People and Nature,26,243.4
W2753866902,10.1371/journal.pone.0183342,Effects of traffic noise on the calling behavior of two Neotropical hylid frogs,2017,PLoS ONE,71,235.77
W2045762914,10.1016/j.anbehav.2009.06.016,Blackbirds sing higher-pitched songs in cities: adaptation to habitat acoustics or side-effect of urbanization?,2009,Animal Behaviour,266,228.22
W4381280197,10.1177/09574565231179733,"The assessment of soundscape quality in historic urban parks: A case study of El-Goli Park of Tabriz, Iran",2023,Noise & Vibration Worldwide,15,222.75
W2314101159,10.1515/reveh.2000.15.1-2.43,Noise and Health in the Urban Environment,2000,Reviews on Environmental Health,355,221.47
W2035395222,10.1016/j.landurbplan.2005.12.003,Impacts of urban environmental elements on residential housing prices in Guangzhou (China),2006,Landscape and Urban Planning,447,210.01
W4377043651,10.3390/s23104797,Toward the Definition of a Soundscape Ranking Index (SRI) in an Urban Park Using Machine Learning Techniques,2023,Sensors,11,209.61
W2767524724,10.1016/j.ufug.2017.11.002,Spatial-temporal change analysis of plant soundscapes and their design methods,2017,Urban forestry & urban greening,49,209.4
W4403193625,10.3390/f15101751,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban Parks,2024,Forests,9,209.32
W4389138570,10.1016/j.envres.2023.117788,"Impact of exposure to natural versus urban soundscapes on brain functional connectivity, BOLD entropy and behavior",2023,Environmental Research,27,207.39
W2149091617,10.1016/j.jenvp.2012.05.002,Multiple environmental burdens and neighborhood-related health of city residents,2012,Journal of Environmental Psychology,114,207.08
W2754193229,10.1016/j.envint.2017.09.009,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",2017,Environment International,121,207.0
W3093985876,10.1002/pan3.10156,Ecosystem services enhanced through soundscape management link people and wildlife,2020,People and Nature,56,206.48
W2797530463,10.3390/app8020251,Monitoring and Prediction of Traffic Noise in Large Urban Areas,2018,Applied Sciences,58,205.65
W2141234864,10.1098/rspb.2012.2798,Bird song and anthropogenic noise: vocal constraints may explain why birds sing higher-frequency songs in cities,2013,Proceedings of the Royal Society B Biological Sciences,240,202.81
W2053598782,10.1016/0143-1471(81)90030-1,Behavioural responses of herring gulls Larus argentatus to aircraft noise,1981,Environmental Pollution Series A Ecological and Biological,31,202.46
W2129995093,10.1093/beheco/aru207,Birds living near airports advance their dawn chorus and reduce overlap with aircraft noise,2014,Behavioral Ecology,150,201.84
W2064576491,10.1371/journal.pone.0054497,Influence of Social and Behavioural Characteristics of Users on Their Evaluation of Subjective Loudness and Acoustic Comfort in Shopping Malls,2013,PLoS ONE,46,201.63
W4410383931,10.1016/j.jenvp.2025.102630,Effects of natural sound tempo and social conditions on social Interaction: An interactive virtual experiment,2025,Journal of Environmental Psychology,8,197.79
W1998794086,10.1086/671906,Predicting the Effect of Urban Noise on the Active Space of Avian Vocal Signals,2013,The American Naturalist,66,196.47
W2978796483,10.7717/peerj.7711,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,2019,PeerJ,13,195.08
W4386284933,10.3390/f14091758,Thermal–Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,2023,Forests,7,194.56
W2015015803,10.1291/hypres.31.775,Nighttime Road-Traffic Noise and Arterial Hypertension in an Urban Population,2008,Hypertension Research,53,193.91
W3032937112,10.3390/su12114619,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlation or Causation?,2020,Sustainability,19,189.25
W4366773758,10.3390/su15087002,The Bird Dawn Chorus Strength of an Urban Soundscape and Its Potential to Assess Urban Green Spaces,2023,Sustainability,14,186.69
W4362450785,10.1016/j.apacoust.2023.109350,Effects of soundscape on Chinese children's social interaction measured by self-reported behavioral expectations,2023,Applied Acoustics,7,185.56
W3169556488,10.1016/j.envint.2021.106700,Urban environment and obesity and weight-related behaviours in primary school children,2021,Environment International,62,184.49
W2342451222,10.1371/journal.pone.0154456,Patterns of Song across Natural and Anthropogenic Soundscapes Suggest That White-Crowned Sparrows Minimize Acoustic Masking and Maximize Signal Content,2016,PLoS ONE,79,182.14
W2058731186,10.1016/j.anbehav.2013.10.010,Urban noise undermines female sexual preferences for low-frequency songs in domestic canaries,2013,Animal Behaviour,71,181.84
W1576762355,10.1016/s0160-4120(97)00008-1,Subjective reactions to traffic noise with regard to some personality traits,1997,Environment International,98,179.73
W1563121073,,Acoustic Design Artifacts and Methods for Urban Soundscapes : A case study on the qualitative dimensions of sounds,2012,Journal of Architectural and Planning Research,21,175.79
W4407084098,10.1016/j.trf.2025.01.012,What’s your type? A taxonomy of pedestrian route choice behaviour in cities,2025,Transportation Research Part F Traffic Psychology and Behaviour,10,175.46
W2060943553,10.1016/j.landurbplan.2007.03.003,Noise and well-being in urban residential environments: The potential role of perceived availability to nearby green areas,2007,Landscape and Urban Planning,636,174.68
W3184172403,10.3390/su13158328,Effects of Evocative Audio-Visual Installations on the Restorativeness in Urban Parks,2021,Sustainability,34,174.21
W4386418126,10.3390/f14091798,"Does Soundscape Perception Affect Health Benefits, as Mediated by Restorative Perception?",2023,Forests,28,173.71
W3169330636,10.1093/icb/icab131,What is Known—and not Known—About Acoustic Communication in an Urban Soundscape,2021,Integrative and Comparative Biology,24,171.59
W3088802974,10.1121/10.0002008,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020,2020,The Journal of the Acoustical Society of America,116,169.95
W2212756512,10.1016/j.ygcen.2015.12.007,No evidence for an effect of traffic noise on the development of the corticosterone stress response in an urban exploiter,2015,General and Comparative Endocrinology,51,169.92
W4402414624,10.3390/land13091468,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emotional Responses,2024,Land,18,169.28
W2899467619,10.1016/j.apacoust.2018.10.011,Spatial aspects in urban soundscapes: Binaural parameters application in the study of soundscapes from Bogotá-Colombia and Brasília-Brazil,2018,Applied Acoustics,16,168.95
W3189112882,10.1016/j.envpol.2021.117898,Changes to an urban marina soundscape associated with COVID-19 lockdown in Guadeloupe,2021,Environmental Pollution,25,168.73
W3211496475,10.3390/ijerph182211774,"Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Assessment: An Example from Antwerp, Belgium",2021,International Journal of Environmental Research and Public Health,11,168.66
W2017969273,10.1016/j.anbehav.2009.09.005,"Effects of signal features and environmental noise on signal detection in the great tit, Parus major",2009,Animal Behaviour,90,168.6
W4399626382,10.1016/j.cub.2024.05.030,Experimental recreationist noise alters behavior and space use of wildlife,2024,Current Biology,44,167.48
W4322631388,10.3390/su15054255,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,2023,Sustainability,16,165.49
W2589035306,10.1016/j.ocecoaman.2017.01.015,"Effects of marine vessel management on the underwater acoustic environment of Glacier Bay National Park, AK",2017,Ocean & Coastal Management,32,162.74
W4382727141,10.1016/j.jenvp.2023.102060,"Soundscapes, music, and memories: Exploring the factors that influence emotional responses to virtual nature content",2023,Journal of Environmental Psychology,37,161.73
W4307266203,10.3390/f13111751,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its Landscape Spatial Influencing Factors,2022,Forests,20,160.51
W4220927282,10.3233/ais-220621,Enhancing the park experience by giving visitors control over the park’s soundscape,2022,Journal of Ambient Intelligence and Smart Environments,8,159.57
W2990658219,10.1371/journal.pone.0225347,Hamsters in the city: A study on the behaviour of a population of common hamsters (Cricetus cricetus) in urban environment,2019,PLoS ONE,19,159.39
W1994422585,10.1007/bf00844759,"An analysis of relationships among environmental noise, annoyance and sensitivity to noise, and the consequences for health and sleep",1993,Journal of Behavioral Medicine,101,157.48
W3181275331,10.3390/su13147857,Eco-Acoustic Assessment of an Urban Park by Statistical Analysis,2021,Sustainability,27,156.78
W4385835420,10.3390/su151612399,Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflective Review of Architectural Design Studio,2023,Sustainability,18,155.15
W2586088712,10.1016/j.apacoust.2017.01.027,A cognitive framework for the categorisation of auditory objects in urban soundscapes,2017,Applied Acoustics,16,154.92
W4385272000,10.3389/fpsyg.2023.1186806,The effects of the natural visual-aural attributes of urban green spaces on human behavior and emotional response,2023,Frontiers in Psychology,23,154.45
W4280510250,10.3390/f13050765,"Assessing the Traffic Noise Reduction Effect of Roadside Green Space Using LiDAR Point Cloud Data in Shenzhen, China",2022,Forests,19,153.63
W2024711314,10.1007/bf01826810,"Ecological, ethological, and ethically sound environments for animals: Toward symbiosis",1989,Journal of Agricultural and Environmental Ethics,87,152.42
W2990435503,10.1016/j.scitotenv.2019.135403,Gaps in terrestrial soundscape research: It’s time to focus on tropical wildlife,2019,The Science of The Total Environment,32,151.9
W4390953877,10.1111/1745-5871.12632,"Performance and atmosphere in urban public spaces: Street music in Guangzhou, China",2024,Geographical Research,5,151.81
W2111833345,10.1002/jez.1965,Traffic noise affects embryo mortality and nestling growth rates in captive zebra finches,2015,Journal of Experimental Zoology Part A Ecological Genetics and Physiology,85,151.61
W2039816681,10.1016/j.anbehav.2014.09.026,Silvereyes decrease acoustic frequency but increase efficacy of alarm calls in urban noise,2014,Animal Behaviour,49,151.08
W4295102800,10.3390/land11091505,"Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in Longcanggou Forest Park, China",2022,Land,8,150.24
W2727985486,10.3389/fevo.2017.00068,"European Blackbirds Exposed to Aircraft Noise Advance Their Chorus, Modify Their Song and Spend More Time Singing",2017,Frontiers in Ecology and Evolution,80,150.1
W2132006846,10.15517/rbt.v0i0.3152,Traffic noise affects forest bird species in a protected tropical forest,2010,Revista de Biología Tropical,59,147.27
W2756373951,10.1016/j.landurbplan.2017.09.003,Providing information to respondents in complex choice studies: A survey on recreational trail preferences in an urban nature park,2017,Landscape and Urban Planning,40,146.81
W2963096623,10.1016/j.apacoust.2019.07.004,Reliability of Dynamap traffic noise prediction,2019,Applied Acoustics,44,146.02
W4310725244,10.1016/j.scs.2022.104336,Sustainable design of running friendly streets: Environmental exposures predict runnability by Volunteered Geographic Information and multilevel model approaches,2022,Sustainable Cities and Society,76,145.65
W2079494049,10.1073/pnas.1109091108,Low-frequency songs lose their potency in noisy urban conditions,2011,Proceedings of the National Academy of Sciences,312,145.54
W2028909263,10.1111/j.1600-048x.2012.05796.x,Experimental evidence for an impact of anthropogenic noise on dawn chorus timing in urban birds,2013,Journal of Avian Biology,133,144.06
W2006957861,10.1016/j.apacoust.2007.05.014,Dynamic estimation of urban traffic noise: Influence of traffic and noise source representations,2007,Applied Acoustics,38,143.26
W4309833973,10.1016/j.apacoust.2022.109129,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",2022,Applied Acoustics,87,142.66
W1967348532,10.1016/j.amepre.2009.03.019,Real Noise from the Urban Environment,2009,American Journal of Preventive Medicine,186,142.29
W4392077976,10.3390/f15030417,"Differences in Soundscape Perception of Plants Space in Urban Green Space and the Influence of Factors: The Case of Fuzhou, China",2024,Forests,9,142.04
W4313327837,10.3389/fpsyg.2022.1038303,"The actual and ideal indoor soundscape for work, relaxation, physical and sexual activity at home: A case study during the COVID-19 lockdown in London",2022,Frontiers in Psychology,43,140.31
W4309315782,10.3390/su142215125,"Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Visitors: Evidence from Huolu Mountain Forest Park, Guangzhou",2022,Sustainability,18,139.89
W2893012582,10.1002/ecs2.2440,Surviving in the city: higher apparent survival for urban birds but worse condition on noisy territories,2018,Ecosphere,33,137.3
W3094497472,10.1097/aud.0000000000000945,The Virtual Reality Lab: Realization and Application of Virtual Sound Environments,2020,Ear and Hearing,65,137.01
W2081654957,10.3390/ijerph7113890,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas,2010,International Journal of Environmental Research and Public Health,4,136.09
W4389976344,10.1080/13467581.2023.2292069,Effects of interactions between thermal and acoustic environments on subjective comfort evaluations in outdoor public spaces,2023,Journal of Asian Architecture and Building Engineering,8,135.86
W3095782562,10.1016/j.anbehav.2020.10.007,Urban birdsongs: higher minimum song frequency of an urban colonist persists in a common garden experiment,2020,Animal Behaviour,35,135.35
W4312211220,10.3390/s22249976,Urban DAS Data Processing and Its Preliminary Application to City Traffic Monitoring,2022,Sensors,40,135.1
W4307167591,10.3390/f13111754,Residents’ Preferences to Multiple Sound Sources in Urban Park: Integrating Soundscape Measurements and Semantic Differences,2022,Forests,6,135.01
W3081985783,10.1080/09524622.2020.1813627,"Soundscape of urban-tolerant crickets (Orthoptera: Gryllidae, Trigonidiidae) in a tropical Southeast Asia city, Singapore",2020,Bioacoustics,8,134.79
W3210662477,10.3389/fpubh.2021.759444,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During the COVID-19 Pandemic in Southern China Megacities,2021,Frontiers in Public Health,23,134.19
W3213977679,10.1016/j.emospa.2021.100848,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Italy,2021,"Emotion, space and society",21,133.73
W2955492878,10.3389/fmars.2019.00347,"Caribbean Sea Soundscapes: Monitoring Humpback Whales, Biological Sounds, Geological Events, and Anthropogenic Impacts of Vessel Noise",2019,Frontiers in Marine Science,36,133.56
W4200575858,10.1016/j.jnc.2021.126110,"Human-nature connection and soundscape perception: Insights from Tierra del Fuego, Argentina",2021,Journal for Nature Conservation,29,133.29
W7115925779,10.1016/j.enbuild.2025.116885,"Multisensory interaction: exploring the effects of soundscape, landscape, and smellscape on individual comforts and behavioral intentions in urban park",2025,Energy and Buildings,4,133.28
W2555704998,10.3109/13668250.2016.1250251,A comparison of natural and non-natural soundscapes on people with severe or profound intellectual and multiple disabilities,2016,Journal of Intellectual & Developmental Disability,28,133.01
W4389639825,10.47836/pjssh.31.4.14,Influence of Perceived Soundscape and Sound Environment on Subjective Well-being of Park Visitors,2023,Pertanika journal of social science & humanities,3,132.63
W2465101556,10.1098/rsos.160231,"Anthropogenic noise, but not artificial light levels predicts song behaviour in an equatorial bird",2016,Royal Society Open Science,70,131.98
W2760746259,10.1016/j.apacoust.2017.09.003,Dynamic traffic noise assessment tool: A comparative study between a roundabout and a signalised intersection,2017,Applied Acoustics,58,131.34
W4385659008,10.1016/j.ecolind.2023.110729,Can acoustic indices reflect the characteristics of public recreational behavioral in urban green spaces?,2023,Ecological Indicators,12,125.88
W4205595550,10.1177/14703572211052638,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with psychosis,2022,Visual Communication,8,125.34
W2031825626,10.3109/00016487609124919,Behaviour Of CNV During Exposure To Urban Traffic Noise,1976,Acta Oto-Laryngologica,6,124.44
W2575911459,10.1111/jav.01139,Traffic noise decreases nestlings’ metabolic rates in an urban exploiter,2017,Journal of Avian Biology,21,123.3
W2743747715,10.1007/s40857-017-0106-7,A Tale of Two Soundscapes: Comparing the Acoustic Characteristics of Urban Versus Pristine Coastal Dolphin Habitats in Western Australia,2017,Acoustics Australia,17,123.21
W2943413028,10.3390/electronics8050483,Automatic Scene Recognition through Acoustic Classification for Behavioral Robotics,2019,Electronics,49,122.95
W1964178663,10.1371/journal.pone.0071476,Sleepless in Town – Drivers of the Temporal Shift in Dawn Song in Urban European Blackbirds,2013,PLoS ONE,133,122.18
W4322501469,10.3390/ijerph20054222,Building a City with Low Noise Pollution: Exploring the Mental Health Effect Thresholds of Spatiotemporal Environmental Noise Exposure and Urban Planning Solution,2023,International Journal of Environmental Research and Public Health,15,119.56
W4387054162,10.3390/f14101946,Predicting and Visualizing Human Soundscape Perception in Large-Scale Urban Green Spaces: A Case Study of the Chengdu Outer Ring Ecological Zone,2023,Forests,9,119.34
W4390535878,10.1007/s11252-023-01497-8,Aircraft noise modifies acoustic signals and social interactions of a microendemic frog from Mexico City,2024,Urban Ecosystems,3,118.98
W3015072568,10.3390/ijerph17072499,Effects of the Musical Sound Environment on Communicating Emotion,2020,International Journal of Environmental Research and Public Health,33,118.33
W3126545292,10.3390/acoustics3010007,The Social Construction of the Soundscape of the Castilian Cities (15th and 16th Centuries),2021,Acoustics,5,117.98
W4320718518,10.1016/j.envres.2023.115501,Unintended impacts of the Open Streets program on noise complaints in New York City,2023,Environmental Research,10,117.27
W3171844856,10.3390/su13116395,Mental Well-Being and the Influence of Place: Conceptual Approaches for the Built Environment for Planning Healthy and Walkable Cities,2021,Sustainability,52,116.59
W2066126011,10.1007/s00265-009-0857-8,Habitat-related birdsong divergence: a multi-level study on the influence of territory density and ambient noise in European blackbirds,2009,Behavioral Ecology and Sociobiology,91,116.33
W2316186793,10.1016/j.biocon.2012.03.007,Beyond masking: Endangered Stephen’s kangaroo rats respond to traffic noise with footdrumming,2012,Biological Conservation,51,116.1
W3111898009,10.1121/10.0002866,Meta-modeling for urban noise mapping,2020,The Journal of the Acoustical Society of America,15,116.1
W2076261387,10.1080/09524622.2011.9753650,URBAN NOISE PREDICTS SONG FREQUENCY IN NORTHERN CARDINALS AND AMERICAN ROBINS,2011,Bioacoustics,20,115.7
W1996190925,10.1080/00224545.1978.9924035,Effects of Urban Noise and Sidewalk Density upon Pedestrian Cooperation and Tempo,1978,The Journal of Social Psychology,18,115.66
W3205300935,10.1007/s11252-021-01163-x,The effect of artificial light on bat richness and nocturnal soundscapes along an urbanization gradient in an arid landscape of central Peru,2021,Urban Ecosystems,23,115.12
W4282935572,10.3390/acoustics4020031,Soundscape Approach in the Seaport of Ancona: A Case Study,2022,Acoustics,12,114.64
W2126745886,10.1111/j.1365-2702.2009.02801.x,The effect of a music programme during lunchtime on the problem behaviour of the older residents with dementia at an institution in Taiwan,2010,Journal of Clinical Nursing,65,114.62
W2896292794,10.1177/1940082918804344,"Protected Area Zoning as a Strategy to Preserve Natural Soundscapes, Reduce Anthropogenic Noise Intrusion, and Conserve Biodiversity",2018,Tropical Conservation Science,22,114.55
W4224260378,10.1016/j.apacoust.2022.108762,Nature and the City: Audiovisual interactions in pleasantness and psychophysiological reactions,2022,Applied Acoustics,21,113.68
W3204141043,10.1186/s12889-021-11853-y,Road traffic noise and cognitive function in older adults: a cross-sectional investigation of The Irish Longitudinal Study on Ageing,2021,BMC Public Health,44,112.62
W4362722586,10.1016/j.buildenv.2023.110267,"Indoor soundscape model: Assessing contextual factors in open-plan offices on university campuses in Surabaya, Indonesia",2023,Building and Environment,10,112.61
W2741475459,10.1016/j.envint.2017.07.020,Health impacts related to urban and transport planning: A burden of disease assessment,2017,Environment International,134,112.26
W3188497018,10.3390/ijerph18168271,Cluster Analysis of Urban Acoustic Environments on Barcelona Sensor Network Data,2021,International Journal of Environmental Research and Public Health,19,111.32
W4404251589,10.1057/s41599-024-03929-y,"Effect of human sound component on the sociability of urban public spaces—a case study in Sheffield, UK",2024,Humanities and Social Sciences Communications,7,109.97
W4386565952,10.1016/j.apacoust.2023.109627,Cross-cultural comparison of soundscape evaluation between Japanese and Vietnamese using standardized attributes,2023,Applied Acoustics,15,109.35
W2914288327,10.29252/jhehp.4.3.3,Association of Road Traffic Noise Exposure and Driving Behaviors,2018,Journal of Human Environment and Health Promotion,9,108.92
W4210775104,10.1007/s11356-021-17577-1,Vehicular traffic noise modelling of urban area—a contouring and artificial neural network based approach,2022,Environmental Science and Pollution Research,22,108.53
W3118279801,10.1111/jzo.12866,Traffic noise drives an immediate increase in call pitch in an urban frog,2021,Journal of Zoology,17,108.28
