pmid,doi,title,year,journal
41734232,10.1371/journal.pone.0343393,Mapping urban soundscape patterns using user-generated content: A place model approach to acoustic environment perception.,2026,PloS one
41716593,10.1002/ece3.73018,The Effects of Anthrophony on Song Traits in European Robins (Erithacus rubecula).,2026,Ecology and evolution
41621364,10.1016/j.marpolbul.2026.119347,Effect of noise on the behaviour and microbiome of a common temperate estuarine fish.,2026,Marine pollution bulletin
41482912,10.4103/nah.nah_149_25,"Audiological Symptoms Experienced by Taxi Drivers at Two Taxi Ranks in Johannesburg, South Africa.",2025,Noise & health
41482901,10.4103/nah.nah_43_25,Is Too Noisy as Bad as Too Quiet? The Inverted U-shaped Relationship between Noise and Sleep Duration.,2025,Noise & health
41367652,10.1183/23120541.00132-2025,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD.,2025,ERJ open research
41345411,10.1038/s41598-025-16417-3,"Assessing the short-term impacts of in-air firework sounds on marine species in Cape Town, South Africa.",2025,Scientific reports
41318808,10.1038/s41598-025-30347-0,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective.,2025,Scientific reports
41276921,10.1080/17533015.2025.2593865,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos.,2025,Arts & health
41211384,10.3389/fpubh.2025.1681862,Lunch breaks as a buffer: mitigating the negative effects of road traffic noise on urban employee workplace behavior.,2025,Frontiers in public health
41151211,10.1016/j.envint.2025.109876,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort.",2025,Environment international
41100946,10.1016/j.jenvman.2025.127638,Effects of nocturnal light environments on urban bird diversity: birds adapted to and inhabiting cities.,2025,Journal of environmental management
41093905,10.1038/s41598-025-19918-3,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality.,2025,Scientific reports
40770002,10.1038/s41598-025-08524-y,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas.,2025,Scientific reports
40713728,10.1186/s13750-025-00368-3,What is the evidence for the impacts of airborne anthropogenic noise on wildlife? A systematic map update.,2025,Environmental evidence
40634877,10.1186/s12889-025-21730-7,Effects of video-based natural restorative environments on mental health: a systematic review.,2025,BMC public health
40631048,10.1093/beheco/araf070,Non-breeding European robins adjust their song in noisy environments.,2025,Behavioral ecology : official journal of the International Society for Behavioral Ecology
40623835,10.1523/eneuro.0154-25.2025,EEG Signatures of Auditory Distraction: Neural Responses to Spectral Novelty in Real-World Soundscapes.,2025,eNeuro
40526597,10.1371/journal.pone.0326201,The influences of urbanization on breeding behavior of American bullfrog (Aquarana catesbeiana) in South Korea.,2025,PloS one
40505974,10.1016/j.bbr.2025.115698,Evaluating alpha-synuclein proteinopathy and consequences for birdsong in zebra finch basal ganglia area X.,2025,Behavioural brain research
40396451,10.1111/1365-2656.70062,Experimental noise and light pollution alter prey detection in a nocturnal bird of prey.,2025,The Journal of animal ecology
40328125,10.1016/j.jenvman.2025.125475,"Pixels, chisels and contours - technical variations in European road traffic noise exposure maps.",2025,Journal of environmental management
40271353,10.3389/fpsyg.2025.1553296,How does urban blue space affect human well-being? A study based on the stimulus-organism-response theory.,2025,Frontiers in psychology
40161275,10.1177/15598276251329818,One Ring to Contain Them all: The Pivotal Role of the Built Environment in all Pillars of Lifestyle Medicine.,2025,American journal of lifestyle medicine
40119042,10.1038/s41370-025-00765-3,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area.,2026,Journal of exposure science & environmental epidemiology
40101622,10.1016/j.scitotenv.2025.179101,"Urban stressors: Interactive effects of noise, light regime and fluoxetine on zebrafish behavior.",2025,The Science of the total environment
39983325,10.1016/j.neurobiolaging.2025.02.002,Normative aging results in degradation of gene networks in a zebra finch basal ganglia nucleus dedicated to vocal behavior.,2025,Neurobiology of aging
39852396,10.3390/metabo15010054,Development of an Alternative Protocol to Study Muscle Fatigue.,2025,Metabolites
39619182,10.7717/peerj.18558,Divergent effects of short-term and continuous anthropogenic noise exposure on Western Bluebird parental care behavior.,2024,PeerJ
39220936,10.1016/j.heliyon.2024.e35564,Therapeutic use of music in neurological disorders: A concise narrative review.,2024,Heliyon
39069816,10.1242/bio.060535,Experimental playback of urban noise does not affect cognitive performance in captive Australian magpies.,2024,Biology open
38577518,10.1093/geroni/igad066,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project.,2024,Innovation in aging
38533008,10.1016/j.heliyon.2024.e27918,Crowdsourced cycling data applications to estimate noise pollution exposure during urban cycling.,2024,Heliyon
38396616,10.3390/ani14040646,Natural Patterns in the Dawn and Dusk Choruses of a Neotropical Songbird in Relation to an Urban Sound Environment.,2024,Animals : an open access journal from MDPI
38387546,10.1016/j.envpol.2024.123612,Urban environment during pregnancy and childhood and white matter microstructure in preadolescence in two European birth cohorts.,2024,"Environmental pollution (Barking, Essex : 1987)"
38382733,10.1016/j.envpol.2024.123559,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona.",2024,"Environmental pollution (Barking, Essex : 1987)"
38362267,10.1016/j.isci.2024.109056,Anthropogenic noise and habitat structure shaping dominant frequency of bird sounds along urban gradients.,2024,iScience
38341750,10.1121/10.0024763,Characterization of anthropogenic noise and oyster toadfish (Opsanus tau) calling behavior in urban and small-town coastal soundscapesa).,2024,The Journal of the Acoustical Society of America
38340360,10.1002/ajp.23606,Pied tamarins change their vocal behavior in response to noise levels in the largest city in the Amazon.,2024,American journal of primatology
38327353,10.3897/bdj.11.e97811,An acoustic detection dataset of birds (Aves) in montane forests using a deep learning approach.,2023,Biodiversity data journal
38254448,10.3390/ani14020279,"The Dog Soundscape: Recurrence, Emotional Impact, Acoustics, and Implications for Dog Observations and Dog-Human Interactions.",2024,Animals : an open access journal from MDPI
38227312,10.1001/jamanetworkopen.2023.51650,Nighttime Outdoor Artificial Light and Risk of Age-Related Macular Degeneration.,2024,JAMA network open
38124034,10.1186/s12862-023-02190-2,Consistent traffic noise impacts few fitness-related traits in a field cricket.,2023,BMC ecology and evolution
38109404,10.1121/10.0023933,Testing a computational model for aural detection of aircraft in ambient noise.,2023,The Journal of the Acoustical Society of America
38070201,10.1016/j.compbiomed.2023.107787,Optimal 2D audio features estimation for a lightweight application in mosquitoes species: Ecoacoustics detection and classification purposes.,2024,Computers in biology and medicine
38040180,10.1016/j.envres.2023.117788,"Impact of exposure to natural versus urban soundscapes on brain functional connectivity, BOLD entropy and behavior.",2024,Environmental research
37979210,10.1016/j.yhbeh.2023.105453,Noise and light pollution elicit endocrine responses in urban but not forest frogs.,2024,Hormones and behavior
37815078,10.4103/nah.nah_15_22,The Effect of Auditory Stimulation on the Nonlinear Dynamics of Heart Rate: The Impact of Emotional Valence and Arousal.,2023,Noise & health
37639836,10.1016/j.schres.2023.08.016,Associations between the urban environment and psychotic experiences in adolescents.,2023,Schizophrenia research
37584466,10.1121/10.0020725,Daytime boat sound does not affect the behavior of wild thorny oysters (Spondylus americanus): A field-based study.,2023,The Journal of the Acoustical Society of America
37564319,10.3389/fpsyg.2023.1186806,The effects of the natural visual-aural attributes of urban green spaces on human behavior and emotional response.,2023,Frontiers in psychology
37404704,10.1002/ece3.10259,A multidimensional framework to quantify the effects of urbanization on avian breeding fitness.,2023,Ecology and evolution
37336855,10.1007/s11356-023-28264-8,Statistical and spatio-temporal analyses of noise pollution level and its health impact.,2023,Environmental science and pollution research international
37169139,10.1016/j.envres.2023.116087,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria.",2023,Environmental research
36901231,10.3390/ijerph20054222,Building a City with Low Noise Pollution: Exploring the Mental Health Effect Thresholds of Spatiotemporal Environmental Noise Exposure and Urban Planning Solution.,2023,International journal of environmental research and public health
36796610,10.1016/j.envres.2023.115501,Unintended impacts of the Open Streets program on noise complaints in New York City.,2023,Environmental research
36767909,10.3390/ijerph20032549,The Association between Physical Environment and Externalising Problems in Typically Developing and Neurodiverse Children and Young People: A Narrative Review.,2023,International journal of environmental research and public health
36767121,10.3390/ijerph20031746,School-Based Interventions to Support Healthy Indoor and Outdoor Environments for Children: A Systematic Review.,2023,International journal of environmental research and public health
36761041,10.1177/14703572211052638,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with psychosis.,2023,Visual communication
36708827,10.1016/j.scitotenv.2023.161819,"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect mental wellbeing? Evidence from Shenzhen, China.",2023,The Science of the total environment
36643696,10.3389/fpsyg.2022.1038303,"The actual and ideal indoor soundscape for work, relaxation, physical and sexual activity at home: A case study during the COVID-19 lockdown in London.",2022,Frontiers in psychology
36560347,10.3390/s22249976,Urban DAS Data Processing and Its Preliminary Application to City Traffic Monitoring.,2022,"Sensors (Basel, Switzerland)"
36342002,10.1016/j.beproc.2022.104775,"Traffic noise affects foraging behavior and echolocation in the Lesser Bulldog Bat, Noctilio albiventris (Chiroptera: Noctilionidae).",2022,Behavioural processes
36258901,10.1007/s40726-022-00236-5,How the COVID-19 Pandemic Muted and Remixed the World's Acoustics for a While.,2022,Current pollution reports
36216037,10.1016/j.beproc.2022.104763,Does the sound environment influence the behaviour of zoo-housed birds? A preliminary investigation of ten species across two zoos.,2022,Behavioural processes
36180276,10.1016/j.jvoice.2022.08.026,Hoarseness Among Young Children in Day-Care Centers.,2025,Journal of voice : official journal of the Voice Foundation
36081042,10.3390/s22176585,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus.,2022,"Sensors (Basel, Switzerland)"
36078529,10.3390/ijerph191710820,"The Ancient Town Residential Environment of the Elderly in Xiangxi Tujia: Survey, Questions, and Recommendations.",2022,International journal of environmental research and public health
35991329,10.1098/rsos.220178,No evidence of repeated song divergence across multiple urban and non-urban populations of dark-eyed juncos (Junco hyemalis) in Southern California.,2022,Royal Society open science
35905597,10.1016/j.envint.2022.107427,Associations of private residential gardens versus other greenspace types with cardiovascular and respiratory disease mortality: Observational evidence from UK Biobank.,2022,Environment international
35872322,10.1016/j.envres.2022.113956,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary disease.,2022,Environmental research
35565120,10.3390/ijerph19095721,Perception of National Park Soundscape and Its Effects on Visual Aesthetics.,2022,International journal of environmental research and public health
35270506,10.3390/ijerph19052809,"Comparative Diagnosis of the Urban Noise Problem from Infrastructural and Social Sensing Approaches: A Case Study in Ningbo, China.",2022,International journal of environmental research and public health
35221451,10.1016/j.apm.2022.02.018,"There exists the ""smartest"" movement rate to control the epidemic rather than ""city lockdown"".",2022,Applied mathematical modelling
35112254,10.1007/s11356-021-17577-1,Vehicular traffic noise modelling of urban area-a contouring and artificial neural network based approach.,2022,Environmental science and pollution research international
34901259,10.3389/fsoc.2021.729453,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability.,2021,Frontiers in sociology
34859950,10.1111/obr.13385,The built environment as determinant of childhood obesity: A systematic literature review.,2022,Obesity reviews : an official journal of the International Association for the Study of Obesity
34843784,10.1016/j.scitotenv.2021.151986,The effect of natural and artificial light at night on nocturnal song in the diurnal willie wagtail.,2022,The Science of the total environment
34831530,10.3390/ijerph182211774,"Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Assessment: An Example from Antwerp, Belgium.",2021,International journal of environmental research and public health
34778190,10.3389/fpubh.2021.759444,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During the COVID-19 Pandemic in Southern China Megacities.,2021,Frontiers in public health
34625043,10.1186/s12889-021-11853-y,Road traffic noise and cognitive function in older adults: a cross-sectional investigation of The Irish Longitudinal Study on Ageing.,2021,BMC public health
34444020,10.3390/ijerph18168271,Cluster Analysis of Urban Acoustic Environments on Barcelona Sensor Network Data.,2021,International journal of environmental research and public health
34437849,10.1016/j.envres.2021.111925,Natural and built environments and blood pressure of Alpine schoolchildren.,2022,Environmental research
34375848,10.1016/j.envpol.2021.117898,Changes to an urban marina soundscape associated with COVID-19 lockdown in Guadeloupe.,2021,"Environmental pollution (Barking, Essex : 1987)"
34366558,10.1007/s10211-021-00378-7,Limited effects of traffic noise on behavioural responses to conspecific mating calls in the eastern sedge frog Litoria fallax.,2021,Acta ethologica
34241433,10.1121/10.0005131,Perception of the acoustic environment during COVID-19 lockdown in Argentina.,2021,The Journal of the Acoustical Society of America
34225681,10.1186/s12889-021-11368-6,Associations of changes in neighbourhood walkability with changes in walking activity in older adults: a fixed effects analysis.,2021,BMC public health
34144474,10.1016/j.envint.2021.106700,Urban environment and obesity and weight-related behaviours in primary school children.,2021,Environment international
34124755,10.1093/icb/icab131,What is Known-and not Known-About Acoustic Communication in an Urban Soundscape.,2021,Integrative and comparative biology
34087703,10.1016/j.apergo.2021.103436,"Psychological, psychophysiological and behavioural effects of participant-selected vs. researcher-selected music in simulated urban driving.",2021,Applied ergonomics
33865905,10.1016/j.appet.2021.105264,Sounds Healthy: Modelling sound-evoked consumer food choice through visual attention.,2021,Appetite
33841226,10.3389/fpsyg.2021.570741,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lockdown.,2021,Frontiers in psychology
33753555,10.1073/pnas.2013097118,A synthesis of health benefits of natural sounds and their distribution in national parks.,2021,Proceedings of the National Academy of Sciences of the United States of America
33666869,10.1007/s40572-021-00307-7,"Built Environment, Transport, and COVID-19: a Review.",2021,Current environmental health reports
33477051,10.1016/j.scitotenv.2020.144554,"Little parental response to anthropogenic noise in an urban songbird, but evidence for individual differences in sensitivity.",2021,The Science of the total environment
33435744,10.1080/07420528.2020.1862858,"Effects of prolonged night-time light exposure and traffic noise on the behavior and body temperature rhythmicity of the wild desert rodent, Gerbillus tarabuli.",2021,Chronobiology international
33379895,10.1121/10.0002866,Meta-modeling for urban noise mapping.,2020,The Journal of the Acoustical Society of America
33240684,10.7717/peerj.10417,Response of Bolivian gray titi monkeys (Plecturocebus donacophilus) to an anthropogenic noise gradient: behavioral and hormonal correlates.,2020,PeerJ
33208979,10.1016/j.anbehav.2020.10.007,Urban birdsongs: higher minimum song frequency of an urban colonist persists in a common garden experiment.,2020,Animal behaviour
33188758,10.1016/j.envres.2020.110456,"Allergic symptoms in association with naturalness, greenness, and greyness: A cross-sectional study in schoolchildren in the Alps.",2021,Environmental research
33185564,10.2196/24536,Parents' Perceptions of Their Children's Engagement in a Consumer-Based Meditation Mobile App: Cross-Sectional Survey Study.,2020,JMIR pediatrics and parenting
33003833,10.1121/10.0002008,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020.,2020,The Journal of the Acoustical Society of America
32972991,10.1126/science.abd5777,Singing in a silent spring: Birds respond to a half-century soundscape reversion during the COVID-19 shutdown.,2020,"Science (New York, N.Y.)"
32824855,10.3390/ijerph17166005,"Attitudes to Noise Inside Dwellings in Three Megacities: Seoul, London, and São Paulo.",2020,International journal of environmental research and public health
32803364,10.1007/s00248-020-01569-8,Effects of Urbanization and Landscape on Gut Microbiomes in White-Crowned Sparrows.,2021,Microbial ecology
37229295,10.14324/111.444/ucloe.000009,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,2020,UCL open. Environment
32503563,10.1186/s13002-020-00385-1,"Environmental interactions between people and birds in semiarid lands of the Zapotitlán Valley, Central Mexico.",2020,Journal of ethnobiology and ethnomedicine
32268523,10.3390/ijerph17072499,Effects of the Musical Sound Environment on Communicating Emotion.,2020,International journal of environmental research and public health
32230981,10.3390/ijerph17072271,Does the Presence of Birdsongs Improve Perceived Levels of Mental Restoration from Park Use? Experiments on Parkways of Harbin Sun Island in China.,2020,International journal of environmental research and public health
32062485,10.1016/j.envres.2020.109238,"Is a liveable city a healthy city? Health impacts of urban and transport planning in Vienna, Austria.",2020,Environmental research
32046231,10.3390/s20030903,Sound Levels Forecasting in an Acoustic Sensor Network Using a Deep Neural Network.,2020,"Sensors (Basel, Switzerland)"
31864000,10.1016/j.scitotenv.2019.135403,Gaps in terrestrial soundscape research: It's time to focus on tropical wildlife.,2020,The Science of the total environment
31753564,10.1016/j.marpolbul.2019.110731,Baseline assessment of underwater noise in the Ria Formosa.,2020,Marine pollution bulletin
31592148,10.7717/peerj.7711,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons.,2019,PeerJ
31533798,10.1186/s12898-019-0255-7,Habitat-related differences in song structure and complexity in a songbird with a large repertoire.,2019,BMC ecology
31528349,10.1093/conphys/coz061,"Effects of traffic noise exposure on corticosterone, glutathione and tonic immobility in chicks of a precocial bird.",2019,Conservation physiology
31515043,10.1016/j.envint.2019.105132,Changing the urban design of cities for health: The superblock model.,2020,Environment international
31137845,10.3390/ijerph16101865,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention.,2019,International journal of environmental research and public health
30840211,10.1186/s13561-019-0226-x,Neighborhood characteristics as determinants of healthcare utilization - a theoretical model.,2019,Health economics review
30516173,10.4103/nah.nah_9_18,Negative impact of noise and noise sensitivity on mental health in childhood.,2018,Noise & health
30210414,10.3389/fpsyg.2018.01593,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-Based Study.,2018,Frontiers in psychology
33828691,10.16910/jemr.11.2.8,Eye movements in scene perception while listening to slow and fast music.,2018,Journal of eye movement research
29940479,10.1016/j.envres.2018.06.031,Pathways linking residential noise and air pollution to mental ill-health in young adults.,2018,Environmental research
29890427,10.1016/j.envres.2018.06.004,Multiple pathways link urban green- and bluespace to mental health in young adults.,2018,Environmental research
29755390,10.3389/fpsyg.2018.00596,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces.,2018,Frontiers in psychology
29661990,10.3390/ijerph15040752,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed.,2018,International journal of environmental research and public health
28976899,10.1515/folmed-2017-0045,Community Noise Exposure and its Effect on Blood Pressure and Renal Function in Patients with Hypertension and Cardiovascular Disease.,2017,Folia medica
28961469,10.1016/j.envres.2017.09.015,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions.,2018,Environmental research
28917129,10.1016/j.envint.2017.09.009,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators.",2017,Environment international
28854253,10.1371/journal.pone.0183342,Effects of traffic noise on the calling behavior of two Neotropical hylid frogs.,2017,PloS one
28794216,10.1098/rspb.2017.0602,Higher songs of city birds may not be an individual response to noise.,2017,Proceedings. Biological sciences
28783021,10.1016/j.jenvman.2017.07.041,Acoustic environments matter: Synergistic benefits to humans and ecological communities.,2017,Journal of environmental management
28778040,10.1016/j.envint.2017.07.020,Health impacts related to urban and transport planning: A burden of disease assessment.,2017,Environment international
28690825,10.1002/ece3.3037,White-crowned sparrow males show immediate flexibility in song amplitude but not in song minimum frequency in response to changes in noise levels in the field.,2017,Ecology and evolution
28070300,10.1002/ece3.2608,A before-after control-impact assessment to understand the potential impacts of highway construction noise and activity on an endangered songbird.,2017,Ecology and evolution
28007416,10.1016/j.scitotenv.2016.12.061,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape.,2017,The Science of the total environment
27810192,10.1016/j.sleep.2016.08.007,Self-reported exposure to traffic pollution in relation to daytime sleepiness and habitual snoring: a questionnaire study in seven North-European cities.,2016,Sleep medicine
27708480,10.1111/mam.12072,Roads and bats: a meta-analysis and review of the evidence on vehicle collisions and barrier effects.,2016,Mammal review
27602270,10.7717/peerj.2287,Experimental exposure to urban and pink noise affects brain development and song learning in zebra finches (Taenopygia guttata).,2016,PeerJ
27572540,10.1016/j.scitotenv.2016.08.130,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces.,2016,The Science of the total environment
27493778,10.1098/rsos.160231,"Anthropogenic noise, but not artificial light levels predicts song behaviour in an equatorial bird.",2016,Royal Society open science
27467503,10.1371/journal.pone.0159883,Uncovering Spatial Variation in Acoustic Environments Using Sound Mapping.,2016,PloS one
27358372,10.1098/rspb.2016.1058,Learning to cope: vocal adjustment to urban noise is correlated with prior experience in black-capped chickadees.,2016,Proceedings. Biological sciences
27346385,10.1289/ehp220,Urban and Transport Planning Related Exposures and Mortality: A Health Impact Assessment for Cities.,2017,Environmental health perspectives
27268468,10.1016/j.beproc.2016.06.002,Low frequency dove coos vary across noise gradients in an urbanized environment.,2016,Behavioural processes
27215574,10.1007/s10071-016-0999-9,"Coping with a changing soundscape: avoidance, adjustments and adaptations.",2017,Animal cognition
27128443,10.1371/journal.pone.0154456,Patterns of Song across Natural and Anthropogenic Soundscapes Suggest That White-Crowned Sparrows Minimize Acoustic Masking and Maximize Signal Content.,2016,PloS one
26894815,10.1016/j.envres.2016.02.010,"Long term effects of traffic noise on mortality in the city of Barcelona, 2004-2007.",2016,Environmental research
26723302,10.1121/1.4936904,Airgun inter-pulse noise field during a seismic survey in an Arctic ultra shallow marine environment.,2015,The Journal of the Acoustical Society of America
26686316,10.1016/j.ygcen.2015.12.007,No evidence for an effect of traffic noise on the development of the corticosterone stress response in an urban exploiter.,2016,General and comparative endocrinology
32288595,10.1016/j.trd.2015.09.007,"On the electrification of road transportation - A review of the environmental, economic, and social performance of electric two-wheelers.",2015,"Transportation research. Part D, Transport and environment"
26398707,10.1159/000437346,"Active Listening in a Bat Cocktail Party: Adaptive Echolocation and Flight Behaviors of Big Brown Bats, Eptesicus fuscus, Foraging in a Cluttered Acoustic Environment.",2015,"Brain, behavior and evolution"
26349453,10.1002/jez.1965,Traffic noise affects embryo mortality and nestling growth rates in captive zebra finches.,2015,"Journal of experimental zoology. Part A, Ecological genetics and physiology"
26328707,10.1121/1.4927033,Presence of 1/f noise in the temporal structure of psychoacoustic parameters of natural and urban sounds.,2015,The Journal of the Acoustical Society of America
26177149,10.1016/j.envint.2015.07.001,Using city-wide mobile noise assessments to estimate bicycle trip annual exposure to Black Carbon.,2015,Environment international
25988003,10.1186/s40201-015-0187-x,Study of physio-psychological effects on traffic wardens due to traffic noise pollution; exposure-effect relation.,2015,Journal of environmental health science & engineering
25924669,10.1186/s12889-015-1788-0,Cross-sectional associations between residential environmental exposures and cardiovascular diseases.,2015,BMC public health
25888945,10.1186/s12940-015-0006-y,Street-level noise in an urban setting: assessment and contribution to personal exposure.,2015,Environmental health : a global access science source
25616226,10.1016/j.scitotenv.2015.01.036,Assessment of ultrafine particles and noise measurements using fuzzy logic and data mining techniques.,2015,The Science of the total environment
25454773,10.1016/j.beproc.2014.10.002,Timing vocal behavior: lack of temporal overlap avoidance to fluctuating noise levels in singing Eurasian wrens.,2014,Behavioural processes
25426158,10.1186/s12983-014-0083-8,Song characteristics track bill morphology along a gradient of urbanization in house finches (Haemorhous mexicanus).,2014,Frontiers in zoology
25031238,10.1093/brain/awu191,Encoding of sequence boundaries in the subthalamic nucleus of patients with Parkinson's disease.,2014,Brain : a journal of neurology
24607392,10.1016/j.beproc.2014.02.015,White-throated sparrows alter songs differentially in response to chorusing anurans and other background noise.,2014,Behavioural processes
24377564,10.7314/apjcp.2013.14.11.6537,Perspectives of medical oncologists regarding music therapy for patients with cancer in Turkey - can musicology be integrated into psycho-oncology?,2014,Asian Pacific journal of cancer prevention : APJCP
24021398,10.1086/671906,Predicting the effect of urban noise on the active space of avian vocal signals.,2013,The American naturalist
23986811,10.4161/cib.24753,Potential effects of anthropogenic noise on echolocation behavior in horseshoe bats.,2013,Communicative & integrative biology
23940759,10.1371/journal.pone.0071476,Sleepless in town--drivers of the temporal shift in dawn song in urban European blackbirds.,2013,PloS one
23567167,10.1016/j.scitotenv.2013.03.038,Landscape effects on soundscape experience in city parks.,2013,The Science of the total environment
23338560,10.1007/s00359-012-0789-z,Why longer song elements are easier to detect: threshold level-duration functions in the Great Tit and comparison with human data.,2013,"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology"
23336003,10.1371/journal.pone.0054497,Influence of social and behavioural characteristics of users on their evaluation of subjective loudness and acoustic comfort in shopping malls.,2013,PloS one
23303546,10.1098/rspb.2012.2798,Bird song and anthropogenic noise: vocal constraints may explain why birds sing higher-frequency songs in cities.,2013,Proceedings. Biological sciences
23032272,10.1016/j.jphysparis.2012.09.002,Social modulation of learned behavior by dopamine in the basal ganglia: insights from songbirds.,2013,"Journal of physiology, Paris"
32952202,10.1016/j.anbehav.2011.07.018,On the relation between loudness and the increased song frequency of urban birds.,2011,Animal behaviour
21876157,10.1073/pnas.1109091108,Low-frequency songs lose their potency in noisy urban conditions.,2011,Proceedings of the National Academy of Sciences of the United States of America
21717861,,Traffic noise affects forest bird species in a protected tropical forest.,2011,Revista de biologia tropical
21139867,10.3390/ijerph7113890,Effects of changed aircraft noise exposure on the use of outdoor recreational areas.,2010,International journal of environmental research and public health
20492038,10.1111/j.1365-2702.2009.02801.x,The effect of a music programme during lunchtime on the problem behaviour of the older residents with dementia at an institution in Taiwan.,2010,Journal of clinical nursing
20119488,10.1007/s00265-009-0857-8,Habitat-related birdsong divergence: a multi-level study on the influence of territory density and ambient noise in European blackbirds.,2010,Behavioral ecology and sociobiology
19739730,10.1121/1.3183377,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach.,2009,The Journal of the Acoustical Society of America
19589452,10.1016/j.amepre.2009.03.019,Real noise from the urban environment: how ambient community noise affects health and what can be done about it.,2009,American journal of preventive medicine
19493902,10.1098/rspb.2009.0586,Effects of urban noise on song and response behaviour in great tits.,2009,Proceedings. Biological sciences
21547711,10.1007/s11689-009-9019-6,The pathophysiology of restricted repetitive behavior.,2009,Journal of neurodevelopmental disorders
