batch,id,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
nft_09,1218,other,Morning leisure activities (LA) count,Multiple linear regression on management sounds (MS) and interactions with rest (S3) and recreational (S2) facilities,regression,"(R2 = 0.456, adj R2 = 0.421) S3*MS B −2.006, Std. Error 0.384, Beta −1.023, T −5.226, Sig. 0; MS −0.487, 0.2, −0.487, −2.437, 0.019; S2*MS 0.539, 0.229, 0.266, 2.353, 0.023",27 monitoring points × hourly scans within 4 periods over 4 days (daily average 2036 visitors); n per correlation/model NR,"Table 3 (Leisure activities, Morning)",management sounds amplified the positive effect of recreational facilities,NO
nft_09,1218,other,Morning middle-aged adult visitor count,"Multiple linear regression on pavement (J1), rest facilities (S3) and S3*RS (recreational sounds)",regression,"(R2 = 0.299, adj R2 = 0.255) S3*RS B 0.319, Std. Error 0.139, Beta 0.287, T 2.293, Sig. 0.026; S3 0.047, 0.019, 0.309, 2.461, 0.017; J1 0.023, 0.013, 0.235, 1.815, 0.076",27 monitoring points × hourly scans within 4 periods over 4 days (daily average 2036 visitors); n per correlation/model NR,"Table 4 (Middle-aged adults, Morning)",recreational sounds further strengthened the positive effect of resting facilities,NO
nft_10,1305,correlation,Self-reported green exercise activity under precipitation,Rated importance of natural sounds (5-point Likert) vs green exercise activity under precipitation (Spearman rho),correlation,0.151** (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5),this tendency was also only evident in the conditions of precipitation and cold,YES
nft_10,1305,correlation,Self-reported green exercise activity under cold,Rated importance of natural sounds (5-point Likert) vs green exercise activity under cold (Spearman rho),correlation,0.170** (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5),this tendency was also only evident in the conditions of precipitation and cold,YES
nft_10,1305,correlation,Self-reported green exercise activity under strong wind,Rated importance of natural sounds (5-point Likert) vs green exercise activity under strong wind (Spearman rho),correlation,0.076 (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5),Spearman correlation between natural elements and activity during different meteorological conditions,YES
nft_10,1305,correlation,Self-reported green exercise activity under heat,Rated importance of natural sounds (5-point Likert) vs green exercise activity under heat (Spearman rho),correlation,0.051 (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5),Spearman correlation between natural elements and activity during different meteorological conditions,YES
nft_10,1305,correlation,Self-reported green exercise activity under sun radiation,Rated importance of natural sounds (5-point Likert) vs green exercise activity under sun radiation (Spearman rho),correlation,0.034 (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5),Spearman correlation between natural elements and activity during different meteorological conditions,YES
nft_11,CT0223,other,"Satisfaction with listening to nature sounds at the site (A10, 5-point ordinal)","Planned duration of current visit: 1–2 h, 2–5 h and more than 5 h vs less than an hour (multivariable ordered logit also including age, nationality, gender, visiting history, site-quality satisfaction, perceived appearance/crowdedness/infrastructure and facility use)",OR,1–2 h 0.11 (OR 1.1); 2–5 h 0.42 (OR 1.5); More than 5 h 1.35** (OR 3.9) [coefficients; ** significant at 0.05 level; SE/CI not reported],A10 model n = 528 respondents (802 surveyed across 4 pooled sites); n per duration category NR,Table 5 [page 5]; §4.2 [page 5],"Longer visit durations, as a general trend, led to higher satisfaction with all nature observation activities",NO
nft_11,CT0223,other,"Satisfaction with listening to nature sounds at the site (A10, 5-point ordinal)","Use of nature trails or boardwalks (yes vs no) and reading information boards (yes vs no), same multivariable ordered logit",OR,Reading infoboards 0.06 (OR 1.1); Going to nature trails or boardwalks −0.09 (OR 0.9) [not significant; SE/CI not reported]; birdtower use effect 'insignificant' in 3-site model,"A10 model n = 528 respondents; overall users 60% nature trail/boardwalk, 51% information boards, 49% birdwatching tower (§3.2); n per group within model NR",Table 5 and note [page 5]; §4.2 [page 6],visiting nature trails or boardwalks or visiting the birdtower did not affect the satisfaction with the three nature observation activities,NO
nft_14,104,correlation,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson/Spearman correlation between B5 frequency of coming to the site (1 first time to 5 every day) and sound level evaluation, per site",correlation,"B5 by site: 1 0.05; 2 0.08; 3 0.00; 4 -0.10**; 5 -0.11**; 6 0.10**; 7 0.15**; 8 0.01; 9 -0.07*; 10 0.00; 11 -0.06; 12 -0.00; 13 -0.00; 14 -0.04; 15 -0.10; 16 -0.01; 17 0.13; 18 0.05; 19 -0.05 (% of Sig. 26.3; Ratio 5/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR",Table III (behavioral factors); Table I; section II.C,frequency of coming to the site (B5) ... should be considered for the sound level evaluation,YES
nft_14,104,correlation,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson/Spearman correlation between B7 grouping (0 none, 1 with 1 person, 2 with more than 1 person) and sound level evaluation, per site",correlation,"B7 by site: 1 0.01; 2 0.03; 3 0.07; 4 0.12**; 5 -0.03; 6 -0.02; 7 -0.04; 8 0.10*; 9 0.00; 10 -0.09**; 11 0.03; 12 -0.05; 13 0.06; 14 0.10*; 15 0.09; 16 -0.10; 17 0.00; 18 0.11; 19 -0.04 (% of Sig. 21.1; Ratio 4/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR",Table III (behavioral factors); Table I; section II.C,"B7 grouping: whether accompanied, is very limited",YES
nft_14,104,correlation,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson/Spearman correlation between B4 movement status (1 sitting, 2 standing, 3 playing with kids, 4 sporting) and sound level evaluation, per site",correlation,"B4 by site: 1 -0.01; 2 -0.10*; 3 0.05; 4 0.06; 5 0.03; 6 -0.03; 7 0.02; 8 -0.12**; 9 -0.04; 10 0.00; 11 0.05; 12 0.06; 13 -0.03; 14 0.02; 15 -0.04; 16 -0.06; 17 -0.05; 18 -0.05; 19 0.00 (% of Sig. 10.5; Ratio 2/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측] [메모: B4 는 명목 범주 코드인데 상관으로 분석됨]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR",Table III (behavioral factors); Table I; section II.C,Pearson/Spearman correlations (two-tailed) for factors with 3+ scales,YES
nft_14,104,other,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Mean difference (two-tailed t-test) in sound level evaluation between the two categories of B1 wearing earphones, B2 reading or writing and B3 watching somewhere, per site; direction of subtraction NR",other,"B1 by site: 1 0.02; 6 0.26; 9 -0.07; 10 0.38; others - (0/4). B2: 1 -0.05; 2 -0.02; 3 0.25; 4 0.12; 5 0.23; 6 0.26*; 7 -0.16; 8 0.30; 9 -0.21; 10 0.07; 11 0.15; 12 0.22; 13 -0.20; 14 0.46**; 15 0.15; 16 -0.35; 17 -0.33; 18 0.16; 19 0.20 (2/19). B3: 1 0.07; 2 0.08; 3 0.13*; 4 0.30**; 5 -0.31**; 6 0.12; 7 -0.18*; 8 0.05; 9 0.01; 10 0.00; 11 0.20*; 12 0.48**; 13 0.21; 14 -0.49**; 15 -0.08; 16 0.54; 17 0.23; 18 0.14; 19 -0.09 (7/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR; group sizes for each binary item NR",Table III (behavioral factors); section II.C,whether watching somewhere (B3) ... should be considered for the sound level evaluation,NO
nft_14,104,other,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson chi-square test of B6 reason for coming to the site (5 categories) by sound level evaluation, per site; only significance level reported",other,B6 significance level by site: 1 0.44; 2 0.01*; 3 0.06; 4 0.00**; 5 0.37; 6 0.01**; 7 0.02*; 8 0.04*; 9 0.78; 10 0.55; 11 0.00**; 12 0.01**; 13 0.76; 14 0.83; 15 0.40; 16 0.10; 17 -; 18 -; 19 - (% of Sig. 43.8; Ratio 7/16),"Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR; chi-square statistic, df and cell counts NR",Table III (behavioral factors); section II.C,"B6, where Pearson chi-square is used and the level of significance is shown",NO
nft_14,499,correlation,Self-reported visitation frequency to the park,Spearman correlation between visitation frequency and preference score (5-point) for each of 12 sound elements,correlation,Visitation frequency: V1 0.263*; V2 0.110; V3 0.300**; V4 0.278*; V5 0.017; V6 -0.060; V7 -0.276*; V8 -0.045; V9 -0.096; V10 0.136; V11 -0.179; V12 -0.071 (V1 Bird chirping; V2 Frog and insect chirping; V3 Leaves rustling in the wind; V4 Brook babbling; V5 Artistic conception of sculpture; V6 Talking; V7 Children frolicking; V8 Singing and dancing; V9 Peddling; V10 Broadcast; V11 Traffic noise; V12 Constructing),1260 interviewees in total (section 2.2); n used for the Spearman correlations NR [메모: n=1260 이면 0.110 도 p<0.001 이어야 하므로 유의 표기와 맞지 않음 - 실제 분석 단위·n 불명],Table 3; section 3.2,The nature soundscape preference was positively associated with visitor age and visitation frequency,NO
nft_16,1172,other,"Self-reported environmentally responsible behaviours (ER1-ER4, 5-point Likert latent variable)","SEM standardized direct paths from natural (NS), artificial (AS), mechanical (MS) and canal cultural (CCS) soundscape perception to ER, with place attachment as mediator",regression,"HA1 NS->ER 0.235, S.E 0.077, CR 3.063, p 0.002; HA2 AS->ER 0.120, 0.065, 1.833, 0.067; HA3 MS->ER -0.067, 0.053, -1.258, 0.208; HA4 CCS->ER 0.252, 0.066, 3.835, ***; total effects (Table 9) NS 0.351, AS 0.277, MS -0.130, CCS 0.282",172 expert participants (valid questionnaires); each rated all 16 sound sources (within-subject exposure),Table 8; Table 9; Results section,canal cultural soundscapes had the strongest promotional effect on environmentally responsible behaviors,NO
nft_16,1172,other,"Self-reported heritage conservation behaviours (HP1-HP4, 5-point Likert latent variable)","SEM standardized direct paths from natural (NS), artificial (AS), mechanical (MS) and canal cultural (CCS) soundscape perception to HP, with place attachment as mediator",regression,"HB1 NS->HP 0.263, S.E 0.064, CR 4.144, ***; HB2 AS->HP 0.181, 0.052, 3.455, ***; HB3 MS->HP -0.068, 0.040, -1.690, 0.091; HB4 CCS->HP 0.208, 0.052, 4.019, ***; total effects (Table 9) NS 0.263**, AS 0.255**, MS -0.096**, CCS 0.208**",172 expert participants (valid questionnaires); each rated all 16 sound sources (within-subject exposure),Table 8; Table 9; Results section,natural soundscapes exert the strongest positive influence on heritage conservation behaviors,NO
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 1 (Germany Kassel, Bahnhofsplatz): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.01/0.81 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",418 interviewees at site 1 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 2 (Germany Kassel, Florentiner): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.10/0.04 * (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",406 interviewees at site 2 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 3 (Greece Athens, Karaiskaki): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.05/0.24 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",655 interviewees at site 3 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 4 (Greece Athens, Seashore): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.06/0.06 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",848 interviewees at site 4 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 5 (Greece Thessaloniki, Kritis): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.03/0.41 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",777 interviewees at site 5 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 6 (Greece Thessaloniki, Makedonomahon): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.03/0.29 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",1037 interviewees at site 6 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 7 (Italy Milan, IV Novembre): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.02/0.57 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",574 interviewees at site 7 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 8 (Italy Milan, Piazza Petazzi): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.12/0.00** (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",599 interviewees at site 8 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 9 (Switzerland Fribourg, Jardin de Perolles): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.04/0.24 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",888 interviewees at site 9 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 10 (Switzerland Fribourg, Place de la Gare): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.00/0.90 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",1041 interviewees at site 10 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 11 (UK Cambridge, All Saint's Garden): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.05/0.31 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",459 interviewees at site 11 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 12 (UK Cambridge, Silver Street): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.06/0.18 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",489 interviewees at site 12 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 13 (UK Sheffield, Barkers Pool): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.03/0.50 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",499 interviewees at site 13 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 14 (UK Sheffield, Peace Gardens): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.02/0.70 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",510 interviewees at site 14 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 15 (China Beijing, Chang Chun Yuan Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.04/0.53 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",307 interviewees at site 15 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
