no,verdict,direction,reason
1292,EX4,na,가로망 구성과 교통소음 GAM; 행태 아웃컴 없음
1293,EX1,na,chiffchaff 간섭소음 회피 발성
1294,EX2,na,초등학교 환경노출과 아동 건강·발달
1295,EX1,na,European robin 노래 특성 도시화
1296,EX3,na,3D 경관과 열·정서 반응; 음환경 변수 없음
1297,EX2,na,온라인 가상방문 분위기; 실제 공공공간 아님
1298,EX1,na,도시화와 동물 사회행동 리뷰
1299,EX2,na,라이브커머스 충동구매; 옥외 공공공간 아님
1300,EX1,na,oyster toadfish 선박소음 발성
1301,EX1,na,도시공원 house sparrow 개체수
1302,EX2,na,병적 음성 평가 임상·기술 연구
1303,EX5,na,교차로 교통소음 종합 리뷰
1304,EX1,na,Trichonephila 거미 심박 스트레스
1305,BORDERLINE,forward,녹지 운동 선호·WTP 중심; 자연음 요소 포함
1306,INCLUDE,forward,가로 시청각환경(자연음·소음)과 자전거 통행량 관계
1307,EX4,na,재활용 복합패널 차음 성능; 인간 행태 없음
1308,EX5,na,청녹지 정온성·소음저감 문헌 리뷰
1309,EX1,na,도시 소음·빛과 박쥐 먹이활동
1310,EX1,na,회색다람쥐 도로소음 위험지각
1311,EX1,na,Austral Thrush 영역 노래 도시소음
1312,EX1,na,도시화와 조류 발성 일주 타이밍
1313,EX1,na,도시화 관련 참새목 발성 변이
1314,EX1,na,식생구조와 산림 soundscape 생물음향
1315,BORDERLINE,forward,고령자 보행 장애요인에 소음 객관지표 포함
1316,EX3,na,전기차 선택 컨조인트; 음환경 변수 없음
