no,verdict,direction,reason
469,INCLUDE,forward,관광지 사운드스케이프 정서↔친환경 행동
470,EX4,na,교통수단별 소음·대기 노출량 측정·행태 아웃컴 없음
471,EX4,na,음악 청취 중 장면 시선추적·목록상 행태 아님
472,EX1,na,검은눈방울새 암컷 노래·동물 연구
473,EX4,na,주거 녹지↔혈압·행태 아웃컴 없음
474,EX1,na,위버새 서식지 이용·영소행동·동물
475,EX4,na,VR 가로설계 사운드스케이프·장소 선호 지각만
476,EX1,na,혹등고래 발성 조정·동물 연구
477,EX2,na,학교 실내 교통소음 영향 평가
478,EX2,na,대학 도서관 실내공간 만족도
479,EX2,na,매장 실내 고객경험·감정
480,INCLUDE,reverse,보행상업가로 군중밀도·대화자수가 음환경 형성
481,INCLUDE,forward,도시광장 음악이 통행·배회·착석 행태 변화
482,EX4,na,교통소음 노출 심박변이도 생리반응만
483,EX4,na,교통소음↔비만 지표·행태 아웃컴 없음
484,BORDERLINE,forward,녹지·수변↔정신건강 모형에 소음·신체활동 매개 포함
485,BORDERLINE,forward,주거 소음↔아동 문제행동 CBCL·세팅 주거지
486,EX1,na,사바나참새 노래 조정 효과·동물
487,EX1,na,올빼미 출현확률과 소음·동물
488,EX1,na,사바나참새 경보 반응 방해·동물
489,BORDERLINE,forward,주거 소음↔정신건강 경로에 신체활동 명시 포함
490,EX1,na,보호구역 자연 사운드스케이프·생물다양성 보전
491,EX4,na,자연공원 트레일 선호 DCE 진술선호만
492,INCLUDE,both,암스테르담 공공공간 활동과 사운드스케이프 평가·행태 매핑
493,EX4,na,객관·주관 환경 대응 annoyance 지각만
494,INCLUDE,forward,도시녹지 소음 지각·만족과 이용 유형 관계
495,EX4,na,녹지가 소음↔정신건강 조절·행태 아웃컴 없음
496,EX1,na,홍관조 노래 신호 정보·동물
497,EX1,na,까치울새 도시·농촌 노래변이·동물
498,EX4,na,도시공원 사운드스케이프↔방문 만족 지각만
499,BORDERLINE,both,공원 식재 사운드스케이프에 인간활동 영향·방문빈도 상관
500,EX4,na,녹지 가용성↔주관적 소음노출 지각만
501,EX1,na,암컷 무미류 주음성 실험·동물
502,EX1,na,도시 조류 생존율·체상태·동물
503,EX2,na,그림책 부모-자녀 읽기·옥외 공공공간 아님
504,EX4,na,도시 소음 시공간 측정·인식 조사·행태 없음
505,EX2,na,DBS 환자 임상 EEG 청각 ERP
506,EX1,na,참새목 mobbing call 음향구조·동물
507,EX1,na,멕시코 조류 노래 조정·동물
508,EX5,na,교통조건별 소음 몬테카를로 시뮬레이션
509,BORDERLINE,forward,Tranquillity Trail 설계·이용 촉진·이용자 피드백 확인
510,EX1,na,해양포유류 통신 마스킹 모델·동물
511,EX4,na,주거 녹지↔비만 지표·행태 아웃컴 없음
512,BORDERLINE,forward,녹지↔정신건강 모형에 소음 annoyance·신체활동 매개
513,EX1,na,도시 참새 소음 하 공격성·동물
514,EX1,na,흰쥐 학습·기억·불안 행동·동물
515,EX1,na,병코돌고래 휘슬 주파수 조정·동물
516,EX3,na,도시 쥐 경험 질적연구·음환경 변수 아님
517,EX2,na,캠퍼스 기숙 실내 수면의 질 면접
518,EX1,na,유럽솔새 항공기소음 노래·공격성·동물
519,EX3,na,오존 노출↔청소년 우울·음환경 변수 없음
520,INCLUDE,reverse,공원 이용자 활동이 청각환경 기술 방식에 영향
521,EX1,na,박새 도시소음 노래 음고 상승·동물
522,EX5,na,항공기 추적 기술 공원계획 적용·행태 분석 없음
523,EX5,na,음향 장면 분류 알고리즘·행태 분석 없음
524,EX5,na,환경↔뇌활동·기분 체계적 문헌고찰
525,EX1,na,카리브해 사운드스케이프·혹등고래 모니터링
526,EX4,na,환경별 아이스크림 풍미·정서·생리 측정만
527,EX1,na,Noisy miner 울음 조정 여부·동물
528,EX1,na,박쥐 교통소음 반응 실험·동물
