no,verdict,direction,reason
646,EX4,na,bazaar 감각 지각 질적 평가만
647,EX4,na,배달원 노출량 GIS 평가·행태 없음
648,BORDERLINE,reverse,주민 활동 시간대가 정원 soundscape 변화와 연관
649,EX4,na,공항건설 영향 주민 지각만 측정
650,EX1,na,titi monkey 소음 구배 반응
651,EX5,na,헤드폰 청취 문화 인문 논고
652,EX1,na,COVID 소음감소와 조류 노래
653,EX1,na,house sparrow 온실 노래·반응
654,EX1,na,house wren 노래 조정·소음
655,EX4,na,소음 짜증·청력손실만 측정
656,EX5,na,LSTM 소음예측 방법론
657,EX5,na,공원복원 자연실험 study protocol
658,EX3,na,도로먼지 측정 연구·음환경 변수 없음
659,EX1,na,white-crowned sparrow 세력권 질
660,EX2,na,실내 실험실 음악-음식선택 실험
