no,verdict,direction,reason
736,EX5,na,"저비용 음향센서망 사운드맵 시스템 논문"
737,EX1,na,"plainfin midshipman 발성의 Lombard 효과"
738,EX1,na,"혹등고래 합창과 개체수·밀도 관계"
739,EX5,na,"건조환경-정신웰빙 문헌계량·메타분석"
740,EX1,na,"도시 조류 노래에 대한 생물·비생물 소음 영향"
741,EX4,na,"이동경로 환경노출과 우울증상 건강 아웃컴"
742,EX2,na,"파킨슨 재활 실내 음악치료 프로그램"
743,EX1,na,"자연 소음과 명금류 영역방어 행동"
744,INCLUDE,forward,"배경음악 템포가 보행 속도·정지 등 군중동태에 영향"
745,EX4,na,"봉쇄기 음환경 지각 설문만 측정"
746,INCLUDE,forward,"교통소음 등 환경요소가 보행 경험·통행행태 저해"
747,EX1,na,"플랑크톤 포식자-피식자 개체군 확률모형"
748,EX5,na,"지붕 덮인 상업가로 소음 시뮬레이션 예측"
749,EX3,na,"세균 포식 수리모델, white noise는 확률항"
750,EX2,na,"헬스장 실내 음악 서비스 AmI 시스템"
751,EX2,na,"모의 도시운전 중 음악 효과, 차량 내부"
752,EX2,na,"참가자 선택 음악과 모의운전, 차량 내부"
753,EX1,na,"LED 가로등 전환과 도시 야생동물 반응"
754,EX4,na,"교통소음과 노인 인지기능 아웃컴"
755,EX1,na,"잎솔새 노래 특성의 계절·사회·소음 영향"
756,EX1,na,"개구리 발성 장소 선택과 미소서식지"
757,EX5,na,"사운드스케이프 크라우드소싱 MoJo 모델 방법론"
758,EX1,na,"대서양림 조류 음향 니치 분할"
759,EX2,na,"실험실 아이트래킹 음악-음식선택, 실내"
760,INCLUDE,forward,"soundwalk 인터뷰·행태관찰로 역사도시공간 음환경 평가"
761,INCLUDE,reverse,"동반·이용유형·체류시간 등 행태가 사운드스케이프 지각 좌우"
762,BORDERLINE,reverse,"봉쇄기 근린 음환경 변화, 인간활동 기여 직접측정 불명"
763,EX1,na,"산호초 수중 사운드스케이프와 어류 코러스"
764,EX1,na,"도시 귀뚜라미 울음 음향군집"
765,EX1,na,"동물 음향신호의 소음 반응 메타분석"
766,EX4,na,"공원 식생의 소음 감쇠 측정, 인간 행태 없음"
767,EX1,na,"선박소음 저감 조치와 범고래 서식지"
768,EX1,na,"해양 수동음향 데이터 관리·사운드 비교"
769,EX5,na,"15-16세기 규범문헌 담론분석, 실증 행태 없음"
770,INCLUDE,forward,"주거지 음환경 등 환경질과 노인 옥외활동 특성"
771,EX4,na,"지각된 음향·미관 품질과 옥외 열쾌적 지각"
772,BORDERLINE,reverse,"모스크 공공공간 언어경관, aural behaviour·활동 군집"
773,EX1,na,"이집트기러기 울음 레퍼토리 복잡성"
774,EX4,na,"보호구역 방문객 소리 우세도·수용도 지각 지표"
775,EX1,na,"교통소음과 도시 개구리 울음 음높이"
776,EX3,na,"대학생 야외 여가·자연 웰빙, 음환경 변수 없음"
777,EX1,na,"bananaquit 노래 대역폭의 도시 소음 영향"
778,EX1,na,"주중·주말 인간활동 주기와 새 행동 비교"
779,INCLUDE,forward,"교통소음 포함 도시노출과 아동 신체활동·좌식행태"
780,EX1,na,"도시화 수준과 vermilion flycatcher 새벽합창"
781,EX1,na,"교통소음에 대한 little bustard 발성 반응"
782,EX2,na,"파킨슨 음성 CPP 평가, 임상 과제·주변소음"
783,EX1,na,"교통소음과 great tit 수면 행동"
784,EX1,na,"도시·농촌 house wren 노래 구조 변이"
785,EX1,na,"식생구조와 산림 음향군집 생물음"
786,EX5,na,"역세권 보행친화도 평가 방법론, 행태 분석 없음"
787,EX5,na,"웨어러블 환경노출 센서 문헌 리뷰"
788,EX1,na,"도시 소음과 조류 음향통신 종합 리뷰"
789,EX4,na,"반딧불 축제 방문동기·혼잡 지각만 측정"
790,EX2,na,"운전자 차량추종 모델, 차량 내부 세팅"
791,BORDERLINE,reverse,"캠퍼스 보행자 추적과 소음 수준 동시 분석"
792,EX5,na,"ANC 헤드폰 신경모방 알고리즘 공학 논문"
