no,verdict,direction,reason
92,EX4,na,"아동 소음 annoyance 노출-반응 관계, 행태 없음"
93,EX1,na,"국립공원 야생동물 소음 보호, 동물 대상"
94,BORDERLINE,forward,"교통경찰 소음 노출·행태 설문 언급, 행태 측정 불명확"
95,EX1,na,"great tit 신호 탐지 masking, 동물 연구"
96,EX1,na,"도시 소음과 great tit 반응 행동, 동물 연구"
97,EX1,na,"교통소음 속 개구리 발성 음높이, 동물 연구"
98,EX1,na,"교통소음 속 개구리 발성 음높이, 동물 연구(중복 레코드)"
99,EX1,na,"교통소음·교통량과 조류 노래·탐지, 동물 연구"
100,EX1,na,"교통소음·교통량과 조류 노래·탐지, 동물 연구(중복 레코드)"
101,EX4,na,"교차로 교통동역학 기반 소음 예측, 행태 없음"
102,EX1,na,"starling 뇌 ZENK 발현, 동물 연구"
103,BORDERLINE,unclear,"국립공원 hiker GPS·소음 노출 모델링, 소음-행태 관계 불명확"
104,INCLUDE,reverse,"도시 오픈스페이스 soundscape 평가에 behavioral factor 투입 ANN"
105,EX2,na,"PACU 환자 음악 대 일반 소리, 병원 실내"
106,EX4,na,"도시 가로 noise annoyance 예측 요인, 행태 없음"
107,EX5,na,"도시 소음·건강 정책 리뷰, 실증연구 아님"
108,EX3,na,"아동 비만·검진·예방접종 분석, 음환경 변수 없음"
109,EX4,na,"소음·민감도·annoyance·건강 SEM, 행태 아웃컴 없음"
110,EX4,na,"도시 주민 소음 annoyance 영향요인, 행태 아웃컴 없음"
111,EX1,na,"glassfrog advertisement call 기술, 동물 연구"
112,EX1,na,"chickadee call 강화계획 실험, 동물 연구"
113,EX3,na,"반복행동 병태생리 리뷰, 음환경 변수 없음"
114,EX2,na,"학교 시설 질과 학생 성과, 학교 실내 세팅"
115,EX2,na,"bar atmospherics와 소비자 반응, 실내 상업공간"
116,EX1,na,"lizard 시각 디스플레이 가소성, 동물 연구"
117,EX1,na,"인공조명과 songbird dawn song, 동물 연구"
118,EX1,na,"reed bunting 소음 대응 노래 조정, 동물 연구"
119,EX4,na,"환경음 database 구축·검색 설계, 행태 아웃컴 없음"
120,EX4,na,"국립공원 soundscape와 기억·인지 수행만 측정"
121,INCLUDE,forward,"항공기 소음 변화와 옥외 여가공간 이용 변화(패널)"
122,EX4,na,"복합 소음원과 수면 질 설문, 수면 아웃컴만"
123,INCLUDE,reverse,"도시 오픈스페이스 behavioural factor와 sound preference 평가"
124,EX1,na,"Lincoln's sparrow 암컷 반응 행동, 동물 연구"
125,EX3,na,"공원 방문객 GPS 이용 분포 방법, 음환경 변수 없음"
126,EX1,na,"blackbird 노래 분화와 소음·밀도, 동물 연구"
127,EX1,na,"chiffchaff 고속도로 소음 노출 발성, 동물 연구"
128,EX4,na,"교통소음 annoyance와 삶의 질, 행태 아웃컴 없음"
129,EX4,na,"적응 소음제거 IIR filter bank, 행태 없음"
130,EX2,na,"요양시설 점심시간 음악과 문제행동, 시설 실내"
131,EX4,na,"아동 건강·인지에서 annoyance 역할, 행태 아웃컴 없음"
132,EX4,na,"소음 유발 수면방해 예측 총설, 수면 아웃컴만"
