no,verdict,direction,reason
359,EX1,na,"sparrow 노래와 자연·인공 soundscape, 조류"
360,EX4,na,"DYNAMAP 시간별 교통소음 예측, 행태 없음"
361,EX1,na,"침입종 청개구리 음향경쟁, 동물"
362,EX4,na,"심방세동 발생 아웃컴, 행태 없음"
363,EX1,na,"독수리 번식지 도로소음 영향평가, 동물"
364,EX1,na,"도로와 박쥐 메타분석, 동물 대상"
365,BORDERLINE,reverse,"녹지 soundscape 선호에 이용자 behavior style 영향"
366,EX4,na,"코골이·주간졸림 아웃컴, 행태 없음"
367,EX1,na,"junco 노래 공유와 성능, 조류"
368,EX2,na,"온라인 반소음 단체 사례, 옥외 공공공간 아님"
369,EX1,na,"chipping sparrow 노래 조정, 조류"
370,EX1,na,"생태음향 이벤트 검출 모델, 동물 발성 대상"
371,EX4,na,"트램 체결장치 소음·진동 측정, 행태 없음"
372,INCLUDE,forward,"재활정원 soundscape가 환자 정원 이용·행동에 영향"
373,EX1,na,"혹등고래 소통행동과 선박소음, 해양동물"
374,EX1,na,"식물플랑크톤 개체군 확률모형, 해양생물"
375,EX1,na,"서식지 음압 매핑, 동물 서식 평가 대상"
376,EX4,na,"공원·가로 보행 후 지각된 회복감만 측정"
377,EX5,na,"도시·교통계획과 환경노출 리뷰, 실증 아님"
378,BORDERLINE,reverse,"가로 소음이 통근수단·출발시각 등 행태와 관련되는지 검정"
379,INCLUDE,both,"Belem·Lisbon 공원 soundscape와 이용·활동 동시 조사"
380,EX5,na,"urban transport justice 개념 논고, 실증 아님"
381,EX1,na,"풍력 소음과 robin 영역방어, 조류"
382,EX5,na,"urban well-being 개념모형 논문, 실증 아님"
383,EX1,na,"돌고래 서식지 수중 soundscape 비교, 해양동물"
384,EX1,na,"golden-cheeked warbler 영역·노래, 조류"
385,EX4,na,"urban soundscape 청각객체 범주화, 인지 아웃컴만"
386,EX2,na,"전용 실내 공간에서 soundscape 제시, 실내 세팅"
387,BORDERLINE,unclear,"soundscape 다차원 데이터수집 방법론, 행태 분석 불명확"
388,EX1,na,"동물 개체 이동 확률모형, 동물 대상"
389,EX1,na,"wren 노래 전파·감쇠, 조류 대상"
390,EX5,na,"보호지역 음환경 편익 리뷰 논문, 실증 아님"
391,EX1,na,"생태음향 패턴 모니터링, 동물 소리 대상"
392,EX4,na,"도시녹지 방문 심혈관 생리반응만 측정"
393,EX4,na,"퍼지논리 소음위험 모형, 행태 아웃컴 없음"
394,EX1,na,"songbird 유조 생리 지표, 조류 대상"
395,EX1,na,"house finch 둥지 재료 행동, 조류"
396,EX4,na,"버스 신호우선과 소음 시뮬레이션, 행태 없음"
