no,verdict,direction,reason
1098,EX4,na,그린파사드 저주파 음향성능 해석 행태 없음
1099,EX1,na,소음·식생이 까치울새 발성에 미친 영향
1100,EX1,na,불꽃놀이 소리의 갈매기·물개 반응
1101,BORDERLINE,forward,주거 교통소음→아동 SDQ 과잉행동·친사회 하위척도 포함
1102,EX4,na,아웃컴=수면효율·심대사 위험지표
1103,EX2,na,택시기사 직업소음 노출 차량·직업 세팅
1104,EX2,na,도시 학교 교사 청력·정신건강 교실 세팅
1105,EX1,na,딥러닝 조류 명금 인식·생태영향 분석
1106,EX4,na,GAN 기반 도시 소음지도 예측 행태 없음
1107,EX3,na,확률모델 순차설계 통계적 noise 음환경 아님
1108,EX4,na,소셜미디어 기반 수변 사운드스케이프 지각 분석만
1109,EX1,na,산란계 발성 음향 바이오마커 분류
1110,INCLUDE,forward,가로 청각·시각 환경→자전거 통행량 Strava 실측
1111,EX2,na,대학도서관 실내 음환경과 정보탐색 행동
1112,EX4,na,청감실험 기반 소음영향 지각 예측모델
1113,EX3,na,EMG 근피로 실험의 environmental noise=신호잡음
1114,EX4,na,자연 사운드스케이프 지각→행동의도만 측정
1115,INCLUDE,forward,소음 수준→통근 수단선택 보행·자전거 예측
1116,EX4,na,아웃컴=ERP·인지과제 수행 공간행태 아님
1117,EX1,na,도시 소음이 청개구리 발달·행동에 미친 영향
1118,EX1,na,도시 소음이 청개구리 발달·행동에 미친 영향 중복
1119,EX4,na,일상유산 시청각 지각·문화감 평가만 측정
1120,EX1,na,복합 사운드스케이프와 귀뚜라미 출현
1121,INCLUDE,reverse,신체활동 수준이 옥외 음향쾌적성 평가에 영향
1122,INCLUDE,forward,VR 도시공원 자연음 템포→사회적 상호작용 행동 기록
1123,EX1,na,야간 인공광과 도시 조류 다양성
1124,EX1,na,포획 명금의 다중 오염물질 산화스트레스
1125,EX5,na,영상 기반 자연회복환경 체계적 문헌고찰
1126,EX3,na,해안선 영상 모니터링 image noise 음환경 아님
1127,EX3,na,UAV 시선-자세 인터랙션 센서 noise 음환경 아님
1128,EX1,na,금화조 알파시누클레인 병리와 노래
1129,EX2,na,지하철 승강장 음환경 평가 실내 세팅
1130,EX1,na,소음·광 오염과 올빼미 먹이 탐지
1131,EX4,na,역사지구 사운드스케이프 주관적 지각만 측정
1132,EX1,na,해양보호구역 어류 합창 시공간 패턴
1133,EX1,na,갈라파고스 솔새 교통소음 행동 가소성
1134,EX3,na,녹지-정신건강 경로 연구 음환경 변수 없음
1135,EX1,na,소음 조건별 기아나 돌고래 음향행동
1136,EX1,na,박쥐의 인위소음 민감도 메타분석
1137,EX2,na,어린이집 실내 건물환경과 쉰목소리
1138,BORDERLINE,reverse,경적 사용 행동이 도시 소음 형성 행태측정 제한적
1139,EX5,na,도시형태 일사·소음 시뮬레이션 행태 없음
1140,EX4,na,수변공간 다감각 자극→경관지각·웰빙만 측정
1141,INCLUDE,forward,소음·녹지→신체활동 매개→정신건강 경로 분석
1142,EX2,na,고급 레스토랑 배경음악 실내 세팅
1143,BORDERLINE,reverse,방문객 인간소리가 보호지역 사운드스케이프 평가에 영향
1144,EX1,na,인간 음성에 대한 도마뱀 위험평가 반응
1145,EX4,na,국립공원 항공기 소음 수용도 평가만 측정
1146,EX1,na,애시 프리니아 텃세 방어 재생실험
1147,EX4,na,이끼 코팅 소닉크리스탈 차음 성능 행태 없음
1148,EX4,na,아웃컴=수면시간 관찰가능 행태 아님
1149,INCLUDE,forward,정적 예술공간 음환경 평가+현장 행태관찰 수행
1150,EX4,na,아웃컴=뇌영상·심리측정 지표
1151,EX1,na,도시정원 생물음향지수와 식생·미기후
1152,EX4,na,사운드스케이프 장기상관 물리분석 인간 행태 없음
1153,EX4,na,아웃컴=심혈관질환 발생 소음은 보정변수
1154,BORDERLINE,forward,주거 교통소음→직장 위축·공격 행동 세팅 적합성 불확실
1155,EX3,na,텍스트-이미지 AI 건축 이미지 분석 음환경 노출 없음
1156,EX4,na,아웃컴=심박·피부전도·주관 평가
1157,EX1,na,소음과 도시 번식 조류 다양성·밀도
1158,EX4,na,철도건널목 소음 노출 측정 행태 없음
1159,EX1,na,히말라야 모날의 소음 유발 발성 변화
1160,EX1,na,비번식기 유럽 울새 소음 대응 노래 조정
1161,EX1,na,비마스킹 소음의 조류 노래 억제
1162,EX1,na,금화조 노화 유전자망과 발성 회로
1163,EX5,na,라이프스타일 의학 관점 built environment 논평
1164,EX4,na,유럽 소음지도 데이터 기술적 편차 분석 행태 없음
1165,EX1,na,인위소음이 파랑새 포란·둥지 행동 교란
1166,EX4,na,VR 교통소음 생리스트레스·소음성가심만 측정
1167,EX1,na,자연음 자극에 대한 유제류 반응
1168,EX4,na,공원 교통소음 시뮬레이션·완충 설계 행태 없음
1169,BORDERLINE,forward,도시 사운드스케이프와 소리신호 하 인간행동 관찰 기술
1170,EX4,na,사원 사운드스케이프 정서·EEG 평가만 측정
1171,EX3,na,가로영상 기반 감정지각 모델 음환경 변수 없음
1172,BORDERLINE,forward,사운드스케이프 지각→친환경 행동 전문가 관점 SEM
1173,EX1,na,광·소음 오염과 검은지빠귀 노래 시각
1174,INCLUDE,forward,시청각 지각→공유자전거 이용량 실측 트립데이터
1175,BORDERLINE,forward,녹지·소음·신체활동 공존 코호트 소음-행태 관계 불명확
1176,EX4,na,아웃컴=표정 분석·시청각 지각 평가
1177,BORDERLINE,forward,사운드스케이프→보행 쾌적·회피행동 언급 측정 불명확
1178,INCLUDE,forward,수변공원 소리·악취→군중 경로·속도·체류시간
1179,BORDERLINE,reverse,음악시설 인간활동 분포→소음·민원 행태측정 불명확
1180,EX1,na,도시화와 황소개구리 번식 울음 활동
1181,EX4,na,아웃컴=심리적 회복감 지각
1182,BORDERLINE,forward,근린환경과 COPD 신체활동 소음은 보정변수
1183,EX1,na,금화조 청각피질 노래 복원 신경반응
1184,EX4,na,아웃컴=이명 유병 소음은 연관 요인
1185,EX4,na,타이어/도로 소음 저감 배합 공학연구
1186,EX1,na,수중 사운드스케이프와 해양생물 영향
1187,EX2,na,국립공원 숏폼 영상 온라인 참여행동 옥외공간 아님
1188,EX1,na,소음·광·약물의 제브라피시 행동 영향
