no,verdict,direction,reason
882,EX1,na,Australian magpie 인지수행과 소음
883,INCLUDE,reverse,공원 이용·활동이 새/교통음 경험에 미치는 영향
884,EX2,na,해양 연안 보트 소음 모니터링 세팅
885,EX4,na,교통소음 ANN 예측모델·행태 아웃컴 없음
886,EX1,na,풍력소음과 Dupont's lark 발성
887,EX3,na,PPG 신호 잡음 품질평가·음환경 아님
888,BORDERLINE,reverse,공공공간 사운드스케이프 지각구조·활동 연계 애매
889,EX4,na,노인 사운드스케이프 선호(지각)만 측정
890,EX1,na,도시화와 조류 번식 적합도 리뷰
891,EX2,na,강의실 실내 잔향시간 음향분석
892,EX4,na,대기오염·우울증·소음은 공변량일 뿐
893,EX1,na,조류 음향 탐지 데이터셋 구축
894,EX4,na,교통소음 EEG 뇌파 생리반응만 측정
895,EX3,na,녹지 노출 이동성 편의·음환경 변수 없음
896,EX1,na,국립공원 조류 발성의 소음 반응
897,EX3,na,운동시설 접근성·심혈관질환·음환경 변수 없음
898,EX4,na,소음 포함 도시환경과 정신증 경험
899,EX1,na,공항 인근 조류 feather corticosterone
900,EX4,na,GPS 활동기반 소음노출·정신건강 임계값만
901,INCLUDE,reverse,도시녹지 공공 레크리에이션 행태↔음향지표
902,EX4,na,열-음환경 주관적 평가만 측정
903,EX1,na,도시 songbird 통신거리·세력권 크기
904,EX4,na,정적/동적 노출평가 비교·행태 아웃컴 없음
905,EX4,na,소음·대기오염·녹지와 뇌졸중 발생
906,EX1,na,field cricket 교통소음·적합도 형질
907,EX1,na,Darwin's finches 노래·공격성
908,EX1,na,thorny oyster 보트소음 행동 반응
909,BORDERLINE,both,공공공간 행태지도+사운드워크·설계교육 리뷰 성격
910,EX1,na,도시/농촌 귀뚜라미 발성·짝찾기 행동
911,EX1,na,월동 물새 도로소음 교란 실험
912,INCLUDE,forward,교통소음↔신체활동 매개경로와 정신웰빙
913,EX4,na,회복지각 매개·건강편익 지각만 측정
914,EX1,na,조류 노래학습과 도시소음 대처
915,EX1,na,무미양서류 인위소음 영향 리뷰
916,EX1,na,zebra finch 인지·부리색·성장
917,BORDERLINE,forward,사운드스케이프→아동 사회적 상호작용 기대(의도)
918,EX1,na,vermilion flycatcher 세력권 반응
919,EX1,na,song sparrow 세력권 공격성 조작실험
920,EX4,na,교통소음·유방암 발생 코호트
921,EX5,na,soundsitting 방법론 제안·행태분석 없음
922,EX1,na,도시 내분비학 동물 연구 전망 논평
923,EX1,na,mountain chickadee 노래 전달·소음
924,EX2,na,실내 개방형 사무실 사운드스케이프
