id,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 9 (Switzerland Fribourg, Jardin de Perolles): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.04/0.24 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",888 interviewees at site 9 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 10 (Switzerland Fribourg, Place de la Gare): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.00/0.90 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",1041 interviewees at site 10 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 11 (UK Cambridge, All Saint's Garden): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.05/0.31 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",459 interviewees at site 11 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 12 (UK Cambridge, Silver Street): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.06/0.18 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",489 interviewees at site 12 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 13 (UK Sheffield, Barkers Pool): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.03/0.50 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",499 interviewees at site 13 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 14 (UK Sheffield, Peace Gardens): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.02/0.70 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",510 interviewees at site 14 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 15 (China Beijing, Chang Chun Yuan Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.04/0.53 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",307 interviewees at site 15 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 16 (China Beijing, Xi Dan Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.06/0.35 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",304 interviewees at site 16 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 17 (China Shanghai, Century Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.05/0.66 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",62 interviewees at site 17 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 18 (China Shanghai, Nanjing Road Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.05/0.66 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",79 interviewees at site 18 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 19 (China Shanghai, Xu Jia Hui Park): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.00/0.98 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",79 interviewees at site 19 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-watching minus watching interviewees, per site (independent samples t test)",other,Mean difference/Significance: 1 0.07/0.38; 2 0.08/0.23; 3 0.13/0.05*; 4 0.30/0.00**; 5 -0.31/0.00**; 6 0.12/0.17; 7 -0.18/0.03*; 8 0.05/0.51; 9 0.01/0.85; 10 0.00/0.95; 11 0.20/0.03*; 12 0.48/0.00**; 13 0.21/0.18; 14 -0.49/0.01**; 15 -0.08/0.42; 16 0.54/0.07; 17 0.23/0.24; 18 0.14/0.28; 19 -0.09/0.65,Site totals 62-1041 interviewees (Table I); group sizes (watching vs not) and SDs not reported,Table IX (Watching column); Section V,watching behavior is more related to the sound level evaluation,NO
80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-moving (sitting, standing) minus moving (walking, playing with children, sport) interviewees, per site (independent samples t test)",other,Mean difference/Significance: 1 0.11/0.23; 2 0.19/0.01**; 3 -0.09/0.34; 4 -0.08/0.37; 5 -0.04/0.53; 6 0.10/0.09; 7 0.16/0.11; 8 0.26/0.01**; 9 0.06/0.30; 10 -0.02/0.79; 11 -0.33/0.13; 12 -0.21/0.06; 13 0.07/0.32; 14 -0.01/0.95; 15 0.07/0.57; 16 0.18/0.44; 17 0.12/0.54; 18 -0.05/0.85; 19 0.25/0.51,Site totals 62-1041 interviewees (Table I); group sizes (moving vs not) and SDs not reported,Table IX (Moving column); Section V,the mean differences are around 0.2,NO
80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-wearing minus wearing earphones (sites with >10 earphone wearers plus pooled EU, China, overall; independent samples t test)",other,Mean difference/Significance: 1 0.02/0.95; 6 0.26/0.27; 9 -0.07/0.79; 10 0.38/0.06; EU -0.05/0.67; China 0.34/0.16; Overall -0.00/0.99 (column assignment inferred from table layout and text),Only sites with over ten earphone wearers included; group sizes and SDs not reported,Table VII (Earphone column); Section V,there is no significant difference in any case,NO
80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-reading/writing minus reading/writing interviewees, per site (independent samples t test)",other,Mean difference/Significance: 1 -0.05/0.68; 2 -0.02/0.90; 3 0.25/0.06; 4 0.12/0.48; 5 0.23/0.08; 6 0.26/0.03*; 7 -0.16/0.19; 8 0.30/0.07; 9 -0.21/0.15; 10 0.07/0.65; 11 0.15/0.12; 12 0.22/0.10; 13 -0.20/0.18; 14 0.46/0.01**; 15 0.15/0.18; 16 -0.35/0.08; 17 -0.33/0.35; 18 0.16/0.78; 19 0.20/0.41 (column assignment inferred from table layout and text),Site totals 62-1041 interviewees (Table I); group sizes and SDs not reported,Table VII (Reading/Writing column); Section V,"people who were reading/writing have a lower evaluation score, by 0.46",NO
