no,item,verdict,rationale
1018,4.5 통계분석 적절성,Y,"ANOVA+Tukey·요인 ANOVA(ηp²)·PCA·성별연령 통제 다중회귀·공선성 점검, 모형 설명력 27–55% 보고"
1020,4.1 표집전략 적절성,Y,"10개 지점 300m 이상 이격 사운드워크와 2시간 간격 행동관찰, 시청각-행동 관계 목적에 부합(2절)"
1020,4.2 표본 대표성,N,"참가자 30명 전원 20–30세로 한정, 저자도 Limitations에서 타 연령대 일반화 제약 인정"
1020,4.3 측정 적절성,N,"만족도 Cronbach α만 0.6 초과 보고, 행태활력은 관찰자 단일문항이며 Point 5는 척도 범위 밖 0값"
1020,4.4 무응답 편의,Y,"250부 배포 중 244부 유효(97.6%)로 무응답 비율 낮음(2절)"
1020,4.5 통계분석 적절성,N,"Equation(1) 계수가 Table 3과 10배 차이, LAeq-쾌적 r=-0.261(p<0.001)을 본문은 무관하다고 기술"
1053,4.1 표집전략 적절성,Y,"Queens 공원 472필지 전수를 대상으로 iNaturalist research-grade 기록을 100ft 버퍼로 결합(Methods)"
1053,4.2 표본 대표성,CT,"472개 중 113개(24%)를 자료 불완전으로 제외했으나 제외 기준과 잔존 359개의 특성 비교 없음"
1053,4.3 측정 적절성,CT,"소음이 실측이 아닌 NPS 전국 모델 추정치, 종속변수 Interaction은 Observers×Observations로 종속"
1053,4.4 무응답 편의,N,"iNaturalist 참여 편의를 선행연구 인용으로만 언급하고 미보정, 24% 단위 결측의 편향 검토 없음"
1053,4.5 통계분석 적절성,N,"Poisson GLM의 과분산 검정과 공간자기상관 처리 부재, Park Type 표준오차 44.8–555.8 미진단"
1069,3.1 참가자 대표성,Y,"2개 활동공간 이용자를 covert observation으로 전수 관찰, 조건별 352–457명 총 2060 person-observations"
1069,3.2 노출·결과 측정 적절성,Y,"Class 1 BSWA 801과 5m 격자 측정으로 L90 대비 5–10dB 상향 설정, SP·OSI·DSI를 BORIS로 코딩"
1069,3.3 결과자료 완전성,Y,"조건당 210분을 10분 excerpt로 분할, 이상소음·5명 미만 사전 기준 적용해 182개 유효(86.7%)"
1069,3.4 교란변수 고려,CT,"밀도 차이는 비율 지표로 정규화하고 날씨·시간대는 조건 순환으로 상쇄하나 개인 성·연령 미수집"
1069,3.5 중재 시행 충실성,Y,"스피커 7대 20cm 높이·15m 간격, 15초 fade in/out, 30초 간격 SPL 상시 기록으로 시행 확인(2.5절)"
1076,4.1 표집전략 적절성,Y,"5개 공원 주요 지점에 균등 배치해 현장 면접, 사운드스케이프-행동-SRE 경로 검증 목적에 부합(2.3절)"
1076,4.2 표본 대표성,N,"인구통계를 여성·25–40세·학사 중심이라 서술만 하고 수치 미제시, Figure 1은 표본 정보표가 아님"
1076,4.3 측정 적절성,Y,"PRSS 16문항 5차원 수정판, Cronbach α 0.74–0.94·CR>0.7·AVE>0.5·Fornell-Larcker 판별타당도 보고"
1076,4.4 무응답 편의,Y,"482부 배포 중 419부 유효, 저자 보고 유효율 86.74%로 무응답 비율 낮음(2.3절)"
1076,4.5 통계분석 적절성,CT,"SEM 적합도 8종 양호하나 LAeq 43.9–67.7dBA인 5개 공원을 단일 표본 통합, CI 하한 0을 9% 기여로 기술"
1110,4.1 표집전략 적절성,Y,"OSM 가로망을 따라 50m 간격 8854개 표본점에서 4방위 SVI 35416장을 체계적으로 추출(3.2절)"
1110,4.2 표본 대표성,Y,"멜버른 도심 전 가로망을 포괄하고 자전거 노선유형 4종을 모두 포함해 분석단위 대표성 확보(3.1절)"
1110,4.3 측정 적절성,N,"청각 변수 8종 전부 SVI 기반 예측치이며 실측 없음(벤치마크 R²≈0.48), 통행량은 Strava 밝기 프록시"
1110,4.4 무응답 편의,N,"필터링을 기술했으나 8854×4=35416으로 실제 제외 0건, Strava 자기선택 편의는 인정만 하고 미보정"
1110,4.5 통계분석 적절성,N,"50m 간격 표본을 무작위 80/20 분할해 공간자기상관 미처리, p>0.05로 제외한 traffic noise를 계속 해석"
