sid,verdict,reason_code,note,doi,title
77,EXCLUDE,E5,"소음 저감 교통배정 모형, 비실증",,A TRAFFIC ASSIGNMENT MODEL TO REDUCE NOISE ANNOYANCE IN URBAN NETWORKS
78,EXCLUDE,E1,도시소음과 조류 행동 변화,10.61511/jocae.v3i1.2025.2077,The behavioral changes of birds as a result of urban noise levels
79,EXCLUDE,E1,"음향 생물다양성 개관, 동물",10.1016/j.cub.2021.08.063,Acoustic biodiversity
80,EXCLUDE,E6,"학생 음주·약물 태도, 주제 무관",10.1016/0022-4375(90)90035-a,Drug and alcohol attitudes and usage among elementary and secondary students
81,EXCLUDE,E3,"자전거도로 전후 연구, 음환경 없음",,Bicycle Tracks and Lanes: a Before-After Study
82,EXCLUDE,E2,"학교 실내 아동 인지·혈압, 행태 아님",10.1121/1.2004991,Aircraft noise and the health and behavior of children
83,EXCLUDE,E6,"ECG 잡음제거 알고리즘, 주제 무관",10.5958/2249-7315.2016.01018.2,Performance Analysis of Robust Recursive Least Square and its Lattice Structure for Noise Cancellation in ECG Signals
84,EXCLUDE,E3,"장애인 공원설계 논의, 음환경 변수 없음",,The design analysis of the urban parks for the disable
85,EXCLUDE,E4,카이로 환경소음·건강영향 개관,10.21608/ejom.2016.845,COMMUNITY NOISE IN GREATER CAIRO
86,EXCLUDE,E1,야생동물원 코뿔소 음환경 측정,10.1121/1.4877667,"Measuring the sonic, infrasonic and seismic soundscape of the Southern White Rhinoceros <i>(Ceratotherium simum simum)</i> at a wildlife park conservation center"
87,EXCLUDE,E4,"가로경관 청각이미지 평가구조, 지각만",,The Evaluation Structure of Auditory Images on the Streetscapes - The Semantic Issues of Soundscape based on the Students' Fieldwork -
88,EXCLUDE,E5,"청각의 역사 논고, 비실증",10.1086/ahr.116.2.316,On Being Heard: A Case for Paying Attention to the Historical Ear
89,EXCLUDE,E6,"힙합 도시전설 분석, 주제 무관",10.5406/19452349.40.4.15,“The Music Industry Funds Private Prisons”: Analyzing Hip-Hop Urban Legend
90,EXCLUDE,E5,도시소음 저감 국제사례 리뷰,10.32347/2786-7269.2024.7.208-220,ANALYSIS OF THE DEGREE OF STUDY AND GLOBAL EXPERIENCE IN OPTIMIZING URBAN NOISE POLLUTION
91,EXCLUDE,E4,"협곡·터널 도시공간 음향 거동, 행태 없음",10.17271/2318847297220212962,Acoustic Behavior and Design of Large Urban Spaces – Canyon and Tunnel
92,EXCLUDE,E2,"교실 내 주의산만, 실내 세팅",10.1097/01.ede.0000362413.04194.60,Current Traffic Noise Exposure Assessment and Noise Effect of Distraction in Class Among Children in Xiʼan City
93,EXCLUDE,E1,"노랑솔새 노래 주파수, 동물",10.13001/uwnpsrc.2017.5583,Environmental noise influences song frequency of Yellow Warblers (Dendroica petechia) in Grand Teton National Park
94,EXCLUDE,E1,"SID 93 중복, 동물",10.13001/uwnpsrc.2018.5665,Environmental noise influences song frequency of Yellow Warblers (Dendroica petechia) in Grand Teton National Park
95,EXCLUDE,E5,수목의 기후·소음 완화 개관,10.48044/jauf.1977.054,Trees Modify Metropolitan Climate and Noise
96,EXCLUDE,E5,반종교개혁 사운드스케이프 서평,10.1525/jams.2015.68.2.435,"Review: Music, Piety, and Propaganda: The Soundscapes of Counter-Reformation Bavaria by Alexander J. Fisher"
97,EXCLUDE,E5,유럽 대기오염 불평등 논평,10.1097/ee9.0000000000000383,Air pollution inequalities in Europe: A deeper understating of challenges in Eastern Europe and pathways forward towards closing the gap between East and West
98,EXCLUDE,E5,"밤의 역사 서평, 비실증",10.1093/ehr/cem188,At Day's Close: A History of Nighttime
99,EXCLUDE,E7,"학회 프로시딩, 초록 불일치",10.1098/rspb.2009.1155,Urban planning and traffic noise in Portugal: how did we get here?
100,EXCLUDE,E2,카페·펍 등 실내 사회공간,10.21810/aer.v12i1.6112,Interferences Between Acoustic Communication Threads in Enclosed Social Environments of Istanbul
101,EXCLUDE,E4,"지면효과 소음저감 실험, 행태 없음",10.1515/noise-2016-0001,Exploiting ground effects for surface transportnoise abatement
102,EXCLUDE,E4,임신 중 소음노출과 태아성장,10.1016/j.envint.2023.107730,"Exposure to outdoor residential noise during pregnancy, embryonic size, fetal growth, and birth outcomes"
103,EXCLUDE,E6,"도시 인프라 종합평가, 주제 무관",10.70028/dcea.v2i2.79,"Integrated Evaluation of Urban Transportation, Structural Performance, Environmental Impacts, and Human Safety in Developing Cities"
104,EXCLUDE,E4,"열환경과 소음민원 분포, 대상 행태 아님",10.3390/su18147478,Amplified by Heat: Modeling the Spatially Varying Impact of Thermal Environment on Urban Noise Complaints
105,EXCLUDE,E1,"선박소음과 고래, 동물",10.1121/1.2021023,"Compatibility of ships and whales in Glacier Bay, Alaska"
106,EXCLUDE,E5,"공간과 음악 작곡론, 비실증",10.7757/persnewmusi.58.1.0005,Composing Music with a Space
107,EXCLUDE,E5,"SID 106 중복, 작곡론",10.1353/pnm.2020.0000,Composing Music with a Space
108,EXCLUDE,E1,조류와 항공기 충돌 리뷰,10.1642/0004-8038(2002)119[0587:citabv]2.0.co;2,COMPETITION IN THE AIR: BIRDS VERSUS AIRCRAFT
109,EXCLUDE,E4,"쿠리치바 소음 짜증 설문, 행태 없음",10.1121/1.4777474,"Social survey carried out in the city of Curitiba, Brazil"
110,EXCLUDE,E2,"수술실 소음, 실내 의료 세팅",10.1097/aln.0000000000000319,Noise in the Operating Room
