no,direction,reason,year,journal,title,doi
481,forward,도시광장 음악이 통행·배회·착석 행태 변화,2018,FRONTIERS IN PSYCHOLOGY,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces,10.3389/fpsyg.2018.00596
492,both,암스테르담 공공공간 활동과 사운드스케이프 평가·행태 매핑,2018,FRONTIERS IN PSYCHOLOGY,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-Based Study,10.3389/fpsyg.2018.01593
494,forward,도시녹지 소음 지각·만족과 이용 유형 관계,2018,SCIENCE OF THE TOTAL ENVIRONMENT,"Relationships among satisfaction, noise perception, and use of urban green spaces",10.1016/j.scitotenv.2017.12.148
520,reverse,공원 이용자 활동이 청각환경 기술 방식에 영향,2019,ACTA ACUSTICA UNITED WITH ACUSTICA,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of Their Auditory Environments on Site: The Case of Amsterdam,10.3813/aaa.919327
532,forward,birdsong·traffic noise가 옥외 보행속도 변화시킴,2019,PEERJ,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,10.7717/peerj.7711
539,reverse,체류시간·방문동기 등 행태가 soundscape 경험과 연관,2019,URBAN FORESTRY & URBAN GREENING,"Factors associated with soundscape experiences in urban green spaces: A case study in Rostock, Germany",10.1016/j.ufug.2017.11.003
560,forward,공원 소음이 만족·산책 등 이용빈도와 연관,2019,URBAN FORESTRY & URBAN GREENING,Perceptions and use of urban green spaces on the basis of size,10.1016/j.ufug.2019.126470
566,forward,Musikiosk 개입 후 체류·사회적 상호작용 관찰,2019,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention,10.3390/ijerph16101865
602,both,가로 군중밀도와 soundscape 평가 상호 연관,2020,BUILDING AND ENVIRONMENT,"Comparing associations among sound sources, human behaviors, and soundscapes on central business and commercial streets in Seoul, Korea",10.1016/j.buildenv.2020.107327
617,forward,oases soundscape 요소와 보행속도 관계,2020,SUSTAINABILITY,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlation or Causation?,10.3390/su12114619
661,forward,VR 도로에서 차량 소음이 보행자 횡단 결정에 미친 영향,2020,APPLIED SCIENCES-BASEL,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Making: A Study in a Virtual Environment,10.3390/app10082913
665,forward,소리·냄새가 보행가로 군중 경로·속도·체류에 영향,2020,BUILDING AND ENVIRONMENT,The effects of sounds and food odour on crowd behaviours in urban public open spaces,10.1016/j.buildenv.2020.107104
666,reverse,공원 이용자 행태특성이 사운드스케이프 지각에 미친 영향,2020,LANDSCAPE AND URBAN PLANNING,The influence of human behavioral characteristics on soundscape perception in urban parks: Subjective and observational approaches,10.1016/j.landurbplan.2020.103890
724,both,축제 사운드스케이프와 참가자 공간 이동·참여의 상호작용,2021,EMOTION SPACE AND SOCIETY,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Italy,10.1016/j.emospa.2021.100848
725,forward,녹지 사운드스케이프와 방문빈도·체류 등 이용행태,2021,FRONTIERS IN PUBLIC HEALTH,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During the COVID-19 Pandemic in Southern China Megacities,10.3389/fpubh.2021.759444
732,reverse,집단 이용·사회적 상호작용이 사운드스케이프 평가에 영향,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equation modeling,10.1016/j.buildenv.2020.107490
744,forward,배경음악 템포가 보행 속도·정지 등 군중동태에 영향,2021,ADVANCES IN COMPLEX SYSTEMS,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS,10.1142/s0219525921500119
746,forward,교통소음 등 환경요소가 보행 경험·통행행태 저해,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago, Chile",10.1016/j.tbs.2021.01.002
760,forward,soundwalk 인터뷰·행태관찰로 역사도시공간 음환경 평가,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model,10.22034/ijhcum.2021.01.02
761,reverse,동반·이용유형·체류시간 등 행태가 사운드스케이프 지각 좌우,2021,FORESTS,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational Forest Parks,10.3390/f12040468
770,forward,주거지 음환경 등 환경질과 노인 옥외활동 특성,2021,International Journal of Environmental Research and Public Health,The influence of emotional health on the activity characteristics of the elderly and the selection of environmental quality factors in residential areas,10.3390/ijerph182312618
779,forward,교통소음 포함 도시노출과 아동 신체활동·좌식행태,2021,ENVIRONMENT INTERNATIONAL,Urban environment and obesity and weight-related behaviours in primary school children,10.1016/j.envint.2021.106700
804,both,도시숲 운동자 행태별 audio-visual 선호 분석,2022,FORESTS,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in China,10.3390/f13060948
818,forward,산림공원 사운드스케이프 지각→환경책임행동(자기보고),2022,LAND,"Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in Longcanggou Forest Park, China",10.3390/land11091505
833,forward,통근 중 소음 노출과 보행·자전거 실천행동,2022,JOURNAL OF TRANSPORT & HEALTH,"How are air pollution and noise perceived en route? Investigating cyclists' and pedestrians' personal exposure, wellbeing and practices during commute",10.1016/j.jth.2021.101325
853,both,코로나기 옥외 공공공간 이용변화와 소리의 역할,2022,Built Environment,Revisiting Public Space Transformations from a Sonic Perspective during the COVID-19 Pandemic,10.2148/benv.48.2.244
862,reverse,이용자 레크리에이션 행태→도시숲 음향지표 변화,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its Landscape Spatial Influencing Factors,10.3390/f13111751
880,forward,도로소음 포함 도시환경과 COPD 환자 걸음수·좌식시간,2022,ENVIRONMENTAL RESEARCH,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary disease,10.1016/j.envres.2022.113956
883,reverse,공원 이용·활동이 새/교통음 경험에 미치는 영향,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound experiences,10.1002/pan3.10409
901,reverse,도시녹지 공공 레크리에이션 행태↔음향지표,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urban green spaces?,10.1016/j.ecolind.2023.110729
912,forward,교통소음↔신체활동 매개경로와 정신웰빙,2023,SCIENCE OF THE TOTAL ENVIRONMENT,"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect mental wellbeing? Evidence from Shenzhen, China",10.1016/j.scitotenv.2023.161819
930,forward,도심가로 sonic environment와 attendance·활동 분석,2023,SUSTAINABILITY,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,10.3390/su15054255
931,forward,urban park 소리 개입 + 사회적 상호작용 관찰,2023,LANDSCAPE AND URBAN PLANNING,Natural sounds can encourage social interactions in urban parks,10.1016/j.landurbplan.2023.104870
941,forward,가로에서 odor·traffic noise와 crowd path·speed 관찰,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urban Environments,10.15302/j-laf-1-020106
951,forward,Strava running intensity와 traffic noise 등 가로환경,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnability by Volunteered Geographic Information and multilevel model approaches,10.1016/j.scs.2022.104336
964,forward,urban green space 시청각 속성과 활동 mapping,2023,FRONTIERS IN PSYCHOLOGY,The effects of the natural visual-aural attributes of urban green spaces on human behavior and emotional response,10.3389/fpsyg.2023.1186806
971,forward,urban park 온열-음향 상호작용과 crowd flow·체류 관찰,2023,FORESTS,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,10.3390/f14091758
979,forward,도시 보행 중 sound·noise와 걷기·대화·시선 상호작용 분석,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with psychosis,10.1177/14703572211052638
984,forward,음악테마 경관·soundscape가 체류 등 행동에 영향,2024,LANDSCAPE RESEARCH,"A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake scenic spot, China",10.1080/01426397.2024.2307003
999,reverse,인간활동 맥락이 pedestrian space soundscape 평가에 영향 — 역방향,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian spaces adjacent to arterial roads,10.1016/j.scitotenv.2024.172198
1005,forward,Strava cycling 소음노출과 시공간적 우회(detour) 행태,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban cycling,10.1016/j.heliyon.2024.e27918
1018,reverse,sitting·walking 행태 상태별 음향-시각 지각 차이 — 역방향,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral analysis,10.1016/j.ecolind.2024.112022
1020,forward,도시공원 시청각 요소와 behavioral vitality 분석,2024,LAND,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emotional Responses,10.3390/land13091468
1053,forward,공원 iNaturalist 이용·관찰 활동에 noise 등 영향,2024,URBAN ECOSYSTEMS,Socio-environmental drivers of human-nature interactions in urban green spaces,10.1007/s11252-024-01593-3
1069,forward,커뮤니티 음환경 개입→주민 사회적 상호작용 관찰,2024,BUILDING AND ENVIRONMENT,The impact of the community's ' s sound environment on social interactions among residents,10.1016/j.buildenv.2024.112094
1076,forward,공원 사운드스케이프→방문자 정적·동적 행태 자기보고,2024,FORESTS,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban Parks,10.3390/f15101751
1110,forward,가로 청각·시각 환경→자전거 통행량 Strava 실측,2025,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Decoding the impact of audiovisual street environment features on cycling volumes: Insights from street view imagery and machine learning,10.1016/j.tra.2025.104586
1115,forward,소음 수준→통근 수단선택 보행·자전거 예측,2025,PLOS ONE,Does noise pollution influence modal choices? A random forest application,10.1371/journal.pone.0325249
1121,reverse,신체활동 수준이 옥외 음향쾌적성 평가에 영향,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort evaluations in outdoor public spaces,10.1080/13467581.2023.2292069
1122,forward,VR 도시공원 자연음 템포→사회적 상호작용 행동 기록,2025,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of natural sound tempo and social conditions on social Interaction: An interactive virtual experiment,10.1016/j.jenvp.2025.102630
1141,forward,소음·녹지→신체활동 매개→정신건강 경로 분석,2025,URBAN FORESTRY & URBAN GREENING,"How objective and subjective greenspace, combined with air and noise pollution, impacts mental health through the mediation of physical activity",10.1016/j.ufug.2025.128683
1149,forward,정적 예술공간 음환경 평가+현장 행태관찰 수행,2025,ARTS & HEALTH,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos,10.1080/17533015.2025.2593865
1174,forward,시청각 지각→공유자전거 이용량 실측 트립데이터,2025,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel,10.1016/j.trd.2025.104806
1178,forward,수변공원 소리·악취→군중 경로·속도·체류시간,2025,APPLIED ACOUSTICS,The effects of the interaction between sewage odour and sounds on crowd behaviours in urban waterfront park,10.1016/j.apacoust.2024.110378
1202,reverse,진행 중 활동·이벤트가 사운드스케이프 평가에 영향,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban open spaces,10.1016/j.jum.2026.04.003
1211,forward,시각장애 모자 보행 동기화를 음향 맥락별 분석,2026,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad,10.1140/epjs/s11734-026-02140-1
1221,forward,상업가로 사운드스케이프·군중밀도가 대기시간 등 행태에 영향,2026,APPLIED ACOUSTICS,Effect of soundscapes and crowd density on economic behavior in commercial streets,10.1016/j.apacoust.2025.111101
1226,forward,도로교통소음 포함 환경특성과 신체활동(자기보고) 연관,2026,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's five largest cities,10.1016/j.ijheh.2026.114816
1242,reverse,방문빈도·활동강도 등 행태가 사운드스케이프 회복성 평가에 영향,2026,LANDSCAPE ARCHITECTURE FRONTIERS,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Restorativeness in Coastal Urban Spaces -An Empirical Study in a Typical Sea-fronting Context,10.15302/j-laf-2026-0017
1243,reverse,중복 레코드; 행태 특성이 PSR 평가에 영향,2026,Landscape Architecture Frontiers,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Restorativeness in Coastal Urban Spaces —An Empirical Study in a Typical Sea-fronting Context,10.15302/j-laf-2026-0016
1258,forward,그린웨이 광장 개방성·음환경과 이용행태 관찰,2026,URBAN SCIENCE,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects on User Behaviors,10.3390/urbansci10010060
1272,forward,VR 자율차 청각경고·주변소음이 자전거 주행행태에 영향,2026,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,Perception and response of cyclists interacting with autonomous electric vehicles - a virtual reality study,10.1016/j.trf.2026.103707
1276,both,보행자화 후 소음변화와 주민 적응행태(발코니 이용),2026,CITIES & HEALTH,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation,10.1080/23748834.2026.2616563
1280,forward,농촌 공공공간 자연음지수와 노인 체류·행태 관찰,2026,BUILDINGS,"Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and Perception of the Elderly: A Case Study of Qingdao, China",10.3390/buildings16101973
1306,forward,가로 시청각환경(자연음·소음)과 자전거 통행량 관계,2026,JOURNAL OF TRANSPORT & HEALTH,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling volume,10.1016/j.jth.2026.102313
