no,direction,reason,year,journal,title,doi
351,forward,"소음 annoyance와 신체활동(자기보고), 세팅 특정 불명확",2016,Environment International,Long-term transportation noise annoyance is associated with subsequent lower levels of physical activity,10.1016/j.envint.2016.03.011
357,unclear,"옥외공간 감각경험 개념 논고, 실증·행태 여부 불명",2016,LANDSCAPE ARCHITECTURE FRONTIERS,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE,
365,reverse,녹지 soundscape 선호에 이용자 behavior style 영향,2016,LANDSCAPE ARCHITECTURE FRONTIERS,SOUNDSCAPE PERCEPTION OF URBAN RECREATIONAL GREEN SPACE,
378,reverse,가로 소음이 통근수단·출발시각 등 행태와 관련되는지 검정,2016,Journal of Transportation Engineering,Urban noise analysis using multinomial logistic regression,10.1061/(asce)te.1943-5436.0000843
387,unclear,"soundscape 다차원 데이터수집 방법론, 행태 분석 불명확",2017,SCIENCE OF THE TOTAL ENVIRONMENT,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,10.1016/j.scitotenv.2016.12.061
411,forward,고속도로 개통↔신체활동 변화·소음 변수 명시 불확실,2017,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natural experimental study,10.1186/s12966-017-0557-0
412,forward,여가·운동 장소 소음 포함 환경평가와 이용 평가 병행,2017,EXPOSURE AND HEALTH,"Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affected by Intense Urban Expansion (Fortaleza-CE, Brazil): Implications for Public Health Policy",10.1007/s12403-016-0230-x
433,forward,주거 소음↔정신건강 경로에 신체활동 매개 포함,2017,ENVIRONMENT INTERNATIONAL,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",10.1016/j.envint.2017.09.009
444,forward,메니에르병 사운드스케이프 정서지리·행태 아웃컴 불확실,2017,Social and Cultural Geography,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with Ménière’s disease,10.1080/14649365.2016.1228116
484,forward,녹지·수변↔정신건강 모형에 소음·신체활동 매개 포함,2018,ENVIRONMENTAL RESEARCH,Multiple pathways link urban green- and bluespace to mental health in young adults,10.1016/j.envres.2018.06.004
485,forward,주거 소음↔아동 문제행동 CBCL·세팅 주거지,2018,NOISE & HEALTH,Negative impact of noise and noise sensitivity on mental health in childhood,10.4103/nah.nah_9_18
489,forward,주거 소음↔정신건강 경로에 신체활동 명시 포함,2018,ENVIRONMENTAL RESEARCH,Pathways linking residential noise and air pollution to mental ill-health in young adults,10.1016/j.envres.2018.06.031
499,both,공원 식재 사운드스케이프에 인간활동 영향·방문빈도 상관,2018,URBAN FORESTRY & URBAN GREENING,Spatial-temporal change analysis of plant soundscapes and their design methods,10.1016/j.ufug.2017.11.002
509,forward,Tranquillity Trail 설계·이용 촉진·이용자 피드백 확인,2018,Urban Forestry and Urban Greening,Tranquillity Trails for urban areas,10.1016/j.ufug.2017.11.015
512,forward,녹지↔정신건강 모형에 소음 annoyance·신체활동 매개,2018,ENVIRONMENTAL RESEARCH,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,10.1016/j.envres.2017.09.015
556,unclear,greenness-보행 경로에 noise 매개 포함·음-행태 직접 연결 불명,2019,LANDSCAPE AND URBAN PLANNING,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",10.1016/j.landurbplan.2019.103602
559,reverse,주민 활동패턴이 환경소음 패턴 형성·행태 직접측정 불명,2019,APPLIED ACOUSTICS,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns,10.1016/j.apacoust.2019.07.014
562,forward,소음 속성 포함 진술선호 보행선택 실험,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",10.1016/j.trf.2019.08.006
569,unclear,폭포공원 이용·혼잡 관찰·soundscape 측정 여부 불명,2019,JOURNAL OF PARK AND RECREATION ADMINISTRATION,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,10.18666/jpra-2019-9149
599,reverse,COVID 봉쇄 활동변화가 도시 소음패턴 변화시킴,2020,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a),10.1121/10.0002008
613,forward,환경질 지각과 신체활동 연관·소음 변수 명시 불명,2020,International Journal of Environmental Research and Public Health,"Environmental quality perceptions and health: A cross-sectional study of citizens of Kaunas, Lithuania",10.3390/ijerph17124420
615,forward,캠퍼스 소음이 이용자 지각·대처행동에 영향,2020,APPLIED ACOUSTICS,Evaluation of noise pollution related to human perception in a university campus in Brazil,10.1016/j.apacoust.2019.107023
623,reverse,긴급사태 중 인간행동 변화가 주거지 음환경에 영향,2020,UCL open. Environment,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,10.14324/111.444/ucloe.000009
624,forward,관광지 tranquillity 지각과 행태 연결 근거이론,2020,TOURISM MANAGEMENT PERSPECTIVES,How do Chinese tourists perceive tranquillity during the tour?,10.1016/j.tmp.2020.100666
639,reverse,COVID 봉쇄 활동 변화와 도시 소음 변화 분석,2020,NOISE MAPPING,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy",10.1515/noise-2020-0021
648,reverse,주민 활동 시간대가 정원 soundscape 변화와 연관,2020,SUSTAINABILITY,Residents' Spatial Perceptions of Urban Gardens Based on Soundscape and Landscape Differences,10.3390/su12176809
684,forward,이웃 소음민원이라는 행동 다루나 주거·실내 맥락 애매,2021,WEATHER CLIMATE AND SOCIETY,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?,10.1175/wcas-d-21-0020.1
692,unclear,"근린 소음·웰빙 연구, 녹지 체류 행태 측정 불명확",2021,FRONTIERS IN SOCIOLOGY,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,10.3389/fsoc.2021.729453
694,reverse,팬데믹기 행동변화가 공공공간 사운드스케이프 평가와 연관,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Assessment: An Example from Antwerp, Belgium",10.3390/ijerph182211774
709,reverse,"정숙 유도 사인이 음환경 저감, 행태 직접측정 불명확",2021,PEOPLE AND NATURE,Ecosystem services enhanced through soundscape management link people and wildlife,10.1002/pan3.10156
713,forward,"공원 음질-지각·선호 연구, behavior 측정 여부 불명확",2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,10.1016/j.apacoust.2020.107570
726,unclear,"산림치유 청각요소·사회적 상호작용 언급, 측정 불명확",2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest Therapy and Guided Forest Therapy Programs?,10.3390/ijerph18136957
729,unclear,포치·공원 이용 자기보고와 새소리 청취 증가,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Increased Use of Porch or Backyard Nature during COVID-19 Associated with Lower Stress and Better Symptom Experience among Breast Cancer Patients,10.3390/ijerph18179102
762,reverse,"봉쇄기 근린 음환경 변화, 인간활동 기여 직접측정 불명",2021,FRONTIERS IN PSYCHOLOGY,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lockdown,10.3389/fpsyg.2021.570741
772,reverse,"모스크 공공공간 언어경관, aural behaviour·활동 군집",2021,INTERNATIONAL JOURNAL OF MULTILINGUALISM,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca,10.1080/14790718.2020.1766048
791,reverse,캠퍼스 보행자 추적과 소음 수준 동시 분석,2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus,10.3390/s22176585
799,reverse,교차로 경적 사용행동↔음환경·차량 세팅 애매,2022,APPLIED SCIENCES-BASEL,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban Intersections in Taiwan,10.3390/app12125917
811,forward,소음 민원행동 공간분석·지각 프록시 성격 애매,2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Comparative Diagnosis of the Urban Noise Problem from Infrastructural and Social Sensing Approaches: A Case Study in Ningbo, China",10.3390/ijerph19052809
819,forward,소음 민원행동과 POI 공간분포 관계 분석,2022,APPLIED ACOUSTICS,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",10.1016/j.apacoust.2022.109129
821,reverse,관광 행태요인↔음원 지각·결과는 스트레스 완화,2022,SUSTAINABILITY,"Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Visitors: Evidence from Huolu Mountain Forest Park, Guangzhou",10.3390/su142215125
823,both,공원 앱 소리제어·이용행동 측정의 행태성 애매,2022,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,Enhancing the park experience by giving visitors control over the park's soundscape,10.3233/ais-220621
831,forward,자연 사운드스케이프→보전행동·의도 여부 불명,2022,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,10.1016/j.gloenvcha.2022.102497
848,reverse,총성 음향탐지로 밀렵활동 공간분포 추정,2022,BIOLOGICAL CONSERVATION,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acoustic monitoring and occupancy models,10.1016/j.biocon.2022.109600
858,reverse,항만 음질 평가에 방문빈도·체류시간 반영,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study,10.3390/acoustics4020031
888,reverse,공공공간 사운드스케이프 지각구조·활동 연계 애매,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,10.3390/ijerph20042932
909,both,공공공간 행태지도+사운드워크·설계교육 리뷰 성격,2023,Sustainability (Switzerland),Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflective Review of Architectural Design Studio,10.3390/su151612399
917,forward,사운드스케이프→아동 사회적 상호작용 기대(의도),2023,APPLIED ACOUSTICS,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,10.1016/j.apacoust.2023.109350
927,forward,소음·녹지 노출과 자기보고 PA·자연방문 시간 동시 측정 — 판단 유보,2023,ENVIRONMENTAL RESEARCH,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",10.1016/j.envres.2023.116087
932,forward,runner의 traffic·noise 회피 경로 실천 — 음환경 변수 부수적,2023,Mobilities,Negotiating the city during the dark season: a study of recreational running,10.1080/17450101.2023.2226357
948,reverse,soundwalk path가 soundscape 평가에 미친 영향 — 역방향 여지,2023,FRONTIERS IN PSYCHOLOGY,Soundwalk path affecting soundscape assessment in urban parks,10.3389/fpsyg.2022.1096952
950,reverse,군중 행태활동·생활리듬과 soundscape 분포 연관 — 역방향,2023,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",
957,unclear,모스크 주변 음환경 특성 + visitor behaviour 관찰 — 정보 부족,2023,Civil Engineering and Architecture,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmental Sound Character,10.13189/cea.2023.110132
972,reverse,Open Streets 활동 증가 → 소음민원 — 역방향 여지,2023,ENVIRONMENTAL RESEARCH,Unintended impacts of the Open Streets program on noise complaints in New York City,10.1016/j.envres.2023.115501
980,forward,겨울 공원 회복성 — 체류시간 매개 언급·정보 부족,2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceived Characteristics in Urban Parks during Winter,10.3390/f14122329
981,reverse,음향지표가 인간 활동·행태 패턴 반영 — 역방향 여지,2024,BUILDINGS,A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Source Perception in Fuzhou Historical and Cultural Districts,10.3390/buildings14061753
982,reverse,COVID 활동변화에 따른 도시 음환경 변화 — 행태 데이터 없음,2024,APPLIED ACOUSTICS,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",10.1016/j.apacoust.2024.110036
998,forward,소음·건조환경과 walking 시간·정신건강 동시 분석 — 판단 유보,2024,ENVIRONMENTAL POLLUTION,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",10.1016/j.envpol.2024.123559
1002,reverse,통학수단 선택과 traffic noise 산정 — 역방향 여지·정보 부족,2024,DISCOVER SUSTAINABILITY,Comparison of current and proposed travel modes for students considering travelling and sustainable indicators,10.1007/s43621-024-00605-8
1009,forward,human sound 구성이 사회적 상호작용 의향에 영향 — 의향 측정,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,"Effect of human sound component on the sociability of urban public spaces-a case study in Sheffield, UK",10.1057/s41599-024-03929-y
1013,forward,근린환경과 신체활동 시민과학 — 음환경 변수 불명확,2024,INNOVATION IN AGING,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,10.1093/geroni/igad066
1016,forward,농촌 관광 soundscape 웰빙 경험 — 행태 측정 불명확,2024,Tourism Geographies,Experiencing therapeutic soundscapes in rural tourism destinations,10.1080/14616688.2024.2412984
1074,unclear,닭 소리 포함 도시 사운드스케이프와 관광객 반응 행태 불명확,2024,Florida Geographer,"Tourists, residents, and chickens in urban spaces: the case of Ybor City",
1092,forward,주거환경 소음·수면 연구 신체활동 가속도계 측정 포함,2025,ENVIRONMENTAL RESEARCH,A sensor-based study on the environmental determinants of sleep in older adults,10.1016/j.envres.2025.120874
1101,forward,주거 교통소음→아동 SDQ 과잉행동·친사회 하위척도 포함,2025,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool Children,10.1007/s11524-024-00947-8
1138,reverse,경적 사용 행동이 도시 소음 형성 행태측정 제한적,2025,ACOUSTICS,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of Ho Chi Minh City,10.3390/acoustics7020036
1143,reverse,방문객 인간소리가 보호지역 사운드스케이프 평가에 영향,2025,SCIENTIFIC REPORTS,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,10.1038/s41598-025-08524-y
1154,forward,주거 교통소음→직장 위축·공격 행동 세팅 적합성 불확실,2025,FRONTIERS IN PUBLIC HEALTH,Lunch breaks as a buffer: mitigating the negative effects of road traffic noise on urban employee workplace behavior,10.3389/fpubh.2025.1681862
1169,forward,도시 사운드스케이프와 소리신호 하 인간행동 관찰 기술,2025,LANDSCAPE ARCHITECTURE AND ART,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS,10.22616/j.landarchart.2025.27.02
1172,forward,사운드스케이프 지각→친환경 행동 전문가 관점 SEM,2025,SCIENTIFIC REPORTS,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,10.1038/s41598-025-30347-0
1175,forward,녹지·소음·신체활동 공존 코호트 소음-행태 관계 불명확,2025,ENVIRONMENT INTERNATIONAL,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort",10.1016/j.envint.2025.109876
1177,forward,사운드스케이프→보행 쾌적·회피행동 언급 측정 불명확,2025,ACOUSTICS,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaïa, Algeria",10.3390/acoustics7040064
1179,reverse,음악시설 인간활동 분포→소음·민원 행태측정 불명확,2025,SCIENTIFIC REPORTS,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,10.1038/s41598-025-19918-3
1182,forward,근린환경과 COPD 신체활동 소음은 보정변수,2025,ERJ OPEN RESEARCH,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,10.1183/23120541.00132-2025
1190,forward,보행 경로선택 행태 연구이나 음환경 변수 불명확,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,10.1016/j.trf.2025.01.012
1191,forward,국립공원 사운드스케이프; 관광객 행태데이터 수집 언급,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,10.32738/jeppm-2025-228
1200,reverse,사회행사 소음측정; 활동→소음 역방향 가능·세팅 혼재,2026,Scientific reports,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",10.1038/s41598-026-61794-y
1203,reverse,시공간 행태와 개인 소음노출 연계; 공공공간 특정 아님,2026,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,10.1038/s41370-025-00765-3
1215,forward,PPGIS 이동행태·soundscape 데이터 기술 논문,2026,DATA IN BRIEF,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities,10.1016/j.dib.2026.112981
1218,forward,공원 여가행태 관찰; 음환경 변수 명시 없음,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,10.3390/land15050811
1232,forward,가로 사운드스케이프 전문가 포커스그룹; 보행행태 논의,2026,SUSTAINABILITY,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with Experts,10.3390/su18094369
1239,forward,도시 음환경이 근접 상호작용·심박 동기화 조절,2026,PNAS NEXUS,Heart rate synchrony as a marker of real-world social engagement,10.1093/pnasnexus/pgag181
1250,unclear,주차공간 전용 준실험; 자동차 이용행태 측정·소음변수 불명확,2026,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a controlled before-after quasi-experimental study in Berlin",10.1016/j.tra.2026.105090
1253,reverse,SNS 텍스트 기반 도시 사운드스케이프 활동 유형 매핑,2026,PLOS ONE,Mapping urban soundscape patterns using user-generated content: A place model approach to acoustic environment perception,10.1371/journal.pone.0343393
1264,reverse,교차로 경적·공회전 운전행태가 소음 형성에 기여,2026,ENGINEERING RESEARCH EXPRESS,"Noise pollution of different vehicles: a case study at Agartala city, India",10.1088/2631-8695/ae3b99
1271,reverse,의례 공간의 소리·군중 행태 매핑; 아웃컴은 장소정체성,2026,Alam Cipta,"Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding Ceremony in Chenyang Eight Village, China",10.47836/ac.19.1.paper06
1275,forward,도시숲 이용빈도 자기보고; 소음저감은 인식 항목,2026,LAND,Public Perception of Urban Forests in Portugal,10.3390/land15060919
1291,forward,사운드스케이프로 관광객 시공간 행태 유도; 학술지 언어 확인 필요,2026,Tropical Geography,Soundscape-Based Mitigation of the Tidal Phenomenon in Rural Destinations: Sensory Capital Activation and Spatio-Temporal Fixation,10.13284/j.cnki.rddl.20250846
1305,forward,녹지 운동 선호·WTP 중심; 자연음 요소 포함,2026,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,10.1007/s12662-026-01101-z
1315,forward,고령자 보행 장애요인에 소음 객관지표 포함,2026,JOURNAL OF TRANSPORT GEOGRAPHY,Walking barriers in older age: A comparison of perceived and measured conditions,10.1016/j.jtrangeo.2026.104697
