no,sources,doi,year,journal,title,abstract
11,scopus,10.1121/1.385473,1981,Journal of the Acoustical Society of America,"Community noise levels in Patras, Greece","In the city of Patras (Greece), noise measurements were made for the purposes of determining the present noise-pollution levels and the reaction of the people to them. For the latter purpose, a social survey was conducted with the use of a relevant questionnaire which was applied to 500 citizens. Its results show that noise pollution is ranked second in order after air pollution,and that traffic was the principal noise pollutant. The mean noise levels, in 25 monitoring stations throughout the city, were found to be high and definitely unacceptable. For three representative locations, corresponding to high, medium, and low traffic volume, the various statistical noise descriptors, such as Leq, LNP, Ldnand others, were used, together with the other measurements, to estimate the noise environment of the entire city. The high degree of annoyance of the people is justified by the high values of L eq, L NP, L dn, and TNI that were found. © 1981, American Association of Physics Teachers. All rights reserved."
12,scopus,10.1103/physrevd.35.3572,1987,Physical Review D,Superconducting gravity gradiometer for sensitive gravity measurements. II. Experiment,"A sensitive superconducting gravity gradiometer has been constructed and tested. Coupling to gravity signals is obtained by having two superconducting proof masses modulate magnetic fields produced by persistent currents. The induced electrical currents are differenced by a passive superconducting circuit coupled to a superconducting quantum interference device. The experimental behavior of this device has been shown to follow the theoretical model closely in both signal transfer and noise characteristics. While its intrinsic noise level is shown to be 0.07 E Hz (1 E10-9 sec-2), the actual performance of the gravity gradiometer on a passive platform has been limited to 0.3-0.7 E Hz due to its coupling to the environmental noise. The detailed structure of this excess noise is understood in terms of an analytical error model of the instrument. The calibration of the gradiometer has been obtained by two independent methods: by applying a linear acceleration and a gravity signal in two different operational modes of the instrument. This device has been successfully operated as a detector in a new null experiment for the gravitational inverse-square law. In this paper we report the design, fabrication, and detailed test results of the superconducting gravity gradiometer. We also present additional theoretical analyses which predict the specific dynamic behavior of the gradiometer and of the test. © 1987 The American Physical Society."
13,scopus,,1987,Transportation Research Record,TRAFFIC ASSIGNMENT MODEL TO REDUCE NOISE ANNOYANCE IN URBAN NETWORKS.,The possibilities of reducing traffic noise annoyance in urban networks without reducing the total amount of automobile traffic are investigated. The basic idea is to reduce noise levels by influencing drivers' route choice. Possibilities to influence this choice were investigated by modifying an equilibrium assignment algorithm.
14,scopus,10.1016/s0272-4944(88)80035-5,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior,"The effects of environmental overload and noise on helping behavior is assessed through a 2 × 3 experimental design including two levels of environmental overload and three conditions on each site: without roadworks, roadworks without noise, and noisy roadworks. Results are analysed in terms of the cognitive appraisal of the situation and the narrowing of attention. The subject's behavior when confronted with explicit and implicit helping requests shows that noise appears to be the most important component of overload, affecting both the subjects' attentiveness in implicit helping demands, as well as the refusal to engage in verbal interaction. © 1988 Academic Press Limited."
15,scopus,10.1007/bf01826810,1989,Journal of Agricultural Ethics,"Ecological, ethological, and ethically sound environments for animals: Toward symbiosis","There are inconsistencies in the treatment and attitudes of human beings to animals and much confusion in thinking about what are appropriate conditions for using and keeping animals. This article outlines some of these considerations and then proposes guidelines for designing animal management systems. In the first place, the global and local ecological effects of all animal management systems must be considered and an environment designed that will not rock the biospherical boat. The main points to consider are the interrelatedness of living things with each other and the environment, the self-sustaining nature of ecosystems, and the importance of diversity in the stability and maintenance of ecosystems. These can and should be taken into account when assessing animal management. They are illustrated by examples of companion/urban dogs, as well as farm, zoo, and circus animals. The environment must also be considered from the point of view of the ethological needs of the animals. There are two possible approaches to this: (1) the reductionist approach, illustrated by the choice experimental tests; and (2) a holistic, evolutionist approach that concentrates on the degree of behavioral restriction and the identification of distress. The assessment of an animal's ethological needs, and thus the ethological soundness of an environment, must take into account the species needs (communication system, species-specific characteristics of the brain receptors and cognition) and the individual's needs (his past experience). The behavioral effects of domestication and how distress can be assessed are discussed. Different ethical positions toward animals and their treatment are briefly outlined, and it is argued that, provided animals are in ecologically and ethologically sound environments, their use by human beings is ethically acceptable. The animal-human association should be characterized by symbiosis-mutual benefit-rather than a parasitic or exploitative relationship-emp"
16,scopus+wos,10.2514/3.10763,1991,AIAA JOURNAL,NONLINEAR RANDOM RESPONSE OF ANGLE-PLY LAMINATES WITH STATIC AND THERMAL PRELOADS,"This paper presents the results of an analytical study conducted to investigate the large-deflection nonlinear response of rectangular antisymmetric angle-ply laminated composite plates subjected to combinations of static, thermal, and acoustic loads. The analytical formulation used herein is based on the classical Karman-type strain nonlinearity and includes the effect of initial deflection, initial stress, and temperature. Variations in loading conditions are studied for different ply configurations to determine the effect on root-mean-square deflection and strain. This research should serve as a guide for the sonic fatigue design of angle-ply laminates in thermal/acoustic environments, lead to the development of improved analytical design methods for such structures, and aid in understanding their fundamental behavior. © 1991 American Institute of Aeronautics and Astronautics, Inc., All rights reserved."
17,scopus,,1992,Bulletin of the World Health Organization,Vector-borne disease problems in rapid urbanization: New approaches to vector control,"Owing to population growth, poor levels of hygiene, and increasing urban poverty, the urban environment in many developing countries is rapidly deteriorating. Densely packed housing in shanty towns or slums and inadequate drinking-water supplies, garbage collection services, and surface-water drainage systems combine to create favourable habitats for the proliferation of vectors and reservoirs of communicable diseases. As a consequence, vector-borne diseases such as malaria, lymphatic filariasis and dengue are becoming major public health problems associated with rapid urbanization in many tropical countries. The problems in controlling these diseases and eliminating vectors and pests can be resolved by decision-makers and urban planners by moving away from the concept of 'blanket' applications of pesticides towards integrated approaches. Sound environmental management practices and community education and participation form the main stay of some of the most outstanding successes in this area. On the basis of these examples, it is argued that the municipal authorities need to apply a flexible methodology, which must be based on the possibilities of mobilizing community resources, with minimal reliance on routine pesticidal spraying. In this way, vector control becomes a by-product of human development in the city environment. This is now a true challenge.; Rural-urban migration and population growth are occurring more quickly now than ever before in history. These phenomena have resulted in overcrowded urbanization and increased densities of vectors which in turn have caused an increase in disease such as malaria and dengue and dengue hemorrhagic fever. Besides urban areas foster the breeding of mosquitoes, rats, and other pests. Further governmental services in both developed and developing countries have not been able to keep up with housing and sanitation needs. Moreover new migrants continue to move into temporary housing (slums) made of inferior materials with "
18,pubmed+scopus+wos,10.1007/bf00844759,1993,JOURNAL OF BEHAVIORAL MEDICINE,"AN ANALYSIS OF RELATIONSHIPS AMONG ENVIRONMENTAL NOISE, ANNOYANCE AND SENSITIVITY TO NOISE, AND THE CONSEQUENCES FOR HEALTH AND SLEEP","The complex relationship among long-term exposure to environmental noise, self-reports of health, and sleep was investigated in a multifactorial design. Forty-seven women and 35 men living beside a street with moderate to heavy traffic took part. They answered questions concerning health complaints, usual sleep patterns, sleep the actual week of testing, their subjective responses to noise, psychosocial relations, anxiety, stressful life events, type A behavior, and attitudinal factors that could explain their responses to noise. No detrimental relations among objective noise levels, health, and sleep could be shown. There were, however, strong correlations between the subjective noise responses of annoyance and sensitivity and health complaints. Only women revealed a relationship between poor sleep quality and sensitivity. The stronger relationship among noise sensitivity, health complaints, and poor sleep quality for women than for men could be explained by the degree of exposure to noise as evidenced by their longer residence and greater time spent at home. © 1993 Plenum Publishing Corporation."
19,scopus,10.1016/0886-7798(93)90132-f,1993,Tunnelling and Underground Space Technology incorporating Trenchless,Creative aspects of and uses for underground structures-Examples from Germany,"Increasingly crowded conditions in European cities have increased the use of underground buildings for a variety of purposes. Underground structures serve economic and functional purposes that permit the realization of larger structural volumes when planned as part of the city structure areas; and, therefore, constitute an important component of modern urban architecture. This paper presents examples of underground space uses in Germany, including a street tunnel and a canteen building in Bonn; the Kö-Galerie shopping arcade in Düsseldorf; the harbour park house in Hamburg; the Altstadt/Dom-Rhein project; and the Basar de Cologne; arcade in Cologne; as well as the Arnulf-Klett Arcade in Stuttgart. © 1993."
20,scopus,10.1016/0003-682x(94)90041-8,1994,Applied Acoustics,A study of noise in various modes of transport in Delhi,"A survey of traffic noise in the city of Delhi was carried out in order to examine the nature and levels of noise inside various types of vehicle. The study involved measurements of average A-weighted levels and power spectra of noise inside buses, auto-rickshaws, cars and trucks from which L10, L50, L90 and Leq levels were estimated. It is found that noise levels in auto-rickshaws are the highest, followed by trucks, buses and cars. The power spectra of all four types of vehicle exhibit rather similar behaviour. © 1994."
21,pubmed+scopus+wos,10.1007/bf01719571,1994,EUROPEAN JOURNAL OF EPIDEMIOLOGY,ENVIRONMENTAL AND PERSONAL MONITORING OF EXPOSURE TO URBAN NOISE AND COMMUNITY RESPONSE,"Noise exposure of a population sample living in a city in northern Italy (Genoa) was assessed by measuring the noise in the area as well as with personal sound detectors. Sampling was conducted during a standard day and covered a period of time spent out-of-doors, at work (service sector) and at home. Ambient noise at home and at work was assessed with sound-level meters, personal exposure levels were assessed with personal sound-level/dosimeters. Information regarding each environment was obtained with an interview including also a subjective judgement on traffic intensity and noise levels. The mean individual equivalent continuous sound level (Leq) of recorded noise was 74.5 dB(A) for 24 h and 63.9 dB(A) at night. A further distinction was made between noise exposure at home (Leq 74.4), work (Leq 74.0) and during city transfers (Leq 79.3). Leq values for individual hours, Leq daytime (Leq, d), Leq nighttime (Leq, n) and Leq day-night (Ldn) indices calculated in the different environments, i.e. at work, home and out-of-doors, are reported here. Individual noise levels have then been compared with environmental data and with subjective noise exposure judgement. © 1994 Kluwer Academic Publishers."
22,scopus,10.1080/00207239508710998,1995,International Journal of Environmental Studies,An interdisciplinary study of urban noise pollution: Part II,
23,scopus+wos,10.1121/1.413227,1995,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,FUZZY-LOGIC FOR URBAN TRAFFIC NOISE PREDICTION,"This paper addresses the problem of predicting acoustical noise. Acoustical noise and related quantities are considered in determining the relationships between noise and its causes. An innovative approach for the manipulation of traffic information is introduced: The fuzzy approach is used in order to obtain the relationship mentioned above. A set of data, collected during a measurement survey performed in a medium sized European town, is considered. The behavior of the fuzzy model is compared with the performance of the classical model, introduced in literature. The reported results show that the proposed fuzzy models contribute an improvement in the capacity to approximate real data. © 1995, Acoustical Society of America. All rights reserved."
24,scopus+wos,10.2307/3802039,1996,JOURNAL OF WILDLIFE MANAGEMENT,Effects of simulated jet aircraft noise on heart rate and behavior of desert ungulates,"Many landscapes underlying military designated air spaces have been established as national parks, wildlife refuges, or wilderness areas. The juxtaposition of public, wilderness, and military uses has led to questions of compatibility between aircraft and wildlife. We evaluated the effects of simulated low-altitude jet aircraft noise on the behavior and heart rate of captive desert mule deer (Odocoileus hemionus crooki) (n = 6) and mountain sheep (Ovis canadensis mexicana) (n = 5). We measured heart rate and behavior related to the number of simulated overflights per day (range = 1-7) and noise levels (range = 92-112 decibels [dB]) that animals were exposed to. We compared heart rates and behavior of mountain sheep and desert mule deer before, during, and after simulated overflights (n = 112 overflights/season) during 3 seasons. The heart rates of ungulates increased related to dB levels during simulated overflights (P less than or equal to 0.05), but they returned to pre-disturbance levels in 60-180 seconds. Animal behavior also changed during overflights but returned to pre-disturbance conditions in <252 seconds (P less than or equal to 0.005) All animal responses decreased with increased exposure suggesting that they habituated to simulated sound levels of low-altitude aircraft."
25,scopus,10.1016/0304-3800(95)00195-6,1996,Ecological Modelling,Influence of environmental noises on the Gomatam model of interacting species,"The stability behaviour of the stochastic version of the Gomatam model of interacting species is studied. The reproductive factor of the prey is perturbed by coloured noise. Using spectral density analysis 1 show that this system exhibits large fluctuations for high amplitude random forces. When the intraspecific interaction coefficients tend to zero along a straight line, this system exhibits abnormally large fluctuations with increasing time with a periodic background noise. A relation between the real part of the eigenvalues of the interaction matrix in the deterministic environment and the stability of this system in the stochastic environment is also obtained."
26,scopus,10.1006/jsvi.1996.0246,1996,Journal of Sound and Vibration,Subjective reaction to structurally radiated sound from underground railways: Field results,"Structurally radiated noise from underground railways is becoming a major problem for railway administrations, due to the increase in the number of tunnels in urban areas, and to the increase in train speeds, wheelset tonnage and operation frequency. As a result, the number of complaints from residents living above railway tunnels is also increasing. Several control measures have been proposed in the past 15 years, both for the track design and for the vehicle design. Nevertheless, these measures are expensive, and not always effective. While several standards have been proposed for vibration limits in this type of problem, there are few standards to define acceptable levels for this type of structure-borne sound. This paper presents field results obtained during 1994 and 1995 in the vicinity of underground railways, where measurements of vibration and low-frequency noise were obtained during train pass-bys. These results, together with measurements of environmental noise due to other sources, are considered together with the responses to a questionnaire completed by the people affected. This paper complements laboratory work carried out at the ISVR [1]. © 1996 Academic Press Limited."
27,scopus,10.1007/bf00411470,1996,Journal of Consumer Policy,Towards sound environmental behaviour: Exploring household participation in waste management,"The article reports a study of household participation in waste management. The empirical material stems from a long-term experiment with local composting carried out in a suburb of the city of Göteborg, Sweden. Fifty-two households of a population of 180 voluntarily participated in the field experiment where three makes of compostors were tested. The aim of the paper is to shed light on some critical factors that are of importance when introducing and evaluating new waste management systems that rely on active participation by households. The motives behind the initial decision to participate, as well as factors influencing continuation or discontinuation, are identified and analysed. Data were collected through three interviews carried out in the homes of participating families during the experimental period of one year. Amongst the results reported it can be seen that a general environmental concern was a common factor behind the decision to participate in the project. The positive attitude towards composting was strong throughout the experiment, although composting behaviour in the implementation phase declined in such a way that less material was composted due to lack of knowledge, technical misfits, and problems related to internal household dynamics. Another important result found was that the obstacles perceived by prospective participants prior to the commencement of the composting were not those that in fact proved to be decisive. © 1996 Kluwer Academic Publishers."
28,scopus+wos,10.1016/0160-4120(95)00108-5,1996,ENVIRONMENT INTERNATIONAL,"Transportation noise, sleep, and possible after-effects","Laboratory and field research indicate that intermittent noise is more disturbing to sleep than continuous noise. The effect increases with maximum sound pressure level of individual noise events and the ratio of this level to background noise level. The rate of increase of probability of arousal or awakening as a function of noise level is much less than that for sleep stage change. Intermittent traffic noise may decrease time spent overnight in slow-wave sleep (SWS), acid increases its onset latency, especially in younger persons. Field studies indicate that this effect may not habituate, suggesting that large numbers of young adults in cities may be chronically SWS-deprived to some degree. Laboratory data indicate that habituation of arousal responses to noise events may occur without reducing the effects on task performance the next day. Chronic exposure to traffic noise during sleep may affect mood states. Minor effects on heart rate occur even after many years of nightly exposure to noise. Short-term increases in sympathetic nervous tone occur in laboratory sleep due to single noise events. Further research is suggested, into psychological factors modifying the effects of noise on sleep, and possible associations between noise-disturbed sleep and immune response, and child development."
29,scopus+wos,10.1016/s0160-4120(97)00008-1,1997,ENVIRONMENT INTERNATIONAL,Subjective reactions to traffic noise with regard to some personality traits,"An interview method with specific questions concerning sleep, psychological disturbances, and behavior was applied to a sample of 413 residents in the center of Belgrade. In the noisy area (Leq > 65 dB (A)), there were 253 interviewed inhabitants, and 160 interviews were performed in the control zone (Leq < 55 dB (A)). Noise annoyance was measured on a ten- graded numeric scale. The Weinstein's Noise Sensitivity Scale was used to assess general sensitivity to noise. Personality traits of extroversion and neuroticism were investigated with the Eysenck Personality Questionnaire. Sleep quality was found to be worse among the inhabitants of noisy streets, compared to the control zone. The specific sleep disturbances were: difficulties in falling asleep (P < 0.05), awakenings (P < 0.001), tiredness after awakening (P < 0.01), and poor subjective sleep quality (P = 0.01). The following psychological disturbances were more frequently found in the noisy area: headache (P < 0.05), nervousness (P < 0.05), fatigue and the feeling of depression (P < 0.01). Behavioral effects of noise were: more frequent intention to change the place of living (P < 0.00l), shortening the daily period of open windows (P < 0.001), and worse interpersonal relationship between dwellers (P < 0.05). Correlation analysis revealed that subjective noise sensitivity and neuroticism significantly and positively influenced the morning effects of traffic noise (P < 0.01). There was no significant mediating effect of extro-introversion on subjective reactions to noise.; An interview method with specific questions concerning sleep, psychological disturbances, and behavior was applied to a sample of 413 residents in the center of Belgrade. In the noisy area (Leq>65 dB (A)), there were 253 interviewed inhabitants, and 160 interviews were performed in the control zone (Leq<55 dB (A)). Noise annoyance was measured on a ten-graded numeric scale. The Weinstein's Noise Sensitivity Scale was used to assess general sen"
30,scopus,10.1250/ast.19.211,1998,Journal of the Acoustical Society of Japan (E) (English translation of Nippon Onkyo Gakkaishi),Behaviour of an adaptive algorithm with a moving primary source,"Adaptive algorithms, such as LMS are often used in active noise control systems to update the strength of the secondary sources. Generally, the assumption of 'time invariant system' is introduced and the convergence behaviour of the algorithm is examined. If we try to apply the active scheme to traffic noise control, however, the time invariant assumption is apparently invalid due to the drastic changes in the primary paths. This paper describes preliminary investigations of such cases, i.e., the tracking ability of the adaptive algorithm with moving primary source. The feedforward structure is assumed in the control system, and the well known multichannel filtered-x LMS is used as an adaptive algorithm. The convergence properties are examined in both frequency and time domains. The results of the simulations in the frequency domain indicate that the attenuation varies irregularly compared with the case of a stationary primary source. In the time domain calculation, approximately 2 to 3 dB stable attenuation was obtained, however, an adverse effect was also observed especially when the primary source passed in front of the system."
31,wos,10.2466/pr0.84.3.1105-1108,1999,PSYCHOLOGICAL REPORTS,Urban traffic noise and self-reported health,This paper analyzed urban traffic noise effects on health at two different levels: intense noise and moderate noise. 42 residents of the area responded to questions on perceived noise and psychological and behavior disturbance before and after acoustic insulation was constructed. Analysis sis of self-reports indicated that perceived noise was associated with lower health. Also these perceived effects on health did not jc decrease after the acoustic isolation work was finished.
32,pubmed+scopus,10.2466/pr0.1999.84.3c.1105,1999,Psychological Reports,Urban traffic noise and self-reported health,This paper analyzed urban traffic noise effects on health at two different levels: intense noise and moderate noise. 42 residents of the area responded to questions on perceived noise and psychological and behavior disturbance before and after acoustic insulation was constructed. Analysis of self-reports indicated that perceived noise was associated with lower health. Also these perceived effects on health did not decrease after the acoustic isolation work was finished.
33,wos,10.1111/1467-954x.00204,2000,SOCIOLOGICAL REVIEW,'When you're trying something on you picture yourself in a place where they are playing this kind of music' - musically sponsored agency in the British clothing retail sector,"Despite the philosophical tradition from Plate onward, sociologists have not yet explored in full music's role as an active ingredient in social formation. This project has been left to environmental psychologists and market researchers who are more interested in 'what' music can cause than in exploring its mechanisms of operation and the implications of these mechanisms for the constitution of social agency. This paper draws upon ethnographic research in and around High Street retail outlets to examine music's role in shaping consumer agency - in-store conduct, purchase behaviour subjectivity, identity. Exploring music in this way illuminates the interface of material culture, social action and subjectivity. Music is used by retailers to signal target clientele and brand image and to structure the temporal dimensions of the retail to environment over the day, week and year. It is also used to structure in-store conduct. It is more important in relation to younger shoppers and to 'browsers'. Some stores rely upon unacknowledged skill of sales assistants, who often act as ambassador users of store products, to make and implement local music policies. Music provides contextualization cues that may structure in-store subjectivity and clients' orientations to themselves as consumers and to goods on display. The heightened degree of aesthetic reflexivity exhibited by younger shoppers may be part of a transformation of the processes in and through which agency is produced and reproduced, one that is linked to an ascendancy of commercial control over agency's constitution."
34,wos,10.1016/s0091-3057(99)00248-8,2000,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,Circadian rhythm-dependent development of melatonin effects and tolerance to PHNO in rats,"Male Sprague-Dawley rats were given 12 days of continuous infusions of (+)-4-propyl-9-hyroxynapthoxazine (PHNO, 5 mu g/h), a highly selective dopamine D-2 receptor agonist, via subcutaneous ALZET(R) osmotic pumps. Motor stimulant effects (locomotion and rearing) were monitored throughout the treatment period, including after the animals were injected with 2-iodo-melatonin (0.5 mg/kg) on days 8-10 and 13 after initiation of PHNO infusions. The rats (maintained on 12 L:12 D cycle) developed tolerance to the motor stimulant effects of PHNO during the day, and behavioral sensitization to PHNO during the night. Arousing rats with a vehicle injection transiently blocked the daytime tolerance. A more sustained environmental noise without handling of animals, which had a stronger effect on increasing motor activity of control rats, reversed tolerance to sensitization. Therefore, graded levels of arousal produce graded increases in motor activity in rats otherwise tolerant to the effects of PHNO. Daytime tolerance to PHNO was reversed to sensitization by 2-iodo-melatonin. This effect was more than an additive effect of drug + injection procedure stress. The differential development of nocturnal sensitization and diurnal tolerance to PHNO effects on motor activity may depend upon circadian rhythms in melatonin release, as well as on state of arousal. (C) 2000 Elsevier Science Inc."
35,wos,10.1006/jevp.2000.0177,2000,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of building construction noise on residents: A quasi-experiment,"Noise pollution is an environmental problem in cities. Although recent field research has focused on transport tation noises, the effects of exposure to building construction noise have not been studied. In a quasi-experiment, residents of a three-wing residence hall for female students located near a construction site served as subjects in three comparison groups. Information about their personal characteristics and perceived effects of construction noise on studying and other behaviours were gathered in a questionnaire (n = 94) and an activity log (n = 14). In addition, sound level measurements and records of resident turnover and systematic observations of windows open or closed were analysed. As expected, the results of chi-square tests, one-way ANOVAs and MANOVAs show significant wing effects (p<0.05) on frequency heard, distractability, and several perceived behavioural effects, such as being awakened, difficulty with relaxation and studying-related activities, and interference with conversation and television-watching. These effects were significantly more severe for residents closest to the construction site than those further away. Residents coped with noise by speaking louder, keeping windows closed, and leaving the room. (C) 2000 Academic Press."
36,pubmed,10.1515/reveh.2000.15.1-2.43,2000,Reviews on environmental health,Noise and health in the urban environment.,"Noise, including noise from transport, industry, and neighbors, is a prominent feature of the urban environment. This paper reviews the effects of environmental noise on the non-auditory aspects of health in urban settings. Exposure to transport noise disturbs sleep in the laboratory, but generally not in field studies, where adaptation occurs. Noise interferes with complex task performance, modifies social behavior, and causes annoyance. Studies of occupational noise exposure suggest an association with hypertension, whereas community studies show only weak relations between noise and cardiovascular disease. Aircraft and road-traffic noise exposure are associated with psychological symptoms and with the use of psychotropic medication, but not with the onset of clinically defined psychiatric disorders. In carefully controlled studies, noise exposure does not seem to be related to low birth weight or to congenital birth defects. In both industrial studies and community studies, noise exposure is related to increased catecholamine secretion. In children, chronic aircraft noise exposure impairs reading comprehension and long-term memory and may be associated with increased blood pressure. Noise from neighbors causes annoyance and sleep and activity interference health effects have been little studied. Further research is needed for examining coping strategies and the possible health consequences of adaptation to noise."
