no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
1258,social,"Frequency of one-to-one person behaviour (FOB), semi-enclosed plazas",TE as predictor (multiple linear regression),regression,"Adj R2 = 0.340, β = 0.575, p = 0.016",554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Table 5,"TE had a more significant positive impact on FOB (AdjR2 = 0.340, β = 0.575) in the semi-enclosed plazas",NO
1258,social,"Mean frequency of multi-person behaviour (FMB, times per person)",Open vs semi-enclosed vs enclosed plaza,means_sd,"open: 2.71 vs. enclosed: 0.67, semi-enclosed: 2.0; p > 0.05",554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Section 3.2.1 (Figure 7a),the FMB gradually increased and reached a maximum value in the open plazas,NO
1258,staying,"Proportion of duration of multi-person behaviour (MPB, %)",Semi-enclosed and open vs enclosed plaza,percent,"semi-enclosed: 39.1%, open: 39.6% vs. enclosed: 16.7%; p > 0.05",554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Section 3.2.1 (Figure 7b),the duration time of multi-person behaviour (MPB) was higher in the semi-enclosed and open plazas,NO
1258,other,Acoustic evaluation (AE) and thermal evaluation (TE) ratings (5-point),Enclosed / semi-enclosed / open plazas (Kruskal-Wallis),test_stat,AE of enclosed and open significantly higher than semi-enclosed (p < 0.05); TE of open significantly lower than enclosed and semi-enclosed (p < 0.05); VE no significant difference (p > 0.05); mean ratings all above 3; SPL of enclosed plazas highest,554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Section 3.1.2 (Figure 4),the AE of the enclosed and open plazas was significantly higher than that of the semi-enclosed plazas,NO
1272,movement,Response position (m; cyclist-vehicle distance at first behavioural response),"Quiet residential vs noisy street ambient noise (LMM, baseline = noisy)",regression,"β = −8.098 (SE 1.580), * p < 0.05","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Section 3.2.2,cyclists responded significantly earlier in quiet environments compared to noisy ones (β = −8.098),YES
1272,movement,Response completion position (m),Quiet vs noisy ambient noise (LMM),regression,"β = −4.190 (SE 0.901), p < .001","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Section 3.2.3,cyclists completed their responses earlier in quiet environments than in noisy environments,YES
1272,movement,Maximum deceleration (m/s2),Quiet vs noisy ambient noise (LMM),regression,"β = −3.484 (SE 0.877), p < .001","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Section 3.2.4,"multiple predictors significantly reduced maximum deceleration, including quiet environment (β = −3.484, p < .001)",YES
1272,other,"Roadside attention (mean yaw angle, degrees)",Quiet vs noisy ambient noise (LMM),regression,"0.083 (SE 0.656), n.s.","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5,cyclists' roadside attention was generally robust across different environmental noise levels,YES
1272,movement,Response position (m),AEV with visual eHMI + additional auditory alert vs AEV with visual eHMI only (LMM),regression,"β = −11.346 (SE 1.580), * p < 0.05","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Section 3.2.2,AEVs with visual eHMI and additional auditory alert was associated with significantly earlier responses than the baseline,YES
1272,movement,Response completion position (m),AEV + auditory alert vs AEV visual eHMI only (LMM),regression,"β = −9.804 (SE 0.901), p < .001","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Section 3.2.3,the AEV with visual eHMI and additional auditory alert was associated with significantly earlier response completion,YES
1272,movement,Maximum deceleration (m/s2),AEV + auditory alert vs AEV visual eHMI only (LMM),regression,"β = −1.043 (SE 0.877), p = .234 (n.s.)","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Section 3.2.4,"the AEV with visual eHMI and additional auditory alert was not statistically significant (β = −1.043, p = .234)",YES
1272,movement,Response position / response completion position / maximum deceleration,ACV (combustion-engine noise) with visual eHMI vs AEV without warnings (LMM),regression,"Response position −2.140 (SE 1.580, n.s.); completion −1.916 (0.901), p = .033; max deceleration −4.046 (0.877), p < .001; roadside attention −0.593 (0.656, n.s.)","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Sections 3.2.2-3.2.5,"the effect of the ACV with visual eHMI was smaller (β = −1.916, p = .033)",YES
1272,movement,Response position / completion / max deceleration / roadside attention,Long (25 m) vs short (15 m) eHMI signal trigger distance (LMM),regression,"Response position −12.848 (SE 1.580); completion −10.293 (0.901), p < .001; max deceleration −4.568 (0.877), p < .001; roadside attention −1.686 (0.656), p = .010","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 and Sections 3.2.2-3.2.5,"increasing the signal trigger distance led to earlier reactions, both the middle distance and the long distance",YES
1272,other,Trust in autonomous vehicle signalling (1-5),Visual signals only vs multimodal visual+auditory signals,means_sd,3.24 (SD = 0.90) vs. 3.68 (SD = 0.92),"40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Section 3.3.2,"participants' average score was 3.68 (SD = 0.92), suggesting a higher level of trust in multimodal signalling",YES
1272,other,Self-reported noticeability of vehicle signals (1-5),Light (visual eHMI) signals vs auditory signals; EV vs ICE discrimination by engine noise,means_sd,light signals 4.15 (SD = 0.65) vs. auditory signals 3.54 (SD = 0.99); distinguishing EV from ICE by engine noise 2.83 (SD = 0.79),"40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Section 3.3.1,the average score for auditory signals was slightly lower than that of light signals,YES
1272,other,"Perceived safety, comfort (interference) and discomfort ratings (1-5)",AEV warning system with auditory alert; noisy condition without auditory signals,means_sd,perceived safety M = 3.42 (SD = 0.84); interference with daily life M = 3.05 (SD = 1.08); auditory warnings enhance road safety 3.95 (SD = 0.79); discomfort in noisy conditions without auditory signals 3.85 (SD = 0.82),"40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Sections 3.3.2-3.3.4 and 4.2,The mean score of perceived safety was 3.42 (SD = 0.84),YES
1272,other,Proportion of participants endorsing auditory support,Self-report percentages,percent,73.2% reported that auditory cues enhanced their ability to detect vehicle movement; 65.8% indicated that in noisy traffic environments visual signals were easily overlooked; 57.5% considered light signals alone insufficient; 40% agreed auditory warnings could further enhance safety,"40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios","Sections 3.3.2, 4.1 and 4.2",73.2% of participants reported that auditory cues enhanced their ability to detect vehicle movement,NO
1272,movement,LMM model performance (four dependent variables),Model fit statistics,none,"Observations 1440; Marginal R2 0.239 / 0.342 / 0,048 / 0.034; Conditional R2 0.325 / 0.495 / 0.236 / 0.172 (response position / completion / max deceleration / roadside attention)","40 participants (33M/7F, M=25.54, SD=4.17); 1440 observations; 18 within-subject scenarios",Table 5 (model performance block),"Marginal R2 0.239 0.342 0,048 0.034; Conditional R2 0.325 0.495 0.236 0.172",NO
1280,staying,"Dwell time dichotomised: long stay (>15 min) vs short stay (≤15 min), binary logistic regression",Natural Sound Index (NSI),regression,"B = 0.389, SE = 0.132, Odds Ratio = 1.475, p = 0.004",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),Table 12,"Visual aesthetics, NSI, pavement quality and physical comfort had positive effects on long stay",YES
1280,staying,"Long stay (>15 min) vs short stay (≤15 min), binary logistic regression",Volume perception (item: sounds around you very loud; scale −3 very loud to 3 very quiet),regression,"B = −0.356, SE = 0.118, Odds Ratio = 0.700, p = 0.003",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),Table 12,"whereas volume perception had a negative effect on long stay (p < 0.05, Table 12)",YES
1280,staying,Long stay vs short stay (binary logistic),Visual aesthetics / pavement quality / physical comfort,regression,"Visual aesthetics B = 0.421, SE = 0.126, OR = 1.523, p = 0.001; Pavement quality B = 0.284, SE = 0.121, OR = 1.328, p = 0.019; Physical comfort B = 0.251, SE = 0.116, OR = 1.285, p = 0.031",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),Table 12,"Visual aesthetics, NSI, pavement quality, and physical comfort had positive effects on long stay",YES
1280,staying,Long stay vs short stay (binary logistic) - interaction terms,NSI x household composition; volume perception x gender; pavement quality x age; physical comfort x health,regression,"NSI × Household composition B = 0.331, SE = 0.151, OR = 1.392, p = 0.029; Volume perception × Gender B = −0.294, SE = 0.142, OR = 0.745, p = 0.039; Pavement quality × Age group B = 0.312, SE = 0.139, OR = 1.366, p = 0.025; Physical comfort × Health condition B = 0.347, SE = 0.158, OR = 1.415, p = 0.028",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),Table 12,"The interaction between pavement quality and age group was significant (B = 0.312, p = 0.025)",YES
1280,other,"Overall satisfaction (7-point semantic differential), multiple linear regression",NSI / volume perception / visual aesthetics as predictors,regression,"NSI B = 0.278, SE = 0.083, p = 0.001; Volume perception B = −0.245, SE = 0.066, p < 0.001; Visual aesthetics B = 0.312, SE = 0.071, p < 0.001; NSI × Household composition B = 0.162, SE = 0.057, p = 0.005; Volume perception × Gender B = −0.139, SE = 0.061, p = 0.024",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),Table 11,"Visual aesthetics, volume perception, NSI, pavement quality and physical comfort all had significant effects on overall satisfaction",YES
1280,social,"Behaviour type (necessary vs spontaneous vs social activities; multinomial logistic, reference = necessary)",Sound pleasure / volume perception / visual aesthetics,regression,"Sound pleasure β = 0.184, S.E. = 0.318, Wald = 0.335, Sig. = 0.564; Volume perception β = −0.315, S.E. = 0.224, Wald = 1.978, Sig. = 0.160; Visual aesthetic β = 0.847, S.E. = 0.339, Wald = 6.241, Sig. = 0.013",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),"Table 9 (model −2 log likelihood 632.319 vs 746.100; chi-square 113.781, df 100, Sig. 0.164)",only visual aesthetics showed a statistically significant effect on behaviour types (p = 0.013),YES
1280,social,Observed behaviour type composition (Gehl classification) and measured exposure,"Descriptive base rates, no acoustic contrast",percent,"social activities 81.12%, necessary activities 13.94%, spontaneous activities 4.95%; communication 67.3% of all behaviours; equivalent noise level 45 ± 12 dB(A); highest GVI in squares 45.0%",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),Sections 3.1 and 3.3,"social activities dominated (81.12%), far exceeding necessary activities (13.94%) and spontaneous activities (4.95%)",NO
1280,staying,MLP neural-network prediction of dwell time and satisfaction,Normalised importance of composite sensory predictors,percent,"volume perception 100.0%, NSI 92.1%, visual aesthetics 89.3%, pavement quality 88.3%, physical comfort 87.8%, odor concentration 77.5%, OI 64.4%, visual comfort 56.8%; prediction accuracy dwell time 85.3%, satisfaction 93.1%, overall 89.2%",N=241 valid questionnaires; 10 sample spaces; 9000 behavioural observation images (14 days x 14 h),"Section 3.4, Table 10 and Figure 4","volume perception was the most important factor (100.0%), followed by NSI (92.1%) and visual aesthetics (89.3%)",NO
1306,movement,Street-segment cycling volume (XGBoost relative contribution),Built environment vs acoustic vs visual feature blocks,percent,built environment 54.06%; acoustic features 29.49%; visual features 10.37%; population density 10.79%; distance to nearest park 7.57%; FAR 5.72%; building density 5.14%,"7,247 cycling trajectories (KEEP app, July 2023); 24,529 street-view sampling points",Section 4.2 (Fig. 5),"acoustic features were more influential than visual features, accounting for 29.49% and 10.37% of the total contribution",NO
1306,movement,Street-segment cycling volume (XGBoost relative contribution),Ranking within acoustic features,percent,"natural sounds, traffic noise and chaotic soundscapes jointly accounting for 30% of the soundscape-related contribution","7,247 cycling trajectories (KEEP app, July 2023); 24,529 street-view sampling points",Section 4.2,"natural sounds, traffic noise, and chaotic soundscapes were the top three predictors",NO
1306,movement,"Cycling volume (partial dependence plot, marginal effect)",Noise intensity / mechanical noise / chaotic noise thresholds,none,noise intensity exceeds 0.5 → cycling volume declines sharply before stabilizing; mechanical and chaotic noise suppressive especially above 0.4,"7,247 cycling trajectories (KEEP app, July 2023); 24,529 street-view sampling points",Section 4.3.1 (Fig. 6),"When the noise intensity exceeds 0.5, cycling volume declines sharply before stabilizing",NO
1306,movement,"Cycling volume (partial dependence plot, marginal effect)",Natural sounds / traffic noise / music sound thresholds,none,natural sound scores exceed 0.5 → cycling volume increases markedly; traffic noise approximately linear positive increase above 0.6; music sound slight increase around 0.4,"7,247 cycling trajectories (KEEP app, July 2023); 24,529 street-view sampling points",Section 4.3.1 (Fig. 6),cycling volume increases markedly when natural sound scores exceed 0.5,NO
1306,movement,XGBoost model performance for cycling volume,Model fit,none,"R2 value of 0.402 and an RMSE of 88.568 (learning rate 0.1, 1000 trees, max depth 6; 80/20 train-test; VIF < 3)","7,247 cycling trajectories (KEEP app, July 2023); 24,529 street-view sampling points",Section 4.1,"the XGBoost model achieved the best performance, with an R2 value of 0.402 and an RMSE of 88.568",NO
