no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
971,movement,Path offset - ANOVA main and interaction effects,sound type (3 levels) x temperature level (3 levels),test_stat,Sound SS=8.433 df=2 MS=4.216 F=32.712 p=0.000; Temperature SS=0.618 df=2 MS=0.309 F=2.396 p=0.092; Sound x Temperature SS=1.631 df=4 MS=0.408 F=3.164 p=0.014,error df and participant n not reported,Table 8 (ANOVAs of path offset),both sound types (p = 0.000) and temperature (p = 0.092) have significant self-effects on the path offset,NO
979,social,"Orientation and reaction to urban noise during walking conversation (gaze shift, verbal comment, stance) - qualitative multimodal conversation analysis",persons with psychosis vs accompanying persons; speaker vs listener role; noise vs no-noise moments,none,"No effect sizes, means, correlations or test statistics reported; excerpt-based qualitative analysis only",N = 10 video-recorded walks; N = 10 patients with psychosis each with one companion; walks 20-90 min; video-elicitations mean 60 min; 3 cameras,Sections 4 (Data) and 5 (Analysis); Conclusion point (a),participants are more sensitive to noise when they are listening than when they are speaking to their partner,NO
979,social,"Conversational disengagement after loud noise (silence duration, minimal replies, walking away from partner)",before vs after a loud strident metallic noise during one walk (Excerpt 5),none,"a very long silence follows (29 seconds: the longest silence in the entire walk-along, transcript lines 17-21); no aggregate statistic reported",single documented case within the N = 10 walks; no denominator or dispersion given,"Section 5.1.3, Excerpt 5a/5b",The conversation fades out and a very long silence follows (29 seconds: the longest silence in the entire walk-along,NO
999,reverse-acoustic,Measured sound pressure level of pedestrian spaces by human-activity spatial context (field measurement),traffic noise (TN) vs residential activity sound (RS) vs commercial activity sound (CS) recording sites,means_sd,"LAeq,6min: TN 68.3 dBA, RS 66.2 dBA, CS 67.8 dBA; LCeq,6min 77.3 / 74.8 / 73.2; LAF5,6min 74.7 / 70.1 / 71.4; LAF95,6min 63.0 / 61.6 / 62.6. Pilot 1-min SPL: residential-dominated 62-69 dB, commercial-dominated 66-74 dB, traffic noise about 68 dB",6-min monaural recordings at each of 3 site types in Dalian; no SD reported,Table 1 (sound parameters measured in the field); Section 2.1,"the SPL varied from 62 dB to 69 dB if residential activities dominated, and from 66 dB to 74 dB",NO
999,reverse-acoustic,Perceived dominance of traffic noise and of human activity sounds by human-activity spatial context,"commuting-only (PSCTA) vs residential (PSRA) vs commercial (PSCA), each at SNR -3 / 0 / +3 dB",means_sd,"Traffic: PSCTA 4.900; PSRA -3dB 4.467 (p<0.001), 0dB 4.533 (p=0.017), 3dB 4.467 (p<0.001); PSCA -3dB 4.200, 0dB 4.200, 3dB 4.067 (all p<0.001). Human sounds: PSCTA 1.000; PSRA 2.433, 2.833, 3.333; PSCA 3.867, 4.033, 3.967 (all p<0.001 vs PSCTA)","30 participants (15 M, 15 F, aged 21-28, median 25, SD 2); 210 questionnaires, 30 per auditory environment; SDs not reported (95% CI shown in Fig. 3)",Section 3.1; Fig. 3a-b,"overlaying residential activity sounds, significantly reduced the perception of traffic noise from 4.900 to 4.467",NO
999,reverse-acoustic,Perceived dominance of sound source - two-way repeated-measures ANOVA with partial eta squared,activity type (residential vs commercial) x activity intensity (SNR -3 / 0 / +3 dB plus traffic-only),test_stat,Traffic: Type SS=3.750 df=1 MS=3.750 F=18.125 p<0.001 partial eta2=0.385; SNR SS=15.333 df=3 MS=5.111 F=27.086 p<0.001 eta2=0.483; Interaction SS=1.383 df=3 MS=0.461 F=3.692 p=0.015 eta2=0.113. Human: Type SS=40.017 df=1 F=78.766 p<0.001 eta2=0.731; SNR SS=269.150 df=3 F=219.251 p<0.001 eta2=0.883; Interaction SS=18.417 df=3 F=17.322 p<0.001 eta2=0.374,"n = 30 participants, fully within-subjects; Greenhouse-Geisser correction applied",Table 3,Summary of results of repeated-measure analysis of variance for perceived dominance of sound source,YES
999,reverse-acoustic,Acoustic comfort by human-activity spatial context and activity intensity,PSCTA vs PSRA vs PSCA at SNR -3 / 0 / +3 dB,means_sd,"PSCTA 1.200; PSRA -3dB 1.933 (p=0.001), 0dB 1.767 (p=0.001), 3dB 1.333; PSCA -3dB 1.367, 0dB 1.967 (p=0.003), 3dB 1.567 (p=0.031). RM ANOVA: Type SS=0.067 df=1.000 F=0.181 p=0.674 eta2=0.006; SNR SS=15.967 df=2.471 F=15.290 p<0.001 eta2=0.345; Interaction SS=6.167 df=2.311 F=5.574 p=0.004 eta2=0.161",n = 30 participants; 210 responses; SDs not reported (95% CI in Fig. 4); NOTE internal discrepancy: PSCA at SNR 0 dB is printed as mean 1.967 in one sentence and 1.767 in the next,Section 3.2; Table 4; Fig. 4,"compared with PSCTA (mean = 1.200), acoustic comfort in PSRA at SNR = -3 dB (mean = 1.933) was significantly higher",YES
999,reverse-acoustic,ISO Pleasantness and ISO Eventfulness by human-activity spatial context and intensity,PSCTA vs PSRA vs PSCA at SNR -3 / 0 / +3 dB,means_sd,"Pleasantness: PSCTA -0.5928; PSRA -0.4870 / -0.4978 / -0.4411; PSCA -0.3852 / -0.3764 / -0.3754. Eventfulness: PSCTA 0.1196; PSRA 3dB 0.3409 (p=0.040); PSCA -3dB 0.4870, 0dB 0.5047, 3dB 0.5065 (all p<0.001). PSCA vs PSRA Eventfulness p<0.000 / 0.001 / 0.016",n = 30 participants; 210 responses; SDs not reported; NOTE typo in source: the third Pleasantness comparison is labelled SNR -3 dB but reports the 3 dB means,Section 3.3; Fig. 5; Fig. 6,"the greater the activity intensity in pedestrian spaces, the stronger the Pleasantness and Eventfulness in the soundscapes",NO
999,reverse-acoustic,Perceived affective quality of soundscape - two-way repeated-measures ANOVA with partial eta squared,activity type x activity intensity (SNR),test_stat,Pleasant: Type SS=0.313 df=1 F=6.671 p=0.015 eta2=0.187; SNR SS=1.266 df=3 F=9.236 p<0.001 eta2=0.242; Interaction SS=0.128 df=3 F=1.906 p=0.134 eta2=0.062. Eventful: Type SS=1.868 df=1 F=24.570 p<0.001 eta2=0.459; SNR SS=3.319 df=3 F=11.138 p<0.001 eta2=0.277; Interaction SS=0.758 df=3 F=6.794 p<0.001 eta2=0.190,"n = 30 participants, within-subjects; Greenhouse-Geisser correction applied",Table 5,Summary of RM ANOVA results for perceived affective quality of soundscape,YES
1005,movement,Spatial detour (route change) and temporal detour (time-of-day change) attributed to traffic noise,self-reported yes vs no among Dublin cyclists,percent,"Do you take any detours to avoid cycling on noisy routes? Yes 39, No 61. Is the time of day you choose to cycle influenced by traffic noise? Yes 32, No 68. Reported detours ranged in length from 4 to 40 min per day, some 10-20% extra time","N = 335 cyclists (men 65%, women 34%, non-binary 1%); survey June 2022",Table 2; Section 3.1.1,39% answered positively when asked whether they take detours explicitly to avoid noisy routes,YES
1005,movement,Lateral positioning and coping behaviours while cycling in loud environments,self-reported behavioural and psychological responses in loud environments,percent,"cycle closer to the kerb 30%, take the centre of the lane 25%, wear headphones 22%; bothered by the noise 60%, actively try to ignore loud noise 42%, feel their body tense 57%, get used to the noise easily 47%, feel safe in loud environments 7%; worry about exhaust fumes 82% vs noise 22%",N = 335 cyclists,Section 3.1,"30% of the sample said they cycle closer to the kerb, 25% take the centre of the lane, and 22% wear headphones",YES
1005,social,Ability to hear a travel companion talking while cycling (social interaction during travel),yes vs no vs does not talk while cycling,percent,"When cycling with someone can you hear them talking? Yes 21, No 35, I do not talk to someone while cycling 44",N = 335 cyclists,Table 2; Section 3.1.1,"Thirty-five percent responded no, that is they may try to cycle with a companion but are physically unable to hear them",YES
1005,movement,Association of noise sensitivity and noise-affected wellbeing with detouring and time-of-day change,"Chi-square tests of independence, Bonferroni-corrected alpha = 0.008",test_stat,"noise sensitivity vs detouring X2(40, N = 335) = 16.33, p = 0.999; sensitivity vs time of day X2(40, N = 335) = 23.14, p = 0.985; sensitivity vs wellbeing X2(40, N = 335) = 25.63, p = 0.962; wellbeing vs detouring X2(4, N = 335) = 16.04, p = 0.003; wellbeing vs time of day X2(4, N = 335) = 36.36, p = 0.000",N = 335 for every test; cell frequencies not tabulated,Section 3.1.2,there was a significant relationship between reports that noise influences ones wellbeing while cycling and both detouring,YES
1005,reverse-acoustic,Modelled noise exposure of direct route vs popular detour route (behaviour to acoustic exposure),"direct arterial route (4.9 km) vs popular park detour (5.8 km), equivalent 20-min journey",means_sd,"Direct route 65.4 dB(A) vs popular detour 55.1 dB(A); exposure 10.3 dB(A) higher on the direct route, saving 4 min 5 s; nearest monitor Lden 59.8 dBA; May 2022 monthly Lden Dolphins Barn 62.52, DCC Rowing Club 59.84, Ballymun 67.68, Strand Road 73.19 dB","81,403 Strava trips by 13,519 users in May 2022; single origin-destination route pair; no SD reported",Section 3.2.1; Table 4; Table 5,"a cyclists exposure to noise was 10.3 dB(A) higher on the direct route, saving 4 min 5 s",NO
1005,other,Soundscape appraisal and noise-related wellbeing among cyclists; noise sensitivity comparison,high vs low noise-sensitive cyclists (Weinstein scale); overall sample percentages,test_stat,"Mann-Whitney U: soundscape ratings high sensitivity Md = 2.4 vs low sensitivity Md = 2.4, U = 11842, p = 0.345. 73% scored highly noise sensitive, 27% low. 77% negative appraisal of the sound environment; 66% positive general cycling experience; wellbeing affected 49%; irritable/angry 91%, anxious/nervous 79%, unhappy 67%",N = 335; subgroup sizes not stated (reported only as 73% and 27% of 335),Section 3.1.2; Section 3.1; Table 2,ratings of the soundscape do not differ significantly between high (Md = 2.4) and low noise sensitive cyclists,NO
1018,reverse-acoustic,Sound source identification (perceived frequency of hearing) by behavioural state,"sitting vs walking vs acoustic behaviour (square dance, music aerobics, singing) in 3 Quanzhou parks",means_sd,Sitting / Walking / Acoustic: traffic noise 2.46 / 2.40 / 3.06 (ANOVA p=.000); music 2.86 / 3.68 / 4.53 (p=.000); sounds from human beings 3.18 / 3.25 / 3.35 (p=.412); natural sounds 3.45 / 3.38 / 2.44 (p=.000),"N = 1044 valid questionnaires (sitting 310, walking 556, acoustic 178); SDs and F values not reported; mean LAeq 58.0 dB across the three parks",Table 3; Table 7 (one-way ANOVA p-values),respondents undertaking different behaviors had different acoustic-visual perceptions,NO
1018,reverse-acoustic,Perceived affective quality (PAQ) of the soundscape by behavioural state,sitting vs walking vs acoustic behaviour,means_sd,Sitting / Walking / Acoustic: pleasant 3.50 / 3.46 / 3.75 (p=.016); chaotic 3.04 / 2.98 / 3.18 (p=.426); vibrant 3.34 / 3.35 / 3.79 (p=.123); uneventful 2.90 / 2.81 / 2.72 (p=.214); calm 3.57 / 3.47 / 3.12 (p=.000); annoying 2.65 / 2.29 / 2.22 (p=.000); eventful 3.42 / 3.48 / 3.50 (p=.524); monotonous 2.49 / 2.67 / 2.68 (p=.316),"sitting n=310, walking n=556, acoustic behaviour n=178 (total 1044); SDs and F values not reported",Table 3; Table 7,One-way ANOVA tests among different groups with respect to the acoustic-visual perception,NO
1018,reverse-acoustic,"Acoustic, visual and overall satisfaction by behavioural state",sitting vs walking vs acoustic behaviour,means_sd,Visual satisfaction VS 3.20 (sitting) / 3.44 (walking) / 3.86 (acoustic); acoustic satisfaction AS 3.90 / 4.00 / 3.82; overall satisfaction OS 3.81 / 3.92 / 3.77,"sitting n=310, walking n=556, acoustic behaviour n=178 (total 1044); SDs not reported",Table 3,Descriptive statistics for basic respondent information obtained via questionnaire,NO
1018,reverse-acoustic,"Correlation of sound source identification with acoustic satisfaction (AS) and overall satisfaction (OS), split by behaviour",traffic noise / music / sounds from human beings / natural sounds vs AS and OS,correlation,"Sitting AS: traffic -.373**, music -.167**, human .052, natural .406**; OS: -.419**, -.008, .037, .403**. Walking AS: -.406**, -.262**, -.068, .366**; OS: -.380**, .174**, -.023, .294**. Acoustic behaviour AS: -.458**, -.221**, -.088, .475**; OS: -.425**, -.206**, -.103, .461**","sitting n = 310, walking n = 556, acoustic behaviour n = 178; ** p<0.01, * p<0.05",Table 4 (SSI block),Correlation between acoustic-visual perception and satisfaction under three behaviors,YES
1018,reverse-acoustic,"Correlation of soundscape perceived affective quality with AS and OS, split by behaviour",8 PAQ attributes vs acoustic satisfaction and overall satisfaction,correlation,"Sitting AS: pleasant .454**, chaotic -.337**, vibrant .394**, calm .530**, uneventful -.344**, annoying -.374**, eventful .260**, monotonous -.206**. Walking AS: .459**, -.366**, .318**, .441**, -.206**, -.325**, .270**, -.206**. Acoustic behaviour AS: .403**, -.280**, .379**, .362**, -.227**, -.259**, .284**, -.196**","sitting n = 310, walking n = 556, acoustic behaviour n = 178",Table 4 (PAQ block),All eight soundscape perception indicators significantly affected both AS and OS,YES
1018,reverse-acoustic,"Effect of acoustic vs visual satisfaction on overall satisfaction, by behavioural state (factorial ANOVA)","VS, AS and VS x AS interaction within sitting / walking / acoustic behaviour groups",test_stat,Sitting: VS MS=7.500 F=29.270 p=.000 partial eta2=.288; AS MS=3.592 F=14.020 p=.000 eta2=.162; VS*AS MS=.340 F=1.328 p=.208 eta2=.048. Walking: VS MS=4.736 F=19.168 p=.000 eta2=.125; AS MS=3.546 F=14.350 p=.000 eta2=.096; VS*AS MS=.634 F=2.565 p=.007 eta2=.041. Acoustic: VS MS=2.587 F=6.792 p=.000 eta2=.148; AS MS=4.541 F=11.922 p=.000 eta2=.234; VS*AS MS=.400 F=1.050 p=.407 eta2=.075,"sitting n = 310, walking n = 556, acoustic behaviour n = 178; df not reported in table",Table 5,Effects of acoustic-visual satisfaction on overall satisfaction under three behaviours,YES
1018,reverse-acoustic,"Multiple linear regression predicting acoustic and overall satisfaction, by behavioural state","sitting vs walking vs acoustic behaviour; PAQ components to AS, and AS/VS to OS",regression,"AS+VS to OS: sitting VS beta=0.510 p<0.01, AS beta=0.363 p<0.01, R2=54.6%; walking AS beta=0.400, VS beta=0.387, R2=48.7%; acoustic AS beta=0.478, VS beta=0.305, R2=43.7%. PAQ to AS explanatory power: sitting 32.5%, walking 27.1%, acoustic 39.0%. Sitting PAQ comps beta=0.441 / 0.349 / 0.164; walking 0.389 / 0.341; acoustic 0.518 / 0.231 / 0.190","sitting n = 310, walking n = 556, acoustic behaviour n = 178; standard errors not reported","Figs. 4-6; Sections 3.1.3, 3.2.3, 3.3.3","acoustic, visual, and overall satisfaction could be predicted via multiple linear regression",NO
1018,reverse-acoustic,"One-vote veto: probability of overall dissatisfaction under acoustic and visual satisfaction combinations, by behaviour",satisfied vs dissatisfied with acoustic environment x satisfied vs dissatisfied with visual environment,percent,"Sitting: both satisfied 2.68%, VS veto 43.75%, AS veto 28.18%, both dissatisfied 73.61%. Acoustic behaviour: both satisfied 12.39%, AS veto 56.00%, VS veto 20.00%, both dissatisfied 79.31%. Reported veto effects all below 60% versus above 65% in prior indoor studies","sitting n = 310, acoustic behaviour n = 178; walking values reported only graphically in Fig. 3b",Sections 3.1.2 and 3.3.2; Fig. 3,the one-vote veto impact of AS (56.00 %) exceeded that of VS (20.00 %),YES
