no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
762,reverse-acoustic,Wheels vs Vehicle 차이점수(비동력 개인이동수단 대 동력차 지각음),봉쇄 69일 경과 — 이동수단 전환,correlation,"S = 14637; rho = 0.297; p = 0.036* (Table 4); 본문 rho = 0.31, p = 0.03*; Wilcoxon signed rank V = 490, p = 0.0002***",50 recordings / 69 days (medians across 50 recordings),Table 4 + RESULTS 항목 5,evidence for the assumption of an increase of activities involving non-motorized wheels such as bicycles,YES
762,reverse-acoustic,음향·지각 지표 시간추세(Eventfulness·Loudness·SPL·ACI·AR),봉쇄 69일 경과,correlation,"Eventfulness rho = 0.379, p = 0.007**; Acoustic Complexity rho = 0.549, p = 0.00005***; Acoustic Richness rho = 0.277, p = 0.051; Loudness rho = 0.21, p = 0.14 n.s.; SPL rho = 0.00427, p = 0.98; Pleasantness rho = 0.108, p = 0.45; Natural rho = -0.133, p = 0.36",50 recordings / 69 days; 평가자 N=11 (Cronbach alpha 0.87 Pleasantness / 0.83 Eventfulness),Table 4,"Eventfulness, Acoustic Complexity, and Acoustic Richness increased significantly over the time period",YES
762,reverse-acoustic,13개 기술자 전체의 시간에 따른 다변량 변화,시간 더미변수(69일),test_stat,"Pillai's trace = 0.52, F(13) = 3.09, p = 0.0037**",50 soundscapes × 13 descriptors,RESULTS 본문 (MANOVA),a multivariate analysis of variance (MANOVA) revealed that there were differences in the data,NO
762,other,Pleasantness·Eventfulness와 음원구성·음향지표 간 상관,자연음/기술음 비중 및 SPL·Loudness 대비 지각 평가,correlation,"Pleasantness-Natural rho = 0.44, p = 0.0013; Pleasantness-Technological rho = -0.44, p = 0.0015; Pleasantness-SPL rho = -0.53, p = 0.0001; Pleasantness-Loudness Variability rho = -0.51, p = 0.0002; Eventfulness-SPL rho = 0.44, p = 0.0016; Eventfulness-Loudness rho = 0.50, p = 0.0003; Eventfulness-Loudness Variability rho = 0.48, p = 0.0005",50 soundscapes; Dunn-Sidak 보정 alpha = 0.0022 (23 comparisons),RESULTS 본문,"For Pleasantness, there was a significant positive association with the amount of perceived Natural Sounds",YES
762,reverse-acoustic,일자별 음원 주석 건수(Human/Natural/Technological),봉쇄 단계별 대표일 비교,percent,Day 4: Human 28 / Natural 15 / Technological 12; Day 16: Technological 32 / Natural 13 / Human 7; Day 28: Human 39 우세; Phase 3 첫날: Human 27 / Natural 26; Day 48: Human 87 / Natural 23 / Technological 4,"주석 총 5581건(전문가 12인, 녹음당 라벨 중앙값 14)",RESULTS 본문 + Table 5,Human sources are clearly predominant (87) over Natural (23) and Technological (4) sources,NO
799,movement,선두차량 출발 지연시간 start delay time (초),좌회전 허용 녹색신호에서 경적 사용 상황 vs 미사용 상황,means_sd,Intersection 1: 4.6 vs 2.2; Intersection 2: 6.2 vs 2.0; Intersection 3: 4.2 vs 2.1; All intersections: 5.2 vs 2.2; t-test p < 0.01 (전부),With honking n = 27 / 24 / 6 / 57; Without honking n = 117 / 34 / 95 / 246; SD 미보고,Table 9,"mean start delay times were over 4 s when horn use occurred, but only about 2 s when horn use did not occur",NO
799,movement,경적 유발 상황 유형별 발생 건수,좌회전 가능 녹색신호 구간 상황 분류(끼어들기/서행/급정지/정지상태 지연/불명),percent,"Intersection 1: 10 / 4 / 3 / 27 / 55, without honking 117; Intersection 2: 2 / 3 / 1 / 24 / 14, without honking 34; Intersection 3: 2 / 6 / 0 / 6 / 29, without honking 95","전체 측정기간(주중 1일 + 주말 1일, 각 12시간 중 매시 10분 영상)",Table 8,horn use was frequently found in situation (4) (stopping state situations) at each intersection,NO
799,reverse-acoustic,경적 사용 빈도(10분당 횟수),차종별 교통량과의 상관(주중/주말),correlation,"Int.1 Motorcycle -0.08 / 0.53, Standard 0.54 / 0.72**, Large 0.13 / -0.04; Int.2 Motorcycle 0.13 / 0.38, Standard 0.65* / 0.72**, Large -0.27 / 0.08; Int.3 Motorcycle 0.00 / 0.90**, Standard 0.09 / 0.85**, Large -0.22 / 0.70**",교차로·측정일별 12개 시간대(7:00-18:00) 자료. n 명시 없음,Table 5,significant correlations between the standard-sized vehicle traffic volume and the frequency of horn use,YES
799,reverse-acoustic,경적 사용 빈도(10분당 횟수),총 교통량 및 차로당 교통량과의 상관,correlation,"주중 Int.1 r = 0.16, Int.2 r = 0.28, Int.3 r = 0.02 (모두 n.s.); 주말 Int.1 r = 0.72 p<0.01, Int.2 r = 0.57 n.s., Int.3 r = 0.90 p<0.01; 러시아워 제외 Int.1 r = 0.71 p<0.01, Int.2 r = 0.35 n.s., Int.3 r = 0.77 p<0.01; 차로당 교통량 r = 0.63 p<0.01 (전체), r = 0.74 p<0.01 (러시아워 제외)","시간대별 10분 교통량 자료(주중 12h·주말 12h, 러시아워 제외 시 주중 9h)",4.1절 본문 + Figure 5,These figures in Figure 5 show positive relationships between the frequency of horn use and the traffic volume per lane,YES
799,reverse-acoustic,최대소음도 LAmax (dB),경적 빈도 및 교통환경 변수 다중회귀,regression,"Honking frequency 0.542, p = 0.003; Traffic volume of motorcycles 0.221, p = 0.118; standard-sized -0.303, p = 0.144; large-sized 0.301, p = 0.117; total number of exiting lanes 0.144, p = 0.494 (표준화 편회귀계수)",교차로 3곳 × 주중/주말 자료. 표본수 명시 없음. entry lanes는 다중공선성으로 제외,Table 11,the significant variable is the honking frequency only and suggests that LAmax increases with the frequency of honking,NO
799,reverse-acoustic,등가소음도 LAeq 10min (dB),경적 빈도 및 교통환경 변수 다중회귀,regression,"Traffic volume of motorcycles 0.670, p < 0.001; standard-sized -0.095, p = 0.518; large-sized -0.030, p = 0.827; total number of exiting lanes 0.022, p = 0.883; Honking frequency 0.201, p = 0.109 (표준화 편회귀계수)",교차로 3곳 × 주중/주말 자료. 표본수 명시 없음,Table 10,"The result reveals that LAeq,10min increases with the traffic volume of motorcycles",NO
799,reverse-acoustic,등가소음도 LAeq 10min (dB),총 교통량과의 상관(교차로·요일별),correlation,"Int.1 rweekday = -0.05 n.s., rweekend = 0.81 p<0.01; Int.2 rweekday = 0.87 p<0.01, rweekend = 0.76 p<0.01; Int.3 rweekday = 0.62 p<0.05, rweekend = 0.85 p<0.01",시간대별(7:00-18:00) 10분 측정치,4.4절 본문,"Significant relationships between LAeq,10min and total traffic volume were found for all measurements",YES
804,movement,음환경 선호도(-2~2 리커트),운동 형태(느린 걷기·조깅·빠른 걷기·기구운동·광장무 등) 선택과의 상관,correlation,"Slow walking: birdsong 0.158**, water flow 0.157**, rustle of leaves 0.117*, cry of insects 0.110*; Jogging: rustle of leaves 0.141**, wind 0.122, birdsong 0.102; Brisk walking: rustle of leaves 0.130*; Gymnastics: footsteps -0.141**; Square dance: construction noise -0.148**; Chinese martial arts: water flow 0.123*","N = 344 유효응답(406부 수거, 유효율 84.7%)",Table 2,Those who chose jogging and brisk walking had a higher potential preference for natural sounds,YES
804,space-use,음환경 선호도(-2~2 리커트),운동 장소 선택(광장·잔디길·숲길·호반길·운동기구장)과의 상관,correlation,"Forest footpath: wind 0.146**, birdsong 0.168**, cry of insects 0.184**, rustle of leaves 0.195**; Lakeside footpath: water flow 0.135*; Fitness equipment venue: rustle of leaves 0.147**, water flow 0.165**, exercise sound 0.127*; Lawn footpath: footsteps -0.113*, exercise sound -0.156**; Square open space: water flow -0.118*, construction noise -0.113*",N = 344,Table 3,positive correlation between the choice of footpath in forests and lawns and preference for natural sounds,YES
804,social,음환경 선호도(-2~2 리커트),운동 외 동반활동 유형(가족·사교·여가·조용한 활동·집단활동·운동만)과의 상관,correlation,"Family activities: birdsong 0.142**, cry of insects 0.160**, rustle of leaves 0.141**, water flow 0.171**; Social activities: conversational voice 0.120*, construction noise 0.022*, machine noise -0.021*; Leisure activities: conversational voice 0.122*, footsteps 0.151**; Just exercise: broadcast -0.106*",N = 344,Table 7,with a higher tolerance for activity sound,YES
804,movement,음환경 선호도(-2~2 리커트),운동 강도(경/중/고) 및 운동 빈도 집단 간 차이,test_stat,"운동강도 light: wind p = 0.047*, birdsong p = 0.022*, leaves p = 0.000**; strenuous: traffic p = 0.015*, construction p = 0.03*, machine noise p = 0.009**; 운동빈도 고빈도: wind p = 0.012*, birdsong p = 0.04*, insects p = 0.014*, leaves p = 0.007**, water flow p = 0.024*, device music p = 0.024*, entertainment p = 0.022*, traffic p = 0.045*",N = 344; ANOVA F값·집단별 평균±SD 미보고(레이더차트만 제시),3.4.4-3.4.5절 본문 + Figures 10-11,the light exercisers showed a significant preference for natural sounds ... compared to the strenuous exercisers,NO
804,other,Exercise feeling(운동 체감),음환경 선호·시각경관 선호 잠재변수의 직접효과(SEM),regression,"Exercise feeling <- Soundscape preference: Estimate 0.059, S.E. 0.101, C.R. 0.579, p = 0.034; Exercise feeling <- Visual landscape preference: 0.649, S.E. 0.095, C.R. 6.807, p < 0.001; Natural sound <- Soundscape preference 0.740, S.E. 0.041, C.R. 18.003; Artificial sound <- Soundscape preference -0.414, S.E. 0.083, C.R. -4.971","N = 344; CMIN/DF = 2.595, GFI = 0.958, AGFI = 0.925, RMR = 0.023, CFI = 0.973",Table 9 + Figure 12,the overall soundscape preference (0.06) did not have a high degree of direct effect on perception,YES
833,movement,경로 선택(hidden paths 이용)과 해당 구간 측정 오염도,숨은 경로 구간의 PNC 분위 대비,percent,"The PNC measured are mostly low (16 times below median, 6 times higher)","N = 28 참가자(자전거 21, 도보+대중교통 5, 자전거+통근열차 2). 소음은 46-85 dB(A) 8구간으로 분류",4.4 Protective practices en route,"Hidden paths often included no/few cars, side roads and greenery/water. The PNC measured are mostly low",NO
833,movement,노출 회피 이동행태(속도 증가·이격·차단) 언급 참가자 수,불쾌·고노출 구간 통과 시 대응 실천,percent,"increasing speed to avoid unpleasant areas (RA1, RA17, RA20, RA28 = 4명); distance from cars/emitters (RA1, RA2, RA7, RA10, RA12, RA26, RA27 = 7명); three participants breathe flatly / hold the breath / pull up the mask; suppressing or ignoring incl. headphones (9명)","N = 28 go-/ride-alongs. 사례 ID 표기만, 통계검정 없음",4.4절 본문,Participants increased speed to avoid unpleasant areas ... or distance from cars/emitters,NO
833,other,이동 중 감각·환경 코드 언급 빈도,정온 vs 소음 등 코드별 총 언급 수,percent,Quietness 40; Noise 49; Positive sounds (musicians) 4; Positive sounds (people talking) 2; Neutral sounds 1; Positive sounds (memories) 1; Vegetation/water 49; Polluted air 42; Fresh air 9; Observe people 18; Community/neighborhood 19,N = 28 인터뷰(MAXQDA2020 코딩),Table 2,Statements about momentary perceived quietness were stated equally often as perceived noise,NO
833,other,고오염 구간에서의 환경 평가 진술 수,측정 PNC 극고·고 구간에서 부정 vs 긍정 평가,percent,"the interviewees perceived their environment as unpleasant or stressful 46 times, but the environment was perceived as positive 52 times",N = 28. 진술 단위 집계(5회 이상 코드만 도식화),4.2절 본문 + Figure 4,"Reasons for these discrepancies are, for example, vegetation/water, social cues or urban aesthetics",NO
