no,cluster,contrast,stat_type,stat_verbatim,location,n1,n2,n_total,computable,convert_path,note
322,MA4,LAeq (15-min street level) vs (d) interruption of a conversation with someone nearby,r,0.63 ***,Table 3,,,,no,r -> Fisher z,n 미보고(분석단위=표본지점). CT0126과 동일 데이터셋 — MA4엔 둘 중 한 편만 채택
322,MA4,LAeq vs (e) raising the volume of voice to speak with someone nearby,r,0.65 ***,Table 3,,,,no,r -> Fisher z,PRIMARY 후보(대면 대화 행태). n 미보고·CT0126 중복이라 실제 투입은 CT0126 권고
322,MA4,LAeq vs (f) interruption of a phone conversation,r,0.54 **,Table 3,,,,no,r -> Fisher z,n 미보고·CT0126 중복. 유의수준 **p<=0.01
322,MA4,LAeq vs (g) raising the volume of voice during a phone conversation,r,0.64 ***,Table 3,,,,no,r -> Fisher z,n 미보고·CT0126 중복
322,MA4,LZeq (unweighted) vs (e) raising the volume of voice with someone nearby,r,0.71 ***,Table 3,,,,no,r -> Fisher z,민감도용 최적 지표(저자도 LZeq가 LAeq보다 우수하다고 명시). n 미보고
322,none,LAImax / LCFmin vs behaviour items (d)(e)(f)(g),r,"Table 4 LAImax (d) 0.45 *, (e) 0.53 **, (f) 0.31 n.s., (g) 0.45 *; Table 5 LCFmin (d) 0.61 ***, (e) 0.58 **, (f) 0.55 **, (g) 0.54 **",Table 4; Table 5,,,,no,,동일 표본 다중 음향지표 — 주효과와 중복. 민감도 참고용
322,none,one-third octave band Leq vs (e) and (g),other,(e) values for the correlation coefficient of up to 0.77 around the 25 Hz band; (g) a maximum r value of 0.68 in the 500 Hz band; Sec 3.1 a variation of 3 dB in these acoustic variables represents a variation of approximately one point on the 0-10 rating scale,Sec 3.3.2; Sec 3.1,,,,narrative,,밴드별 최대 r 서술 — 표 수치 아님. 서술 종합 전용
335,none,delayed vs accelerated augmented footstep sounds (walking speed),other,NR (6.2절 Storytelling and Warning Sounds 이후 본문 절단으로 보행속도 결과 미수록),Sec 6.2 이후 절단,,,16,no,,절단으로 통계치 없음 — 원문 PDF 재확인 대상. within-subject 16명 현장실험
335,none,seven soundscapes rating comparison (online survey),chi2,"A Friedman test indicated that our soundscapes were rated differently X 2(6) = 24.234, p < 0.001",Sec 4.1,,,16,no,,온라인 설문 16명·결과=사운드스케이프 평정(지각)이며 행태 아님. 옴니버스 df 6
348,none,crowd density (people/m2) vs source sound intensity level (numerical model calibration),other,"L f f As(1 m) = 60.75 + 7.41 × d (dBA), R2 = 0.9966, valid for d >= 0.1 people/m2 (Eq.10); reference correlation LAeq = 62.15 + 24.49 × sqrt(d); The difference in sound levels between the model and reality is proven to be less than 3 dB in 75% and less than 3.5 dB in 100% of the cases examined in a controlled environment",Eq.(10) Sec 2.5; Abstract,,,,no,,참가자 없는 센서·수치모델 연구. 사람 표본 부재로 표준 효과크기 풀링 불가. 4절 실가로 검증은 절단
356,none,"IVP soundscape attributes vs PSI public space dimensions (correlation, best-fit permutation)",other,NR (Cluster B 서술 도중 본문 절단 — 상관계수·best-fit permutation 수치 전부 절단 구간),Results 절단 구간,,,10,no,,절단으로 통계치 없음 — 원문 PDF 재확인 대상. SENS_ONLY 판정·평가자 10명·공간 2곳
371,none,APS configuration x crossing corridor (sense of safety),mean_sd,"Mean ± SD Trial1 / Trial2 / Trial3 — 1. Exclusive phasing with non-directional APS, short crossing 4.1 ± 1.1 / 4.4 ± 0.7 / 4.6 ± 0.6; 2. Exclusive non-directional, long 3.3 ± 1.1 / 3.8 ± 1.0 / 4.1 ± 0.6; 3. Concurrent directional, short 4.1 ± 0.9 / 4.4 ± 0.7 / 4.4 ± 0.7; 4. Exclusive directional, long 4.2 ± 0.8 / 4.3 ± 0.9 / 4.3 ± 0.8; 5. Exclusive directional, short 4.6 ± 0.5 / 4.8 ± 0.4 / 4.8 ± 0.4; 6. Concurrent directional, long 3.7 ± 1.2 / 4.1 ± 1.3 / 4.1 ± 1.2",Table 1,18,18,18,no,,결과=주관적 안전감(지각)이며 행태 아님. 완전 반복측정·상관 미보고로 g 불가
371,none,directional vs non-directional APS: trajectory correction into safety corridor,proportion_2x2,"Departure from outside safety corridor (inner / outer) and arrival inside — 1: 3 / 0, 1 (33.3%); 2: 11 / 0, 5 (45.5%); 3: 2 / 2, 0 (0.0%); 4: 2 / 0, 0 (0.0%); 5: 3 / 0, 2 (66.7%); 6: 8 / 0, 7 (87.5%); TOTAL 29 / 2, 15 (48.4%)",Table 5,,,18,no,,관측단위=instances(18명 x 6회랑 x 3시행)로 참가자 n 아님. 음향 대비프레임(N/P) 불일치
371,none,"GPS trajectory within safety corridor, trials x crossing corridors (nparLD)",p_only,"sense of safety: between the trials p < 0.001, between the crossing corridors p < 0.001, interaction p = 0.455; GPS: trial 1 no significant interaction p = 0.116, trial 2 interaction p = 0.019, trial 3 interaction p = 0.003",Sec 3.1; Sec 3.2,,,18,no,,nparLD 옴니버스 p만·효과크기 및 pairwise 미보고 — 규칙 5조에 따라 미변환
414,MA3,auditory perception space vs visual perception space: social interactive behavior,proportion_2x2,"Social interactive behavior 39 (21.2) / 99 (53.8) / 15 (8.2) / 31 (16.8) [Visual / Auditory / Tactile / Olfactory]; column totals Visual perception space n = 1,113, Auditory n = 455, Tactile n = 295, Olfactory n = 386",Table 4,455,1113,1167,yes,"2x2 (Auditory 99/455 vs Visual 39/1,113) -> OR -> Chinn d = ln(OR)*sqrt(3)/pi","PRIMARY. 관측=이용자 기록 1,167건이나 공간열 합 2,249로 중복계수 — 독립성 위배 주의"
414,MA2,auditory perception space vs visual perception space: leisure (staying) behavior,proportion_2x2,Leisure behavior 589 (68.8) / 98 (11.4) / 69 (8.1) / 100 (11.7) [Visual / Auditory / Tactile / Olfactory],Table 4,455,1113,1167,yes,"2x2 (Auditory 98/455 vs Visual 589/1,113) -> OR -> Chinn d",부호 음수 예상(청각공간 체류 낮음). MA3 PRIMARY와 동일 표본 이중계수 — 택1 또는 민감도
414,none,auditory perception space vs visual perception space: transit behavior,proportion_2x2,Transit behavior 80 (30.1) / 58 (21.8) / 76 (28.6) / 52 (19.5) [Visual / Auditory / Tactile / Olfactory],Table 4,455,1113,1167,no,,통행 발생 여부이지 보행속도 아님 — MA1 지표 불일치
414,none,perceptual space type x five levels of interactive perception (omnibus),chi2,Levels of interactive perception in garden engagement x2 = 407.076; P = 0.001 (Table 4 기타 Gender 12.878; 0.004908 / Age 60.8588; 0.001 / Status 25.5578; <0.001 / Mobility impairment 5.20912; 0.1571 / Time 20.5835; <0.001),Table 4,,,1167,no,,4x5 옴니버스(df 12) — 규칙 5조에 따라 미변환. 하위 2x2 셀 빈도만 사용
