rec,source,screen,status,doi,year,journal,authors,meta_from,filename,orig_ct_file
106,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.scs.2016.03.002,2016,Sustainable Cities and Society,Aletta et al,crossref,2016_SCS_Aletta et al_Differences in soundscape appreciation of walking sounds from differen.pdf,CT0106_2016_Differences in soundscape appreciation of walking sounds from different footpath materia.pdf
123,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1121/10.0008928,2021,The Journal of the Acoustical Society of America,Mitchell et al,crossref,2021_JASA_Mitchell et al_Investigating urban soundscapes of the COVID-19 lockdown A predictive.pdf,CT0123_2021_Investigating urban soundscapes of the COVID-19 lockdown A predictive soundscape modelin.pdf
126,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.scitotenv.2022.159406,2023,Science of The Total Environment,Montes González et al,crossref,2023_STOTEN_Montes González et al_Effects of noise on pedestrians in urban environments where road traff.pdf,CT0126_2022_Effects of noise on pedestrians in urban environments where road traffic is the main sou.pdf
128,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.tbs.2021.05.006,2021,Travel Behaviour and Society,Blitz,crossref,2021_TravBehavSoc_Blitz_How does the individual perception of local conditions affect cycling.pdf,CT0128_2021_How does the individual perception of local conditions affect cycling An analysis of the.pdf
137,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/ijerph16050840,2019,International Journal of Environmental Research and Public Health,Xiao & Hilton,crossref,2019_IJERPH_Xiao & Hilton_An Investigation of Soundscape Factors Influencing Perceptions of Squa.pdf,CT0137_2019_An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urba.pdf
166,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/land10050459,2021,Land,Franěk & Režný,crossref,2021_Land_Franěk & Režný_Environmental Features Influence Walking Speed The Effect of Urban Gre.pdf,CT0166_2021_Environmental Features Influence Walking Speed The Effect of Urban Greenery.pdf
175,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/ijerph15040815,2018,International Journal of Environmental Research and Public Health,Burrows et al,crossref,"2018_IJERPH_Burrows et al_How Urban Parks Offer Opportunities for Physical Activity in Dublin, I.pdf","CT0175_2018_How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland.pdf"
182,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.jtrangeo.2025.104179,2025,Journal of Transport Geography,Gao & Fang,crossref,2025_JTransGeogr_Gao & Fang_Deciphering urban cycling Analyzing the nonlinear impact of street env.pdf,CT0182_2025_Deciphering urban cycling Analyzing the nonlinear impact of street environments on cycli.pdf
184,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.scs.2021.102860,2021,Sustainable Cities and Society,Cao & Kang,crossref,2021_SCS_Cao & Kang_The influence of companion factors on soundscape evaluations in urban.pdf,CT0184_2021_The influence of companion factors on soundscape evaluations in urban public spaces.pdf
208,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/land12101838,2023,Land,Paydar et al,crossref,"2023_Land_Paydar et al_Design Characteristics, Visual Qualities, and Walking Behavior in an U.pdf","CT0208_2023_Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting.pdf"
209,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3846/16486897.2016.1172076,2016,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT,ALETTA et al,crossref,2016_Land_ALETTA et al_THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE.pdf,CT0209_2016_THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN.pdf
212,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.cities.2024.105543,2025,Cities,Li et al,crossref,2025_Cities_Li et al_How do urban green space attributes affect visitation and satisfaction.pdf,CT0212_2024_How do urban green space attributes affect visitation and satisfaction An empirical stud.pdf
219,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.jtrangeo.2022.103510,2023,Journal of Transport Geography,Naseri et al,crossref,2023_JTransGeogr_Naseri et al_The role of neighbourhood design in cycling activity during COVID-19 A.pdf,CT0219_2022_The role of neighbourhood design in cycling activity during COVID-19 An exploration of t.pdf
220,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/land14010050,2024,Land,Han et al,crossref,2024_Land_Han et al_The Influence of Multi-Sensory Perception on Public Activity in Urban.pdf,CT0220_2024_The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces An E.pdf
233,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.jum.2024.05.004,2024,Journal of Urban Management,Tao et al,crossref,2024_JUrbanMgmt_Tao et al_Spatiotemporal association of urban park characteristics and physical.pdf,CT0233_2024_Spatiotemporal association of urban park characteristics and physical activity levels ba.pdf
241,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.ufug.2024.128539,2024,Urban Forestry &amp; Urban Greening,Krajter Ostoić et al,crossref,2024_UrbaFore_Krajter Ostoić et al_Exploring the negative perceptions of tree-based urban green space. Pe.pdf,CT0241_2024_Exploring the negative perceptions of tree-based urban green space. Peoples behaviour an.pdf
265,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.buildenv.2024.112261,2025,Building and Environment,LIN et al,crossref,2025_BuildEnv_LIN et al_Determinants of soundscape quality of communal open space in Hong Kong.pdf,CT0265_2024_Determinants of soundscape quality of communal open space in Hong Kong.pdf
267,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.jtrangeo.2024.103811,2024,Journal of Transport Geography,Wang et al,crossref,2024_JTransGeogr_Wang et al_Sociospatial inclusiveness of streets through the lens of urban pedest.pdf,CT0267_2024_Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities Go.pdf
268,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/su13158423,2021,Sustainability,Belkayalı & Kaymaz,crossref,2021_Sustainability_Belkayalı & Kaymaz_Acoustic Environment of Urban Historical Places A Case Study in Kastam.pdf,"CT0268_2021_Acoustic Environment of Urban Historical Places A Case Study in Kastamonu, Turkey.pdf"
269,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/ijgi13070262,2024,ISPRS International Journal of Geo-Information,Xiong et al,crossref,2024_IJGI_Xiong et al_The Influence of Perceptions of the Park Environment on the Health of.pdf,CT0269_2024_The Influence of Perceptions of the Park Environment on the Health of the Elderly The Me.pdf
273,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.ufug.2025.128869,2025,Urban Forestry &amp; Urban Greening,Chang et al,crossref,2025_UrbaFore_Chang et al_Exploring multiscale relationships between environmental characteristi.pdf,CT0273_2025_Exploring multiscale relationships between environmental characteristics and recreationa.pdf
274,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.cities.2024.105253,2024,Cities,Sun et al,crossref,2024_Cities_Sun et al_COVID-19 pandemic changes the outdoor physical activity preference in.pdf,CT0274_2024_COVID-19 pandemic changes the outdoor physical activity preference in Chinese city A 7-y.pdf
285,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.ufug.2024.128325,2024,Urban Forestry &amp; Urban Greening,Nelson et al,crossref,2024_UrbaFore_Nelson et al_Is the grass greener or the water bluer Drivers of local park visitati.pdf,CT0285_2024_Is the grass greener or the water bluer Drivers of local park visitation patterns in Pho.pdf
296,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.5614/j.eng.technol.sci.2022.54.1.7,2022,Journal of Engineering and Technological Sciences,Sarwono et al,crossref,2022_JourOf_Sarwono et al_The Implementation of Soundscape Composition to Identify the Ideal Sou.pdf,CT0296_2022_The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various .pdf
309,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/infrastructures10060137,2025,Infrastructures,Paydar & Kamani Fard,crossref,2025_Infrastructures_Paydar & Kamani Fard_Older Adults’ Walking Behavior and the Associated Built Environment in.pdf,CT0309_2025_Older Adults Walking Behavior and the Associated Built Environment in Medium-Income Cent.pdf
320,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.21837/pm.v21i30.1406,2023,PLANNING MALAYSIA,Shi et al,crossref,2023_PlanMala_Shi et al_EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERI.pdf,CT0320_2023_EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY THE CASE O.pdf
322,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/app142311212,2024,Applied Sciences,Morillas et al,crossref,2024_ApplSci_Morillas et al_Estimation of the Occurrence and Significance of Noise Effects on Pede.pdf,CT0322_2024_Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acou.pdf
327,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1177/09574565221114660,2022,Noise &amp; Vibration Worldwide,Berkouk et al,crossref,2022_NoisAmp_Berkouk et al_Evaluation of the soundscapes through the cafe terraces before and aft.pdf,CT0327_2022_Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lo.pdf
328,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.baae.2025.12.007,2026,Basic and Applied Ecology,Egerer et al,crossref,2026_BasiAnd_Egerer et al_Social-ecological relationships on biodiverse and health-promoting cit.pdf,CT0328_2025_Social-ecological relationships on biodiverse and health-promoting city soundscapes.pdf
335,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1515/icom-2022-0020,2022,i-com,Schrapel et al,crossref,2022_ICom_Schrapel et al_EnvironZen Immersive Soundscapes via Augmented Footstep Sounds in Urba.pdf,CT0335_2022_EnvironZen Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas.pdf
342,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/su17167564,2025,Sustainability,Lindborg et al,crossref,2025_Sustainability_Lindborg et al_Sensory Heritage Is Vital for Sustainable Cities A Case Study of Sound.pdf,CT0342_2025_Sensory Heritage Is Vital for Sustainable Cities A Case Study of Soundscape and Smellsca.pdf
343,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.cities.2025.106467,2026,Cities,Panahi et al,crossref,2026_Cities_Panahi et al_Women's walking behavior Investigating contributing factors in urban c.pdf,CT0343_2025_Womens walking behavior Investigating contributing factors in urban contexts.pdf
348,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/s25123604,2025,Sensors,Ramón-Turner et al,crossref,2025_Sensors_Ramón-Turner et al_Noise Levels Due to Commercial and Leisure Activities in Urban Areas E.pdf,CT0348_2025_Noise Levels Due to Commercial and Leisure Activities in Urban Areas Experimental Valida.pdf
356,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1080/17549175.2025.2529175,2025,Journal of Urbanism: International Research on Placemaking and Urban Sustainability,Llorca-Bofí & Sezer,crossref,2025_Sustainability_Llorca-Bofí & Sezer_Soundscape and public realm – a quasi-experimental comparison between.pdf,CT0356_2025_Soundscape and public realm a quasi-experimental comparison between Individual Vocabulary .pdf
365,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.15243/jdmlm.2024.113.5695,2024,Journal of Degraded and Mining Lands Management,Bouttaba et al,crossref,2024_Land_Bouttaba et al_Peri-urban forests an exploratory study of users' recreational activit.pdf,CT0365_2024_Peri-urban forests an exploratory study of users recreational activities The case of the.pdf
371,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.jth.2024.101938,2024,Journal of Transport &amp; Health,Routhier et al,crossref,2024_JourOf_Routhier et al_Three pedestrian phasing with audible pedestrian signals configuration.pdf,CT0371_2024_Three pedestrian phasing with audible pedestrian signals configurations Experience of blin.pdf
378,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/ijerph23020206,2026,International Journal of Environmental Research and Public Health,Andersson et al,crossref,2026_IJERPH_Andersson et al_Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas.pdf,CT0378_2026_Pedestrians Perceptions of Motorized Traffic in SuburbanRural Areas of a Metropolitan Regi.pdf
382,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1051/aacus/2026051,2026,Acta Acustica,Masullo & Navarro,crossref,2026_ActaAcus_Masullo & Navarro_Introducing short informational-attentional masking sounds to improve.pdf,CT0382_2026_Introducing short informational-attentional masking sounds to improve staying in pocket .pdf
390,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.5814/j.issn.1674-764x.2025.03.019,2025,Journal of Resources and Ecology,Pengwei et al,crossref,2025_JResEcol_Pengwei et al_The Impact of Parental and Park Factors on Children's Urban Park Use i.pdf,"CT0390_2025_The Impact of Parental and Park Factors on Childrens Urban Park Use in Shanghai, China.pdf"
395,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.ecoinf.2025.103548,2026,Ecological Informatics,Li et al,crossref,"2026_EcolInform_Li et al_Associations among park features, physical activities, and sensory per.pdf","CT0395_2025_Associations among park features, physical activities, and sensory perceptions from onli.pdf"
410,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3724/j.fjyl.la20250363,2026,Landscape Architecture,WANG et al,crossref,2026_Land_WANG et al_Emotional Mediation of the Effect of Urban Park Audiovisual Elements o.pdf,CT0410_2026_Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Phy.pdf
413,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.jtrangeo.2026.104653,2026,Journal of Transport Geography,Xie et al,crossref,2026_JTransGeogr_Xie et al_Understanding the cooling and air purification effects of green spaces.pdf,CT0413_2026_Understanding the cooling and air purification effects of green spaces on running behavi.pdf
414,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3389/fpsyg.2026.1733848,2026,Frontiers in Psychology,Sun et al,crossref,2026_FrontPsych_Sun et al_Behavioral mapping of multisensory experience and engagement in access.pdf,CT0414_2026_Behavioral mapping of multisensory experience and engagement in accessible gardens a cas.pdf
428,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.buildenv.2026.115060,2026,Building and Environment,Feng & Li,crossref,2026_BuildEnv_Feng & Li_Dynamic audio-visual preference in waterfront walking environments Eff.pdf,CT0428_2026_Dynamic Audio-Visual Preference in Waterfront Walking Environments Effects of Distance-L.pdf
7,main-search,,FINAL_INCLUDE,,1978,,,pdf_map,1978_TheJour_Boles & Hayward_Effects of Urban Noise and Sidewalk Density upon Pedestrian Cooperation.pdf,
14,main-search,,FINAL_INCLUDE,,1988,,,pdf_map,1988_JEnvPsych_Moser_Urban stress and helping behavior Effects of environmental overload and.pdf,
53,main-search,,FINAL_INCLUDE,,2004,,,pdf_map,2004_Ergo_Wall et al_Directional guidance from audible pedestrian signals for street crossing.pdf,
71,main-search,,FINAL_INCLUDE,,2007,,,pdf_map,2007_LUP_Gidlöf-Gunnarsson & Öhrström_Noise and well-being in urban residential environments The potential rol.pdf,
123,main-search,,FINAL_INCLUDE,,2010,,,pdf_map,2010_ApplAcoust_Yu & Kang_Factors influencing the sound preference in urban open spaces.pdf,
121,main-search,,FINAL_INCLUDE,,2010,,,pdf_map,2010_IJERPH_Krog et al_Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreat.pdf,
234,main-search,,FINAL_EXCLUDE,,2013,,,pdf_map,2013_Acoustics_Popescu et al_Urban Noise Annoyance Between 2001 and 2013 – Study in a Romanian City.pdf,
271,main-search,,FINAL_INCLUDE,,2014,,,pdf_map,2014_TheInte_Bishop & Marshall_Towards an Evidence-based Model for Assessing Urban Squares as Social Pl.pdf,
323,main-search,,FINAL_INCLUDE,,2016,,,pdf_map,2016_ApplSci_Aletta et al_An Experimental Study on the Influence of Soundscapes on People’s Behavi.pdf,
372,main-search,,FINAL_INCLUDE,,2016,,,pdf_map,2016_IJERPH_Cerwén et al_The Role of Soundscape in Nature-Based Rehabilitation A Patient Perspect.pdf,
379,main-search,,FINAL_INCLUDE,,2016,,,pdf_map,2016_NoiseMapp_Lobo Soares & Bento Coelho_Urban park soundscape in distinct sociocultural and geographical context.pdf,
341,main-search,,FINAL_INCLUDE,,2016,,,pdf_map,2016_STOTEN_Meng & Kang_Effect of sound-related activities on human behaviours and acoustic comf.pdf,
406,main-search,,FINAL_INCLUDE,,2017,,,pdf_map,2017_STOTEN_Meng et al_Effect of temporary open-air markets on the sound environment and acoust.pdf,
435,main-search,,FINAL_INCLUDE,,2017,,,pdf_map,2017_SounStud_Pakravan_Soundscape and sonic memory dynamics of Jewish and Muslim day-to-day soc.pdf,
480,main-search,,FINAL_INCLUDE,,2018,,,pdf_map,2018_ApplSci_Zhao et al_Influence of Contextual Factors on Soundscape in Urban Open Spaces.pdf,
469,main-search,,SENS_ONLY,,2018,,,pdf_map,2018_AsiaPaci_Qiu et al_Exploring tourists’ soundscape emotion and its impact on sustainable tou.pdf,
492,main-search,,FINAL_INCLUDE,,2018,,,pdf_map,2018_FrontPsych_Bild et al_Public Space Users’ Soundscape Evaluations in Relation to Their Activiti.pdf,
481,main-search,,FINAL_INCLUDE,,2018,,,pdf_map,2018_FrontPsych_Meng et al_Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces.pdf,
461,main-search,,FINAL_INCLUDE,,2018,,,pdf_map,2018_IJERPH_Franěk et al_Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Spe.pdf,
494,main-search,,FINAL_INCLUDE,,2018,,,pdf_map,"2018_STOTEN_Rey Gozalo et al_Relationships among satisfaction, noise perception, and use of urban gre.pdf",
520,main-search,,FINAL_INCLUDE,,2019,,,pdf_map,2019_ActaAcus_Bild et al_An Exploratory Study on the Influence of Activities on Public Space User.pdf,
566,main-search,,FINAL_INCLUDE,,2019,,,pdf_map,2019_IJERPH_Steele et al_Soundtracking the Public Space Outcomes of the Musikiosk Soundscape Inte.pdf,
532,main-search,,FINAL_INCLUDE,,2019,,,pdf_map,2019_Peer_Franěk et al_Effect of birdsongs and traffic noise on pedestrian walking speed during.pdf,
539,main-search,,FINAL_INCLUDE,,2019,,,pdf_map,2019_UrbaFore_Liu et al_Factors associated with soundscape experiences in urban green spaces A c.pdf,
560,main-search,,FINAL_INCLUDE,,2019,,,pdf_map,2019_UrbaFore_Rey Gozalo et al_Perceptions and use of urban green spaces on the basis of size.pdf,
661,main-search,,FINAL_INCLUDE,,2020,,,pdf_map,2020_ApplSci_Soares et al_The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decisi.pdf,
665,main-search,,FINAL_INCLUDE,,2020,,,pdf_map,2020_BuildEnv_Ba et al_The effects of sounds and food odour on crowd behaviours in urban public.pdf,
602,main-search,,FINAL_INCLUDE,,2020,,,pdf_map,"2020_BuildEnv_Young Hong & Yong Jeon_Comparing associations among sound sources, human behaviors, and soundsc.pdf",
613,main-search,,FINAL_EXCLUDE,,2020,,,pdf_map,2020_IJERPH_Gražulevičienė et al_Environmental Quality Perceptions and Health A Cross-Sectional Study of.pdf,
666,main-search,,FINAL_INCLUDE,,2020,,,pdf_map,2020_LUP_Jo & Jeon_The influence of human behavioral characteristics on soundscape percepti.pdf,
617,main-search,,FINAL_INCLUDE,,2020,,,pdf_map,2020_Sustainability_Berkouk et al_Examining the Associations between Oases Soundscape Components and Walki.pdf,
648,main-search,,FINAL_EXCLUDE,,2020,,,pdf_map,2020_Sustainability_Zhao et al_Residents’ Spatial Perceptions of Urban Gardens Based on Soundscape and.pdf,
732,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_BuildEnv_Tarlao et al_Investigating contextual influences on urban soundscape evaluations with.pdf,
724,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_EmotSpac_Alves et al_Exploring the soundscape and the atmosphere of the Gigli di Nola cultura.pdf,
779,main-search,,FINAL_EXCLUDE,,2021,,,pdf_map,2021_EnvInt_de Bont et al_Urban environment and obesity and weight-related behaviours in primary s.pdf,
761,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_Forests_Fang et al_Soundscape Perceptions and Preferences for Different Groups of Users in.pdf,
725,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_FronIn_Li et al_Factors Affecting Perceived Health Benefits and Use Behaviors in Urban G.pdf,
762,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_FrontPsych_Lenzi et al_Soundscape in Times of Change Case Study of a City Neighbourhood During.pdf,
694,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_IJERPH_Aletta & Van Renterghem_Associations between Personal Attitudes towards COVID-19 and Public Spac.pdf,
726,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_IJERPH_Kim & Shin_Forest Therapy Alone or with a Guide Is There a Difference between Self-.pdf,
729,main-search,,FINAL_EXCLUDE,,2021,,,pdf_map,2021_IJERPH_Pearson et al_Increased Use of Porch or Backyard Nature during COVID-19 Associated wit.pdf,
770,main-search,,FINAL_EXCLUDE,,2021,,,pdf_map,2021_IJERPH_Zhong et al_The Influence of Emotional Health on the Activity Characteristics of the.pdf,
760,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_InteJour_Unknown_Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method.pdf,
746,main-search,,FINAL_INCLUDE,,2021,,,pdf_map,2021_TravBeha_Herrmann-Lunecke et al_Perception of the built environment and walking in pericentral neighbour.pdf,
858,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_Acoustics_Di Loreto et al_Soundscape Approach in the Seaport of Ancona A Case Study.pdf,
799,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_ApplSci_Takada et al_Analysis of the Effects and Causes of Driver Horn Use on the Acoustic En.pdf,
880,main-search,,FINAL_EXCLUDE,,2022,,,pdf_map,2022_EnviRese_Koreny et al_Urban environment and physical activity and capacity in patients with ch.pdf,
804,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_Forests_Xu et al_Audio-Visual Preferences for the Exercise-Oriented Population in Urban F.pdf,
862,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_Forests_Zhao et al_Temporal and Spatial Characteristics of Soundscape Ecology in Urban Fore.pdf,
811,main-search,,FINAL_EXCLUDE,,2022,,,pdf_map,2022_IJERPH_Si et al_Comparative Diagnosis of the Urban Noise Problem from Infrastructural an.pdf,
833,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_JourOf_Marquart et al_How are air pollution and noise perceived en route Investigating cyclist.pdf,
818,main-search,,SENS_ONLY,,2022,,,pdf_map,2022_Land_Li et al_Does Soundscape Perception Lead to Environmentally Responsible Behavior.pdf,
883,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_PeopAnd_Uebel et al_Urban park soundscapes Spatial and social factors influencing bird and t.pdf,
791,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_Sens_Toutouh & Alba_A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking.pdf,
821,main-search,,FINAL_INCLUDE,,2022,,,pdf_map,2022_Sustainability_Guo et al_Effects of Sound Source Landscape in Urban Forest Park on Alleviating Me.pdf,
901,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_EcolIndic_Fu et al_Can acoustic indices reflect the characteristics of public recreational.pdf,
980,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_Forests_Bao et al_White Spaces Unveiled Investigating the Restorative Potential of Environ.pdf,
971,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_Forests_Chen et al_Thermal–Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park.pdf,
948,main-search,,FINAL_EXCLUDE,,2023,,,pdf_map,2023_FrontPsych_Sun et al_Soundwalk path affecting soundscape assessment in urban parks.pdf,
964,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_FrontPsych_Yin et al_The effects of the natural visual-aural attributes of urban green spaces.pdf,
931,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_LUP_Chen & Kang_Natural sounds can encourage social interactions in urban parks.pdf,
951,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_SCS_Huang et al_Sustainable design of running friendly streets Environmental exposures p.pdf,
912,main-search,,FINAL_EXCLUDE,,2023,,,pdf_map,"2023_STOTEN_Huang et al_Do objective and subjective traffic-related pollution, physical activity.pdf",
909,main-search,,FINAL_EXCLUDE,,2023,,,pdf_map,2023_Sustainability_Hong & Chong_Designing Public Soundscapes through Social Architecture and Soundscape.pdf,
930,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_Sustainability_Hosseini & Kowkabi_Measuring the Soundscape Quality in Urban Spaces A Case Study of Histori.pdf,
