id,branch,year,journal,title,doi,screening,source_file,txt,pages,chars
569,DB,2019,JOURNAL OF PARK AND RECREATION ADMINISTRATION,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,10.18666/jpra-2019-9149,BORDERLINE,2019_JourOf_Citarella et al_Taking the Plunge Enhancing the Visitor Experience in Waterfall-Based.pdf,TXT_0569.txt,64,88032
684,DB,2021,WEATHER CLIMATE AND SOCIETY,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?,10.1175/wcas-d-21-0020.1,BORDERLINE,2021_WeatClim_Wang et al_A season for complaints how does weather affect noise complaints betwe.pdf,TXT_0684.txt,16,89927
848,DB,2022,BIOLOGICAL CONSERVATION,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acoustic monitoring and occupancy models,10.1016/j.biocon.2022.109600,BORDERLINE,2022_BiolCons_Pardo et al_Predicting poaching hotspots in the largest remnant of the Atlantic Fo.pdf,TXT_0848.txt,10,66240
917,DB,2023,APPLIED ACOUSTICS,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,10.1016/j.apacoust.2023.109350,BORDERLINE,2023_ApplAcoust_Su et al_Effects of soundscape on Chinese children's social interaction measure.pdf,TXT_0917.txt,11,63127
950,DB,2023,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",,BORDERLINE,2023_JourOf_Yan et al_Study on the Spatio-temporal Characteristics of Soundscape in Famous H.pdf,TXT_0950.txt,15,50048
982,DB,2024,APPLIED ACOUSTICS,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",10.1016/j.apacoust.2024.110036,BORDERLINE,2024_ApplAcoust_Alías-Pujol et al_A long-term global and clustering analysis of the COVID-19 pandemic ef.pdf,TXT_0982.txt,14,70558
998,DB,2024,ENVIRONMENTAL POLLUTION,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",10.1016/j.envpol.2024.123559,BORDERLINE,"2024_EnvPollut_Zijlema et al_Cities and mental health The role of the built environment, and enviro.pdf",TXT_0998.txt,9,68941
1074,DB,2024,Florida Geographer,"Tourists, residents, and chickens in urban spaces: the case of Ybor City",,BORDERLINE,"2024_FlorGeog_Johansson_Tourists, residents, and chickens in urban spaces the case of Ybor Cit.pdf",TXT_1074.txt,23,55259
1101,DB,2025,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool Children,10.1007/s11524-024-00947-8,BORDERLINE,2025_JourOf_Dėdelė et al_Association Between Residential Exposure to Road Traffic Noise and Psy.pdf,TXT_1101.txt,12,48579
1271,DB,2026,Alam Cipta,"Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding Ceremony in Chenyang Eight Village, China",10.47836/ac.19.1.paper06,BORDERLINE,2026_AlamCipt_Zhang et al_Perception and Display of Folk Activities in Cultural Space – A Case S.pdf,TXT_1271.txt,32,83787
1276,DB,2026,CITIES & HEALTH,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation,10.1080/23748834.2026.2616563,INCLUDE,2026_Cities_Nello-Deakin & Delclòs-Alió_Quieter except on weekend evenings changes in street-level noise follo.pdf,TXT_1276.txt,27,59819
OAS0011,OAS,2024,Geographical Research,"Performance and atmosphere in urban public spaces: Street music in Guangzhou, China",10.1111/1745-5871.12632,RETRIEVE,2024_GeogRese_Lin et al_Performance and atmosphere in urban public spaces Street music in Guan.pdf,TXT_OAS0011.txt,14,61990
OAS0041,OAS,2025,Korea Institute of Design Research Society,"Sound, Symbol, and Space: An Ethnosemiotic Analysis of Vernacular Soundscapes in Honghai Morning Market",10.46248/kidrs.2025.2.49,RETRIEVE,"2025_KoreInst_Shi_Sound, Symbol, and Space An Ethnosemiotic Analysis of Vernacular Sound.pdf",TXT_OAS0041.txt,15,50100
OAS0050,OAS,2025,Landscape Architecture,Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of Green Spaces and Their Activity Characteristics,10.3724/j.fjyl.202409200552,RETRIEVE,2025_Land_WU et al_Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of G.pdf,TXT_OAS0050.txt,9,37236
OAS0073,OAS,1994,The Journal of the Acoustical Society of America,"Auto traffic noise, air traffic noise, and the environmental quality of city streets: Test of a model",10.1121/1.409379,RETRIEVE,"1994_JASA_Meyers et al_Auto traffic noise, air traffic noise, and the environmental quality o.pdf",TXT_OAS0073.txt,3,13872
