no,cluster,contrast,stat_type,stat_verbatim,location,n1,n2,n_total,computable,convert_path,note
90,none,Exp2 구간별 Tukey HSD 사후 효과크기,other,"'the Tukey HSD post-hoc test revealed significant differences in walking speed between sections 6 and all other sections except for sections 4 and 5 (Cohen's d ranged from 0.06 to 0.22 for motivational music and from 0.17 to 0.46 for non-motivational music) as well as between section 8 and sections 4, 5, 6, 11, and 14 (Cohen's d was 0.22 for motivational music, and for non-motivational music, it ranged from 0.12 to 0.29)'",Experiment 2 Results 본문,,,121,narrative,,절단 구간에서 신규 확보. 구간(시각환경) 간 대비이며 음환경 대비 아님 — 서술 종합 전용
90,MA1,Exp1 조건별 표본수 및 Music C 제외 (신규 verbatim),other,"'In the no-music condition, 79 undergraduates attending psychology courses participated in the study'; 'Thirty-three participants (20 males and 13 females) listened to music track A (Music A), with an average tempo of 114 beats/min'; 'Thirty-five participants (20 males and 15 females) listened to music track B (Music B), with an average tempo of 124 bpm'; 'Because only four participants walked with Music C, we omitted this group from the statistical analyses'",Methods Participants · Experiment 1 Results 본문,33,35,79,yes,Table 3 mean_sd → Hedges g,1차 79/72 구조 확정. Music A·B는 무음악 79명의 하위집합(중첩) — 독립군 대비 아님이 원문으로 재확인
90,MA1,Table 3 'Average speed on the route' 전체 행 (재확인),mean_sd,Table 3 Average speed on the route — No-music 1.59 / SD 0.14; Music A 1.60 / SD 0.13; Music B 1.68 / SD 0.13; Motivational m. 1.67 / SD 0.17; Non-motivational m. 1.47 / SD 0.14,Table 3,,,,yes,mean_sd → Hedges g,1차 수치와 완전 일치 확인(절단 영향 없음). Exp2 두 열이 유일한 완전 독립군 대비
335,MA1,delayed (slower) augmented footstep playback → step duration trend,other,"'When footstep sounds were played slower, a Mann-Kendall Test identified a significant increasing trend of the step durations (p = 0.0072, z = 2.69, τ = 0.34, s = 0.0007)'",Sec 6.4 Asynchronous Footstep Playback · Figure 5,,,16,narrative,,★1차 '절단으로 통계치 없음' 해소 — Mann-Kendall z·τ·p 확보. 분석단위=걸음(관측)이라 참가자 n 아님(4항)·τ는 변환규칙 미포함
335,MA1,accelerated (faster) augmented footstep playback → step duration trend,other,"'A Mann-Kendall test was performed for each study part. We could not identify a significant trend when footsteps were played faster (p = 0.79, z = 0.27, τ = −0.04, s = −17.0)'",Sec 6.4 Asynchronous Footstep Playback · Figure 5,,,16,narrative,,★1차 미확인 해소 — 가속 조건은 null. 동일하게 걸음 단위 추세검정이라 g 변환 불가. 방향은 지연↔가속 비대칭
335,MA1,three soundscapes x footstep augmentation → step duration (Friedman),chi2,"'A Shapiro-Wilk test showed no normal distribution of the step duration with augmented footsteps in the soundscapes Beach and Mountain. Therefore, a Friedman test was performed that showed no significant differences between the three soundscapes with and without footstep augmentation regarding the step duration (F(6, 16) = 5.86, p = 0.32 > 0.05)'",Sec 7 Discussion,,,16,no,,"★신규 확보. 원문이 Friedman 통계량을 'F(6,16)'로 표기(라벨 오류 의심). 6자유도 옴니버스라 5항 미변환"
335,none,단일 참가자 P5: 지연 피드백 → step duration,other,"'Also for P5, a delay of the step sounds led to an increase in the step duration, according to a Mann-Kendall test (p = 0.04 < 0.05, z = 1.97, τ = 0.51, s = 23.0), although he noticed no change in the rate of the footstep playback'",Sec 7 Discussion,,,1,no,,신규 확보. n=1 사례라 풀링 불가. 지연 피드백이 인지 없이도 보행을 늦춘다는 서술 근거
335,none,in-situ 현장연구 표본 및 온라인 설문 표본 분리 (신규 verbatim),other,"'We recruited sixteen participants (three women and 13 men) aged 21 to 58 years (M = 28.9, SD = 9.7 years) for the in-situ study. Seven of these participants (M = 26.9, SD = 2.4 years) also participated in the previous online survey'; 'Sixteen individuals (four female and twelve male) aged between 22 and 32 years (M = 25.2, SD = 2.3 years) were surveyed'",Sec 4 Online Survey · Sec 5 In-Situ Field Study,,,16,no,,온라인 설문 16명과 현장 16명은 별개 표본(7명 중복) — 1차 n_total=16 혼용 소지 해소
335,none,walking speed 측정 절차 및 조작 크기 (신규 verbatim),other,"'By averaging the time between the first five recognized steps we measured the current walking speed. Based on this calculated average step duration a footstep rhythm continued that, depended on the study part, ether increased or decreased by five milliseconds every two seconds. After 60 seconds, or the initial averaged step duration plus or minus 150 milliseconds, the footstep playback continued with this maximum step duration offset'",Sec 5 절차 본문,,,16,no,,조작 크기 ±150 ms·결과지표=step duration 확정. m/s 단위 보행속도 평균·SD는 전문 확인 후에도 미보고
356,none,IVP–PSI best-fit permutation mean distances (Market/Park x 5 datasets),other,"Table 4 mean distance (italic) — Audio attributes (permutation 104: 14523) PSI-IVP Market: 12.17, PSI-IVP Park: 8.71; Visual attributes (permutation 32: 43512) Market: 18.36, Park: 11.98; Audio + Visual attributes (permutation 29: 45132) Market: 18.89, Park: 15.22; Audiovisual attributes (permutation 71: 31254) Market: 16.17, Park: 10.50; Audio+Visual+Audiovisual attributes (permutation 39: 42351) Market: 12.44, Park: 7.68",Table 4,,,10,no,,★1차 '전부 절단' 해소 — 수치 전부 확보. 그러나 '상관'의 실체는 Euclidean 평균거리이고 r·p·검정통계는 전문 어디에도 부재
356,none,IVP–PSI 거리 해석 서술 (Discussion),other,"'The least correlated dataset is the use of ""Audio and Visual"" attributes, with mean distances of 18.89 and 15.22, for the market and the Park respectively. Using ""Audiovisual"" attributes decreases significantly the means, especially for the Park (10.50). However, the lowest mean distance is achieved by the combination of ""Audio+Visual+Audiovisual"" attributes in the Park. A mean distance of 7.68 is achived'; 'the mean distances range between 1,65 and 3,37 in the Park'",Discussion,,,10,no,,"신규 확보. 단 본문 'Park 1,65~3,37'이 Table 4 Park값(7.68~15.22)과 불일치 — 원문 내부 모순으로 신뢰도 낮음"
356,none,IVP 평가자 표본·속성·시퀀스 수 (신규 verbatim),other,"'The analysis consists of ten participants answering a questionnaire at home using a prepared website interface, which completed the IVP, and each of them elicited four, five, or six attributes. Forty percent of the assessors were women'; 'the total number of collected attributes was 76'; 'Each attribute was applied to rate all eight urban sequences, resulting in 8 sets of evaluations'; 'the research was conducted with a limited number of people'",Evaluating soundscapes using IVP · Conclusion,,,10,no,,평가자 10명·속성 76개·시퀀스 8개 확정. 표본 극소 + 행태 결과변수 자체 부재 — 어느 MA 클러스터에도 투입 불가
356,none,"attribute clustering (dendogram, Clusters A–E)",other,"'The Euclidean distance of the mean distance matrix is used to cluster the attributes under a cutoff value of 34, which is the value giving enough clusters to be different among them but still maintaining enough attributes in each cluster'",Evaluating soundscapes using IVP · Figure 8,,,10,no,,1차 'Cluster B 서술 도중 절단' 구간 확인 완료 — 군집화는 컷오프 34의 기술적 절차일 뿐 검정통계 없음
