no,verdict,pdf,year,journal,title,doi
234,BORDERLINE,Y,2013,ARCHIVES OF ACOUSTICS,Urban Noise Annoyance Between 2001 and 2013-Study in a Romanian City,10.2478/aoa-2013-0024
240,BORDERLINE,N,2014,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSIONS OF SOUNDS,
251,BORDERLINE,N,2014,URBAN FORESTRY & URBAN GREENING,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",10.1016/j.ufug.2014.05.006
268,BORDERLINE,N,2014,APPLIED ACOUSTICS,The effects of expectation on the perception of soundscapes,10.1016/j.apacoust.2014.03.016
271,INCLUDE,Y,2014,International Journal of Interdisciplinary Social and Community Studies,Towards an evidence-based model for assessing urban squares as social places,10.18848/2324-7576/cgp/v09i01/53520
301,BORDERLINE,N,2015,ENVIRONMENTAL HEALTH,Street-level noise in an urban setting: assessment and contribution to personal exposure,10.1186/s12940-015-0006-y
323,INCLUDE,Y,2016,APPLIED SCIENCES-BASEL,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Public Space,10.3390/app6100276
341,INCLUDE,Y,2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces,10.1016/j.scitotenv.2016.08.130
351,BORDERLINE,N,2016,Environment International,Long-term transportation noise annoyance is associated with subsequent lower levels of physical activity,10.1016/j.envint.2016.03.011
357,BORDERLINE,N,2016,LANDSCAPE ARCHITECTURE FRONTIERS,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE,
365,BORDERLINE,N,2016,LANDSCAPE ARCHITECTURE FRONTIERS,SOUNDSCAPE PERCEPTION OF URBAN RECREATIONAL GREEN SPACE,
372,INCLUDE,Y,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective,10.3390/ijerph13121229
378,BORDERLINE,N,2016,Journal of Transportation Engineering,Urban noise analysis using multinomial logistic regression,10.1061/(asce)te.1943-5436.0000843
379,INCLUDE,Y,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts,10.1515/noise-2016-0016
387,BORDERLINE,N,2017,SCIENCE OF THE TOTAL ENVIRONMENT,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,10.1016/j.scitotenv.2016.12.061
406,INCLUDE,Y,2017,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of temporary open-air markets on the sound environment and acoustic perception based on the crowd density characteristics,10.1016/j.scitotenv.2017.06.017
411,BORDERLINE,N,2017,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natural experimental study,10.1186/s12966-017-0557-0
412,BORDERLINE,N,2017,EXPOSURE AND HEALTH,"Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affected by Intense Urban Expansion (Fortaleza-CE, Brazil): Implications for Public Health Policy",10.1007/s12403-016-0230-x
433,BORDERLINE,N,2017,ENVIRONMENT INTERNATIONAL,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",10.1016/j.envint.2017.09.009
435,INCLUDE,Y,2017,Sound Studies,"Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions in Udlajan, Tehran",10.1080/20551940.2018.1451221
444,BORDERLINE,N,2017,Social and Cultural Geography,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with Ménière’s disease,10.1080/14649365.2016.1228116
461,INCLUDE,Y,2018,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed,10.3390/ijerph15040752
469,INCLUDE,Y,2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development,10.1080/10941665.2018.1494614
480,INCLUDE,Y,2018,APPLIED SCIENCES-BASEL,Influence of Contextual Factors on Soundscape in Urban Open Spaces,10.3390/app8122524
481,INCLUDE,Y,2018,FRONTIERS IN PSYCHOLOGY,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces,10.3389/fpsyg.2018.00596
484,BORDERLINE,N,2018,ENVIRONMENTAL RESEARCH,Multiple pathways link urban green- and bluespace to mental health in young adults,10.1016/j.envres.2018.06.004
485,BORDERLINE,N,2018,NOISE & HEALTH,Negative impact of noise and noise sensitivity on mental health in childhood,10.4103/nah.nah_9_18
489,BORDERLINE,N,2018,ENVIRONMENTAL RESEARCH,Pathways linking residential noise and air pollution to mental ill-health in young adults,10.1016/j.envres.2018.06.031
492,INCLUDE,Y,2018,FRONTIERS IN PSYCHOLOGY,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-Based Study,10.3389/fpsyg.2018.01593
494,INCLUDE,Y,2018,SCIENCE OF THE TOTAL ENVIRONMENT,"Relationships among satisfaction, noise perception, and use of urban green spaces",10.1016/j.scitotenv.2017.12.148
499,BORDERLINE,N,2018,URBAN FORESTRY & URBAN GREENING,Spatial-temporal change analysis of plant soundscapes and their design methods,10.1016/j.ufug.2017.11.002
509,BORDERLINE,N,2018,Urban Forestry and Urban Greening,Tranquillity Trails for urban areas,10.1016/j.ufug.2017.11.015
512,BORDERLINE,N,2018,ENVIRONMENTAL RESEARCH,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,10.1016/j.envres.2017.09.015
520,INCLUDE,Y,2019,ACTA ACUSTICA UNITED WITH ACUSTICA,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of Their Auditory Environments on Site: The Case of Amsterdam,10.3813/aaa.919327
532,INCLUDE,Y,2019,PEERJ,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,10.7717/peerj.7711
539,INCLUDE,Y,2019,URBAN FORESTRY & URBAN GREENING,"Factors associated with soundscape experiences in urban green spaces: A case study in Rostock, Germany",10.1016/j.ufug.2017.11.003
556,BORDERLINE,N,2019,LANDSCAPE AND URBAN PLANNING,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",10.1016/j.landurbplan.2019.103602
559,BORDERLINE,N,2019,APPLIED ACOUSTICS,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns,10.1016/j.apacoust.2019.07.014
560,INCLUDE,Y,2019,URBAN FORESTRY & URBAN GREENING,Perceptions and use of urban green spaces on the basis of size,10.1016/j.ufug.2019.126470
562,BORDERLINE,N,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",10.1016/j.trf.2019.08.006
566,INCLUDE,Y,2019,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention,10.3390/ijerph16101865
569,BORDERLINE,N,2019,JOURNAL OF PARK AND RECREATION ADMINISTRATION,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,10.18666/jpra-2019-9149
599,BORDERLINE,N,2020,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a),10.1121/10.0002008
602,INCLUDE,Y,2020,BUILDING AND ENVIRONMENT,"Comparing associations among sound sources, human behaviors, and soundscapes on central business and commercial streets in Seoul, Korea",10.1016/j.buildenv.2020.107327
613,BORDERLINE,Y,2020,International Journal of Environmental Research and Public Health,"Environmental quality perceptions and health: A cross-sectional study of citizens of Kaunas, Lithuania",10.3390/ijerph17124420
615,BORDERLINE,N,2020,APPLIED ACOUSTICS,Evaluation of noise pollution related to human perception in a university campus in Brazil,10.1016/j.apacoust.2019.107023
617,INCLUDE,Y,2020,SUSTAINABILITY,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlation or Causation?,10.3390/su12114619
623,BORDERLINE,N,2020,UCL open. Environment,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,10.14324/111.444/ucloe.000009
624,BORDERLINE,N,2020,TOURISM MANAGEMENT PERSPECTIVES,How do Chinese tourists perceive tranquillity during the tour?,10.1016/j.tmp.2020.100666
639,BORDERLINE,N,2020,NOISE MAPPING,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy",10.1515/noise-2020-0021
648,BORDERLINE,Y,2020,SUSTAINABILITY,Residents' Spatial Perceptions of Urban Gardens Based on Soundscape and Landscape Differences,10.3390/su12176809
661,INCLUDE,Y,2020,APPLIED SCIENCES-BASEL,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Making: A Study in a Virtual Environment,10.3390/app10082913
665,INCLUDE,Y,2020,BUILDING AND ENVIRONMENT,The effects of sounds and food odour on crowd behaviours in urban public open spaces,10.1016/j.buildenv.2020.107104
666,INCLUDE,Y,2020,LANDSCAPE AND URBAN PLANNING,The influence of human behavioral characteristics on soundscape perception in urban parks: Subjective and observational approaches,10.1016/j.landurbplan.2020.103890
684,BORDERLINE,N,2021,WEATHER CLIMATE AND SOCIETY,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?,10.1175/wcas-d-21-0020.1
692,BORDERLINE,N,2021,FRONTIERS IN SOCIOLOGY,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,10.3389/fsoc.2021.729453
694,BORDERLINE,Y,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Assessment: An Example from Antwerp, Belgium",10.3390/ijerph182211774
709,BORDERLINE,N,2021,PEOPLE AND NATURE,Ecosystem services enhanced through soundscape management link people and wildlife,10.1002/pan3.10156
713,BORDERLINE,N,2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,10.1016/j.apacoust.2020.107570
724,INCLUDE,Y,2021,EMOTION SPACE AND SOCIETY,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Italy,10.1016/j.emospa.2021.100848
725,INCLUDE,Y,2021,FRONTIERS IN PUBLIC HEALTH,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During the COVID-19 Pandemic in Southern China Megacities,10.3389/fpubh.2021.759444
726,BORDERLINE,Y,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest Therapy and Guided Forest Therapy Programs?,10.3390/ijerph18136957
729,BORDERLINE,Y,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Increased Use of Porch or Backyard Nature during COVID-19 Associated with Lower Stress and Better Symptom Experience among Breast Cancer Patients,10.3390/ijerph18179102
732,INCLUDE,Y,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equation modeling,10.1016/j.buildenv.2020.107490
744,INCLUDE,N,2021,ADVANCES IN COMPLEX SYSTEMS,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS,10.1142/s0219525921500119
746,INCLUDE,Y,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago, Chile",10.1016/j.tbs.2021.01.002
760,INCLUDE,Y,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model,10.22034/ijhcum.2021.01.02
761,INCLUDE,Y,2021,FORESTS,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational Forest Parks,10.3390/f12040468
762,BORDERLINE,Y,2021,FRONTIERS IN PSYCHOLOGY,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lockdown,10.3389/fpsyg.2021.570741
770,INCLUDE,Y,2021,International Journal of Environmental Research and Public Health,The influence of emotional health on the activity characteristics of the elderly and the selection of environmental quality factors in residential areas,10.3390/ijerph182312618
772,BORDERLINE,N,2021,INTERNATIONAL JOURNAL OF MULTILINGUALISM,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca,10.1080/14790718.2020.1766048
779,INCLUDE,Y,2021,ENVIRONMENT INTERNATIONAL,Urban environment and obesity and weight-related behaviours in primary school children,10.1016/j.envint.2021.106700
791,BORDERLINE,Y,2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus,10.3390/s22176585
799,BORDERLINE,Y,2022,APPLIED SCIENCES-BASEL,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban Intersections in Taiwan,10.3390/app12125917
804,INCLUDE,Y,2022,FORESTS,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in China,10.3390/f13060948
811,BORDERLINE,Y,2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Comparative Diagnosis of the Urban Noise Problem from Infrastructural and Social Sensing Approaches: A Case Study in Ningbo, China",10.3390/ijerph19052809
818,INCLUDE,Y,2022,LAND,"Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in Longcanggou Forest Park, China",10.3390/land11091505
819,BORDERLINE,N,2022,APPLIED ACOUSTICS,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",10.1016/j.apacoust.2022.109129
821,BORDERLINE,Y,2022,SUSTAINABILITY,"Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Visitors: Evidence from Huolu Mountain Forest Park, Guangzhou",10.3390/su142215125
823,BORDERLINE,N,2022,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,Enhancing the park experience by giving visitors control over the park's soundscape,10.3233/ais-220621
831,BORDERLINE,N,2022,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,10.1016/j.gloenvcha.2022.102497
833,INCLUDE,Y,2022,JOURNAL OF TRANSPORT & HEALTH,"How are air pollution and noise perceived en route? Investigating cyclists' and pedestrians' personal exposure, wellbeing and practices during commute",10.1016/j.jth.2021.101325
848,BORDERLINE,N,2022,BIOLOGICAL CONSERVATION,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acoustic monitoring and occupancy models,10.1016/j.biocon.2022.109600
853,INCLUDE,N,2022,Built Environment,Revisiting Public Space Transformations from a Sonic Perspective during the COVID-19 Pandemic,10.2148/benv.48.2.244
858,BORDERLINE,Y,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study,10.3390/acoustics4020031
862,INCLUDE,Y,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its Landscape Spatial Influencing Factors,10.3390/f13111751
880,INCLUDE,Y,2022,ENVIRONMENTAL RESEARCH,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary disease,10.1016/j.envres.2022.113956
883,INCLUDE,Y,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound experiences,10.1002/pan3.10409
888,BORDERLINE,N,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,10.3390/ijerph20042932
901,INCLUDE,Y,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urban green spaces?,10.1016/j.ecolind.2023.110729
909,BORDERLINE,Y,2023,Sustainability (Switzerland),Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflective Review of Architectural Design Studio,10.3390/su151612399
912,INCLUDE,Y,2023,SCIENCE OF THE TOTAL ENVIRONMENT,"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect mental wellbeing? Evidence from Shenzhen, China",10.1016/j.scitotenv.2023.161819
917,BORDERLINE,N,2023,APPLIED ACOUSTICS,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,10.1016/j.apacoust.2023.109350
927,BORDERLINE,N,2023,ENVIRONMENTAL RESEARCH,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",10.1016/j.envres.2023.116087
930,INCLUDE,Y,2023,SUSTAINABILITY,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,10.3390/su15054255
931,INCLUDE,Y,2023,LANDSCAPE AND URBAN PLANNING,Natural sounds can encourage social interactions in urban parks,10.1016/j.landurbplan.2023.104870
932,BORDERLINE,N,2023,Mobilities,Negotiating the city during the dark season: a study of recreational running,10.1080/17450101.2023.2226357
941,INCLUDE,Y,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urban Environments,10.15302/j-laf-1-020106
948,BORDERLINE,Y,2023,FRONTIERS IN PSYCHOLOGY,Soundwalk path affecting soundscape assessment in urban parks,10.3389/fpsyg.2022.1096952
950,BORDERLINE,N,2023,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",
951,INCLUDE,Y,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnability by Volunteered Geographic Information and multilevel model approaches,10.1016/j.scs.2022.104336
957,BORDERLINE,N,2023,Civil Engineering and Architecture,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmental Sound Character,10.13189/cea.2023.110132
964,INCLUDE,Y,2023,FRONTIERS IN PSYCHOLOGY,The effects of the natural visual-aural attributes of urban green spaces on human behavior and emotional response,10.3389/fpsyg.2023.1186806
971,INCLUDE,Y,2023,FORESTS,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,10.3390/f14091758
972,BORDERLINE,N,2023,ENVIRONMENTAL RESEARCH,Unintended impacts of the Open Streets program on noise complaints in New York City,10.1016/j.envres.2023.115501
979,INCLUDE,Y,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with psychosis,10.1177/14703572211052638
980,BORDERLINE,Y,2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceived Characteristics in Urban Parks during Winter,10.3390/f14122329
981,BORDERLINE,Y,2024,BUILDINGS,A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Source Perception in Fuzhou Historical and Cultural Districts,10.3390/buildings14061753
982,BORDERLINE,N,2024,APPLIED ACOUSTICS,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",10.1016/j.apacoust.2024.110036
984,INCLUDE,Y,2024,LANDSCAPE RESEARCH,"A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake scenic spot, China",10.1080/01426397.2024.2307003
998,BORDERLINE,N,2024,ENVIRONMENTAL POLLUTION,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",10.1016/j.envpol.2024.123559
999,INCLUDE,Y,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian spaces adjacent to arterial roads,10.1016/j.scitotenv.2024.172198
1002,BORDERLINE,N,2024,DISCOVER SUSTAINABILITY,Comparison of current and proposed travel modes for students considering travelling and sustainable indicators,10.1007/s43621-024-00605-8
1005,INCLUDE,Y,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban cycling,10.1016/j.heliyon.2024.e27918
1009,BORDERLINE,Y,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,"Effect of human sound component on the sociability of urban public spaces-a case study in Sheffield, UK",10.1057/s41599-024-03929-y
1013,BORDERLINE,N,2024,INNOVATION IN AGING,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,10.1093/geroni/igad066
1016,BORDERLINE,N,2024,Tourism Geographies,Experiencing therapeutic soundscapes in rural tourism destinations,10.1080/14616688.2024.2412984
1018,INCLUDE,Y,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral analysis,10.1016/j.ecolind.2024.112022
1020,INCLUDE,Y,2024,LAND,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emotional Responses,10.3390/land13091468
1053,INCLUDE,Y,2024,URBAN ECOSYSTEMS,Socio-environmental drivers of human-nature interactions in urban green spaces,10.1007/s11252-024-01593-3
1069,INCLUDE,Y,2024,BUILDING AND ENVIRONMENT,The impact of the community's ' s sound environment on social interactions among residents,10.1016/j.buildenv.2024.112094
1074,BORDERLINE,N,2024,Florida Geographer,"Tourists, residents, and chickens in urban spaces: the case of Ybor City",
1076,INCLUDE,Y,2024,FORESTS,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban Parks,10.3390/f15101751
1092,BORDERLINE,N,2025,ENVIRONMENTAL RESEARCH,A sensor-based study on the environmental determinants of sleep in older adults,10.1016/j.envres.2025.120874
1101,BORDERLINE,N,2025,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool Children,10.1007/s11524-024-00947-8
1110,INCLUDE,Y,2025,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Decoding the impact of audiovisual street environment features on cycling volumes: Insights from street view imagery and machine learning,10.1016/j.tra.2025.104586
1115,INCLUDE,Y,2025,PLOS ONE,Does noise pollution influence modal choices? A random forest application,10.1371/journal.pone.0325249
1121,INCLUDE,Y,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort evaluations in outdoor public spaces,10.1080/13467581.2023.2292069
1122,INCLUDE,Y,2025,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of natural sound tempo and social conditions on social Interaction: An interactive virtual experiment,10.1016/j.jenvp.2025.102630
1138,BORDERLINE,Y,2025,ACOUSTICS,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of Ho Chi Minh City,10.3390/acoustics7020036
1141,INCLUDE,Y,2025,URBAN FORESTRY & URBAN GREENING,"How objective and subjective greenspace, combined with air and noise pollution, impacts mental health through the mediation of physical activity",10.1016/j.ufug.2025.128683
1143,BORDERLINE,N,2025,SCIENTIFIC REPORTS,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,10.1038/s41598-025-08524-y
1149,INCLUDE,Y,2025,ARTS & HEALTH,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos,10.1080/17533015.2025.2593865
1154,BORDERLINE,Y,2025,FRONTIERS IN PUBLIC HEALTH,Lunch breaks as a buffer: mitigating the negative effects of road traffic noise on urban employee workplace behavior,10.3389/fpubh.2025.1681862
1169,BORDERLINE,N,2025,LANDSCAPE ARCHITECTURE AND ART,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS,10.22616/j.landarchart.2025.27.02
1172,BORDERLINE,N,2025,SCIENTIFIC REPORTS,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,10.1038/s41598-025-30347-0
1174,INCLUDE,Y,2025,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel,10.1016/j.trd.2025.104806
1175,BORDERLINE,N,2025,ENVIRONMENT INTERNATIONAL,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort",10.1016/j.envint.2025.109876
1177,BORDERLINE,Y,2025,ACOUSTICS,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaïa, Algeria",10.3390/acoustics7040064
1178,INCLUDE,Y,2025,APPLIED ACOUSTICS,The effects of the interaction between sewage odour and sounds on crowd behaviours in urban waterfront park,10.1016/j.apacoust.2024.110378
1179,BORDERLINE,N,2025,SCIENTIFIC REPORTS,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,10.1038/s41598-025-19918-3
