no,doi,pmcid,status
1110,10.1016/j.tra.2025.104586,,NO_PMCID
1121,10.1080/13467581.2023.2292069,,NO_PMCID
1122,10.1016/j.jenvp.2025.102630,,NO_PMCID
1141,10.1016/j.ufug.2025.128683,,NO_PMCID
1149,10.1080/17533015.2025.2593865,,NO_PMCID
1174,10.1016/j.trd.2025.104806,,NO_PMCID
1178,10.1016/j.apacoust.2024.110378,,NO_PMCID
1202,10.1016/j.jum.2026.04.003,,NO_PMCID
1211,10.1140/epjs/s11734-026-02140-1,,NO_PMCID
1221,10.1016/j.apacoust.2025.111101,,NO_PMCID
1226,10.1016/j.ijheh.2026.114816,,NO_PMCID
1258,10.3390/urbansci10010060,,NO_PMCID
1272,10.1016/j.trf.2026.103707,,NO_PMCID
1276,10.1080/23748834.2026.2616563,,NO_PMCID
1280,10.3390/buildings16101973,,NO_PMCID
1306,10.1016/j.jth.2026.102313,,NO_PMCID
22,10.1080/00207239508710998,,NO_PMCID
29,10.1016/s0160-4120(97)00008-1,,NO_PMCID
46,10.1093/aje/155.6.507,,NO_PMCID
55,10.1121/1.1639333,,NO_PMCID
186,10.1016/j.trd.2012.06.002,,NO_PMCID
188,10.1016/j.jenvp.2012.05.002,,NO_PMCID
194,10.3397/1.3682961,,NO_PMCID
251,10.1016/j.ufug.2014.05.006,,NO_PMCID
268,10.1016/j.apacoust.2014.03.016,,NO_PMCID
301,10.1186/s12940-015-0006-y,PMC4350859,NO_OA_PDF(tgz-only or not in OA subset)
351,10.1016/j.envint.2016.03.011,,NO_PMCID
378,10.1061/(asce)te.1943-5436.0000843,,NO_PMCID
387,10.1016/j.scitotenv.2016.12.061,,NO_PMCID
411,10.1186/s12966-017-0557-0,PMC5530966,NO_OA_PDF(tgz-only or not in OA subset)
412,10.1007/s12403-016-0230-x,,NO_PMCID
433,10.1016/j.envint.2017.09.009,,NO_PMCID
444,10.1080/14649365.2016.1228116,,NO_PMCID
484,10.1016/j.envres.2018.06.004,,NO_PMCID
485,10.4103/nah.nah_9_18,PMC6301087,ERR:HTTPError
489,10.1016/j.envres.2018.06.031,,NO_PMCID
499,10.1016/j.ufug.2017.11.002,,NO_PMCID
509,10.1016/j.ufug.2017.11.015,,NO_PMCID
512,10.1016/j.envres.2017.09.015,,NO_PMCID
556,10.1016/j.landurbplan.2019.103602,,NO_PMCID
559,10.1016/j.apacoust.2019.07.014,,NO_PMCID
562,10.1016/j.trf.2019.08.006,,NO_PMCID
569,10.18666/jpra-2019-9149,,NO_PMCID
599,10.1121/10.0002008,PMC7857494,NO_OA_PDF(tgz-only or not in OA subset)
613,10.3390/ijerph17124420,PMC7344676,NO_OA_PDF(tgz-only or not in OA subset)
615,10.1016/j.apacoust.2019.107023,,NO_PMCID
623,10.14324/111.444/ucloe.000009,PMC10208345,NO_OA_PDF(tgz-only or not in OA subset)
624,10.1016/j.tmp.2020.100666,,NO_PMCID
639,10.1515/noise-2020-0021,,NO_PMCID
648,10.3390/su12176809,,NO_PMCID
684,10.1175/wcas-d-21-0020.1,,NO_PMCID
692,10.3389/fsoc.2021.729453,PMC8651492,NO_OA_PDF(tgz-only or not in OA subset)
694,10.3390/ijerph182211774,PMC8625892,NO_OA_PDF(tgz-only or not in OA subset)
709,10.1002/pan3.10156,,NO_PMCID
713,10.1016/j.apacoust.2020.107570,,NO_PMCID
726,10.3390/ijerph18136957,PMC8296901,NO_OA_PDF(tgz-only or not in OA subset)
729,10.3390/ijerph18179102,PMC8430585,NO_OA_PDF(tgz-only or not in OA subset)
772,10.1080/14790718.2020.1766048,,NO_PMCID
791,10.3390/s22176585,PMC9460474,NO_OA_PDF(tgz-only or not in OA subset)
799,10.3390/app12125917,,NO_PMCID
811,10.3390/ijerph19052809,PMC8910371,NO_OA_PDF(tgz-only or not in OA subset)
819,10.1016/j.apacoust.2022.109129,,NO_PMCID
821,10.3390/su142215125,,NO_PMCID
823,10.3233/ais-220621,,NO_PMCID
831,10.1016/j.gloenvcha.2022.102497,PMC9664366,NO_OA_PDF(tgz-only or not in OA subset)
848,10.1016/j.biocon.2022.109600,,NO_PMCID
858,10.3390/acoustics4020031,,NO_PMCID
888,10.3390/ijerph20042932,PMC9957327,NO_OA_PDF(tgz-only or not in OA subset)
909,10.3390/su151612399,,NO_PMCID
917,10.1016/j.apacoust.2023.109350,,NO_PMCID
927,10.1016/j.envres.2023.116087,,NO_PMCID
932,10.1080/17450101.2023.2226357,,NO_PMCID
957,10.13189/cea.2023.110132,,NO_PMCID
972,10.1016/j.envres.2023.115501,,NO_PMCID
980,10.3390/f14122329,,NO_PMCID
981,10.3390/buildings14061753,,NO_PMCID
982,10.1016/j.apacoust.2024.110036,,NO_PMCID
998,10.1016/j.envpol.2024.123559,,NO_PMCID
1002,10.1007/s43621-024-00605-8,,NO_PMCID
1009,10.1057/s41599-024-03929-y,,NO_PMCID
1013,10.1093/geroni/igad066,PMC10993715,ERR:HTTPError
1016,10.1080/14616688.2024.2412984,,NO_PMCID
1092,10.1016/j.envres.2025.120874,,NO_PMCID
1101,10.1007/s11524-024-00947-8,PMC11865388,NO_OA_PDF(tgz-only or not in OA subset)
1138,10.3390/acoustics7020036,,NO_PMCID
1143,10.1038/s41598-025-08524-y,PMC12328657,NO_OA_PDF(tgz-only or not in OA subset)
1169,10.22616/j.landarchart.2025.27.02,,NO_PMCID
1172,10.1038/s41598-025-30347-0,PMC12669665,ERR:HTTPError
1175,10.1016/j.envint.2025.109876,,NO_PMCID
1177,10.3390/acoustics7040064,,NO_PMCID
1179,10.1038/s41598-025-19918-3,PMC12528384,ERR:HTTPError
1182,10.1183/23120541.00132-2025,PMC12683574,ERR:HTTPError
1190,10.1016/j.trf.2025.01.012,,NO_PMCID
1191,10.32738/jeppm-2025-228,,NO_PMCID
1200,10.1038/s41598-026-61794-y,,NO_PMCID
1203,10.1038/s41370-025-00765-3,,NO_PMCID
1215,10.1016/j.dib.2026.112981,PMC13315897,NO_OA_PDF(tgz-only or not in OA subset)
1218,10.3390/land15050811,,NO_PMCID
1232,10.3390/su18094369,,NO_PMCID
1239,10.1093/pnasnexus/pgag181,PMC13288439,NO_OA_PDF(tgz-only or not in OA subset)
1250,10.1016/j.tra.2026.105090,,NO_PMCID
1264,10.1088/2631-8695/ae3b99,,NO_PMCID
1271,10.47836/ac.19.1.paper06,,NO_PMCID
1275,10.3390/land15060919,,NO_PMCID
1291,10.13284/j.cnki.rddl.20250846,,NO_PMCID
1305,10.1007/s12662-026-01101-z,,NO_PMCID
1315,10.1016/j.jtrangeo.2026.104697,,NO_PMCID
