uid,branch,kind,verdict,reason_code,boundary_rule,source_set,content_hash,integrated_at
CT0369,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,8a130b826e15d1ab,2026-09-18 17:02 KST
CT0373,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,30266f74aaa4ded6,2026-09-18 17:02 KST
CT0391,CT,new-study,FINAL_INCLUDE,,,newft_b,00a38c0fd033e3a5,2026-09-18 17:02 KST
CT0422,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,642fe79a66383de7,2026-09-18 17:02 KST
22,DB,new-study,FINAL_EXCLUDE,X2,,newft,69e4073e64c77f41,2026-09-18 17:02 KST
29,DB,new-study,FINAL_EXCLUDE,X2,,newft,9dbbef2eeecde5e7,2026-09-18 17:02 KST
46,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,d50a2ea3dd860a3d,2026-09-18 17:02 KST
55,DB,new-study,FINAL_EXCLUDE,X2,,newft,db5e9ab2d323103c,2026-09-18 17:02 KST
68,DB,new-study,FINAL_EXCLUDE,X2,,newft,9e7ca31cdcdea573,2026-09-18 17:02 KST
80,DB,new-study,FINAL_INCLUDE,,R3,newft,c8ca91a2c8d5279e,2026-09-18 17:02 KST
89,DB,new-study,FINAL_EXCLUDE,X6,,newft_b,9b599dfa9552e385,2026-09-18 17:02 KST
94,DB,new-study,FINAL_EXCLUDE,X4,,newft,9d48d6864d1a81e3,2026-09-18 17:02 KST
103,DB,new-study,FINAL_EXCLUDE,X4,,newft_b,ae85aca887ee82d7,2026-09-18 17:02 KST
104,DB,new-study,FINAL_INCLUDE,,R3,newft,ca6a42c5c160f0b7,2026-09-18 17:02 KST
137,DB,new-study,FINAL_INCLUDE,,R3,newft_b,ecf46fa72e62b479,2026-09-18 17:02 KST
186,DB,new-study,FINAL_EXCLUDE,X3,,newft,fa0a7459612c27b3,2026-09-18 17:02 KST
188,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,6148ef96f8ff0a77,2026-09-18 17:02 KST
194,DB,new-study,FINAL_EXCLUDE,X3,,newft,6268b9592f0b9596,2026-09-18 17:02 KST
240,DB,new-study,FINAL_EXCLUDE,X4,,newft_b,877af13035140574,2026-09-18 17:02 KST
251,DB,new-study,FINAL_EXCLUDE,X4,,newft,79a3aca9543d9145,2026-09-18 17:02 KST
268,DB,new-study,FINAL_EXCLUDE,X4,,newft,499c4167a8d036d3,2026-09-18 17:02 KST
301,DB,new-study,FINAL_EXCLUDE,X4,,newft,7fc5c789e051370d,2026-09-18 17:02 KST
351,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,9314e29095cd3982,2026-09-18 17:02 KST
357,DB,new-study,FINAL_EXCLUDE,X5,,newft_b,cf8778651645f032,2026-09-18 17:02 KST
378,DB,new-study,FINAL_EXCLUDE,X2,,newft,e8bdae0de3080b43,2026-09-18 17:02 KST
387,DB,new-study,FINAL_EXCLUDE,X5,,newft,a1abaf182dff7476,2026-09-18 17:02 KST
411,DB,new-study,FINAL_EXCLUDE,X2,,newft,11bd513116ed1c72,2026-09-18 17:02 KST
412,DB,new-study,FINAL_EXCLUDE,X4,,newft,e6b68c5d2c3e8bf9,2026-09-18 17:02 KST
433,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,6b55b013c194c313,2026-09-18 17:02 KST
444,DB,new-study,FINAL_EXCLUDE,X2,,newft,06f2be6c09776f18,2026-09-18 17:02 KST
484,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,318474ce537cbcd1,2026-09-18 17:02 KST
485,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,329140a27d3e691f,2026-09-18 17:02 KST
489,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,aa86389d8d7d97df,2026-09-18 17:02 KST
499,DB,new-study,FINAL_INCLUDE,,R3,newft,a72c35ce86104ed9,2026-09-18 17:02 KST
509,DB,new-study,FINAL_EXCLUDE,X4,,newft,32cf8834a6c98963,2026-09-18 17:02 KST
512,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,89e2b98ac051494f,2026-09-18 17:02 KST
556,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,264d45559f5ebafc,2026-09-18 17:02 KST
559,DB,new-study,FINAL_EXCLUDE,X3,,newft,5aee57c3dab46d73,2026-09-18 17:02 KST
562,DB,new-study,SENS_ONLY,,R2,newft,8fe8f0c8b20c03be,2026-09-18 17:02 KST
569,DB,new-study,FINAL_EXCLUDE,X3,,newft_b,12ccef2d94592aeb,2026-09-18 17:02 KST
599,DB,new-study,FINAL_EXCLUDE,X3,,newft,efe9a7a2dedb2bd5,2026-09-18 17:02 KST
615,DB,new-study,FINAL_EXCLUDE,X2,,newft,043d4cb67c751fa3,2026-09-18 17:02 KST
623,DB,new-study,FINAL_EXCLUDE,X3,,newft,90fcc33fecbadbd9,2026-09-18 17:02 KST
624,DB,new-study,FINAL_EXCLUDE,X4,,newft,87fa20d6ebfc41fd,2026-09-18 17:02 KST
639,DB,new-study,FINAL_EXCLUDE,X3,,newft,f1088d415deb819f,2026-09-18 17:02 KST
684,DB,new-study,FINAL_EXCLUDE,X2,,newft_b,b02f7f7ca1d8a68f,2026-09-18 17:02 KST
692,DB,new-study,FINAL_EXCLUDE,X2,,newft,0c38b092b79df490,2026-09-18 17:02 KST
709,DB,new-study,FINAL_INCLUDE,,R3,newft,7173f8832def99ea,2026-09-18 17:02 KST
713,DB,new-study,FINAL_INCLUDE,,R3,newft,f7196edec0b3e7ef,2026-09-18 17:02 KST
772,DB,new-study,FINAL_EXCLUDE,X3,,newft,27f0580ce561144d,2026-09-18 17:02 KST
819,DB,new-study,FINAL_EXCLUDE,X2,,newft,168946daccde606b,2026-09-18 17:02 KST
823,DB,new-study,FINAL_EXCLUDE,X4,,newft,4bfce7982acea7ad,2026-09-18 17:02 KST
831,DB,new-study,FINAL_EXCLUDE,X2,,newft,e07397af8eae4610,2026-09-18 17:02 KST
848,DB,new-study,FINAL_EXCLUDE,X3,,newft_b,9b1ca49ae10c328c,2026-09-18 17:02 KST
888,DB,new-study,FINAL_INCLUDE,,R3,newft,89ed4a8b0b782fbf,2026-09-18 17:02 KST
917,DB,new-study,SENS_ONLY,,R2,newft_b,e49a058fa8617a39,2026-09-18 17:02 KST
927,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,a42b95a8e4f0a4ac,2026-09-18 17:02 KST
932,DB,new-study,FINAL_EXCLUDE,X3,,newft,697996db8544fd64,2026-09-18 17:02 KST
950,DB,new-study,FINAL_EXCLUDE,X3,,newft_b,da9056aa458280a5,2026-09-18 17:02 KST
957,DB,new-study,FINAL_EXCLUDE,X4,,newft,d1a316b547e6c9b2,2026-09-18 17:02 KST
972,DB,new-study,FINAL_EXCLUDE,X3,,newft,217ad04393b37ac4,2026-09-18 17:02 KST
982,DB,new-study,FINAL_EXCLUDE,X4,,newft_b,8f280e27c6d75844,2026-09-18 17:02 KST
998,DB,new-study,FINAL_EXCLUDE,X2,R1,newft_b,1824bef785525155,2026-09-18 17:02 KST
1002,DB,new-study,FINAL_EXCLUDE,X3,,newft,9ad96528ed0e1a2c,2026-09-18 17:02 KST
1013,DB,new-study,FINAL_EXCLUDE,X4,,newft,b155f6456cfba069,2026-09-18 17:02 KST
1074,DB,new-study,FINAL_EXCLUDE,X4,,newft_b,a5a0fc8f1327b7c7,2026-09-18 17:02 KST
1092,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,1bd5c1f5a1426594,2026-09-18 17:02 KST
1101,DB,new-study,FINAL_EXCLUDE,X2,R1,newft_b,c218455ffa6a5083,2026-09-18 17:02 KST
1143,DB,new-study,FINAL_EXCLUDE,X4,,newft,8f87264b1cd0bbb7,2026-09-18 17:02 KST
1169,DB,new-study,FINAL_EXCLUDE,X5,,newft,6ebecf23f38e0744,2026-09-18 17:02 KST
1172,DB,new-study,SENS_ONLY,,R2,newft,562134666316a411,2026-09-18 17:02 KST
1175,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,617fde022f300073,2026-09-18 17:02 KST
1179,DB,new-study,FINAL_EXCLUDE,X2,,newft,439a89a9bfffa154,2026-09-18 17:02 KST
1182,DB,new-study,FINAL_EXCLUDE,X2,R1,newft,fe4db5b00be0f968,2026-09-18 17:02 KST
1190,DB,new-study,FINAL_INCLUDE,,,newft,d3ed855a8ce4c755,2026-09-18 17:02 KST
1191,DB,new-study,FINAL_INCLUDE,,,newft,e0d3c0c5601f52c6,2026-09-18 17:02 KST
1200,DB,new-study,FINAL_EXCLUDE,X2,,newft,55e77c4a76869add,2026-09-18 17:02 KST
1203,DB,new-study,FINAL_EXCLUDE,X2,,newft,2ef95beaf556bd36,2026-09-18 17:02 KST
1215,DB,new-study,FINAL_EXCLUDE,X5,,newft,919ceaa93a78ca61,2026-09-18 17:02 KST
1218,DB,new-study,FINAL_INCLUDE,,,newft,bbce57109e139d09,2026-09-18 17:02 KST
1239,DB,new-study,FINAL_EXCLUDE,X2,,newft,f2333eb2e9911e17,2026-09-18 17:02 KST
1250,DB,new-study,FINAL_EXCLUDE,X3,,newft,4aef182df9804a1c,2026-09-18 17:02 KST
1271,DB,new-study,FINAL_EXCLUDE,X3,,newft_b,74700dc5dd5e32c3,2026-09-18 17:02 KST
1275,DB,new-study,FINAL_EXCLUDE,X3,,newft,ce619c2b9e34f78b,2026-09-18 17:02 KST
1276,DB,new-study,FINAL_EXCLUDE,X2,R1,newft_b,7fb0be5144db42eb,2026-09-18 17:02 KST
1305,DB,new-study,FINAL_INCLUDE,,,newft,bb461fc6826529c1,2026-09-18 17:02 KST
1315,DB,new-study,FINAL_EXCLUDE,X4,,newft,e23ed7b0cb1f7ff5,2026-09-18 17:02 KST
OAS0001,OAS,new-study,FINAL_EXCLUDE,X4,,newft,cba9b2260e959254,2026-09-18 17:02 KST
OAS0005,OAS,new-study,SENS_ONLY,,P1,newft,b58502979d1468a5,2026-09-18 17:02 KST
OAS0011,OAS,new-study,FINAL_INCLUDE,,R3,newft_b,390827c0879105ef,2026-09-18 17:02 KST
OAS0040,OAS,new-study,FINAL_EXCLUDE,X4,,newft,94df3e3713fd1c17,2026-09-18 17:02 KST
OAS0041,OAS,new-study,FINAL_INCLUDE,,,newft_b,045eae8f1de70131,2026-09-18 17:02 KST
OAS0050,OAS,new-study,FINAL_EXCLUDE,X7,,newft_b,cb8c9d00be594af6,2026-09-18 17:02 KST
OAS0073,OAS,new-study,FINAL_EXCLUDE,X6,,newft_b,2cce7513a711bfbf,2026-09-18 17:02 KST
OAS0222,OAS,new-study,FINAL_EXCLUDE,X6,,newft,ddefd4fc29f9bd49,2026-09-18 17:02 KST
1226,DB,ruling-change,FINAL_EXCLUDE,X2,R1,CORPUS_CHANGES,,2026-09-18 17:02 KST
