uid,why,doi,year,apa
461,"Franěk 2018 — birdsong vs traffic, walking speed",10.3390/ijerph15040752,2018,"Franěk, M., Režný, L., Šefara, D., & Cabal, J. (2018). Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed. *International Journal of Environmental Research and Public Health*, *15*(4), 752. https://doi.org/10.3390/ijerph15040752"
532,"Franěk 2019 — birdsong vs city noise, walking speed",10.7717/peerj.7711,2019,"Franěk, M., Režný, L., Šefara, D., & Cabal, J. (2019). Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons. *PeerJ*, *7*, e7711. https://doi.org/10.7717/peerj.7711"
CT0166,Franěk & Režný 2021 — perceived soundscape and walking speed,10.3390/land10050459,2021,"Franěk, M., & Režný, L. (2021). Environmental Features Influence Walking Speed: The Effect of Urban Greenery. *Land*, *10*(5), 459. https://doi.org/10.3390/land10050459"
1280,Bao 2026 — natural sound index and long stay,10.3390/buildings16101973,2026,"Fu, Y., Zhang, N., Gao, Q., Dai, H., Chen, Q., & Gao, W. (2026). Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and Perception of the Elderly: A Case Study of Qingdao, China. *Buildings*, *16*(10), 1973. https://doi.org/10.3390/buildings16101973"
1076,Xu 2024 — pleasantness and static behaviour,10.3390/f15101751,2024,"Guo, X., Jiang, S. Y., Liu, J., Chen, Z., & Hong, X. C. (2024). Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban Parks. *Forests*, *15*(10), 1751. https://doi.org/10.3390/f15101751"
951,running intensity and traffic noise,10.1016/j.scs.2022.104336,2023,"Huang, D., Tian, M., & Yuan, L. (2023). Sustainable design of running friendly streets: Environmental exposures predict runnability by Volunteered Geographic Information and multilevel model approaches. *Sustainable Cities and Society*, *89*, 104336. https://doi.org/10.1016/j.scs.2022.104336"
1018,sitting/walking groups correlation,10.1016/j.ecolind.2024.112022,2024,"Lai, P., Ou, D., & Zheng, H. (2024). Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral analysis. *Ecological Indicators*, *162*, 112022. https://doi.org/10.1016/j.ecolind.2024.112022"
1177,Béjaïa — sound and walking comfort,10.3390/acoustics7040064,2025,"Mansouri, Y., Matallah, M. E., Attar, A., Mahar, W. A., & Attia, S. (2025). The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaïa, Algeria. *Acoustics*, *7*(4), 64. https://doi.org/10.3390/acoustics7040064"
CT0025,Mathews & Canon 1975 — lawnmower noise and helping behaviour,10.1037/0022-3514.32.4.571,1975,"Mathews, K. E., & Canon, L. K. (1975). Environmental noise level as a determinant of helping behavior. *Journal of Personality and Social Psychology*, *32*(4), 571-577. https://doi.org/10.1037/0022-3514.32.4.571"
CT0126,Montes González 2022 — LAeq and speech disruption,10.1016/j.scitotenv.2022.159406,2023,"Montes González, D., Barrigón Morillas, J. M., & Rey-Gozalo, G. (2023). Effects of noise on pedestrians in urban environments where road traffic is the main source of sound. *Science of The Total Environment*, *857*, 159406. https://doi.org/10.1016/j.scitotenv.2022.159406"
14,Moser 1988 — roadworks noise and helping behaviour,10.1016/s0272-4944(88)80035-5,1988,"Moser, G. (1988). Urban stress and helping behavior: Effects of environmental overload and noise on behavior. *Journal of Environmental Psychology*, *8*(4), 287-298. https://doi.org/10.1016/s0272-4944(88)80035-5"
CT0371,"Routhier 2024 — audible pedestrian signals, GPS trajectories",10.1016/j.jth.2024.101938,2024,"Routhier, F., Lettre, J., Pigeon, C., Martel, V., Binet, R., Vézina, V., Collomb d'Eyrames, O., Waygood, E. O., Mostafavi, M. A., & Morales, E. (2024). Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada). *Journal of Transport &amp; Health*, *39*, 101938. https://doi.org/10.1016/j.jth.2024.101938"
CT0335,Schrapel 2022 — augmented footsteps and gait,10.1515/icom-2022-0020,2022,"Schrapel, M., Happe, J., & Rohs, M. (2022). EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas. *i-com*, *21*(2), 219-237. https://doi.org/10.1515/icom-2022-0020"
566,Musikiosk — user-controlled music installation,10.3390/ijerph16101865,2019,"Steele, D., Bild, E., Tarlao, C., & Guastavino, C. (2019). Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention. *International Journal of Environmental Research and Public Health*, *16*(10), 1865. https://doi.org/10.3390/ijerph16101865"
1272,vehicle warning sound and crossing,10.1016/j.trf.2026.103707,2026,"Sun, Y., Farah, H., & Feng, Y. (2026). Perception and response of cyclists interacting with autonomous electric vehicles - a virtual reality study. *Transportation Research Part F: Traffic Psychology and Behaviour*, *121*, 103707. https://doi.org/10.1016/j.trf.2026.103707"
1221,Wang 2025 — natural events and queuing time,10.1016/j.apacoust.2025.111101,2026,"Zhou, L., Yu, W., Zhang, Y., Zhou, W., & Wu, T. (2026). Effect of soundscapes and crowd density on economic behavior in commercial streets. *Applied Acoustics*, *242*, 111101. https://doi.org/10.1016/j.apacoust.2025.111101"
