no,filename
762,2021_FrontPsych_Lenzi et al_Soundscape in Times of Change Case Study of a City Neighbourhood During.pdf
770,2021_IJERPH_Zhong et al_The Influence of Emotional Health on the Activity Characteristics of the.pdf
779,2021_EnvInt_de Bont et al_Urban environment and obesity and weight-related behaviours in primary s.pdf
791,2022_Sens_Toutouh & Alba_A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking.pdf
799,2022_ApplSci_Takada et al_Analysis of the Effects and Causes of Driver Horn Use on the Acoustic En.pdf
804,2022_Forests_Xu et al_Audio-Visual Preferences for the Exercise-Oriented Population in Urban F.pdf
811,2022_IJERPH_Si et al_Comparative Diagnosis of the Urban Noise Problem from Infrastructural an.pdf
818,2022_Land_Li et al_Does Soundscape Perception Lead to Environmentally Responsible Behavior.pdf
821,2022_Sustainability_Guo et al_Effects of Sound Source Landscape in Urban Forest Park on Alleviating Me.pdf
833,2022_JourOf_Marquart et al_How are air pollution and noise perceived en route Investigating cyclist.pdf
858,2022_Acoustics_Di Loreto et al_Soundscape Approach in the Seaport of Ancona A Case Study.pdf
862,2022_Forests_Zhao et al_Temporal and Spatial Characteristics of Soundscape Ecology in Urban Fore.pdf
880,2022_EnviRese_Koreny et al_Urban environment and physical activity and capacity in patients with ch.pdf
883,2022_PeopAnd_Uebel et al_Urban park soundscapes Spatial and social factors influencing bird and t.pdf
901,2023_EcolIndic_Fu et al_Can acoustic indices reflect the characteristics of public recreational.pdf
909,2023_Sustainability_Hong & Chong_Designing Public Soundscapes through Social Architecture and Soundscape.pdf
912,"2023_STOTEN_Huang et al_Do objective and subjective traffic-related pollution, physical activity.pdf"
930,2023_Sustainability_Hosseini & Kowkabi_Measuring the Soundscape Quality in Urban Spaces A Case Study of Histori.pdf
931,2023_LUP_Chen & Kang_Natural sounds can encourage social interactions in urban parks.pdf
941,2024_LandArch_et al_Research on the Combined Effects of Plant Odor and Traffic Noise on Crow.pdf
948,2023_FrontPsych_Sun et al_Soundwalk path affecting soundscape assessment in urban parks.pdf
951,2023_SCS_Huang et al_Sustainable design of running friendly streets Environmental exposures p.pdf
964,2023_FrontPsych_Yin et al_The effects of the natural visual-aural attributes of urban green spaces.pdf
971,2023_Forests_Chen et al_Thermal–Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park.pdf
979,2023_VisuComm_Merlino et al_Walking through the city soundscape an audio-visual analysis of sensory.pdf
980,2023_Forests_Bao et al_White Spaces Unveiled Investigating the Restorative Potential of Environ.pdf
981,2024_Buil_Wu et al_A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Sourc.pdf
984,2024_LandRese_Wang & Xiao_A study on the fusion of musical theme landscape and soundscape in Hefei.pdf
999,2024_STOTEN_Lu et al_Comparative evaluation of soundscapes in human activities spatial contex.pdf
1005,2024_Heli_Wogan & Kennedy_Crowdsourced cycling data applications to estimate noise pollution expos.pdf
1009,2024_HumaAnd_Cao & Kang_Effect of human sound component on the sociability of urban public space.pdf
1018,2024_EcolIndic_Lai et al_Exploring Acoustic-Visual perception and satisfaction in urban Parks Bas.pdf
1020,2024_Land_Jin et al_Exploring the Impact of Visual and Aural Elements in Urban Parks on Huma.pdf
1053,2024_UrbaEcos_Joo et al_Socio-environmental drivers of human-nature interactions in urban green.pdf
1069,2024_BuildEnv_Chen et al_The impact of the community's sound environment on social interactions a.pdf
1076,2024_Forests_Guo et al_Understanding the Role of Visitor Behavior in Soundscape Restorative Exp.pdf
1110,2025_TransRes_Gao & Fang_Decoding the impact of audiovisual street environment features on cyclin.pdf
1115,2025_PLOSONE_Calafiore & Tong_Does noise pollution influence modal choices A random forest application.pdf
1121,2025_JourOf_Lin et al_Effects of interactions between thermal and acoustic environments on sub.pdf
1122,2025_JEnvPsych_Chen & Kang_Effects of natural sound tempo and social conditions on social Interacti.pdf
1138,2025_Acoustics_Nguyen et al_Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffi.pdf
1141,"2025_UrbaFore_Yang et al_How objective and subjective greenspace, combined with air and noise pol.pdf"
1149,2025_ArtsAmp_Yu_Landscapes of silence designing quiet art spaces for inner peace in urba.pdf
1154,2025_FronIn_Ke et al_Lunch breaks as a buffer mitigating the negative effects of road traffic.pdf
1174,2025_TransRes_Zhang et al_Synergistic role of audio-visual perceptions in promoting bikeshare for.pdf
1177,"2025_Acoustics_Mansouri et al_The Impact of Soundscape on Pedestrian Comfort, Perception and Walking E.pdf"
1178,2025_ApplAcoust_Ba et al_The effects of the interaction between sewage odour and sounds on crowd.pdf
1202,2026_JourOf_Lin et al_Assessing the impact of landscape context on soundscape quality in multi.pdf
1211,2026_TheEuro_Hüg et al_Chromatic recurrences applied to joint walking time series of a blind mo.pdf
1221,2026_ApplAcoust_Zhou et al_Effect of soundscapes and crowd density on economic behavior in commerci.pdf
1226,2026_InteJour_Dzhambov et al_Environmental characteristics and physical activity A cross-sectional st.pdf
1232,2026_Sustainability_Ozturk et al_Exploring the Soundscape Perception of Streets A Thematic Analysis of Fo.pdf
1242,2026_LandArch_et al_How Individual and Sound Characteristics Interactively Determine Perceiv.pdf
1243,2026_LandArch_et al_Innovations for Healthy Landscapes Review and Perspective on Technologie.pdf
1253,2026_PLOSONE_Lee & Kim_Mapping urban soundscape patterns using user-generated content A place m.pdf
1258,2026_UrbaScie_Peng et al_Multisensory Interactions in Greenway Plazas of Differing Openness and E.pdf
1272,2026_TransRes_Sun et al_Perception and response of cyclists interacting with autonomous electric.pdf
1280,2026_Buil_Fu et al_Research on the Effect of Rural Composite Environments on the Spatiotemp.pdf
1306,2026_JourOf_Gao & Fang_Unveiling the nonlinear effects of street-level audiovisual environments.pdf
