openalex_id,route,freq,doi,year,journal,cited_by,title
W2739034447,backward,9,10.15302/j-fem-2017026,2017,Frontiers of Engineering Management,84,From dBA to soundscape indices: Managing our sound environment
W2117504085,backward,8,10.1016/0272-4944(95)90001-2,1995,Journal of Environmental Psychology,6673,The restorative benefits of nature: Toward an integrative framework
W2152983690,backward,8,10.1016/s0140-6736(13)61613-x,2013,The Lancet,2435,Auditory and non-auditory effects of noise on health
W1985426391,backward,8,10.1016/j.jenvp.2013.08.004,2013,Journal of Environmental Psychology,491,Bird sounds and their contributions to perceived attention restoration and stress recovery
W2169368100,backward,7,10.1016/s0272-4944(05)80184-7,1991,Journal of Environmental Psychology,5800,Stress recovery during exposure to natural and urban environments
W2062505214,backward,7,10.1016/j.landurbplan.2003.08.003,2003,Landscape and Urban Planning,2537,The role of urban parks for the sustainable city
W2025875590,backward,7,10.1016/j.ufug.2009.06.003,2009,Urban forestry & urban greening,529,Components of small urban parks that predict the possibility for restoration
W2128127953,backward,7,10.1016/s0003-682x(01)00053-6,2002,Applied Acoustics,317,Influence of visual setting on sound ratings in an urban environment
W2035038820,backward,7,10.1121/1.4817924,2013,The Journal of the Acoustical Society of America,206,Designing sound and visual components for enhancement of urban soundscapes
W2002075378,backward,7,10.1068/b31162,2007,Environment and Planning B Planning and Design,184,"Towards the Evaluation, Description, and Creation of Soundscapes in Urban Open Spaces"
W1985164265,backward,7,10.1080/0964056042000284857,2004,Journal of Environmental Planning and Management,177,An approach to the acoustic design of outdoor space
W1999485378,backward,6,10.1016/j.ufug.2009.11.003,2009,Urban forestry & urban greening,757,Social interactions in urban parks: Stimulating social cohesion?
W2032151483,backward,6,10.1121/1.1458027,2002,The Journal of the Acoustical Society of America,296,Assessing auditory distance perception using virtual acoustics
W4299105512,backward,6,10.1260/135101007781448000,2007,Building Acoustics,204,Urban Sound Environment
W2625692484,backward,6,10.1016/j.landurbplan.2017.05.018,2017,Landscape and Urban Planning,180,Using Virtual Reality for assessing the role of noise in the audio-visual design of an urban public space
W2990391753,backward,6,10.1016/j.scitotenv.2019.134571,2019,The Science of The Total Environment,120,Effects of adding natural sounds to urban noises on the perceived loudness of noise and soundscape quality
W2985581529,backward,6,10.1016/j.landurbplan.2019.103705,2019,Landscape and Urban Planning,117,Interactive soundscape augmentation by natural sounds in a noise polluted urban park
W2766479746,backward,6,10.1016/j.buildenv.2017.10.021,2017,Building and Environment,99,"Relationship between spatiotemporal variability of soundscape and urban morphology in a multifunctional urban area: A case study in Seoul, Korea"
W3027350759,backward,6,10.1016/j.buildenv.2020.106975,2020,Building and Environment,93,Effect of the appropriateness of sound environment on urban soundscape assessment
W2131030868,backward,5,10.1016/j.cities.2005.05.003,2005,Cities,312,Urban soundscapes: Experiences and knowledge
W2790850497,backward,5,10.1016/j.ufug.2018.03.007,2018,Urban forestry & urban greening,251,Towards explaining the positive effect of vegetation on the perception of environmental noise
W2048420017,backward,5,10.1121/1.2831735,2008,The Journal of the Acoustical Society of America,234,The acoustic and visual factors influencing the construction of tranquil space in urban and rural environments tranquil spaces-quiet places?
W1972316688,backward,5,10.1016/j.ufug.2014.04.002,2014,Urban forestry & urban greening,173,Bird song diversity influences young people's appreciation of urban landscapes
W1987624550,backward,5,10.1016/j.scitotenv.2009.08.039,2009,The Science of The Total Environment,170,Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise
W1183829673,backward,5,10.1089/eco.2014.0028,2014,Ecopsychology,135,Natural Sound Facilitates Mood Recovery
W2093866410,backward,5,10.1121/1.4807801,2013,The Journal of the Acoustical Society of America,120,Soundwalk approach to identify urban soundscapes individually
W4309422402,backward,5,10.1016/j.compenvurbsys.2022.101915,2022,Computers Environment and Urban Systems,118,Sensing urban soundscapes from street view imagery
W2170452364,backward,5,10.1121/1.3693644,2012,The Journal of the Acoustical Society of America,103,Perception of urban park soundscape
W2970058447,backward,5,10.1016/j.buildenv.2019.106375,2019,Building and Environment,89,Effects of soundscape perception on visiting experience in a renovated historical block
W2901798958,backward,5,10.3389/fpsyg.2018.02224,2018,Frontiers in Psychology,78,Exploring the Validity of the Perceived Restorativeness Soundscape Scale: A Psycholinguistic Approach
W1974639694,backward,5,10.3389/fpsyg.2014.01361,2014,Frontiers in Psychology,77,Tempo and walking speed with music in the urban context
W3047025636,backward,5,10.3390/ijerph17165659,2020,International Journal of Environmental Research and Public Health,69,Effect of Birdsong Soundscape on Perceived Restorativeness in an Urban Park
W2909413182,backward,5,10.3390/su11020408,2019,Sustainability,58,"Effects of Perceived Traffic Risks, Noise, and Exhaust Smells on Bicyclist Behaviour: An Economic Evaluation"
W2593645796,backward,5,10.1121/1.4976627,2017,The Journal of the Acoustical Society of America,56,Situational and person-related factors influencing momentary and retrospective soundscape evaluations in day-to-day life
W2144512297,backward,4,10.1080/01944361003766766,2010,Journal of the American Planning Association,5211,Travel and the Built Environment
W1598155380,backward,4,10.1093/forestscience/49.6.830,2003,Forest Science,1670,The Measurement of Place Attachment: Validity and Generalizability of a Psychometric Approach
W2136738044,backward,4,10.1525/bio.2011.61.3.6,2011,BioScience,1315,Soundscape Ecology: The Science of Sound in the Landscape
W2043268771,backward,4,10.1016/j.healthplace.2010.03.003,2010,Health & Place,1022,Characteristics of urban parks associated with park use and physical activity: A review of qualitative research
W1989870659,backward,4,10.1007/s10980-011-9600-8,2011,Landscape Ecology,726,What is soundscape ecology? An introduction and overview of an emerging new science
W2047771630,backward,4,10.1525/mp.2002.20.2.151,2002,Music Perception An Interdisciplinary Journal,680,"Effects of Musical Tempo and Mode on Arousal, Mood, and Spatial Abilities"
W2336684527,backward,4,10.1177/001391656900100104,1969,Environment and Behavior,501,The Sonic Environment of Cities
W1987130406,backward,4,10.1016/j.landurbplan.2004.08.008,2005,Landscape and Urban Planning,433,"Recreation–amenity use and contingent valuation of urban greenspaces in Guangzhou, China"
W2023873308,backward,4,10.1016/j.apacoust.2015.03.004,2015,Applied Acoustics,252,The restorative potential of soundscapes: A physiological investigation
W3159296386,backward,4,10.3389/fpsyg.2021.570563,2021,Frontiers in Psychology,240,Sound and Soundscape in Restorative Natural Environments: A Narrative Literature Review
W2121983585,backward,4,10.1016/j.jenvp.2010.03.006,2010,Journal of Environmental Psychology,203,The importance of auditory-visual interaction in the construction of ‘tranquil space’
W2291485751,backward,4,10.1016/j.landurbplan.2015.12.018,2016,Landscape and Urban Planning,174,View on outdoor vegetation reduces noise annoyance for dwellers near busy roads
W1968119741,backward,4,10.1016/j.landurbplan.2011.08.001,2011,Landscape and Urban Planning,174,Analysis and interpretation of variability in soundscapes along an urban–rural gradient
W2209207248,backward,4,10.20855/ijav.2012.17.2302,2012,The International Journal of Acoustics and Vibration,159,A review of progress in soundscapes and an approach to soundscape planning
W2071456380,backward,4,10.1121/1.3681938,2012,The Journal of the Acoustical Society of America,153,Acoustical characteristics of water sounds for soundscape enhancement in urban open spaces
W4386579416,backward,4,10.1016/j.tbs.2023.100673,2023,Travel Behaviour and Society,143,Exploring non-linear and synergistic effects of green spaces on active travel using crowdsourced data and interpretable machine learning
W3016880346,backward,4,10.1016/j.apacoust.2020.107372,2020,Applied Acoustics,138,A review of audio-visual interaction on soundscape assessment in urban built environments
W2092349568,backward,4,10.1016/j.landurbplan.2013.12.005,2014,Landscape and Urban Planning,130,A field experiment on the impact of sounds from a jet-and-basin fountain on soundscape quality in an urban park
W1974885999,backward,4,10.1016/j.jenvp.2009.10.002,2009,Journal of Environmental Psychology,120,Aesthetic and affective effects of vocal and traffic noise on natural landscape assessment
W2167347635,backward,4,10.1080/01426390500273346,2005,Landscape Research,104,Restorative urban open space: Exploring the spatial configuration of human emotional fulfilment in urban open space
W1983667873,backward,4,10.1068/b38061,2013,Environment and Planning B Planning and Design,99,Tranquillity and Soundscapes in Urban Green Spaces—Predicted and Actual Assessments from a Questionnaire Survey
W1974623654,backward,4,10.1121/1.4807811,2013,The Journal of the Acoustical Society of America,96,The perceived quality of soundscape in three urban parks in Rome
W2763974354,backward,4,10.3389/fpsyg.2017.01705,2017,Frontiers in Psychology,90,Restorative Qualities of and Preference for Natural and Urban Soundscapes
W2943684189,backward,4,10.1016/j.landurbplan.2019.04.016,2019,Landscape and Urban Planning,89,Classification of soundscapes of urban public open spaces
W1993583597,backward,4,10.1016/j.hbrcj.2014.12.005,2015,HBRC Journal,86,The phonic identity of the city urban soundscape for sustainable spaces
W2948151752,backward,4,10.1016/j.apacoust.2019.05.024,2019,Applied Acoustics,84,Exploring the compatibility of “Method A” and “Method B” data collection protocols reported in the ISO/TS 12913-2:2018 for urban soundscape via a soundwalk
W1983211847,backward,4,10.1016/j.physa.2011.07.044,2011,Physica A Statistical Mechanics and its Applications,69,A model for simulation of crowd behaviour in the evacuation from a smoke-filled compartment
W2510564253,backward,4,10.1177/0885412216662001,2016,Journal of Planning Literature,57,Considering Sound in Planning and Designing Public Spaces
W2795038872,backward,4,10.1016/j.eiar.2018.03.003,2018,Environmental Impact Assessment Review,55,Effects of soundscape on rural landscape evaluations
W1896165423,backward,4,10.3846/16486897.2014.998676,2015,Journal of Environmental Engineering and Landscape Management,49,SOUNDSCAPE DESIGN IN CITY PARKS: EXPLORING THE RELATIONSHIPS BETWEEN SOUNDSCAPE COMPOSITION PARAMETERS AND PHYSICAL AND PSYCHOACOUSTIC PARAMETERS
W1989316868,backward,4,10.4103/1463-1741.144416,2014,Noise and Health,46,Characterizing urban areas with good sound quality: Development of a research protocol
W3138077191,backward,4,10.1016/j.ufug.2021.127088,2021,Urban forestry & urban greening,46,An application of artificial intelligence techniques in prediction of birds soundscape impact on tourists’ mental restoration in natural urban areas
W2615212762,backward,4,10.1016/j.buildenv.2017.05.025,2017,Building and Environment,44,Effects of typical dining styles on conversation behaviours and acoustic perception in restaurants in China
W2063123091,backward,4,10.1016/j.jcrc.2013.06.006,2013,Journal of Critical Care,25,Behavior observation of major noise sources in critical care wards
W2513855876,backward,4,10.1016/j.apacoust.2016.07.031,2016,Applied Acoustics,24,How can soundscapes affect the preferred walking pace?
W1975793762,backward,3,10.1126/science.6143402,1984,Science,5219,View Through a Window May Influence Recovery from Surgery
W2142842186,backward,3,10.1146/annurev-publhealth-032013-182443,2014,Annual Review of Public Health,3455,Nature and Health
W2096417948,backward,3,10.1111/j.1467-9280.2008.02225.x,2008,Psychological Science,2505,The Cognitive Benefits of Interacting With Nature
W2132314079,backward,3,10.1016/s0272-4944(02)00109-3,2003,Journal of Environmental Psychology,2097,Tracking restoration in natural and urban field settings
W2005544339,backward,3,10.1249/mss.0b013e31817c67a4,2008,Medicine & Science in Sports & Exercise,1911,Built Environment Correlates of Walking
W2111284128,backward,3,10.1177/00139160121973115,2001,Environment and Behavior,1162,The Nature of the View from Home
W2316895191,backward,3,10.2307/1251706,1982,Journal of Marketing,846,Using Background Music to Affect the Behavior of Supermarket Shoppers
W3195494505,backward,3,10.1016/j.landurbplan.2021.104217,2021,Landscape and Urban Planning,841,Street view imagery in urban analytics and GIS: A review
W2007674059,backward,3,10.1289/ehp.00108s1123,2000,Environmental Health Perspectives,794,Noise exposure and public health.
W2010231342,backward,3,10.1121/1.382013,1978,The Journal of the Acoustical Society of America,699,Synthesis of social surveys on noise annoyance
W2054198335,backward,3,10.1016/j.physbeh.2013.05.023,2013,Physiology & Behavior,637,Inducing physiological stress recovery with sounds of nature in a virtual reality forest — Results from a pilot study
W3093165105,backward,3,10.1016/j.ufug.2020.126888,2020,Urban forestry & urban greening,622,Effects of the COVID-19 pandemic on the use and perceptions of urban green space: An international exploratory study
W2077062663,backward,3,10.1006/jevp.1997.0051,1997,Journal of Environmental Psychology,509,REFLECTION AND ATTENTIONAL RECOVERY AS DISTINCTIVE BENEFITS OF RESTORATIVE ENVIRONMENTS
W4248953259,backward,3,10.1177/002224298204600313,1982,Journal of Marketing,461,Using Background Music to Affect the Behavior of Supermarket Shoppers
W2962764844,backward,3,10.1080/13658816.2019.1643024,2019,International Journal of Geographical Information Systems,418,A human-machine adversarial scoring framework for urban perception assessment using street-view images
W2026488329,backward,3,10.1021/es305019p,2013,Environmental Science & Technology,411,Viewing Nature Scenes Positively Affects Recovery of Autonomic Function Following Acute-Mental Stress
W2034811382,backward,3,10.1121/1.424662,1999,The Journal of the Acoustical Society of America,341,Demographic and attitudinal factors that modify annoyance from transportation noise
W2028148377,backward,3,10.1016/j.landurbplan.2012.12.013,2013,Landscape and Urban Planning,337,Associations between park characteristics and perceived restorativeness of small public urban green spaces
W2404309719,backward,3,10.2307/3454637,2000,Environmental Health Perspectives,304,Noise Exposure and Public Health
W2046446519,backward,3,10.1121/1.410457,1994,The Journal of the Acoustical Society of America,252,<i>Auditorium Acoustics and Architectural Design</i>
W2073876851,backward,3,10.1037/0033-2909.85.1.117,1978,Psychological Bulletin,245,Personal space: An evaluative and orienting overview.
W2066986520,backward,3,10.1016/j.apacoust.2012.06.011,2012,Applied Acoustics,225,Experimental analysis on the noise of propellers for small UAV
W2023881897,backward,3,10.1016/j.envpol.2014.08.015,2014,Environmental Pollution,193,"The impact of an urban park on air pollution and noise levels in the Mediterranean city of Tel-Aviv, Israel"
W2014438310,backward,3,10.1121/1.3567073,2011,The Journal of the Acoustical Society of America,180,Effects of natural sounds on the perception of road traffic noise
W1618903645,backward,3,10.1016/j.ufug.2015.09.006,2015,Urban forestry & urban greening,171,Green spaces and environmental noise perception
W343808915,backward,3,10.1016/j.landurbplan.2015.05.005,2015,Landscape and Urban Planning,159,Classification of urban park soundscapes through perceptions of the acoustical environments
W2066128959,backward,3,10.1016/s0003-682x(03)00061-6,2003,Applied Acoustics,156,Ambient sound assessment of urban environments: field studies in two French cities
W2031095102,backward,3,10.1121/1.1350402,2001,The Journal of the Acoustical Society of America,146,Psychoacoustic correlates of individual noise sensitivity
W2150802110,backward,3,10.1016/j.landurbplan.2012.06.017,2012,Landscape and Urban Planning,143,"Urban traffic noise and the relation to urban density, form, and traffic elasticity"
W2009837823,backward,3,10.1080/01426397.2014.894006,2014,Landscape Research,131,Identifying Features of Pocket Parks that May Be Related to Health Promoting Use
W2780184287,backward,3,10.1016/j.apacoust.2017.12.016,2017,Applied Acoustics,130,"A cross-national comparison in assessment of urban park soundscapes in France, Korea, and Sweden through laboratory experiments"
W1979271018,backward,3,10.1016/j.landurbplan.2014.02.001,2014,Landscape and Urban Planning,127,The effects of audio–visual factors on perceptions of environmental noise barrier performance
W2018183787,backward,3,10.1121/1.3652902,2011,The Journal of the Acoustical Society of America,122,Non-auditory factors affecting urban soundscape evaluation
W2949259576,backward,3,10.1016/j.landurbplan.2019.103593,2019,Landscape and Urban Planning,121,Sensitivity analysis of changes in human physiological indicators observed in soundscapes
W2083685068,backward,3,10.1080/01426399208706361,1992,Landscape Research,111,Audio‐visual interactions and soundscape preferences
W2625591724,backward,3,10.3390/app7060627,2017,Applied Sciences,108,Spatial Audio for Soundscape Design: Recording and Reproduction
W2038266635,backward,3,10.1016/j.scitotenv.2015.03.128,2015,The Science of The Total Environment,106,Audio-visual interactions in environment assessment
W2011947452,backward,3,10.1016/j.ecolmodel.2006.02.001,2006,Ecological Modelling,106,Measurement and evaluation of interactions in complex urban ecosystem
W2509014314,backward,3,10.1016/j.landurbplan.2016.08.006,2016,Landscape and Urban Planning,105,Exploring spatial relationships among soundscape variables in urban areas: A spatial statistical modelling approach
W2029960962,backward,3,10.1037/cjep2007006,2007,Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale,104,Categorization of environmental sounds.
W2781368781,backward,3,10.3390/environments5010001,2017,Environments,91,Audio-Visual Preferences and Tranquillity Ratings in Urban Areas
W1973426270,backward,3,10.3390/ijerph10062348,2013,International Journal of Environmental Research and Public Health,83,"The Soundscape Quality in Some Urban Parks in Milan, Italy"
W2762542117,backward,3,10.1080/02642069.2017.1382479,2017,Service Industries Journal,80,Soundscape and its influence on tourist satisfaction
W4392878163,backward,3,10.1016/j.ufug.2024.128286,2024,Urban forestry & urban greening,80,Landscape and soundscape quality promote stress recovery in nearby urban nature: A multisensory field experiment
W2806204650,backward,3,10.3390/ijerph15061118,2018,International Journal of Environmental Research and Public Health,66,Influence of Personal Factors on Sound Perception and Overall Experience in Urban Green Areas. A Case Study of a Cycling Path Highly Exposed to Road Traffic Noise
W1992803955,backward,3,10.1016/j.apacoust.2013.02.003,2013,Applied Acoustics,65,Field study on the influence of spatial and environmental characteristics on the evaluation of subjective loudness and acoustic comfort in underground shopping streets
W2162129379,backward,3,10.2466/06.50.pms.116.3.992-1019,2013,Perceptual and Motor Skills,63,Environmental Factors Influencing Pedestrian Walking Speed
W2028748346,backward,3,10.1362/026725708x326002,2008,Journal of Marketing Management,63,Using music to influence cognitive and affective responses in queues of low and high crowd density
W2346046805,backward,3,10.1016/j.apacoust.2016.04.020,2016,Applied Acoustics,62,Soundscape evaluation in Han Chinese Buddhist temples
W2089291990,backward,3,10.1080/01490400.2014.888022,2014,Leisure Sciences,62,Human Responses to Simulated Motorized Noise in National Parks
W2036121129,backward,3,10.1016/j.scitotenv.2013.07.026,2013,The Science of The Total Environment,59,Assessment of rural soundscapes with high-speed train noise
W2295761067,backward,3,10.1016/j.scs.2016.03.002,2016,Sustainable Cities and Society,58,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
W2043946763,backward,3,10.1057/udi.2010.20,2010,URBAN DESIGN International,57,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS
W3199830569,backward,3,10.1016/j.landurbplan.2021.104241,2021,Landscape and Urban Planning,57,"Urban soundscape categorization based on individual recognition, perception, and assessment of sound environments"
W3083508329,backward,3,10.1016/j.scs.2020.102475,2020,Sustainable Cities and Society,54,Effects of contexts in urban residential areas on the pleasantness and appropriateness of natural sounds
W3081674090,backward,3,10.1016/j.ufug.2020.126822,2020,Urban forestry & urban greening,53,Soundscape mapping for spatial-temporal estimate on bird activities in urban forests
W3139491471,backward,3,10.1016/j.ufug.2021.127090,2021,Urban forestry & urban greening,52,Audio-visual interactions enhance soundscape perception in China’s protected areas
W4205240252,backward,3,10.1016/j.apacoust.2021.108580,2022,Applied Acoustics,49,The effects of visual landscape and traffic type on soundscape perception in high-rise residential estates of an urban city
W2147709438,backward,3,10.1016/j.scitotenv.2013.10.107,2013,The Science of The Total Environment,46,Soundscape in the sustainable living environment: A cross-cultural comparison between the UK and Taiwan
W2311472320,backward,3,10.1016/j.apacoust.2016.03.011,2016,Applied Acoustics,44,The effect of sound level on perception of reproduced soundscapes
W2945910455,backward,3,10.3390/ijerph16101845,2019,International Journal of Environmental Research and Public Health,44,The Influence of Audio-Visual Interactions on Psychological Responses of Young People in Urban Green Areas: A Case Study in Two Parks in China
W1965050365,backward,3,10.3397/1.3484180,2010,Noise Control Engineering Journal,44,Perspective of the soundscape approach as a tool for urban space design
W2038901312,backward,3,10.1080/00224545.1971.9922469,1971,The Journal of Social Psychology,42,The Pace of Life and Sensitivity to Time in Urban and Rural Settings: A Preliminary Study
W2428939645,backward,3,10.3813/aaa.918965,2016,Acta acustica united with Acustica,40,Development of Indicators for the Soundscape in Urban Shopping Streets
W2791210678,backward,3,10.1515/noise-2017-0007,2017,Noise Mapping,39,Soundscape mapping in environmental noise management and urban planning: case studies in two UK cities
W2070684749,backward,3,10.1016/0022-460x(83)90680-6,1983,Journal of Sound and Vibration,33,Traffic noise annoyance and noise sensitivity in persons with normal and impaired hearing
W2947511526,backward,3,10.1121/1.5102164,2019,The Journal of the Acoustical Society of America,30,Soundscape evaluation: Binaural or monaural?
W4404120444,backward,3,10.1016/j.cities.2024.105573,2024,Cities,29,Pedaling through the cityscape: Unveiling the association of urban environment and cycling volume through street view imagery analysis
W2604838443,backward,3,10.1121/1.4979335,2017,The Journal of the Acoustical Society of America,26,Perceptions and effects of the acoustic environment in quiet residential areas
W2867687530,backward,3,10.1016/j.cities.2018.06.020,2018,Cities,26,Perceptual studies on air quality and sound through urban walks
W4283018905,backward,3,10.1016/j.scs.2022.103996,2022,Sustainable Cities and Society,26,"Characteristics and perception evaluation of the soundscapes of public spaces on both sides of the elevated road: A case study in Suzhou, China"
W2588184096,backward,3,10.3390/app7020173,2017,Applied Sciences,25,Analysis of Field Data to Describe the Effect of Context (Acoustic and Non-Acoustic Factors) on Urban Soundscapes
W4293479097,backward,3,10.1016/j.landurbplan.2022.104534,2022,Landscape and Urban Planning,24,Potential mutual efforts of landscape factors to improve residential soundscapes in compact urban cities
W2115450508,backward,3,10.1177/0305735614543216,2014,Psychology of Music,22,Speeding up the tempo of background sounds accelerates the pace of behavior
W2948010316,backward,3,10.3390/su11113000,2019,Sustainability,21,The Effect of Soundscapes and Lightscapes on the Perception of Safety and Social Presence Analyzed in a Laboratory Experiment
W2510364949,backward,3,10.3846/16486897.2016.1172076,2016,Journal of Environmental Engineering and Landscape Management,18,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS
W4235678817,backward,2,10.1177/002224378101800104,1981,Journal of Marketing Research,69320,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error
W2107031757,backward,2,10.1016/0198-9715(90)90050-4,1990,Computers Environment and Urban Systems,65684,Statistical power analysis for the behavioral sciences
W4243667233,backward,2,10.1007/bf02723327,1988,Journal of the Academy of Marketing Science,20722,On the evaluation of structural equation models
W2149628368,backward,2,10.1037/h0077714,1980,Journal of Personality and Social Psychology,16101,A circumplex model of affect.
W2966755844,backward,2,10.2307/794509,1962,The Yale Law Journal,9182,The Death and Life of Great American Cities
W1987233492,backward,2,10.1016/s1361-9209(97)00009-6,1997,Transportation Research Part D Transport and Environment,4481,"Travel demand and the 3Ds: Density, diversity, and design"
W2054054553,backward,2,10.1016/j.landurbplan.2014.01.017,2014,Landscape and Urban Planning,4220,"Urban green space, public health, and environmental justice: The challenge of making cities ‘just green enough’"
W2097935015,backward,2,10.1016/j.landurbplan.2007.02.001,2007,Landscape and Urban Planning,2798,Promoting ecosystem and human health in urban areas using Green Infrastructure: A literature review
W2123430619,backward,2,10.1093/ageing/26.1.15,1997,Age and Ageing,2345,Comfortable and maximum walking speed of adults aged 20—79 years: reference values and determinants
W2079559446,backward,2,10.1177/0013916508318748,2008,Environment and Behavior,1910,The Nature Relatedness Scale
W2003924484,backward,2,10.1006/jevp.2001.0227,2001,Journal of Environmental Psychology,1894,"THE STRUCTURE OF ENVIRONMENTAL CONCERN: CONCERN FOR SELF, OTHER PEOPLE, AND THE BIOSPHERE"
W2091435714,backward,2,10.1016/s0749-3797(02)00475-0,2002,American Journal of Preventive Medicine,1890,How the built environment affects physical activity
W2072232519,backward,2,10.1177/146613810343007,2003,Ethnography,1850,Street Phenomenology
W2059205334,backward,2,10.1021/es903183r,2010,Environmental Science & Technology,1580,What is the Best Dose of Nature and Green Exercise for Improving Mental Health? A Multi-Study Analysis
W202456592,backward,2,10.1016/j.amepre.2004.10.018,2005,American Journal of Preventive Medicine,1506,Increasing walking
W2115846140,backward,2,10.1080/13574800802451155,2008,Journal of Urban Design,1476,Measuring the Unmeasurable: Urban Design Qualities Related to Walkability
W1990661456,backward,2,10.1080/01490409209513155,1992,Leisure Sciences,1395,Beyond the commodity metaphor: Examining emotional and symbolic attachment to place
W2154091954,backward,2,10.1126/science.167.3924.1461,1970,Science,1266,The Experience of Living in Cities
W2109477969,backward,2,10.1068/a35111,2003,Environment and Planning A Economy and Space,1255,Natural Environments—Healthy Environments? An Exploratory Analysis of the Relationship between Greenspace and Health
W2115046352,backward,2,10.1177/0013916581135001,1981,Environment and Behavior,1241,Natural Versus Urban Scenes
W2141249644,backward,2,10.1146/annurev-soc-070308-120011,2010,Annual Review of Sociology,1241,Social Relationships and Health Behavior Across the Life Course
W2132322709,backward,2,10.3390/ijerph10030913,2013,International Journal of Environmental Research and Public Health,1206,What are the Benefits of Interacting with Nature?
W2083307460,backward,2,10.1016/j.healthplace.2008.09.006,2008,Health & Place,1192,Social contacts as a possible mechanism behind the relation between green space and health
W2027532785,backward,2,10.1016/j.jenvp.2005.07.001,2005,Journal of Environmental Psychology,1173,Exposure to restorative environments helps restore attentional capacity
W2050838208,backward,2,10.1016/j.landurbplan.2011.12.015,2012,Landscape and Urban Planning,1121,More green space is linked to less stress in deprived communities: Evidence from salivary cortisol patterns
W2114560218,backward,2,10.1093/bmb/ldg033,2003,British Medical Bulletin,1117,Noise pollution: non-auditory effects on health
W2089584121,backward,2,10.1371/journal.pone.0010047,2010,PLoS ONE,1109,The Walking Behaviour of Pedestrian Social Groups and Its Impact on Crowd Dynamics
W2052253415,backward,2,10.1080/00958960109598658,2001,The Journal of Environmental Education,1107,Place Attachment and Environmentally Responsible Behavior
W2086090778,backward,2,10.1016/j.healthplace.2008.05.003,2008,Health & Place,1089,Come take a walk with me: The “Go-Along” interview as a novel method for studying the implications of place for health and well-being
W2005856926,backward,2,10.1016/j.apgeog.2010.09.005,2010,Applied Geography,1058,"The walking interview: Methodology, mobility and place"
W2007790091,backward,2,10.1007/s40471-015-0043-7,2015,Current Epidemiology Reports,996,A Review of the Health Benefits of Greenness
W2096398889,backward,2,10.1016/j.jenvp.2013.12.005,2013,Journal of Environmental Psychology,995,The influence of urban green environments on stress relief measures: A field experiment
W2146320597,backward,2,10.1078/1618-8667-00019,2003,Urban forestry & urban greening,973,Landscape planning and stress
W2076707496,backward,2,10.1016/j.landurbplan.2009.10.012,2009,Landscape and Urban Planning,899,The relation between perceived sensory dimensions of urban green space and stress restoration
W2032337854,backward,2,10.1207/s15326969eco0501_1,1993,Ecological Psychology,897,What in the World Do We Hear?: An Ecological Approach to Auditory Event Perception
