no,final_verdict,confidence,reason,screening_verdict,year,journal,title
694,FINAL_INCLUDE,medium,,BORDERLINE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Asses
724,FINAL_INCLUDE,high,,INCLUDE,2021,EMOTION SPACE AND SOCIETY,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Ital
725,FINAL_INCLUDE,medium,,INCLUDE,2021,FRONTIERS IN PUBLIC HEALTH,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During
726,FINAL_INCLUDE,medium,전문재판정: 단독 산림보행 대 가이드 집단활동이 청각요소 지각 좌우 — 역방향 적격,BORDERLINE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest The
729,FINAL_EXCLUDE,medium,음환경 노출 측정 없음·사적 주택 마당 자연접촉 연구,BORDERLINE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Increased Use of Porch or Backyard Nature during COVID-19 Associated with Lower Stress and
732,FINAL_INCLUDE,medium,,INCLUDE,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equati
746,FINAL_INCLUDE,medium,,INCLUDE,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago,"
760,FINAL_INCLUDE,medium,,INCLUDE,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model
761,FINAL_INCLUDE,high,,INCLUDE,2021,FORESTS,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational
762,FINAL_INCLUDE,medium,,BORDERLINE,2021,FRONTIERS IN PSYCHOLOGY,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lock
770,FINAL_EXCLUDE,medium,전문재판정: 음환경은 정서상태 예측변수일 뿐 활동특성과의 연결 분석 없음 — 사운드스케이프-행태 링크 부재,INCLUDE,2021,International Journal of Environmental Research and Public H,The influence of emotional health on the activity characteristics of the elderly and the s
779,FINAL_EXCLUDE,low,경계판정① 주거노출·공간비특정 PA — 세팅 기준 위반,INCLUDE,2021,ENVIRONMENT INTERNATIONAL,Urban environment and obesity and weight-related behaviours in primary school children
791,FINAL_INCLUDE,medium,전문재판정: 캠퍼스 옥외 통행 플로우·소음 동시 계측; 사람 이동이 소음 형성 주원인이라는 역방향 결론,BORDERLINE,2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus
799,FINAL_INCLUDE,medium,,BORDERLINE,2022,APPLIED SCIENCES-BASEL,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban
804,FINAL_INCLUDE,high,,INCLUDE,2022,FORESTS,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in Chi
811,FINAL_EXCLUDE,medium,"행태 아웃컴 없음; 민원기록은 지각 대리지표, 도시 전역 스케일",BORDERLINE,2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Comparative Diagnosis of the Urban Noise Problem from Infrastructural and Social Sensing A
818,SENS_ONLY,medium,경계판정② 행동의향 아웃컴 — 민감도 분석 전용,INCLUDE,2022,LAND,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in L
821,FINAL_INCLUDE,medium,,BORDERLINE,2022,SUSTAINABILITY,Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Vis
833,FINAL_INCLUDE,high,,INCLUDE,2022,JOURNAL OF TRANSPORT & HEALTH,How are air pollution and noise perceived en route? Investigating cyclists' and pedestrian
858,FINAL_INCLUDE,low,전문재판정: 항만 옥외재현 청취테스트; 방문빈도·체류시간 행태변수를 평가 데이터 정규화에 투입한 역방향,BORDERLINE,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study
862,FINAL_INCLUDE,high,전문재판정: 도시숲 공원 레크리에이션 행태가 PSD·SDI·자연음 지속시간 좌우 — 역방향 실증,INCLUDE,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its L
880,FINAL_EXCLUDE,low,경계판정① 주거노출·공간비특정 PA — 세팅 기준 위반,INCLUDE,2022,ENVIRONMENTAL RESEARCH,Urban environment and physical activity and capacity in patients with chronic obstructive 
883,FINAL_INCLUDE,medium,,INCLUDE,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound expe
901,FINAL_INCLUDE,high,,INCLUDE,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urba
909,FINAL_EXCLUDE,high,전문재판정: 건축설계 스튜디오 교육 성찰적 리뷰 — 학생 설계안이 대상이며 행태·음환경 실증분석·음향데이터 미제시,BORDERLINE,2023,Sustainability (Switzerland),Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflec
912,FINAL_EXCLUDE,high,전문재판정: 주거지 단위 지각 음환경 노출과 공간비특정 신체활동(매개)·정신건강 역학연구 — 확정 경계판정 적용,INCLUDE,2023,SCIENCE OF THE TOTAL ENVIRONMENT,"Do objective and subjective traffic-related pollution, physical activity and nature exposu"
930,FINAL_INCLUDE,medium,,INCLUDE,2023,SUSTAINABILITY,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area
931,FINAL_INCLUDE,high,,INCLUDE,2023,LANDSCAPE AND URBAN PLANNING,Natural sounds can encourage social interactions in urban parks
941,FINAL_INCLUDE,high,,INCLUDE,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urb
948,FINAL_EXCLUDE,medium,아웃컴이 사운드스케이프 지각·평가뿐; 경로는 배정된 노출조건,BORDERLINE,2023,FRONTIERS IN PSYCHOLOGY,Soundwalk path affecting soundscape assessment in urban parks
951,FINAL_INCLUDE,high,,INCLUDE,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnabilit
964,FINAL_INCLUDE,medium,,INCLUDE,2023,FRONTIERS IN PSYCHOLOGY,The effects of the natural visual-aural attributes of urban green spaces on human behavior
971,FINAL_INCLUDE,high,,INCLUDE,2023,FORESTS,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park
979,FINAL_INCLUDE,high,,INCLUDE,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for pe
980,FINAL_INCLUDE,medium,전문재판정: 겨울 도시공원 원로 현장조사 180명 — 자기보고 체류시간·경로이용이 사운드스케이프 회복지각과 유의 상관(역방향),BORDERLINE,2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceive
981,FINAL_EXCLUDE,high,전문재판정: 음향지표×음원 조화도 지각 분석만 수행 — 보행량은 언급뿐 미측정·미분석이라 행태 아웃컴 부재,BORDERLINE,2024,BUILDINGS,A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Source Perception in Fu
984,FINAL_INCLUDE,high,"전문재판정: 옥외 호수공원, 음악분수 가동/정지 대비 체류·휴식·교류 증가(p<.05); 활동유형·체류시간→만족 역방향 병존",INCLUDE,2024,LANDSCAPE RESEARCH,A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake sceni
999,FINAL_INCLUDE,medium,경계판정③ 역방향·지각/평가 아웃컴 — 등록 정의 부합,INCLUDE,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian s
1005,FINAL_INCLUDE,high,,INCLUDE,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban c
1009,SENS_ONLY,medium,경계판정② 행동의향 아웃컴 — 민감도 분석 전용,BORDERLINE,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,Effect of human sound component on the sociability of urban public spaces-a case study in 
1018,FINAL_INCLUDE,medium,,INCLUDE,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral 
1020,FINAL_INCLUDE,medium,,INCLUDE,2024,LAND,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emo
1053,FINAL_INCLUDE,medium,,INCLUDE,2024,URBAN ECOSYSTEMS,Socio-environmental drivers of human-nature interactions in urban green spaces
1069,FINAL_INCLUDE,high,,INCLUDE,2024,BUILDING AND ENVIRONMENT,The impact of the community's ' s sound environment on social interactions among residents
1076,FINAL_INCLUDE,high,,INCLUDE,2024,FORESTS,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban 
1110,FINAL_INCLUDE,high,,INCLUDE,2025,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Decoding the impact of audiovisual street environment features on cycling volumes: Insight
1115,FINAL_INCLUDE,medium,,INCLUDE,2025,PLOS ONE,Does noise pollution influence modal choices? A random forest application
1121,FINAL_INCLUDE,medium,경계판정③ 역방향·지각/평가 아웃컴 — 등록 정의 부합,INCLUDE,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort ev
1122,FINAL_INCLUDE,high,,INCLUDE,2025,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of natural sound tempo and social conditions on social Interaction: An interactive
1138,FINAL_INCLUDE,medium,"전문재판정: 혼잡가로 현장관찰·면접으로 경적사용 행태 확인; 역방향(행태→음환경 형성) 적격, 음향지표는 무향실 실측",BORDERLINE,2025,ACOUSTICS,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of
1141,FINAL_EXCLUDE,medium,경계판정① 주거노출·공간비특정 PA — 세팅 기준 위반,INCLUDE,2025,URBAN FORESTRY & URBAN GREENING,"How objective and subjective greenspace, combined with air and noise pollution, impacts me"
1149,FINAL_INCLUDE,medium,,INCLUDE,2025,ARTS & HEALTH,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos
1154,FINAL_EXCLUDE,high,옥외 공공공간 아님 — 주거소음 노출·직장 내 행태 설문,BORDERLINE,2025,FRONTIERS IN PUBLIC HEALTH,Lunch breaks as a buffer: mitigating the negative effects of road traffic noise on urban e
1174,FINAL_INCLUDE,high,,INCLUDE,2025,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel
1177,FINAL_INCLUDE,medium,,BORDERLINE,2025,ACOUSTICS,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaï"
1178,FINAL_INCLUDE,high,,INCLUDE,2025,APPLIED ACOUSTICS,The effects of the interaction between sewage odour and sounds on crowd behaviours in urba
1202,FINAL_INCLUDE,medium,경계판정③ 역방향·지각/평가 아웃컴 — 등록 정의 부합,INCLUDE,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban o
1211,FINAL_INCLUDE,medium,,INCLUDE,2026,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad
1221,FINAL_INCLUDE,medium,,INCLUDE,2026,APPLIED ACOUSTICS,Effect of soundscapes and crowd density on economic behavior in commercial streets
1226,FINAL_INCLUDE,medium,,INCLUDE,2026,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's
1232,FINAL_INCLUDE,medium,전문재판정: 가로 사운드스케이프→경로선택·우회·대처·사회적 상호작용; 전문가 자기보고 행태의 질적 실증(n=12),BORDERLINE,2026,SUSTAINABILITY,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with E
1242,FINAL_INCLUDE,medium,,INCLUDE,2026,LANDSCAPE ARCHITECTURE FRONTIERS,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Rest
1243,FINAL_EXCLUDE,high,서술적 리뷰(비실증)·관찰 행태 아웃컴 없음,INCLUDE,2026,Landscape Architecture Frontiers,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Rest
1253,FINAL_EXCLUDE,medium,행태 아웃컴 측정 없음 — SNS 텍스트 기반 사운드스케이프 인식 매핑,BORDERLINE,2026,PLOS ONE,Mapping urban soundscape patterns using user-generated content: A place model approach to 
1258,FINAL_INCLUDE,high,,INCLUDE,2026,URBAN SCIENCE,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects on User Beh
1272,FINAL_INCLUDE,high,,INCLUDE,2026,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVI,Perception and response of cyclists interacting with autonomous electric vehicles - a virt
1280,FINAL_INCLUDE,medium,,INCLUDE,2026,BUILDINGS,Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and 
1306,FINAL_INCLUDE,high,,INCLUDE,2026,JOURNAL OF TRANSPORT & HEALTH,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling 
