no,verdict,doi,journal,year,title,is_oa,oa_status,oa_url,pdf_url,license,host
387,BORDERLINE,10.1016/j.scitotenv.2016.12.061,SCIENCE OF THE TOTAL ENVIRONMENT,2017,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,True,bronze,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716327486-fx1_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716327486-fx1_lrg.jpg,,The Science of The Total Environment
411,BORDERLINE,10.1186/s12966-017-0557-0,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,2017,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natural experimental study,True,gold,https://ijbnpa.biomedcentral.com/track/pdf/10.1186/s12966-017-0557-0,https://ijbnpa.biomedcentral.com/track/pdf/10.1186/s12966-017-0557-0,cc-by,International Journal of Behavioral Nutrition and Physical Activity
412,BORDERLINE,10.1007/s12403-016-0230-x,EXPOSURE AND HEALTH,2017,"Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affected by Intense Urban Expansion (Fortaleza-CE, Brazil): Implications for Public Health Policy",True,green,http://www.repositorio.ufc.br/handle/riufc/67147,,other-oa,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
433,BORDERLINE,10.1016/j.envint.2017.09.009,ENVIRONMENT INTERNATIONAL,2017,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",True,green,https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=51900,,other-oa,Site cant be reached
444,BORDERLINE,10.1080/14649365.2016.1228116,Social and Cultural Geography,2017,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with Ménière’s disease,False,closed,,,,
484,BORDERLINE,10.1016/j.envres.2018.06.004,ENVIRONMENTAL RESEARCH,2018,Multiple pathways link urban green- and bluespace to mental health in young adults,True,green,https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=53619,,other-oa,Site cant be reached
485,BORDERLINE,10.4103/nah.nah_9_18,NOISE & HEALTH,2018,Negative impact of noise and noise sensitivity on mental health in childhood,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/6301087,,cc-by-nc-sa,Europe PMC (PubMed Central)
489,BORDERLINE,10.1016/j.envres.2018.06.031,ENVIRONMENTAL RESEARCH,2018,Pathways linking residential noise and air pollution to mental ill-health in young adults,False,closed,,,,
499,BORDERLINE,10.1016/j.ufug.2017.11.002,URBAN FORESTRY & URBAN GREENING,2018,Spatial-temporal change analysis of plant soundscapes and their design methods,False,closed,,,,
509,BORDERLINE,10.1016/j.ufug.2017.11.015,Urban Forestry and Urban Greening,2018,Tranquillity Trails for urban areas,True,green,http://hdl.handle.net/10454/14160,,cc-by-nc-nd,Bradford Scholars (University of Bradford)
512,BORDERLINE,10.1016/j.envres.2017.09.015,ENVIRONMENTAL RESEARCH,2018,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,False,closed,,,,
556,BORDERLINE,10.1016/j.landurbplan.2019.103602,LANDSCAPE AND URBAN PLANNING,2019,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",False,closed,,,,
559,BORDERLINE,10.1016/j.apacoust.2019.07.014,APPLIED ACOUSTICS,2019,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns,False,closed,,,,
562,BORDERLINE,10.1016/j.trf.2019.08.006,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,2019,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",False,closed,,,,
569,BORDERLINE,10.18666/jpra-2019-9149,JOURNAL OF PARK AND RECREATION ADMINISTRATION,2019,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,False,closed,,,,
599,BORDERLINE,10.1121/10.0002008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2020,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a),True,bronze,https://pubs.aip.org/asa/jasa/article-pdf/148/3/1748/16772188/1748_1_online.pdf,https://pubs.aip.org/asa/jasa/article-pdf/148/3/1748/16772188/1748_1_online.pdf,,The Journal of the Acoustical Society of America
615,BORDERLINE,10.1016/j.apacoust.2019.107023,APPLIED ACOUSTICS,2020,Evaluation of noise pollution related to human perception in a university campus in Brazil,False,closed,,,,
623,BORDERLINE,10.14324/111.444/ucloe.000009,UCL open. Environment,2020,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,True,gold,https://doi.org/10.14324/111.444/ucloe.000009,,cc-by,UCL Open Environment
624,BORDERLINE,10.1016/j.tmp.2020.100666,TOURISM MANAGEMENT PERSPECTIVES,2020,How do Chinese tourists perceive tranquillity during the tour?,False,closed,,,,
639,BORDERLINE,10.1515/noise-2020-0021,NOISE MAPPING,2020,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy",True,gold,https://www.degruyter.com/document/doi/10.1515/noise-2020-0021/pdf,https://www.degruyter.com/document/doi/10.1515/noise-2020-0021/pdf,cc-by,Noise Mapping
684,BORDERLINE,10.1175/wcas-d-21-0020.1,WEATHER CLIMATE AND SOCIETY,2021,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?,False,closed,,,,
692,BORDERLINE,10.3389/fsoc.2021.729453,FRONTIERS IN SOCIOLOGY,2021,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,True,gold,https://doi.org/10.3389/fsoc.2021.729453,,cc-by,Frontiers in Sociology
709,BORDERLINE,10.1002/pan3.10156,PEOPLE AND NATURE,2021,Ecosystem services enhanced through soundscape management link people and wildlife,True,gold,https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pan3.10156,https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pan3.10156,cc-by,People and Nature
713,BORDERLINE,10.1016/j.apacoust.2020.107570,APPLIED ACOUSTICS,2021,Effects of environmental sound quality on soundscape preference in a public urban space,True,green,http://ira.lib.polyu.edu.hk/bitstream/10397/102824/1/Mak_Effects_Environmental_Sound.pdf,http://ira.lib.polyu.edu.hk/bitstream/10397/102824/1/Mak_Effects_Environmental_Sound.pdf,cc-by-nc-nd,PolyU Institutional Research Archive (Hong Kong Polytechnic University)
744,INCLUDE,10.1142/s0219525921500119,ADVANCES IN COMPLEX SYSTEMS,2021,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS,False,closed,,,,
772,BORDERLINE,10.1080/14790718.2020.1766048,INTERNATIONAL JOURNAL OF MULTILINGUALISM,2021,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca,False,closed,,,,
819,BORDERLINE,10.1016/j.apacoust.2022.109129,APPLIED ACOUSTICS,2022,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",True,hybrid,https://www.sciencedirect.com/science/article/pii/S0003682X22005035/pdf,https://www.sciencedirect.com/science/article/pii/S0003682X22005035/pdf,cc-by,Applied Acoustics
823,BORDERLINE,10.3233/ais-220621,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,2022,Enhancing the park experience by giving visitors control over the park's soundscape,True,bronze,https://content.iospress.com:443/download/journal-of-ambient-intelligence-and-smart-environments/ais220621?id=journal-of-ambient-intelligence-and-smart-environments%2Fais220621,https://content.iospress.com:443/download/journal-of-ambient-intelligence-and-smart-environments/ais220621?id=journal-of-ambient-intelligence-and-smart-environments%2Fais220621,,Journal of Ambient Intelligence and Smart Environments
831,BORDERLINE,10.1016/j.gloenvcha.2022.102497,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2022,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,True,hybrid,https://www.sciencedirect.com/science/article/pii/S0959378022000358/pdf,https://www.sciencedirect.com/science/article/pii/S0959378022000358/pdf,cc-by,Global Environmental Change
848,BORDERLINE,10.1016/j.biocon.2022.109600,BIOLOGICAL CONSERVATION,2022,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acoustic monitoring and occupancy models,False,closed,,,,
853,INCLUDE,10.2148/benv.48.2.244,Built Environment,2022,Revisiting Public Space Transformations from a Sonic Perspective during the COVID-19 Pandemic,False,closed,,,,
888,BORDERLINE,10.3390/ijerph20042932,International Journal of Environmental Research and Public Health,2023,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,True,gold,https://www.mdpi.com/1660-4601/20/4/2932/pdf?version=1675833994,https://www.mdpi.com/1660-4601/20/4/2932/pdf?version=1675833994,cc-by,International Journal of Environmental Research and Public Health
917,BORDERLINE,10.1016/j.apacoust.2023.109350,APPLIED ACOUSTICS,2023,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,False,closed,,,,
927,BORDERLINE,10.1016/j.envres.2023.116087,ENVIRONMENTAL RESEARCH,2023,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",True,hybrid,https://doi.org/10.1016/j.envres.2023.116087,,cc-by-nc-nd,Environmental Research
932,BORDERLINE,10.1080/17450101.2023.2226357,Mobilities,2023,Negotiating the city during the dark season: a study of recreational running,True,hybrid,https://www.tandfonline.com/doi/pdf/10.1080/17450101.2023.2226357?needAccess=true&role=button,https://www.tandfonline.com/doi/pdf/10.1080/17450101.2023.2226357?needAccess=true&role=button,cc-by,Mobilities
950,BORDERLINE,,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,2023,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",,,,,,
957,BORDERLINE,10.13189/cea.2023.110132,Civil Engineering and Architecture,2023,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmental Sound Character,True,diamond,http://www.hrpub.org/download/20221230/CEA32-14827916.pdf,http://www.hrpub.org/download/20221230/CEA32-14827916.pdf,cc-by,Civil Engineering and Architecture
972,BORDERLINE,10.1016/j.envres.2023.115501,ENVIRONMENTAL RESEARCH,2023,Unintended impacts of the Open Streets program on noise complaints in New York City,True,bronze,https://doi.org/10.1016/j.envres.2023.115501,,,Environmental Research
982,BORDERLINE,10.1016/j.apacoust.2024.110036,APPLIED ACOUSTICS,2024,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",False,closed,,,,
998,BORDERLINE,10.1016/j.envpol.2024.123559,ENVIRONMENTAL POLLUTION,2024,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",True,hybrid,https://ars.els-cdn.com/content/image/1-s2.0-S0269749124002732-ga1_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S0269749124002732-ga1_lrg.jpg,cc-by-nc-nd,Environmental Pollution
1002,BORDERLINE,10.1007/s43621-024-00605-8,DISCOVER SUSTAINABILITY,2024,Comparison of current and proposed travel modes for students considering travelling and sustainable indicators,True,gold,https://link.springer.com/content/pdf/10.1007/s43621-024-00605-8.pdf,https://link.springer.com/content/pdf/10.1007/s43621-024-00605-8.pdf,cc-by,Discover Sustainability
1013,BORDERLINE,10.1093/geroni/igad066,INNOVATION IN AGING,2024,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,True,gold,https://academic.oup.com/innovateage/advance-article-pdf/doi/10.1093/geroni/igad066/50878682/igad066.pdf,https://academic.oup.com/innovateage/advance-article-pdf/doi/10.1093/geroni/igad066/50878682/igad066.pdf,cc-by-nc-nd,Innovation in Aging
1016,BORDERLINE,10.1080/14616688.2024.2412984,Tourism Geographies,2024,Experiencing therapeutic soundscapes in rural tourism destinations,False,closed,,,,
1074,BORDERLINE,,Florida Geographer,2024,"Tourists, residents, and chickens in urban spaces: the case of Ybor City",,,,,,
1092,BORDERLINE,10.1016/j.envres.2025.120874,ENVIRONMENTAL RESEARCH,2025,A sensor-based study on the environmental determinants of sleep in older adults,True,green,https://pure.eur.nl/en/publications/3a3a217e-8cad-4604-a430-bc42dcd0ad4a,,other-oa,EUR Research Repository (Erasmus University Rotterdam)
1101,BORDERLINE,10.1007/s11524-024-00947-8,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,2025,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool Children,True,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC11865388/,,,PubMed Central
1143,BORDERLINE,10.1038/s41598-025-08524-y,SCIENTIFIC REPORTS,2025,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,True,gold,https://www.nature.com/articles/s41598-025-08524-y.pdf,https://www.nature.com/articles/s41598-025-08524-y.pdf,cc-by,Scientific Reports
1169,BORDERLINE,10.22616/j.landarchart.2025.27.02,LANDSCAPE ARCHITECTURE AND ART,2025,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS,True,diamond,https://journals.lbtu.lv/laa/article/download/195/128,https://journals.lbtu.lv/laa/article/download/195/128,cc-by-nc,Landscape architecture and art
1172,BORDERLINE,10.1038/s41598-025-30347-0,SCIENTIFIC REPORTS,2025,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,True,gold,https://www.nature.com/articles/s41598-025-30347-0_reference.pdf,https://www.nature.com/articles/s41598-025-30347-0_reference.pdf,cc-by-nc-nd,Scientific Reports
1175,BORDERLINE,10.1016/j.envint.2025.109876,ENVIRONMENT INTERNATIONAL,2025,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort",True,gold,https://doi.org/10.1016/j.envint.2025.109876,,cc-by,Environment International
1179,BORDERLINE,10.1038/s41598-025-19918-3,SCIENTIFIC REPORTS,2025,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,True,gold,https://www.nature.com/articles/s41598-025-19918-3.pdf,https://www.nature.com/articles/s41598-025-19918-3.pdf,cc-by-nc-nd,Scientific Reports
1182,BORDERLINE,10.1183/23120541.00132-2025,ERJ OPEN RESEARCH,2025,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,True,gold,https://doi.org/10.1183/23120541.00132-2025,,cc-by-nc,ERJ Open Research
1190,BORDERLINE,10.1016/j.trf.2025.01.012,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,2025,What's your type? A taxonomy of pedestrian route choice behaviour in cities,True,hybrid,https://doi.org/10.1016/j.trf.2025.01.012,,cc-by,Transportation Research Part F Traffic Psychology and Behaviour
1191,BORDERLINE,10.32738/jeppm-2025-228,"Journal of Engineering, Project, and Production Management",2026,A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,True,diamond,https://doi.org/10.32738/jeppm-2025-228,,cc-by-nc-nd,Journal of Engineering Project and Production Management
1200,BORDERLINE,10.1038/s41598-026-61794-y,Scientific reports,2026,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",True,gold,https://www.nature.com/articles/s41598-026-61794-y_reference.pdf,https://www.nature.com/articles/s41598-026-61794-y_reference.pdf,cc-by-nc-nd,Scientific Reports
1203,BORDERLINE,10.1038/s41370-025-00765-3,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,2026,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,True,green,https://hal.science/hal-05013876/document,https://hal.science/hal-05013876/document,,HAL (Le Centre pour la Communication Scientifique Directe)
1215,BORDERLINE,10.1016/j.dib.2026.112981,DATA IN BRIEF,2026,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities,True,gold,https://doi.org/10.1016/j.dib.2026.112981,,cc-by,Data in Brief
1218,BORDERLINE,10.3390/land15050811,LAND,2026,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,True,gold,https://doi.org/10.3390/land15050811,,cc-by,Land
1239,BORDERLINE,10.1093/pnasnexus/pgag181,PNAS NEXUS,2026,Heart rate synchrony as a marker of real-world social engagement,True,gold,https://doi.org/10.1093/pnasnexus/pgag181,,cc-by,PNAS Nexus
1250,BORDERLINE,10.1016/j.tra.2026.105090,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2026,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a controlled before-after quasi-experimental study in Berlin",True,hybrid,https://doi.org/10.1016/j.tra.2026.105090,,cc-by,Transportation Research Part A Policy and Practice
1264,BORDERLINE,10.1088/2631-8695/ae3b99,ENGINEERING RESEARCH EXPRESS,2026,"Noise pollution of different vehicles: a case study at Agartala city, India",False,closed,,,,
1271,BORDERLINE,10.47836/ac.19.1.paper06,Alam Cipta,2026,"Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding Ceremony in Chenyang Eight Village, China",False,closed,,,,
1275,BORDERLINE,10.3390/land15060919,LAND,2026,Public Perception of Urban Forests in Portugal,True,gold,https://doi.org/10.3390/land15060919,,cc-by,Land
1276,INCLUDE,10.1080/23748834.2026.2616563,CITIES & HEALTH,2026,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation,False,closed,,,,
1291,BORDERLINE,10.13284/j.cnki.rddl.20250846,Tropical Geography,2026,Soundscape-Based Mitigation of the Tidal Phenomenon in Rural Destinations: Sensory Capital Activation and Spatio-Temporal Fixation,True,green,https://doaj.org/article/0c5c9df944c142c4bcb7e0b3e1a64a0f,,cc-by-sa,DOAJ (DOAJ: Directory of Open Access Journals)
1305,BORDERLINE,10.1007/s12662-026-01101-z,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,2026,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,True,hybrid,https://link.springer.com/content/pdf/10.1007/s12662-026-01101-z.pdf,https://link.springer.com/content/pdf/10.1007/s12662-026-01101-z.pdf,cc-by,German Journal of Exercise and Sport Research
1315,BORDERLINE,10.1016/j.jtrangeo.2026.104697,JOURNAL OF TRANSPORT GEOGRAPHY,2026,Walking barriers in older age: A comparison of perceived and measured conditions,True,hybrid,https://doi.org/10.1016/j.jtrangeo.2026.104697,,cc-by,Journal of Transport Geography
