priority,no,verdict,year,journal,title,doi,proxy_link
P1-INCLUDE,1121,INCLUDE,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort evaluations in outdoor public spaces,10.1080/13467581.2023.2292069,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/13467581.2023.2292069
P1-INCLUDE,1122,INCLUDE,2025,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of natural sound tempo and social conditions on social Interaction: An interactive virtual experiment,10.1016/j.jenvp.2025.102630,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.jenvp.2025.102630
P1-INCLUDE,80,INCLUDE,2008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",10.1121/1.2821955,https://doi-org-ssl.access.yonsei.ac.kr/10.1121/1.2821955
P1-INCLUDE,104,INCLUDE,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,10.1121/1.3183377,https://doi-org-ssl.access.yonsei.ac.kr/10.1121/1.3183377
P1-INCLUDE,833,INCLUDE,2022,JOURNAL OF TRANSPORT & HEALTH,"How are air pollution and noise perceived en route? Investigating cyclists' and pedestrians' personal exposure, wellbeing and practices during commute",10.1016/j.jth.2021.101325,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.jth.2021.101325
P1-INCLUDE,1306,INCLUDE,2026,JOURNAL OF TRANSPORT & HEALTH,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling volume,10.1016/j.jth.2026.102313,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.jth.2026.102313
P1-INCLUDE,14,INCLUDE,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior,10.1016/s0272-4944(88)80035-5,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/s0272-4944(88)80035-5
P1-INCLUDE,7,INCLUDE,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo,10.1080/00224545.1978.9924035,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/00224545.1978.9924035
P1-INCLUDE,1202,INCLUDE,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban open spaces,10.1016/j.jum.2026.04.003,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.jum.2026.04.003
P1-INCLUDE,71,INCLUDE,2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived availability to nearby green areas,10.1016/j.landurbplan.2007.03.003,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.landurbplan.2007.03.003
P1-INCLUDE,666,INCLUDE,2020,LANDSCAPE AND URBAN PLANNING,The influence of human behavioral characteristics on soundscape perception in urban parks: Subjective and observational approaches,10.1016/j.landurbplan.2020.103890,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.landurbplan.2020.103890
P1-INCLUDE,941,INCLUDE,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urban Environments,10.15302/j-laf-1-020106,https://doi-org-ssl.access.yonsei.ac.kr/10.15302/j-laf-1-020106
P1-INCLUDE,984,INCLUDE,2024,LANDSCAPE RESEARCH,"A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake scenic spot, China",10.1080/01426397.2024.2307003,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/01426397.2024.2307003
P1-INCLUDE,379,INCLUDE,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts,10.1515/noise-2016-0016,https://doi-org-ssl.access.yonsei.ac.kr/10.1515/noise-2016-0016
P1-INCLUDE,532,INCLUDE,2019,PEERJ,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,10.7717/peerj.7711,https://doi-org-ssl.access.yonsei.ac.kr/10.7717/peerj.7711
P1-INCLUDE,883,INCLUDE,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound experiences,10.1002/pan3.10409,https://doi-org-ssl.access.yonsei.ac.kr/10.1002/pan3.10409
P1-INCLUDE,341,INCLUDE,2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces,10.1016/j.scitotenv.2016.08.130,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scitotenv.2016.08.130
P1-INCLUDE,406,INCLUDE,2017,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of temporary open-air markets on the sound environment and acoustic perception based on the crowd density characteristics,10.1016/j.scitotenv.2017.06.017,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scitotenv.2017.06.017
P1-INCLUDE,494,INCLUDE,2018,SCIENCE OF THE TOTAL ENVIRONMENT,"Relationships among satisfaction, noise perception, and use of urban green spaces",10.1016/j.scitotenv.2017.12.148,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scitotenv.2017.12.148
P1-INCLUDE,912,INCLUDE,2023,SCIENCE OF THE TOTAL ENVIRONMENT,"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect mental wellbeing? Evidence from Shenzhen, China",10.1016/j.scitotenv.2023.161819,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scitotenv.2023.161819
P1-INCLUDE,999,INCLUDE,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian spaces adjacent to arterial roads,10.1016/j.scitotenv.2024.172198,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scitotenv.2024.172198
P1-INCLUDE,951,INCLUDE,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnability by Volunteered Geographic Information and multilevel model approaches,10.1016/j.scs.2022.104336,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scs.2022.104336
P1-INCLUDE,435,INCLUDE,2017,Sound Studies,"Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions in Udlajan, Tehran",10.1080/20551940.2018.1451221,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/20551940.2018.1451221
P1-INCLUDE,1110,INCLUDE,2025,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Decoding the impact of audiovisual street environment features on cycling volumes: Insights from street view imagery and machine learning,10.1016/j.tra.2025.104586,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.tra.2025.104586
P1-INCLUDE,1174,INCLUDE,2025,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel,10.1016/j.trd.2025.104806,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.trd.2025.104806
P1-INCLUDE,1272,INCLUDE,2026,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,Perception and response of cyclists interacting with autonomous electric vehicles - a virtual reality study,10.1016/j.trf.2026.103707,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.trf.2026.103707
P1-INCLUDE,746,INCLUDE,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago, Chile",10.1016/j.tbs.2021.01.002,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.tbs.2021.01.002
P1-INCLUDE,1053,INCLUDE,2024,URBAN ECOSYSTEMS,Socio-environmental drivers of human-nature interactions in urban green spaces,10.1007/s11252-024-01593-3,https://doi-org-ssl.access.yonsei.ac.kr/10.1007/s11252-024-01593-3
P1-INCLUDE,560,INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Perceptions and use of urban green spaces on the basis of size,10.1016/j.ufug.2019.126470,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ufug.2019.126470
P1-INCLUDE,1141,INCLUDE,2025,URBAN FORESTRY & URBAN GREENING,"How objective and subjective greenspace, combined with air and noise pollution, impacts mental health through the mediation of physical activity",10.1016/j.ufug.2025.128683,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ufug.2025.128683
P1-INCLUDE,979,INCLUDE,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with psychosis,10.1177/14703572211052638,https://doi-org-ssl.access.yonsei.ac.kr/10.1177/14703572211052638
P2-BORDERLINE,268,BORDERLINE,2014,APPLIED ACOUSTICS,The effects of expectation on the perception of soundscapes,10.1016/j.apacoust.2014.03.016,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2014.03.016
P2-BORDERLINE,559,BORDERLINE,2019,APPLIED ACOUSTICS,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns,10.1016/j.apacoust.2019.07.014,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2019.07.014
P2-BORDERLINE,615,BORDERLINE,2020,APPLIED ACOUSTICS,Evaluation of noise pollution related to human perception in a university campus in Brazil,10.1016/j.apacoust.2019.107023,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2019.107023
P2-BORDERLINE,713,BORDERLINE,2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,10.1016/j.apacoust.2020.107570,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2020.107570
P2-BORDERLINE,819,BORDERLINE,2022,APPLIED ACOUSTICS,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",10.1016/j.apacoust.2022.109129,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2022.109129
P2-BORDERLINE,917,BORDERLINE,2023,APPLIED ACOUSTICS,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,10.1016/j.apacoust.2023.109350,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2023.109350
P2-BORDERLINE,982,BORDERLINE,2024,APPLIED ACOUSTICS,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",10.1016/j.apacoust.2024.110036,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2024.110036
P2-BORDERLINE,1271,BORDERLINE,2026,Alam Cipta,"Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding Ceremony in Chenyang Eight Village, China",10.47836/ac.19.1.paper06,https://doi-org-ssl.access.yonsei.ac.kr/10.47836/ac.19.1.paper06
P2-BORDERLINE,46,BORDERLINE,2002,American Journal of Epidemiology,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda County Study,10.1093/aje/155.6.507,https://doi-org-ssl.access.yonsei.ac.kr/10.1093/aje/155.6.507
P2-BORDERLINE,848,BORDERLINE,2022,BIOLOGICAL CONSERVATION,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acoustic monitoring and occupancy models,10.1016/j.biocon.2022.109600,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.biocon.2022.109600
P2-BORDERLINE,957,BORDERLINE,2023,Civil Engineering and Architecture,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmental Sound Character,10.13189/cea.2023.110132,https://doi-org-ssl.access.yonsei.ac.kr/10.13189/cea.2023.110132
P2-BORDERLINE,1215,BORDERLINE,2026,DATA IN BRIEF,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities,10.1016/j.dib.2026.112981,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.dib.2026.112981
P2-BORDERLINE,1002,BORDERLINE,2024,DISCOVER SUSTAINABILITY,Comparison of current and proposed travel modes for students considering travelling and sustainable indicators,10.1007/s43621-024-00605-8,https://doi-org-ssl.access.yonsei.ac.kr/10.1007/s43621-024-00605-8
P2-BORDERLINE,1264,BORDERLINE,2026,ENGINEERING RESEARCH EXPRESS,"Noise pollution of different vehicles: a case study at Agartala city, India",10.1088/2631-8695/ae3b99,https://doi-org-ssl.access.yonsei.ac.kr/10.1088/2631-8695/ae3b99
P2-BORDERLINE,29,BORDERLINE,1997,ENVIRONMENT INTERNATIONAL,Subjective reactions to traffic noise with regard to some personality traits,10.1016/s0160-4120(97)00008-1,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/s0160-4120(97)00008-1
P2-BORDERLINE,433,BORDERLINE,2017,ENVIRONMENT INTERNATIONAL,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",10.1016/j.envint.2017.09.009,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envint.2017.09.009
P2-BORDERLINE,1175,BORDERLINE,2025,ENVIRONMENT INTERNATIONAL,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort",10.1016/j.envint.2025.109876,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envint.2025.109876
P2-BORDERLINE,301,BORDERLINE,2015,ENVIRONMENTAL HEALTH,Street-level noise in an urban setting: assessment and contribution to personal exposure,10.1186/s12940-015-0006-y,https://doi-org-ssl.access.yonsei.ac.kr/10.1186/s12940-015-0006-y
P2-BORDERLINE,998,BORDERLINE,2024,ENVIRONMENTAL POLLUTION,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",10.1016/j.envpol.2024.123559,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envpol.2024.123559
P2-BORDERLINE,484,BORDERLINE,2018,ENVIRONMENTAL RESEARCH,Multiple pathways link urban green- and bluespace to mental health in young adults,10.1016/j.envres.2018.06.004,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2018.06.004
P2-BORDERLINE,489,BORDERLINE,2018,ENVIRONMENTAL RESEARCH,Pathways linking residential noise and air pollution to mental ill-health in young adults,10.1016/j.envres.2018.06.031,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2018.06.031
P2-BORDERLINE,512,BORDERLINE,2018,ENVIRONMENTAL RESEARCH,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,10.1016/j.envres.2017.09.015,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2017.09.015
P2-BORDERLINE,927,BORDERLINE,2023,ENVIRONMENTAL RESEARCH,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",10.1016/j.envres.2023.116087,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2023.116087
P2-BORDERLINE,972,BORDERLINE,2023,ENVIRONMENTAL RESEARCH,Unintended impacts of the Open Streets program on noise complaints in New York City,10.1016/j.envres.2023.115501,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2023.115501
P2-BORDERLINE,1092,BORDERLINE,2025,ENVIRONMENTAL RESEARCH,A sensor-based study on the environmental determinants of sleep in older adults,10.1016/j.envres.2025.120874,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2025.120874
P2-BORDERLINE,1182,BORDERLINE,2025,ERJ OPEN RESEARCH,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,10.1183/23120541.00132-2025,https://doi-org-ssl.access.yonsei.ac.kr/10.1183/23120541.00132-2025
P2-BORDERLINE,412,BORDERLINE,2017,EXPOSURE AND HEALTH,"Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affected by Intense Urban Expansion (Fortaleza-CE, Brazil): Implications for Public Health Policy",10.1007/s12403-016-0230-x,https://doi-org-ssl.access.yonsei.ac.kr/10.1007/s12403-016-0230-x
P2-BORDERLINE,351,BORDERLINE,2016,Environment International,Long-term transportation noise annoyance is associated with subsequent lower levels of physical activity,10.1016/j.envint.2016.03.011,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envint.2016.03.011
P2-BORDERLINE,692,BORDERLINE,2021,FRONTIERS IN SOCIOLOGY,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,10.3389/fsoc.2021.729453,https://doi-org-ssl.access.yonsei.ac.kr/10.3389/fsoc.2021.729453
P2-BORDERLINE,1074,BORDERLINE,2024,Florida Geographer,"Tourists, residents, and chickens in urban spaces: the case of Ybor City",,
P2-BORDERLINE,1305,BORDERLINE,2026,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,10.1007/s12662-026-01101-z,https://doi-org-ssl.access.yonsei.ac.kr/10.1007/s12662-026-01101-z
P2-BORDERLINE,831,BORDERLINE,2022,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,10.1016/j.gloenvcha.2022.102497,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.gloenvcha.2022.102497
P2-BORDERLINE,1013,BORDERLINE,2024,INNOVATION IN AGING,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,10.1093/geroni/igad066,https://doi-org-ssl.access.yonsei.ac.kr/10.1093/geroni/igad066
P2-BORDERLINE,411,BORDERLINE,2017,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natural experimental study,10.1186/s12966-017-0557-0,https://doi-org-ssl.access.yonsei.ac.kr/10.1186/s12966-017-0557-0
P2-BORDERLINE,94,BORDERLINE,2009,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,Effects of noise pollution on traffic policemen,,
P2-BORDERLINE,772,BORDERLINE,2021,INTERNATIONAL JOURNAL OF MULTILINGUALISM,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca,10.1080/14790718.2020.1766048,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/14790718.2020.1766048
P2-BORDERLINE,888,BORDERLINE,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,10.3390/ijerph20042932,https://doi-org-ssl.access.yonsei.ac.kr/10.3390/ijerph20042932
P2-BORDERLINE,22,BORDERLINE,1995,International Journal of Environmental Studies,An interdisciplinary study of urban noise pollution: Part II,10.1080/00207239508710998,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/00207239508710998
P2-BORDERLINE,823,BORDERLINE,2022,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,Enhancing the park experience by giving visitors control over the park's soundscape,10.3233/ais-220621,https://doi-org-ssl.access.yonsei.ac.kr/10.3233/ais-220621
P2-BORDERLINE,240,BORDERLINE,2014,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSIONS OF SOUNDS,,
P2-BORDERLINE,188,BORDERLINE,2012,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Multiple environmental burdens and neighborhood-related health of city residents,10.1016/j.jenvp.2012.05.002,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.jenvp.2012.05.002
P2-BORDERLINE,950,BORDERLINE,2023,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",,
P2-BORDERLINE,1203,BORDERLINE,2026,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,10.1038/s41370-025-00765-3,https://doi-org-ssl.access.yonsei.ac.kr/10.1038/s41370-025-00765-3
P2-BORDERLINE,137,BORDERLINE,2011,JOURNAL OF PARK AND RECREATION ADMINISTRATION,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,,
P2-BORDERLINE,569,BORDERLINE,2019,JOURNAL OF PARK AND RECREATION ADMINISTRATION,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,10.18666/jpra-2019-9149,https://doi-org-ssl.access.yonsei.ac.kr/10.18666/jpra-2019-9149
P2-BORDERLINE,599,BORDERLINE,2020,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a),10.1121/10.0002008,https://doi-org-ssl.access.yonsei.ac.kr/10.1121/10.0002008
P2-BORDERLINE,1315,BORDERLINE,2026,JOURNAL OF TRANSPORT GEOGRAPHY,Walking barriers in older age: A comparison of perceived and measured conditions,10.1016/j.jtrangeo.2026.104697,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.jtrangeo.2026.104697
P2-BORDERLINE,1101,BORDERLINE,2025,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool Children,10.1007/s11524-024-00947-8,https://doi-org-ssl.access.yonsei.ac.kr/10.1007/s11524-024-00947-8
P2-BORDERLINE,1191,BORDERLINE,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,10.32738/jeppm-2025-228,https://doi-org-ssl.access.yonsei.ac.kr/10.32738/jeppm-2025-228
