no,design,mmat_category,year,title
539,survey,quantitative_descriptive,2019,Factors associated with soundscape experiences in urban green spaces: A case stu
560,survey,quantitative_descriptive,2019,Perceptions and use of urban green spaces on the basis of size
566,mixed (soundscape intervention evaluated with questionnaires interviews behavioural observation and acoustic monitoring),quantitative_descriptive,2019,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Interventio
602,mixed,mixed_methods,2020,"Comparing associations among sound sources, human behaviors, and soundscapes on "
617,field-observation,quantitative_descriptive,2020,Examining the Associations between Oases Soundscape Components and Walking Speed
661,lab-VR-experiment,quantitative_RCT_or_nonrandomised,2020,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Makin
665,field-experiment,quantitative_RCT_or_nonrandomised,2020,The effects of sounds and food odour on crowd behaviours in urban public open sp
666,lab-VR-experiment,quantitative_RCT_or_nonrandomised,2020,The influence of human behavioral characteristics on soundscape perception in ur
694,survey,quantitative_descriptive,2021,Associations between Personal Attitudes towards COVID-19 and Public Space Sounds
724,mixed,mixed_methods,2021,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festiv
725,survey,quantitative_descriptive,2021,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spa
726,field-experiment (무작위 배정 2군 8주 8회 개입 + 에세이 질적 내용분석 NVivo 12.0 · 카이제곱 검정),quantitative_RCT_or_nonrandomised,2021,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided 
732,survey,quantitative_descriptive,2021,Investigating contextual influences on urban soundscape evaluations with structu
746,survey,quantitative_descriptive,2021,Perception of the built environment and walking in pericentral neighbourhoods in
760,mixed,mixed_methods,2021,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kan
761,survey,quantitative_descriptive,2021,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Re
762,natural-experiment,quantitative_nonrandomised,2021,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COV
791,observational,quantitative_descriptive,2022,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Sm
799,field-observation,quantitative_descriptive,2022,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environmen
804,survey,quantitative_descriptive,2022,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Pa
818,survey,quantitative_descriptive,2022,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case 
821,survey,quantitative_descriptive,2022,Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Str
833,mixed,mixed_methods,2022,How are air pollution and noise perceived en route? Investigating cyclists' and 
858,mixed,mixed_methods,2022,Soundscape Approach in the Seaport of Ancona: A Case Study
862,observational,quantitative_descriptive,2022,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas
883,survey,quantitative_descriptive,2022,Urban park soundscapes: Spatial and social factors influencing bird and traffic 
901,mixed,mixed_methods,2023,Can acoustic indices reflect the characteristics of public recreational behavior
930,survey,quantitative_descriptive,2023,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban
931,field-experiment,quantitative_RCT_or_nonrandomised,2023,Natural sounds can encourage social interactions in urban parks
941,field-experiment,quantitative_RCT_or_nonrandomised,2023,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behavi
951,sensor-bigdata,quantitative_descriptive,2023,Sustainable design of running friendly streets: Environmental exposures predict 
964,mixed (on-site behaviour mapping + questionnaire),mixed_methods,2023,The effects of the natural visual-aural attributes of urban green spaces on huma
971,field-experiment,quantitative_RCT_or_nonrandomised,2023,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park
979,field-observation,quantitative_descriptive,2023,Walking through the city soundscape: an audio-visual analysis of sensory experie
980,survey (저자 표기 on-site experiment — 산술과제로 스트레스 유발 후 현장 설문),quantitative_descriptive,2023,White Spaces Unveiled: Investigating the Restorative Potential of Environmentall
984,mixed (soundwalk with 10 sampling points + on-site Likert questionnaire + SPL measurement + evening musical-fountain on/off comparison),mixed_methods,2024,A study on the fusion of musical theme landscape and soundscape in Hefei Feicui 
999,lab-VR-experiment,quantitative_RCT_or_nonrandomised,2024,Comparative evaluation of soundscapes in human activities spatial contexts of pe
1005,mixed,mixed_methods,2024,Crowdsourced cycling data applications to estimate noise pollution exposure duri
1009,field-experiment (immersive 360-degree video and spatial audio playback; participants recruited on site),quantitative_RCT_or_nonrandomised,2024,Effect of human sound component on the sociability of urban public spaces-a case
1018,mixed,mixed_methods,2024,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on b
1020,mixed (field audio-visual measurement + questionnaire + regression modelling),mixed_methods,2024,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavi
1053,sensor-bigdata,quantitative_descriptive,2024,Socio-environmental drivers of human-nature interactions in urban green spaces
1069,field-experiment,quantitative_RCT_or_nonrandomised,2024,The impact of the community's ' s sound environment on social interactions among
1076,survey (questionnaire + structural equation model),quantitative_descriptive,2024,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences
1110,sensor-bigdata,quantitative_descriptive,2025,Decoding the impact of audiovisual street environment features on cycling volume
1115,sensor-bigdata,quantitative_descriptive,2025,Does noise pollution influence modal choices? A random forest application
1121,mixed,mixed_methods,2025,Effects of interactions between thermal and acoustic environments on subjective 
1122,lab-VR-experiment,quantitative_RCT_or_nonrandomised,2025,Effects of natural sound tempo and social conditions on social Interaction: An i
1138,mixed (weekday rush-hour roadside HD video and sound level meter observation + structured interviews + controlled anechoic-chamber horn experiment),quantitative_descriptive,2025,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Cas
1149,mixed,mixed_methods,2025,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos
1174,sensor-bigdata,quantitative_descriptive,2025,Synergistic role of audio-visual perceptions in promoting bikeshare for active t
1177,"mixed (LAeq acoustic measurement plus soundwalks, sound diaries and mental maps, ISO 12913 protocol)",mixed_methods,2025,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experienc"
1178,field-experiment,quantitative_RCT_or_nonrandomised,2025,The effects of the interaction between sewage odour and sounds on crowd behaviou
1202,mixed,mixed_methods,2026,Assessing the impact of landscape context on soundscape quality in multifunction
1211,field-observation,quantitative_descriptive,2026,Chromatic recurrences applied to joint walking time series of a blind mother-chi
1221,mixed,mixed_methods,2026,Effect of soundscapes and crowd density on economic behavior in commercial stree
1226,survey,quantitative_descriptive,2026,Environmental characteristics and physical activity: A cross-sectional study in 
1232,"survey (two online expert focus groups via Microsoft Teams; deductive thematic analysis with inductive refinement, NVivo 15, two-coder consensus)",quantitative_descriptive,2026,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Gro
1242,survey (field questionnaire),quantitative_descriptive,2026,How Individual and Sound Characteristics Interactively Determine Perceived Sound
1258,mixed,mixed_methods,2026,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects o
1272,lab-VR-experiment,quantitative_RCT_or_nonrandomised,2026,Perception and response of cyclists interacting with autonomous electric vehicle
1280,mixed,mixed_methods,2026,Research on the Effect of Rural Composite Environments on the Spatiotemporal Beh
1306,sensor-bigdata,quantitative_descriptive,2026,Unveiling the nonlinear effects of street-level audiovisual environments on urba
