no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
53,movement,Total lateral error at crossing endpoint (m),Audible signal from far end only vs simultaneously from both ends (Experiment 1),test_stat,"signal mode F(1,10) = 10.277, eta2 = 0.507; vision status F(1,10) = 9.320, eta2 = 0.482","n=12 (6 blind, 6 sighted), 5 trials per condition; background traffic noise 70 dB(A), signals 72 dB(C) at 2 m; 16 m crossing",2.2 Results and discussion (Experiment 1),errors were smaller when the signal came from the far end of the crossing than when it came simultaneously from both ends,YES
53,movement,Random error at crossing endpoint (m),"Far end only vs simultaneous, by vision status (Experiment 1)",means_sd,"blind 1.97 (SE = 0.37) far end vs 2.49 (SE = 0.37) simultaneous; sighted 0.84 (SE = 0.11) vs 1.82 (SE = 0.10) m; signal mode F(1,10) = 22.172, eta2 = 0.689; vision status F(1,10) = 6.571, eta2 = 0.397","n=6 blind, n=6 sighted; 5 trials per condition",2.2 Results and discussion (Experiment 1),For the blind participants the mean random errors were 1.97 (SE = 0.37) and 2.49 (SE = 0.37) m,YES
53,movement,"Constant error (directional bias, m) and per-participant advantage",Far end only vs simultaneous (Experiment 1),test_stat,"constant errors 0.68 m to the left (blind) and 0.11 m to the right (sighted), no effects significant; 11 of 12 participants smaller error in far end condition, chi2(1) = 8.333",n=12,2.2 Results and discussion (Experiment 1),All six sighted participants and five of the six blind participants had smaller errors in the far end condition,YES
53,movement,Total lateral error at crossing endpoint (m),Far end only vs alternating vs simultaneous (Experiment 2),test_stat,"signal mode F(2,16) = 8.04, eta2 = 0.501; far end vs alternating F(1,8) = 13.49, eta2 = 0.628; far end vs simultaneous F(1,8) = 11.70, eta2 = 0.594; alternating vs simultaneous eta2 = 0.103 n.s.","n=10 (5 blind, 5 sighted), 5 trials in each of 12 conditions",3.2 Results and discussion (Experiment 2),"When the signal was presented from the far end only, errors were lower than in the alternating mode",YES
53,movement,Total lateral error at endpoint (m),"One vs two parallel crossings signalled, by signal mode (Experiment 2)",test_stat,"interaction F(2,16) = 4.37, eta2 = 0.353; alternating dual vs single F(1,8) = 22.88, eta2 = 0.741; far end F(1,8) = 4.31, eta2 = 0.35 n.s.; simultaneous F(1,8) = 0.19, eta2 = 0.023 n.s.",n=10,"3.2 Results and discussion (Experiment 2), Figure 4","In the alternating mode, total errors were significantly larger with the dual crossing than the single crossing",YES
53,movement,Random error at endpoint (m),Far end only vs alternating vs simultaneous (Experiment 2),means_sd,"1.30 m (SE = 0.16) far end; 2.61 m (SE = 0.42) alternating; 3.06 m (SE = 0.40) simultaneous; signal mode F(2,16) = 14.24, eta2 = 0.640; far vs alternating F(1,8) = 15.53, eta2 = 0.660; far vs simultaneous F(1,8) = 23.08, eta2 = 0.743",n=10,3.2 Results and discussion (Experiment 2),The mean random errors were 1.30 m (SE = 0.16) when the signal came only from the far end of the crossing(s),YES
53,movement,Constant error - lateral drawing toward a signalled parallel crossing (m),One vs two crossings signalled x side of the parallel crossing (Experiment 2),test_stat,"interaction F(1,8) = 4.103, p < 0.077, eta2 = 0.339; one crossing -0.61 m (left) vs 1.39 m (right), difference 2.00 m; both crossings -1.54 vs 1.25 m, difference 2.79 m; drawing effect 0.79 m",n=10,3.2 Results and discussion (Experiment 2),our best estimate is that there was a modest drawing effect of about three-fourths of a metre when the parallel crossing was signalled,YES
53,movement,Total lateral error at endpoint (m),"Signal mode, locator tone on/off, one vs two crossings (Experiment 3)",test_stat,"signal mode F(2,22) = 7.560, eta2 = 0.407; locator tone status F(1,11) = 22.039, eta2 = 0.667; number of crossings F(1,11) = 6.052, eta2 = 0.355","n=13 (7 blind, 6 sighted), 5 trials in each of 12 conditions; locator tone 880 Hz square wave at 1 Hz",4.2 Results (Experiment 3),"The significant results were the main effects of signal mode, locator tone status, and number of crossings signalled",YES
53,movement,Total lateral error at endpoint (m) with locator tone off,Far end only vs alternating vs simultaneous (Experiment 3),test_stat,"far end vs alternating F(1,11) = 5.755, eta2 = 0.343; far end vs simultaneous F(1,11) = 18.218, eta2 = 0.624; alternating vs simultaneous eta2 = 0.194 n.s.",n=13,"4.2 Results (Experiment 3), Figure 5",errors in the far end signal mode were lower than in the alternating mode,YES
53,movement,Total error at crossing halfway point (m),Far end only vs alternating vs simultaneous (Experiment 3),means_sd,"1.18 (SE 0.115) far end only; 1.59 (0.163) alternating; 2.00 (0.104) simultaneous; signal mode F(2,22) = 11.328, eta2 = 0.507; far vs alternating F(1,11) = 9.865, eta2 = 0.473; far vs simultaneous F(1,11) = 23.590, eta2 = 0.682",n=13,4.2 Results (Experiment 3),"The mean (SE) errors for the far end only, alternating, and simultaneous signal modes were 1.18 (0.115), 1.59 (0.163), and 2.00 (0.104) m",YES
53,movement,Total and random error at endpoint (m),One vs two crossings signalled; locator tone on vs off (Experiment 3),means_sd,"total error 2.20 (SE = 0.26) one crossing vs 2.72 (SE = 0.20) two crossings; random error 1.60 (SE = 0.12) vs 2.00 (SE = 0.16); random error with locator tone 1.46 m (SE = 0.13) vs without 2.14 m (SE = 0.14); locator tone F(1,11) = 21.836, eta2 = 0.665; crossings F(1,11) = 5.582, eta2 = 0.337",n=13,4.2 Results (Experiment 3),random errors averaged 1.46 m (SE = 0.13) with the tone compared to 2.14 m (SE = 0.14) without it,YES
53,movement,Random error at endpoint (m),"Far end only vs alternating vs simultaneous, all trials and single vs dual crossing (Experiment 3)",means_sd,"all trials 1.23 (0.13) far end, 1.86 (0.20) alternating, 2.31 (0.17) simultaneous; single crossing 0.91 (0.16), 1.53 (0.24), 2.35 (0.19); dual crossing 1.56 (0.22), 2.19 (0.26), 2.26 (0.28); F(2,22) = 12.721, eta2 = 0.536; far vs alternating F(1,11) = 13.613, eta2 = 0.553; far vs simultaneous F(1,11) = 22.719, eta2 = 0.674",n=13,4.2 Results (Experiment 3),"For single crossing trials the means (SE) were 0.91 m (0.16) in the far end mode, 1.53 m (0.24) in the alternating mode",YES
53,movement,"Constant error (drawing toward signalled parallel crossing, m) and per-participant best condition",Parallel crossing left vs right x one vs two crossings signalled (Experiment 3),test_stat,"interaction F(1,11) = 5.822, eta2 = 0.346; rightward error 0.6 vs 1.3 m when parallel crossing on left, 1.1 vs 0.7 m when on right; 9 of 13 best in far end mode chi2(2) = 7.538; 11 of 13 smaller errors with locator tone chi2(1) = 6.231",n=13,"4.2 Results (Experiment 3), Figure 6","Eleven of the 13 participants had smaller errors when the locator tone was available, a significant difference",YES
53,movement,"Crossing time and crossing success (values cited from other studies, not this papers own data)",Alternating vs simultaneous signal mode (Laroche et al. 2000; Stevens 1993),percent,"average crossing time 22.1 vs 25.3 s (Laroche et al. 2000); crossed successfully on 85% of alternating vs 33% of simultaneous trials, alignment errors 6 vs 28 degrees (Stevens 1993)",Laroche et al. n=15 blind; Stevens n=18 with visual impairments,5 General discussion (secondary citations),Participants crossed successfully on 85% of the alternating trials compared to only 33% of the simultaneous trials,NO
271,staying,Pedestrians passing through vs lingering in the square (behaviour mapping counts),"No acoustic condition contrast - single high-noise site, traffic the most negative contributor",percent,4163 pedestrians passed through on a weekday 5-7 pm (highest use); 71 people lingering on a weekend midnight-2 am (highest lingering use); as many as 500 visitors in some sessions,"44 two-hour fieldwork sessions over a three-week period (3 weekdays plus both weekend days, 4 timeslots per day)",Findings - The Social Use of Oxford Square; Figure 2,The highest use is seen on a weekday between 5-7 pm whereby 4163 pedestrians passed through the site,NO
271,other,Sound level / soundscape characterisation of the site,Descriptive soundscape analysis only - no condition contrast,none,"no dB values, correlation coefficients, regression coefficients or test statistics reported for the sound-behaviour relationship",NR,Findings - Soundscape Analysis; Table 1,Both the physical and perceptive measures found that sound levels at the site are high,NO
323,staying,"Ratio of stoppers to passers-by (RSP, %)",Classical vs Ambient vs Jazz vs Control (no music),means_sd,Classical mean RSP 4.4% Std.Dev. 2.5%; Ambient 5.5% / 3.8%; Jazz 4.5% / 2.9%; Control (No Music) 4.3% / 3.5%,18 ten-minute video slots per condition (72 total); passers-by 4107 / 2921 / 2989 / 2765; stoppers-by 181 / 161 / 135 / 119; 180 min exposure per condition,Table 1,Number of observations according to the different stimuli conditions averaged over the 72 video excerpts,YES
323,staying,Ratio of stoppers to passers-by (RSP),Four stimulus conditions compared (Kruskal-Wallis H test),test_stat,"chi2(3) = 0.24, p = 0.971",n=72 ten-minute slots (18 per condition),3.1 Effect of Music on Ratio of People Stopping By,The mean rank of RSP scores was not statistically significantly different between groups,NO
323,staying,"Duration of stay (seconds, as observed)",Classical vs Ambient vs Jazz vs Control (no music),means_sd,Classical M = 320.57 s SE = 24.01 (95% CI 274.94-368.74); Ambient 274.69 SE 21.74 (233.42-318.60); Jazz 257.56 SE 21.27 (217.20-299.75); Control 132.18 SE 11.93 (109.89-156.58),"stoppers n = 181 / 161 / 135 / 119 (596 total); 10,000 bootstrap samples; background noise 60.7 dB, music calibrated to 75 dB (SNR about 10 dB)",Table 2,Descriptive statistics of the duration of stay for each stimulus condition,YES
323,staying,"Duration of stay (log-transformed, estimated marginal means)","Classical vs Ambient vs Jazz vs Control, controlling for Posture",means_sd,"Classical 5.29 +/- 0.072; Ambient 5.25 +/- 0.079; Jazz 5.17 +/- 0.087; Control (No music) 4.83 +/- 0.120; corresponding to 198 s, 190 s, 176 s and 125 s",two-way ANOVA error df = 574 (582 stopping subjects in the model),"3.2.2, Figure 5","The unweighted marginal means of Duration of stay scores for Classical, Ambient, Jazz, and Control (No music) were 5.29",YES
323,staying,Duration of stay (log-transformed),Main effect of Stimulus (music vs no music) and Posture x Stimulus interaction,test_stat,"main effect F(3, 574) = 3.781, p = 0.010, partial eta2 = 0.019; interaction F(3, 574) = 1.197, p = 0.310, partial eta2 = 0.006",error df = 574,3.2.2 Combined Effect of Posture and Music on Duration of Stay,"the main effect for Stimulus was statistically significant, F(3, 574) = 3.781, p = 0.010, partial eta2 = 0.019",YES
323,staying,"Duration of stay (log points), pairwise contrasts against control","Control (no music) vs each music condition, Bonferroni-adjusted",test_stat,"Control 0.45 points lower than Classical (p = 0.007), 0.42 points lower than Ambient (p = 0.021), 0.34 points lower than Jazz (p = 0.124, n.s.)",error df = 574,3.2.2,The Control condition was associated with a mean Duration of stay score 0.45 points lower than Classical,YES
323,staying,Duration of stay (log-transformed) by Posture,Sitting vs standing (non-acoustic covariate),test_stat,"Welch F(1, 469.457) = 136.946, p < 0.001, partial eta2 = 0.183; Levene p = 0.004",596 stopping subjects observed in total,3.2.1 Analysis of Covariant Attributes on Duration of Stay,The difference between the two levels of the Posture variable was statistically significant,YES
323,staying,Duration of stay (log-transformed) by Group and by Activity,Alone vs group; five activity types (non-acoustic covariates),test_stat,"Group Welch F(1, 577.373) = 0.070, p = 0.791; Activity Welch F(4, 143.522) = 14.821, p = 0.001, partial eta2 = 0.030; Talking on the phone M = 4.66 SD = 1.06 vs Smoking M = 5.26 SD = 0.96 (p = 0.04) and Eating/Drinking M = 5.38 SD = 1.14 (p = 0.04)",596 stopping subjects observed in total,3.2.1,only the duration of Talking on the phone events had a statistically significant difference with respect to Smoking events,YES
341,staying,Percentage of pedestrians standing and watching,No sound/no activity (N/A) vs activities without music (A) vs music without activities (M) vs activities with music (AM),percent,"N/A 3.2% (RD/FD), 2.6% (ZD), 4.5% (QG), 3.6% (TJ); A 14.8% / 9.8% / 28.2% / 27.4%; M increase from 4.4% to 15.4%; AM 36.2% / 14.1% / 39.5% / 30.3%",10-15 group videos of 3-5 min for each situation at 4 music-activity sites; per-condition denominators not reported,"3.1 Effects of music-related activities, Fig. 3(a)","The number of persons who stand watching was increased to 36.2% (RD), 14.1% (ZD), 39.5% (QG), and 30.3% (TJ)",NO
341,movement,Percentage of pedestrians passing by,N/A vs activities with music vs activities without music (music-related activities),percent,"N/A 42.3% (RD), 40.5% (ZD), 33.6% (QG), 37.8% (TJ); TJ decrease 21.5% (with music) and 19% (without music); ZD decrease 5.1% (with music) and 2.4% (without music)",same video sample; denominators not reported,"3.1, Fig. 3(b)","TJ activities with music or without music can both decrease much more the number of persons with passing by behaviours, 21.5%",NO
341,staying,Increase in persons who pass by converted to standing and watching (summary statement),Music-related activities vs no activity,percent,music-related activities caused an increase from 5.1% to 21.5% in the number of persons who passed by to stand and watch,behaviour videos 10-15 groups per situation; 1223 valid questionnaires for the comfort survey,Abstract and 5 Conclusions,music-related activities caused an increase from 5.1% to 21.5% in the number of persons who passed by to stand and watch,NO
341,staying,Percentage of pedestrians sitting,N/A vs activities without music vs music without activities vs activities with music (FD example),percent,FD 27.7% (N/A) and 26.2% (activities without music) vs 13.2% (music without activities) and 10.4% (activities with music); TJ 5.7%; FD 17.3%,denominators per condition not reported,"3.1, Fig. 3(d)","about 27.7% and 26.2% persons sat during N/A situation and activities without music, whereas the value was 13.2% and 10.4%",NO
341,staying,Percentage of persons sitting vs measured sound level,Correlation across music-related activity conditions,correlation,Pearsons correlation at 0.78 (p < 0.01),n for the correlation not reported (4 music activities x 4 conditions),3.1,"The measured sound level correlated with the percentage of persons with sitting behaviours, with Pearsons correlation at 0.78",NO
341,other,Percentage of persons performing exercises,Music environment vs no music,percent,the music environment increased the percentage of persons who were exercising only from 1.1% to 4.4%,denominators not reported,"3.1, Fig. 3(c)",the music environment increased the percentage of persons who were exercising only from 1.1% to 4.4%,NO
341,staying,Percentage standing and watching by number of persons performing the activity,"1-3 vs 6-12 persons (WW, RS); 0-40 vs 40-100 persons (PC)",percent,1-3 persons 3.3-4.3% (WW) and 3.6-4.3% (RS); 0-40 persons PC 2.6-5.6%; 6-12 persons 24.5-26.3% (WW) and 21.6-24.4% (RS); 40-100 persons PC 17.6-28.6%,denominators not reported,"3.2 Effect of human sound-related activities, Fig. 4(a)","when 6-12 persons performed WW or RS or 40-100 persons performed PC, there were 24.5-26.3% (WW), 21.6-24.4% (RS)",NO
341,staying,Percentage sitting by number of persons performing the activity,0-3 vs 6-12 persons performing WW or RS,percent,0-3 persons 19.1-27.1% people sat; 6-12 persons only 3.9-5.8% people sat,denominators not reported,3.2 (text refers to Fig. 6),"when 0-3 persons perform WW or RS activity, 19.1-27.1% people sat, while when 6-12 persons performed WW or RS activity, only 3.9-5.8% people sat",NO
341,reverse-acoustic,LAeq of the open space (dBA),N/A vs activities without music vs music without activities (music-related activities),means_sd,"activities without music LAeq 56.5 (TJ), 58.3 (QG), 58.2 (ZD), 59.7 dBA (FD), increases of 0.7 / 1.2 / 1.7 / 1.8 dBA; music without activities 66.7 / 69.2 / 71.7 / 74.3 dBA, increases of 10.8 / 12.1 / 15.2 / 16.4 dBA",5 min of readings at each of 5-7 survey positions per activity area; no SD reported,"4.1 Effect on sound environment, Fig. 5","the LAeq is 66.7 dBA (TJ), 69.2 dBA (QG), 71.7 dBA (ZD) and 74.3 dBA (FD), which is increased from 10.8 dBA (TJ)",NO
341,reverse-acoustic,LAeq of the open space (dBA),"Number of persons performing human sound-related activities (WW, RS, PC)",means_sd,"WW LAeq increases from 57.2 to 72.9 dBA with one person, on average +0.76 dBA per person, 76.2 for 3 persons and 81.3 for 12 persons; RS 1-3 persons +3.4 to 4.1 dBA and 6-12 persons +11.6 to 12.7 dBA; PC 0-40 persons +0.9 to 2.8 dBA and 40-100 persons +8 to 9.6 dBA",5 min of readings at each of 5-7 survey positions; no SD reported,"4.1, Fig. 6","even if only one person is doing that activity, the LAeq increases from 57.2 to 72.9 dBA",NO
341,other,Acoustic comfort rating (5-point scale) by pedestrian behaviour,Music-related activity conditions (N/A vs A vs M vs AM),means_sd,"standing and watching comfort increased by 0.5 to 0.7 with A or M and 0.3 to 0.6 higher with AM; RD highest 3.9 and ZD lowest 3.5; passing by mean difference 0.3 to 0.7 (p < 0.01), M vs AM not significant (p > 0.1); exercising RK LAeq 75.9 dBA comfort 3.3 vs TJ LAeq 66.7 dBA comfort 3.9; sitting 0.2 to 0.6 lower",1223 valid questionnaires (about 150-200 interviews per survey point); no SD reported,"4.2.1 Music sound-related activities, Fig. 7",the acoustic comfort of persons who stand watching can be increased from 0.5 to 0.7,NO
341,other,Acoustic comfort rating (5-point scale) by number of persons in human sound-related activity,"1-3 vs 6-12 persons (WW, RS); 1-40 vs 41-100 persons (PC)",means_sd,"standing and watching near WW 2.5-2.6 with 1-3 persons vs 2.9-3.1 with 6-12 persons; passing by reduced 0.1 (WW), 0.1-0.2 (RS), 0-0.1 (PC) with few persons vs 0.5-0.6 (WW), 0.4-0.5 (RS), 0.4-0.5 (PC) with many; sitting reduced 0.7 (WW), 0.4 (RS), 0.5 (PC)",1223 valid questionnaires; no SD reported,"4.2.2 Human sound-related activities, Fig. 8",the acoustic comfort of persons who stand watching near the WW activity was 2.9-3.1 when 6-12 persons performed this activity,NO
341,other,Linear regression of acoustic comfort on measured LAeq (coefficient of determination R2),"Visitors vs citizens, by sound-related activity",regression,FD R2 = 0.733 (visitors) and 0.727 (citizens); QG 0.700 and 0.502; TJ 0.854 and 0.503; RS 0.798 and 0.533; PC 0.798 and 0.533; WW 0.595 and 0.558 (p < 0.001),1223 valid questionnaires in total; n per activity and per user group not reported,"4.3.1 Differences between visitors and citizens, Fig. 9",the coefficient of determination R2 was 0.733 (visitors) and 0.727 (citizens),NO
341,other,Correlation between acoustic comfort and social background of pedestrians,By activity: WW / RS / FD / ZD / QG / PC / TJ,correlation,Sex 0.22** / 0.03 / 0.03 / 0.01 / 0.04 / 0.01 / 0.02; Age 0.07 / -0.16* / 0.30** / 0.14* / 0.12* / 0.22** / 0.23**; Income -0.15* / -0.23** / 0.27** / 0.18** / 0.13* / -0.31** / 0.30**; Education level -0.12* / -0.15* / 0.22** / 0.13* / 0.14* / 0.24** / 0.28**; Occupation 0.22** / 0.19** / 0.25** / 0.15* / 0.12* / 0.25** / 0.21**,"1223 valid questionnaires overall; n per activity not reported (** p<0.01, * p<0.05)",Table 3,The relationship between acoustic comfort and the social background of pedestrians,NO
461,movement,"Walking speed on 1.8 km outdoor urban route (m/s), whole-route average","Traffic noise vs control (no sound) vs forest birdsong through headphones, between-subjects",means_sd,traffic noise mean = 1.65 m/s SD = 0.11; control mean = 1.58 m/s SD = 0.13; forest birdsong mean = 1.53 m/s SD = 0.12,N = 83; forest birdsong n = 31 (17M/14F); traffic noise n = 26 (14M/12F); control n = 26 (17M/9F),Section 3.1 Analysis of Walking Speed (body text),"faster walking speed under the traffic noise condition (mean = 1.65 m/s, SD = 0.11)",YES
461,movement,Walking speed - between-subjects main effect of acoustic condition (three-way mixed ANOVA),"Traffic noise vs birdsong vs control, Bonferroni post hoc",test_stat,"F2,80 = 7.759, p < 0.001, eta2 = 0.162; post hoc traffic vs birdsong p = < 0.001; traffic vs control p = 0.085; control vs birdsong p = 0.337","N = 83 (df 2, 80)","Section 3.1, ANOVA results","statistically significant between-subjects main effect of the condition (F2, 80 = 7.759, p < 0.001)",YES
461,movement,"Walking speed per route section (m/s), 7 sections x 2 walk directions",3 acoustic conditions across sections 1-7 in both directions,means_sd,"Direction 1 section 1: birdsong 1.56 (0.13), traffic 1.68 (0.12), control 1.63 (0.15); section 7: birdsong 1.50 (0.12), traffic 1.61 (0.13), control 1.54 (0.15); Direction 2 section 7: birdsong 1.49 (0.13), traffic 1.63 (0.12), control 1.54 (0.13)","N = 83 (31/26/26), repeated over 7 sections",Table 2,The average walking speeds (m/s) in specific sections of the route for the two experimental conditions,YES
461,other,Walk experience ratings on 7-point Likert scale,"birdsong vs traffic noise vs control (one-way ANOVA, Tukey post hoc)",means_sd,"I liked the route: birdsong 6.29 (0.82), traffic 5.65 (1.02), control 6.20 (0.57), F2,80 = 4.705 p < 0.05 eta2 = 0.11; It was a pleasant time: 5.71 (1.13), 4.27 (1.22), 5.23 (1.11), F2,80 = 11.273 p < 0.001 eta2 = 0.22; I was fine: 6.42 (0.62), 5.38 (1.39), 6.12 (0.86), F2,80 = 3.986 p < 0.001 eta2 = 0.17",N = 83 (31/26/26),Table 3 and Section 3.2,Participants listening to forest birdsong liked the route more than those listening to traffic noise,YES
461,other,Headphone-sound annoyance rating; route-section (greenery) effect on walking speed,traffic noise vs birdsong (t-test); sections 1+2 vs 3+4 vs 5+6+7,test_stat,"sounds bothered me: birdsong 2.45 (2.10) vs traffic 4.81 (2.26), t = 4.077, p < 0.001, Cohen d = 1.15; section main effect F1.593,127.480 = 79.550, p < 0.001, eta2 = 0.499, epsilon = 0.797; three-way interaction F3.253,130.103 = 2.942, p < 0.05, eta2 = 0.069",t-test n = 31 vs 26; ANOVA N = 83,Section 3.2 and Section 3.1,"The traffic noise bothered participants more than forest birdsong sounds (t = 4.077, p < 0.001, Cohen d = 1.15)",YES
461,other,Acoustic exposure levels of stimuli and of the route,playback stimuli level and ambient route traffic-noise level,means_sd,"mean sound pressure level crowded city noise 53 dBA, forest birdsong 56 dBA; route traffic noise sections 1-4 about Lday = 55-60 dBA, sections 5-7 about Lday = 50-55 dBA",N = 83; levels identical across participants,Section 2.3 Stimulus Material,"The mean sound pressure level was: crowded city noise 53 dBA, forest birdsong 56 dBA",NO
480,social,Number of talkers (average number of people talking more than 2 s per 5 min),"Pearson correlation with crowd density, by street / commercial function / season",correlation,"R = 0.853 (Kuan Alley Di), 0.720 (Sp), 0.797 (Pe), 0.846 (Central Avenue summer), 0.848 (Central Avenue winter); all Sig = 0.000 (p < 0.01)",n per correlation not stated; 18-21 video groups per survey zone; talker-SPL crosstab total = 475 measurements; questionnaire N = 5153,Table 4,"when crowd density increased, the number of talkers increased in both Kuan Alley and Central Avenue",NO
480,reverse-acoustic,A-weighted equivalent sound pressure level (dBA),"Pearson correlation with crowd density, by street / function / season",correlation,"R = 0.798 (Di), 0.723 (Sp), 0.788 (Pe), 0.710 (Central Avenue summer), 0.685 (Central Avenue winter); all Sig = 0.000; regression R2 = 0.527 Kuan Alley and 0.470 Central Avenue (p < 0.001)",n per correlation not stated; questionnaire N = 5153,Table 4 and Section 3.1.2,"when crowd density increased, the level of sound pressure also increased in Kuan Alley and Central Avenue",NO
