rec,screen,oa_status,year,journal,doi,landing,pdf_url,title
365,RETRIEVE,gold,2024,Journal of Degraded and Mining Lands Management,10.15243/jdmlm.2024.113.5695,https://doi.org/10.15243/jdmlm.2024.113.5695,https://jdmlm.ub.ac.id/index.php/jdmlm/article/download/16432/1017,"Peri-urban forests: an exploratory study of users' recreational activities: The case of the El Meridj-Est recreational forest in Constantine, Algeria"
208,RETRIEVE,gold,2023,Land,10.3390/land12101838,https://doi.org/10.3390/land12101838,https://www.mdpi.com/2073-445X/12/10/1838/pdf?version=1695724383,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting"
126,RETRIEVE,hybrid,2022,The Science of The Total Environment,10.1016/j.scitotenv.2022.159406,https://doi.org/10.1016/j.scitotenv.2022.159406,,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound
327,RETRIEVE,green,2022,Noise & Vibration Worldwide,10.1177/09574565221114660,https://orbi.uliege.be/handle/2268/301871,,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria
123,RETRIEVE,hybrid,2021,The Journal of the Acoustical Society of America,10.1121/10.0008928,https://doi.org/10.1121/10.0008928,https://asa.scitation.org/doi/pdf/10.1121/10.0008928,Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach
128,RETRIEVE,hybrid,2021,Travel Behaviour and Society,10.1016/j.tbs.2021.05.006,https://doi.org/10.1016/j.tbs.2021.05.006,,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting
166,RETRIEVE,gold,2021,Land,10.3390/land10050459,https://doi.org/10.3390/land10050459,https://www.mdpi.com/2073-445X/10/5/459/pdf?version=1619266643,Environmental Features Influence Walking Speed: The Effect of Urban Greenery
268,RETRIEVE,gold,2021,Sustainability,10.3390/su13158423,https://doi.org/10.3390/su13158423,,"Acoustic Environment of Urban Historical Places: A Case Study in Kastamonu, Turkey"
190,RETRIEVE,bronze,2020,Environment and Planning B Urban Analytics and City Science,10.1177/2399808320965243,https://doi.org/10.1177/2399808320965243,https://journals.sagepub.com/doi/pdf/10.1177/2399808320965243?download=true,The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies
137,RETRIEVE,gold,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16050840,https://doi.org/10.3390/ijerph16050840,https://www.mdpi.com/1660-4601/16/5/840/pdf?version=1552389690,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China
175,RETRIEVE,gold,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15040815,https://doi.org/10.3390/ijerph15040815,https://www.mdpi.com/1660-4601/15/4/815/pdf,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland"
80,RETRIEVE,gold,2010,International Journal of Environmental Research and Public Health,10.3390/ijerph7093359,https://doi.org/10.3390/ijerph7093359,https://www.mdpi.com/1660-4601/7/9/3359/pdf?version=1403138545,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
328,UNCERTAIN,gold,2025,Basic and Applied Ecology,10.1016/j.baae.2025.12.007,https://doi.org/10.1016/j.baae.2025.12.007,,Social-ecological relationships on biodiverse and health-promoting city soundscapes
265,UNCERTAIN,green,2024,Building and Environment,10.1016/j.buildenv.2024.112261,https://hull-repository.worktribe.com/output/4922749,https://hull-repository.worktribe.com/file/4922749/1/Accepted%20manuscript,Determinants of soundscape quality of communal open space in Hong Kong
307,UNCERTAIN,green,2023,Environmental Science and Pollution Research,10.1007/s11356-023-30631-4,http://hdl.handle.net/10662/18747,,Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city
219,UNCERTAIN,green,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,https://www.ncbi.nlm.nih.gov/pmc/articles/9742218,,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience
63,UNCERTAIN,green,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,http://hdl.handle.net/2013/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/396064,,Park attributes that encourage park visitation among adolescents: A conjoint analysis
40,UNCERTAIN,green,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,https://www.sciencedirect.com/science/article/abs/pii/S0169204615002261,,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá
106,UNCERTAIN,green,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,http://porto.polito.it/2670007/,,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
18,UNCERTAIN,green,1969,Environment and Behavior,10.1177/001391656900100104,http://hdl.handle.net/1721.1/102214,,The Sonic Environment of Cities
