rec,screen,year,journal,doi,behavior_hint,pages,chars,title,pdf
342,RETRIEVE,2025,Sustainability,10.3390/su17167564,참배·향피우기 등 일상활동,35,46030,Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin,CT0342_2025_Sensory Heritage Is Vital for Sustainable Cities A Case Study of Soundscape and Smellsca.pdf
348,RETRIEVE,2025,Sensors,10.3390/s25123604,군중밀도·상업여가 활동(공간이용),32,46030,Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision,CT0348_2025_Noise Levels Due to Commercial and Leisure Activities in Urban Areas Experimental Valida.pdf
356,RETRIEVE,2025,Journal of Urbanism International Research on Placemaking and Urban Sustainability,10.1080/17549175.2025.2529175,공공공간 이용·활동 관찰(PSI),31,46030,Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown,CT0356_2025_Soundscape and public realm a quasi-experimental comparison between Individual Vocabulary .pdf
365,RETRIEVE,2024,Journal of Degraded and Mining Lands Management,10.15243/jdmlm.2024.113.5695,여가활동·이용실태·사회적 상호작용,12,46030,"Peri-urban forests: an exploratory study of users' recreational activities: The case of the El Meridj-Est recreational forest in Constantine, Algeria",CT0365_2024_Peri-urban forests an exploratory study of users recreational activities The case of the.pdf
371,RETRIEVE,2024,Journal of Transport & Health,10.1016/j.jth.2024.101938,횡단 궤적·보행 경로(위성측위),15,46030,Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada),CT0371_2024_Three pedestrian phasing with audible pedestrian signals configurations Experience of blin.pdf
378,RETRIEVE,2026,International Journal of Environmental Research and Public Health,10.3390/ijerph23020206,보행 촉진·억제 평가(통근보행),30,46030,Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas of a Metropolitan Region: Exploring Measurement Perspectives,CT0378_2026_Pedestrians Perceptions of Motorized Traffic in SuburbanRural Areas of a Metropolitan Regi.pdf
382,RETRIEVE,2026,Acta Acustica,10.1051/aacus/2026051,포켓파크 체류 경험 개선,13,46030,Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study,CT0382_2026_Introducing short informational-attentional masking sounds to improve staying in pocket .pdf
390,RETRIEVE,2025,Journal of Resources and Ecology,10.5814/j.issn.1674-764x.2025.03.019,아동 공원 이용빈도,10,46030,"The Impact of Parental and Park Factors on Children's Urban Park Use in Shanghai, China","CT0390_2025_The Impact of Parental and Park Factors on Childrens Urban Park Use in Shanghai, China.pdf"
395,RETRIEVE,2025,Ecological Informatics,10.1016/j.ecoinf.2025.103548,신체활동 수준·좌식행동,21,46030,"Associations among park features, physical activities, and sensory perceptions from online reviews: A domain-specific named entity recognition model","CT0395_2025_Associations among park features, physical activities, and sensory perceptions from onli.pdf"
410,RETRIEVE,2026,Landscape Architecture,10.3724/j.fjyl.la20250363,여가 신체활동·체류경향,12,41886,Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity,CT0410_2026_Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Phy.pdf
414,RETRIEVE,2026,Frontiers in Psychology,10.3389/fpsyg.2026.1733848,이용행태 관찰·체류패턴,15,46030,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing",CT0414_2026_Behavioral mapping of multisensory experience and engagement in accessible gardens a cas.pdf
10,UNCERTAIN,2025,Building and Environment,10.1016/j.buildenv.2025.113572,,10,46030,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians,CT0010_2025_Percentile-level examination of ten acoustic indicators pinpoints urban noise factors af.pdf
18,UNCERTAIN,1969,Environment and Behavior,10.1177/001391656900100104,,124,46030,The Sonic Environment of Cities,CT0018_1969_The Sonic Environment of Cities.pdf
40,UNCERTAIN,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,,10,46030,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá,CT0040_2016_Staying in touch with nature and well-being in different income groups The experience of.pdf
63,UNCERTAIN,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,,7,44459,Park attributes that encourage park visitation among adolescents: A conjoint analysis,CT0063_2017_Park attributes that encourage park visitation among adolescents A conjoint analysis.pdf
106,UNCERTAIN,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,,10,46030,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks,CT0106_2016_Differences in soundscape appreciation of walking sounds from different footpath materia.pdf
182,UNCERTAIN,2025,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104179,,11,46030,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning,CT0182_2025_Deciphering urban cycling Analyzing the nonlinear impact of street environments on cycli.pdf
212,UNCERTAIN,2024,Cities,10.1016/j.cities.2024.105543,,10,46030,How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data,CT0212_2024_How do urban green space attributes affect visitation and satisfaction An empirical stud.pdf
219,UNCERTAIN,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,,16,46030,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience,CT0219_2022_The role of neighbourhood design in cycling activity during COVID-19 An exploration of t.pdf
241,UNCERTAIN,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128539,,9,46030,Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial,CT0241_2024_Exploring the negative perceptions of tree-based urban green space. Peoples behaviour an.pdf
265,UNCERTAIN,2024,Building and Environment,10.1016/j.buildenv.2024.112261,,13,46030,Determinants of soundscape quality of communal open space in Hong Kong,CT0265_2024_Determinants of soundscape quality of communal open space in Hong Kong.pdf
267,UNCERTAIN,2024,Journal of Transport Geography,10.1016/j.jtrangeo.2024.103811,,11,46030,Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore,CT0267_2024_Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities Go.pdf
274,UNCERTAIN,2024,Cities,10.1016/j.cities.2024.105253,,16,46030,COVID-19 pandemic changes the outdoor physical activity preference in Chinese city: A 7-year GPS trajectory data analysis,CT0274_2024_COVID-19 pandemic changes the outdoor physical activity preference in Chinese city A 7-y.pdf
285,UNCERTAIN,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128325,,10,46030,"Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona",CT0285_2024_Is the grass greener or the water bluer Drivers of local park visitation patterns in Pho.pdf
328,UNCERTAIN,2025,Basic and Applied Ecology,10.1016/j.baae.2025.12.007,,16,46030,Social-ecological relationships on biodiverse and health-promoting city soundscapes,CT0328_2025_Social-ecological relationships on biodiverse and health-promoting city soundscapes.pdf
343,UNCERTAIN,2025,Cities,10.1016/j.cities.2025.106467,,5,25989,Women's walking behavior: Investigating contributing factors in urban contexts,CT0343_2025_Womens walking behavior Investigating contributing factors in urban contexts.pdf
413,UNCERTAIN,2026,Journal of Transport Geography,10.1016/j.jtrangeo.2026.104653,,16,46030,Understanding the cooling and air purification effects of green spaces on running behavior — Evidence from Guangzhou,CT0413_2026_Understanding the cooling and air purification effects of green spaces on running behavi.pdf
428,UNCERTAIN,2026,Building and Environment,10.1016/j.buildenv.2026.115060,,16,46030,Dynamic Audio-Visual Preference in Waterfront Walking Environments: Effects of Distance-Layered Spatial Structure and Soundscape,CT0428_2026_Dynamic Audio-Visual Preference in Waterfront Walking Environments Effects of Distance-L.pdf
