rec,screen,oa_status,result,year,journal,doi,pdf_url,landing,behavior_hint,file,title
342,RETRIEVE,gold,http403,2025,Sustainability,10.3390/su17167564,https://www.mdpi.com/2071-1050/17/16/7564/pdf?version=1755786967,https://doi.org/10.3390/su17167564,참배·향피우기 등 일상활동,,Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin
343,UNCERTAIN,closed,no-oa-pdf,2025,Cities,10.1016/j.cities.2025.106467,,,,,Women's walking behavior: Investigating contributing factors in urban contexts
348,RETRIEVE,gold,no-oa-pdf,2025,Sensors,10.3390/s25123604,,https://doi.org/10.3390/s25123604,군중밀도·상업여가 활동(공간이용),,Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision
356,RETRIEVE,hybrid,ok,2025,Journal of Urbanism International Research on Placemaking and Urban Sustainability,10.1080/17549175.2025.2529175,https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.4324/9781003767350-8&type=chapterpdf,https://doi.org/10.1080/17549175.2025.2529175,공공공간 이용·활동 관찰(PSI),CT0356_2025_Soundscape and public realm a quasi-experimental comparison between Individual Vocabulary .pdf,Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown
360,UNCERTAIN,closed,no-oa-pdf,2026,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2026.102412,,,,,Decoding urban soundscapes: spatial prediction and influence mechanism analysis with interpretable semi-supervised learning
365,RETRIEVE,gold,http403,2024,Journal of Degraded and Mining Lands Management,10.15243/jdmlm.2024.113.5695,https://jdmlm.ub.ac.id/index.php/jdmlm/article/download/16432/1017,https://doi.org/10.15243/jdmlm.2024.113.5695,여가활동·이용실태·사회적 상호작용,,"Peri-urban forests: an exploratory study of users' recreational activities: The case of the El Meridj-Est recreational forest in Constantine, Algeria"
369,UNCERTAIN,closed,no-oa-pdf,2025,Transport Policy,10.1016/j.tranpol.2025.05.015,,,,,"Identifying the effect of street network system on activity behaviours near the homes of older adults: An analytical framework integrating transportation, social, and natural attributes"
371,RETRIEVE,hybrid,ok,2024,Journal of Transport & Health,10.1016/j.jth.2024.101938,https://publications.polymtl.ca/60310/1/60310_Three_pedestrian.pdf,https://doi.org/10.1016/j.jth.2024.101938,횡단 궤적·보행 경로(위성측위),CT0371_2024_Three pedestrian phasing with audible pedestrian signals configurations Experience of blin.pdf,Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada)
373,UNCERTAIN,closed,no-oa-pdf,2026,Environmental Impact Assessment Review,10.1016/j.eiar.2026.108451,,,,,Health-related activity outcomes of visual characteristics in urban green spaces: An on-site comparison between self-reported and observed activities
378,RETRIEVE,gold,ok,2026,International Journal of Environmental Research and Public Health,10.3390/ijerph23020206,https://hb.diva-portal.org/smash/get/diva2:2037145/FULLTEXT01,https://doi.org/10.3390/ijerph23020206,보행 촉진·억제 평가(통근보행),CT0378_2026_Pedestrians Perceptions of Motorized Traffic in SuburbanRural Areas of a Metropolitan Regi.pdf,Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas of a Metropolitan Region: Exploring Measurement Perspectives
382,RETRIEVE,gold,no-oa-pdf,2026,Acta Acustica,10.1051/aacus/2026051,,https://doi.org/10.1051/aacus/2026051,포켓파크 체류 경험 개선,,Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study
390,RETRIEVE,closed,no-oa-pdf,2025,Journal of Resources and Ecology,10.5814/j.issn.1674-764x.2025.03.019,,,아동 공원 이용빈도,,"The Impact of Parental and Park Factors on Children's Urban Park Use in Shanghai, China"
391,RETRIEVE,closed,no-oa-pdf,2025,PRESENCE Virtual and Augmented Reality,10.1162/pres.a.8,,,횡단 결정·수용간격,,The Impact of Auditory Traffic Perception on Pedestrians’ Street-Crossing Behavior: Insights from Real and Virtual Environments
395,RETRIEVE,gold,no-oa-pdf,2025,Ecological Informatics,10.1016/j.ecoinf.2025.103548,,https://doi.org/10.1016/j.ecoinf.2025.103548,신체활동 수준·좌식행동,,"Associations among park features, physical activities, and sensory perceptions from online reviews: A domain-specific named entity recognition model"
397,UNCERTAIN,closed,no-oa-pdf,2025,Applied Spatial Analysis and Policy,10.1007/s12061-025-09779-8,,,,,Beyond the Sound Source Itself: how Daily Activities and Demographics Influence Residential Soundscape Perception and Satisfaction
399,RETRIEVE,closed,no-oa-pdf,2026,Tourism Recreation Research,10.1080/02508281.2025.2611770,,,친환경행동(자기보고),,How does destination soundscape promote tourists’ pro-environmental behaviour? A Reasonable Person Model
402,UNCERTAIN,closed,no-oa-pdf,2026,Landscape and Ecological Engineering,10.1007/s11355-026-00712-w,,,,,The effect of park quality on health benefits: mediating roles of behavioral patterns
405,UNCERTAIN,closed,no-oa-pdf,2026,Landscape and Ecological Engineering,10.1007/s11355-026-00718-4,,,,,Unveiling hidden inequities: a dual-perspectives diagnostic framework for pedestrian environment mismatches in urban park accessibility
410,RETRIEVE,diamond,no-oa-pdf,2026,Landscape Architecture,10.3724/j.fjyl.la20250363,,https://doi.org/10.3724/j.fjyl.la20250363,여가 신체활동·체류경향,,Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity
413,UNCERTAIN,closed,no-oa-pdf,2026,Journal of Transport Geography,10.1016/j.jtrangeo.2026.104653,,,,,Understanding the cooling and air purification effects of green spaces on running behavior — Evidence from Guangzhou
414,RETRIEVE,gold,not-pdf,2026,Frontiers in Psychology,10.3389/fpsyg.2026.1733848,,https://doi.org/10.3389/fpsyg.2026.1733848,이용행태 관찰·체류패턴,,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing"
422,UNCERTAIN,closed,no-oa-pdf,2026,Sustainable Cities and Society,10.1016/j.scs.2026.107693,,,,,Prioritizing jogging-friendly streets in active mobility planning: A decision-support framework integrating trajectory evidence and expert judgment
427,UNCERTAIN,closed,no-oa-pdf,2026,GeoJournal,10.1007/s10708-026-11638-z,,,,,"Urban rhythms and sonic identity: a case study of the Grand Bazaar of Rasht, Iran"
428,UNCERTAIN,closed,no-oa-pdf,2026,Building and Environment,10.1016/j.buildenv.2026.115060,,,,,Dynamic Audio-Visual Preference in Waterfront Walking Environments: Effects of Distance-Layered Spatial Structure and Soundscape
