no,verdict,doi,status,pdf_url,title
862,INCLUDE,10.3390/f13111751,NOT_PDF_CONTENT,https://www.mdpi.com/1999-4907/13/11/1751/pdf?version=1666869359,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its Landscape S
880,INCLUDE,10.1016/j.envres.2022.113956,NO_OA_PDF_URL,,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary 
883,INCLUDE,10.1002/pan3.10409,NO_OA_PDF_URL,,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound experiences
901,INCLUDE,10.1016/j.ecolind.2023.110729,NO_OA_PDF_URL,,Can acoustic indices reflect the characteristics of public recreational behavioral in urban green sp
912,INCLUDE,10.1016/j.scitotenv.2023.161819,PAYWALLED,,"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect "
930,INCLUDE,10.3390/su15054255,NOT_PDF_CONTENT,https://www.mdpi.com/2071-1050/15/5/4255/pdf?version=1678242538,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area
931,INCLUDE,10.1016/j.landurbplan.2023.104870,NO_OA_PDF_URL,,Natural sounds can encourage social interactions in urban parks
941,INCLUDE,10.15302/j-laf-1-020106,NO_OA_PDF_URL,,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urban Environ
951,INCLUDE,10.1016/j.scs.2022.104336,PAYWALLED,,Sustainable design of running friendly streets: Environmental exposures predict runnability by Volun
964,INCLUDE,10.3389/fpsyg.2023.1186806,OK,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1186806/pdf,The effects of the natural visual-aural attributes of urban green spaces on human behavior and emoti
971,INCLUDE,10.3390/f14091758,NOT_PDF_CONTENT,https://www.mdpi.com/1999-4907/14/9/1758/pdf?version=1693402349,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park
979,INCLUDE,10.1177/14703572211052638,NO_OA_PDF_URL,,Walking through the city soundscape: an audio-visual analysis of sensory experience for people with 
984,INCLUDE,10.1080/01426397.2024.2307003,PAYWALLED,,"A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake scenic spot, Ch"
999,INCLUDE,10.1016/j.scitotenv.2024.172198,PAYWALLED,,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian spaces adja
1005,INCLUDE,10.1016/j.heliyon.2024.e27918,ERR:HTTPError,http://www.cell.com/article/S2405844024039495/pdf,Crowdsourced cycling data applications to estimate noise pollution exposure during urban cycling
1018,INCLUDE,10.1016/j.ecolind.2024.112022,NO_OA_PDF_URL,,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral analysis
1020,INCLUDE,10.3390/land13091468,NOT_PDF_CONTENT,https://www.mdpi.com/2073-445X/13/9/1468/pdf?version=1725966626,Exploring the Impact of Visual and Aural Elements in Urban Parks on Human Behavior and Emotional Res
1053,INCLUDE,10.1007/s11252-024-01593-3,NOT_PDF_CONTENT,https://link.springer.com/content/pdf/10.1007/s11252-024-01593-3.pdf,Socio-environmental drivers of human-nature interactions in urban green spaces
1069,INCLUDE,10.1016/j.buildenv.2024.112094,NO_OA_PDF_URL,,The impact of the community's ' s sound environment on social interactions among residents
1076,INCLUDE,10.3390/f15101751,NOT_PDF_CONTENT,https://www.mdpi.com/1999-4907/15/10/1751/pdf?version=1728112674,Understanding the Role of Visitor Behavior in Soundscape Restorative Experiences in Urban Parks
1110,INCLUDE,10.1016/j.tra.2025.104586,PAYWALLED,,Decoding the impact of audiovisual street environment features on cycling volumes: Insights from str
1115,INCLUDE,10.1371/journal.pone.0325249,OK,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0325249&type=printable,Does noise pollution influence modal choices? A random forest application
1121,INCLUDE,10.1080/13467581.2023.2292069,NO_OA_PDF_URL,,Effects of interactions between thermal and acoustic environments on subjective comfort evaluations 
1122,INCLUDE,10.1016/j.jenvp.2025.102630,NO_OA_PDF_URL,,Effects of natural sound tempo and social conditions on social Interaction: An interactive virtual e
1141,INCLUDE,10.1016/j.ufug.2025.128683,NO_OA_PDF_URL,,"How objective and subjective greenspace, combined with air and noise pollution, impacts mental healt"
1149,INCLUDE,10.1080/17533015.2025.2593865,PAYWALLED,,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos
1174,INCLUDE,10.1016/j.trd.2025.104806,PAYWALLED,,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel
1178,INCLUDE,10.1016/j.apacoust.2024.110378,ERR:HTTPError,https://discovery.ucl.ac.uk/10200481/1/Whiterose-The%20effects%20of%20the%20interaction%20between%20sewage%20odour%20and%20sounds%20on%20crowd%20behaviours%20in%20urban%20waterfront%20park.pdf,The effects of the interaction between sewage odour and sounds on crowd behaviours in urban waterfro
1202,INCLUDE,10.1016/j.jum.2026.04.003,NO_OA_PDF_URL,,Assessing the impact of landscape context on soundscape quality in multifunctional urban open spaces
1211,INCLUDE,10.1140/epjs/s11734-026-02140-1,PAYWALLED,,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad
1221,INCLUDE,10.1016/j.apacoust.2025.111101,PAYWALLED,,Effect of soundscapes and crowd density on economic behavior in commercial streets
1226,INCLUDE,10.1016/j.ijheh.2026.114816,NO_OA_PDF_URL,,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's five larg
1242,INCLUDE,10.15302/j-laf-2026-0017,OK,https://journal.hep.com.cn/laf/EN/PDF/10.15302/J-LAF-2026-0017,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Restorativenes
1243,INCLUDE,10.15302/j-laf-2026-0016,OK,https://journal.hep.com.cn/laf/EN/PDF/10.15302/J-LAF-2026-0016,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Restorativenes
1258,INCLUDE,10.3390/urbansci10010060,NOT_PDF_CONTENT,https://www.mdpi.com/2413-8851/10/1/60/pdf?version=1768727007,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects on User Behaviors
1272,INCLUDE,10.1016/j.trf.2026.103707,NO_OA_PDF_URL,,Perception and response of cyclists interacting with autonomous electric vehicles - a virtual realit
1276,INCLUDE,10.1080/23748834.2026.2616563,PAYWALLED,,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation
1280,INCLUDE,10.3390/buildings16101973,NO_OA_PDF_URL,,Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and Perception
1306,INCLUDE,10.1016/j.jth.2026.102313,PAYWALLED,,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling volume
22,BORDERLINE,10.1080/00207239508710998,PAYWALLED,,An interdisciplinary study of urban noise pollution: Part II
29,BORDERLINE,10.1016/s0160-4120(97)00008-1,PAYWALLED,,Subjective reactions to traffic noise with regard to some personality traits
46,BORDERLINE,10.1093/aje/155.6.507,ERR:HTTPError,https://academic.oup.com/aje/article-pdf/155/6/507/131892/507.pdf,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda Co
55,BORDERLINE,10.1121/1.1639333,PAYWALLED,,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances,"
68,BORDERLINE,,NO_DOI,,Daytime population tracking for planning and pollution exposure assessment
89,BORDERLINE,,NO_DOI,,A program of research to support management of visitor-caused noise at Muir Woods National Monument
94,BORDERLINE,,NO_DOI,,Effects of noise pollution on traffic policemen
103,BORDERLINE,,NO_DOI,,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park
137,BORDERLINE,,NO_DOI,,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas
186,BORDERLINE,10.1016/j.trd.2012.06.002,PAYWALLED,,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic
188,BORDERLINE,10.1016/j.jenvp.2012.05.002,PAYWALLED,,Multiple environmental burdens and neighborhood-related health of city residents
194,BORDERLINE,10.3397/1.3682961,PAYWALLED,,Relating the near field noise of passenger cars with the driving behavior
234,BORDERLINE,10.2478/aoa-2013-0024,OK,http://journals.pan.pl/Content/101519/PDF/08-paper.pdf,Urban Noise Annoyance Between 2001 and 2013-Study in a Romanian City
240,BORDERLINE,,NO_DOI,,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSI
251,BORDERLINE,10.1016/j.ufug.2014.05.006,PAYWALLED,,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences"
268,BORDERLINE,10.1016/j.apacoust.2014.03.016,ERR:HTTPError,https://www.sciencedirect.com/science/article/pii/S0003682X14000802,The effects of expectation on the perception of soundscapes
301,BORDERLINE,10.1186/s12940-015-0006-y,NOT_PDF_CONTENT,https://ehjournal.biomedcentral.com/counter/pdf/10.1186/s12940-015-0006-y,Street-level noise in an urban setting: assessment and contribution to personal exposure
351,BORDERLINE,10.1016/j.envint.2016.03.011,NO_OA_PDF_URL,,Long-term transportation noise annoyance is associated with subsequent lower levels of physical acti
357,BORDERLINE,,NO_DOI,,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE
365,BORDERLINE,,NO_DOI,,SOUNDSCAPE PERCEPTION OF URBAN RECREATIONAL GREEN SPACE
378,BORDERLINE,10.1061/(asce)te.1943-5436.0000843,PAYWALLED,,Urban noise analysis using multinomial logistic regression
387,BORDERLINE,10.1016/j.scitotenv.2016.12.061,NOT_PDF_CONTENT,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716327486-fx1_lrg.jpg,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape
411,BORDERLINE,10.1186/s12966-017-0557-0,NOT_PDF_CONTENT,https://ijbnpa.biomedcentral.com/track/pdf/10.1186/s12966-017-0557-0,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natura
412,BORDERLINE,10.1007/s12403-016-0230-x,NO_OA_PDF_URL,,Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affect
433,BORDERLINE,10.1016/j.envint.2017.09.009,NO_OA_PDF_URL,,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neig"
444,BORDERLINE,10.1080/14649365.2016.1228116,NO_OA_PDF_URL,,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with 
484,BORDERLINE,10.1016/j.envres.2018.06.004,NO_OA_PDF_URL,,Multiple pathways link urban green- and bluespace to mental health in young adults
485,BORDERLINE,10.4103/nah.nah_9_18,NO_OA_PDF_URL,,Negative impact of noise and noise sensitivity on mental health in childhood
489,BORDERLINE,10.1016/j.envres.2018.06.031,PAYWALLED,,Pathways linking residential noise and air pollution to mental ill-health in young adults
499,BORDERLINE,10.1016/j.ufug.2017.11.002,PAYWALLED,,Spatial-temporal change analysis of plant soundscapes and their design methods
509,BORDERLINE,10.1016/j.ufug.2017.11.015,NO_OA_PDF_URL,,Tranquillity Trails for urban areas
512,BORDERLINE,10.1016/j.envres.2017.09.015,PAYWALLED,,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pa
556,BORDERLINE,10.1016/j.landurbplan.2019.103602,PAYWALLED,,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?"
559,BORDERLINE,10.1016/j.apacoust.2019.07.014,PAYWALLED,,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns
562,BORDERLINE,10.1016/j.trf.2019.08.006,PAYWALLED,,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, n"
569,BORDERLINE,10.18666/jpra-2019-9149,PAYWALLED,,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks
599,BORDERLINE,10.1121/10.0002008,ERR:HTTPError,https://pubs.aip.org/asa/jasa/article-pdf/148/3/1748/16772188/1748_1_online.pdf,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a)
613,BORDERLINE,10.3390/ijerph17124420,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/17/12/4420/pdf,"Environmental quality perceptions and health: A cross-sectional study of citizens of Kaunas, Lithuan"
615,BORDERLINE,10.1016/j.apacoust.2019.107023,PAYWALLED,,Evaluation of noise pollution related to human perception in a university campus in Brazil
623,BORDERLINE,10.14324/111.444/ucloe.000009,NO_OA_PDF_URL,,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoust
624,BORDERLINE,10.1016/j.tmp.2020.100666,PAYWALLED,,How do Chinese tourists perceive tranquillity during the tour?
639,BORDERLINE,10.1515/noise-2020-0021,NOT_PDF_CONTENT,https://www.degruyter.com/document/doi/10.1515/noise-2020-0021/pdf,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy"
648,BORDERLINE,10.3390/su12176809,NOT_PDF_CONTENT,https://www.mdpi.com/2071-1050/12/17/6809/pdf?version=1598258177,Residents' Spatial Perceptions of Urban Gardens Based on Soundscape and Landscape Differences
684,BORDERLINE,10.1175/wcas-d-21-0020.1,PAYWALLED,,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?
692,BORDERLINE,10.3389/fsoc.2021.729453,NO_OA_PDF_URL,,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary 
694,BORDERLINE,10.3390/ijerph182211774,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/18/22/11774/pdf?version=1636524200,Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Assessment: An 
709,BORDERLINE,10.1002/pan3.10156,ERR:HTTPError,https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pan3.10156,Ecosystem services enhanced through soundscape management link people and wildlife
713,BORDERLINE,10.1016/j.apacoust.2020.107570,ERR:ConnectionResetError,http://ira.lib.polyu.edu.hk/bitstream/10397/102824/1/Mak_Effects_Environmental_Sound.pdf,Effects of environmental sound quality on soundscape preference in a public urban space
726,BORDERLINE,10.3390/ijerph18136957,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/18/13/6957/pdf,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest Therapy and G
729,BORDERLINE,10.3390/ijerph18179102,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/18/17/9102/pdf?version=1630463391,Increased Use of Porch or Backyard Nature during COVID-19 Associated with Lower Stress and Better Sy
762,BORDERLINE,10.3389/fpsyg.2021.570741,OK,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.570741/pdf,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lockdown
772,BORDERLINE,10.1080/14790718.2020.1766048,PAYWALLED,,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca
791,BORDERLINE,10.3390/s22176585,NOT_PDF_CONTENT,https://www.mdpi.com/1424-8220/22/17/6585/pdf?version=1662355817,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus
799,BORDERLINE,10.3390/app12125917,NOT_PDF_CONTENT,https://www.mdpi.com/2076-3417/12/12/5917/pdf?version=1654854668,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban Intersect
811,BORDERLINE,10.3390/ijerph19052809,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/19/5/2809/pdf?version=1646041380,Comparative Diagnosis of the Urban Noise Problem from Infrastructural and Social Sensing Approaches:
819,BORDERLINE,10.1016/j.apacoust.2022.109129,NO_OA_PDF_URL,,Does social perception data express the spatio-temporal pattern of perceived urban noise? A case stu
821,BORDERLINE,10.3390/su142215125,NOT_PDF_CONTENT,https://www.mdpi.com/2071-1050/14/22/15125/pdf?version=1668573163,Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Visitors: Evi
823,BORDERLINE,10.3233/ais-220621,ERR:HTTPError,https://content.iospress.com:443/download/journal-of-ambient-intelligence-and-smart-environments/ais220621?id=journal-of-ambient-intelligence-and-smart-environments%2Fais220621,Enhancing the park experience by giving visitors control over the park's soundscape
831,BORDERLINE,10.1016/j.gloenvcha.2022.102497,ERR:HTTPError,https://www.sciencedirect.com/science/article/pii/S0959378022000358/pdf,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human
848,BORDERLINE,10.1016/j.biocon.2022.109600,PAYWALLED,,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acou
858,BORDERLINE,10.3390/acoustics4020031,NOT_PDF_CONTENT,https://www.mdpi.com/2624-599X/4/2/31/pdf?version=1655204252,Soundscape Approach in the Seaport of Ancona: A Case Study
888,BORDERLINE,10.3390/ijerph20042932,NOT_PDF_CONTENT,http://id.erudit.org/iderudit/7626ac,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grou
909,BORDERLINE,10.3390/su151612399,NOT_PDF_CONTENT,https://www.mdpi.com/2071-1050/15/16/12399/pdf?version=1692095180,Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflective Revie
917,BORDERLINE,10.1016/j.apacoust.2023.109350,PAYWALLED,,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral 
927,BORDERLINE,10.1016/j.envres.2023.116087,NO_OA_PDF_URL,,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor se"
932,BORDERLINE,10.1080/17450101.2023.2226357,ERR:HTTPError,https://www.tandfonline.com/doi/pdf/10.1080/17450101.2023.2226357?needAccess=true&role=button,Negotiating the city during the dark season: a study of recreational running
948,BORDERLINE,10.3389/fpsyg.2022.1096952,OK,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.1096952/pdf,Soundwalk path affecting soundscape assessment in urban parks
950,BORDERLINE,,NO_DOI,,Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: 
957,BORDERLINE,10.13189/cea.2023.110132,PAYWALLED,,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmenta
972,BORDERLINE,10.1016/j.envres.2023.115501,PAYWALLED,,Unintended impacts of the Open Streets program on noise complaints in New York City
980,BORDERLINE,10.3390/f14122329,NOT_PDF_CONTENT,https://www.mdpi.com/1999-4907/14/12/2329/pdf?version=1701151716,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceived Characte
981,BORDERLINE,10.3390/buildings14061753,NOT_PDF_CONTENT,https://www.mdpi.com/2075-5309/14/6/1753/pdf?version=1718102948,A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Source Perception in Fuzhou Histo
982,BORDERLINE,10.1016/j.apacoust.2024.110036,PAYWALLED,,A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment
998,BORDERLINE,10.1016/j.envpol.2024.123559,NOT_PDF_CONTENT,https://ars.els-cdn.com/content/image/1-s2.0-S0269749124002732-ga1_lrg.jpg,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors"
1002,BORDERLINE,10.1007/s43621-024-00605-8,NOT_PDF_CONTENT,https://link.springer.com/content/pdf/10.1007/s43621-024-00605-8.pdf,Comparison of current and proposed travel modes for students considering travelling and sustainable 
1009,BORDERLINE,10.1057/s41599-024-03929-y,NOT_PDF_CONTENT,https://www.nature.com/articles/s41599-024-03929-y.pdf,"Effect of human sound component on the sociability of urban public spaces-a case study in Sheffield,"
1013,BORDERLINE,10.1093/geroni/igad066,ERR:HTTPError,https://academic.oup.com/innovateage/advance-article-pdf/doi/10.1093/geroni/igad066/50878682/igad066.pdf,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Partici
1016,BORDERLINE,10.1080/14616688.2024.2412984,PAYWALLED,,Experiencing therapeutic soundscapes in rural tourism destinations
1074,BORDERLINE,,NO_DOI,,"Tourists, residents, and chickens in urban spaces: the case of Ybor City"
1092,BORDERLINE,10.1016/j.envres.2025.120874,NO_OA_PDF_URL,,A sensor-based study on the environmental determinants of sleep in older adults
1101,BORDERLINE,10.1007/s11524-024-00947-8,NO_OA_PDF_URL,,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool
1138,BORDERLINE,10.3390/acoustics7020036,NOT_PDF_CONTENT,https://www.mdpi.com/2624-599X/7/2/36/pdf?version=1750057810,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of Ho Chi Mi
