no,verdict,doi,year,journal,title,oa_status,status,source,url,file,pages,tried
301,BORDERLINE,10.1186/s12940-015-0006-y,2015,ENVIRONMENTAL HEALTH,Street-level noise in an urban setting: assessment and contribution to personal exposure,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4350859/fullTextXML,0301_2015_Street-level noise in an urban setting assessment and contri.xml,,openalex:not_pdf | europepmc_pdf:HTTP403
351,BORDERLINE,10.1016/j.envint.2016.03.011,2016,Environment International,Long-term transportation noise annoyance is associated with subsequent lower levels of physical activity,hybrid,OK_PDF,openalex,https://www.dora.lib4ri.ch/empa/dload/empa:7232/PDF/view,0351_2016_Long-term transportation noise annoyance is associated with.pdf,9,openalex:HTTP403 | openalex:not_pdf
357,BORDERLINE,,2016,LANDSCAPE ARCHITECTURE FRONTIERS,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE,,NOT_RETRIEVED,,,,,
365,BORDERLINE,,2016,LANDSCAPE ARCHITECTURE FRONTIERS,SOUNDSCAPE PERCEPTION OF URBAN RECREATIONAL GREEN SPACE,,NOT_RETRIEVED,,,,,
378,BORDERLINE,10.1061/(asce)te.1943-5436.0000843,2016,Journal of Transportation Engineering,Urban noise analysis using multinomial logistic regression,green,NOT_RETRIEVED,,,,,semanticscholar:HTTP403
387,BORDERLINE,10.1016/j.scitotenv.2016.12.061,2017,SCIENCE OF THE TOTAL ENVIRONMENT,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,bronze,NOT_RETRIEVED,,,,,openalex:not_pdf
411,BORDERLINE,10.1186/s12966-017-0557-0,2017,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natural experimental study,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5530966/fullTextXML,0411_2017_Effects of urban motorways on physical activity and sedentar.xml,,openalex:not_pdf | europepmc_pdf:HTTP403
412,BORDERLINE,10.1007/s12403-016-0230-x,2017,EXPOSURE AND HEALTH,"Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affected by Intense Urban Expansion (Fortaleza-CE, Brazil): Implications for Public Health Policy",green,NOT_RETRIEVED,,,,,semanticscholar:URLError
433,BORDERLINE,10.1016/j.envint.2017.09.009,2017,ENVIRONMENT INTERNATIONAL,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",green,NOT_RETRIEVED,,,,,semanticscholar:URLError
444,BORDERLINE,10.1080/14649365.2016.1228116,2017,Social and Cultural Geography,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with Ménière’s disease,closed,NOT_RETRIEVED,,,,,
484,BORDERLINE,10.1016/j.envres.2018.06.004,2018,ENVIRONMENTAL RESEARCH,Multiple pathways link urban green- and bluespace to mental health in young adults,green,NOT_RETRIEVED,,,,,semanticscholar:URLError
485,BORDERLINE,10.4103/nah.nah_9_18,2018,NOISE & HEALTH,Negative impact of noise and noise sensitivity on mental health in childhood,green,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6301087/fullTextXML,0485_2018_Negative impact of noise and noise sensitivity on mental hea.xml,,europepmc_pdf:HTTP403
489,BORDERLINE,10.1016/j.envres.2018.06.031,2018,ENVIRONMENTAL RESEARCH,Pathways linking residential noise and air pollution to mental ill-health in young adults,closed,NOT_RETRIEVED,,,,,
499,BORDERLINE,10.1016/j.ufug.2017.11.002,2018,URBAN FORESTRY & URBAN GREENING,Spatial-temporal change analysis of plant soundscapes and their design methods,closed,NOT_RETRIEVED,,,,,
509,BORDERLINE,10.1016/j.ufug.2017.11.015,2018,Urban Forestry and Urban Greening,Tranquillity Trails for urban areas,green,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
512,BORDERLINE,10.1016/j.envres.2017.09.015,2018,ENVIRONMENTAL RESEARCH,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,closed,NOT_RETRIEVED,,,,,
556,BORDERLINE,10.1016/j.landurbplan.2019.103602,2019,LANDSCAPE AND URBAN PLANNING,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",closed,NOT_RETRIEVED,,,,,
559,BORDERLINE,10.1016/j.apacoust.2019.07.014,2019,APPLIED ACOUSTICS,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns,closed,NOT_RETRIEVED,,,,,
562,BORDERLINE,10.1016/j.trf.2019.08.006,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",closed,NOT_RETRIEVED,,,,,
569,BORDERLINE,10.18666/jpra-2019-9149,2019,JOURNAL OF PARK AND RECREATION ADMINISTRATION,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,closed,NOT_RETRIEVED,,,,,
599,BORDERLINE,10.1121/10.0002008,2020,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a),bronze,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7857494/fullTextXML,0599_2020_Changes in noise levels in the city of Madrid during COVID-1.xml,,openalex:HTTP403 | europepmc_pdf:HTTP403
615,BORDERLINE,10.1016/j.apacoust.2019.107023,2020,APPLIED ACOUSTICS,Evaluation of noise pollution related to human perception in a university campus in Brazil,closed,NOT_RETRIEVED,,,,,
623,BORDERLINE,10.14324/111.444/ucloe.000009,2020,UCL open. Environment,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,gold,OK_PDF,openalex,https://da.lib.kobe-u.ac.jp/da/kernel/90007370/90007370.pdf,0623_2020_How did the 'state of emergency' declaration in Japan due to.pdf,10,
624,BORDERLINE,10.1016/j.tmp.2020.100666,2020,TOURISM MANAGEMENT PERSPECTIVES,How do Chinese tourists perceive tranquillity during the tour?,closed,NOT_RETRIEVED,,,,,
639,BORDERLINE,10.1515/noise-2020-0021,2020,NOISE MAPPING,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy",gold,OK_PDF,openalex,https://dau.url.edu/bitstream/20.500.14342/3503/4/10.1515_noise-2020-0021.pdf,0639_2020_Noise at the time of COVID 19 The impact in some areas in Ro.pdf,17,openalex:not_pdf
684,BORDERLINE,10.1175/wcas-d-21-0020.1,2021,WEATHER CLIMATE AND SOCIETY,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?,closed,NOT_RETRIEVED,,,,,
692,BORDERLINE,10.3389/fsoc.2021.729453,2021,FRONTIERS IN SOCIOLOGY,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,gold,OK_PDF,openalex,https://eprints.whiterose.ac.uk/id/eprint/183521/1/Cinderby_et_al._2021_Assessing_Inequalities_in_Wel.pdf,0692_2021_Assessing Inequalities in Wellbeing at a Neighbourhood Scale.pdf,17,
709,BORDERLINE,10.1002/pan3.10156,2021,PEOPLE AND NATURE,Ecosystem services enhanced through soundscape management link people and wildlife,gold,NOT_RETRIEVED,,,,,openalex:HTTP403
713,BORDERLINE,10.1016/j.apacoust.2020.107570,2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,green,NOT_RETRIEVED,,,,,openalex:ConnectionResetError
744,INCLUDE,10.1142/s0219525921500119,2021,ADVANCES IN COMPLEX SYSTEMS,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS,closed,NOT_RETRIEVED,,,,,
772,BORDERLINE,10.1080/14790718.2020.1766048,2021,INTERNATIONAL JOURNAL OF MULTILINGUALISM,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca,closed,NOT_RETRIEVED,,,,,
819,BORDERLINE,10.1016/j.apacoust.2022.109129,2022,APPLIED ACOUSTICS,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",hybrid,NOT_RETRIEVED,,,,,openalex:HTTP403
823,BORDERLINE,10.3233/ais-220621,2022,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,Enhancing the park experience by giving visitors control over the park's soundscape,bronze,OK_PDF,openalex,https://biblio.ugent.be/publication/8772992/file/01GRR86Q8P3JFVWSDHZ0X1QA6G.pdf,0823_2022_Enhancing the park experience by giving visitors control ove.pdf,18,openalex:HTTP403
831,BORDERLINE,10.1016/j.gloenvcha.2022.102497,2022,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,hybrid,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9664366/fullTextXML,0831_2022_Forest 404 Using a BBC drama series to explore the impact of.xml,,openalex:HTTP403 | europepmc_pdf:HTTP403
848,BORDERLINE,10.1016/j.biocon.2022.109600,2022,BIOLOGICAL CONSERVATION,Predicting poaching hotspots in the largest remnant of the Atlantic Forest by combining passive acoustic monitoring and occupancy models,closed,NOT_RETRIEVED,,,,,
853,INCLUDE,10.2148/benv.48.2.244,2022,Built Environment,Revisiting Public Space Transformations from a Sonic Perspective during the COVID-19 Pandemic,closed,NOT_RETRIEVED,,,,,
888,BORDERLINE,10.3390/ijerph20042932,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,gold,OK_PDF,openalex,https://discovery.ucl.ac.uk/id/eprint/10166046/1/A%20Perceptual%20Structure%20of%20Soundscapes%20in%20Urban%20Public%20Spaces%20Using%20Semantic%20Coding%20Based%20on%20the%20Grounded%20Theory.pdf,0888_2023_A Perceptual Structure of Soundscapes in Urban Public Spaces.pdf,14,openalex:HTTP403
917,BORDERLINE,10.1016/j.apacoust.2023.109350,2023,APPLIED ACOUSTICS,Effects of soundscape on Chinese children?s social interaction measured by self-reported behavioral expectations,closed,NOT_RETRIEVED,,,,,
927,BORDERLINE,10.1016/j.envres.2023.116087,2023,ENVIRONMENTAL RESEARCH,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",hybrid,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
932,BORDERLINE,10.1080/17450101.2023.2226357,2023,Mobilities,Negotiating the city during the dark season: a study of recreational running,hybrid,OK_PDF,openalex,https://pub.epsilon.slu.se/32138/1/leposa-n-et-al-20231107.pdf,0932_2023_Negotiating the city during the dark season a study of recre.pdf,17,openalex:HTTP403
950,BORDERLINE,,2023,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",,NOT_RETRIEVED,,,,,
957,BORDERLINE,10.13189/cea.2023.110132,2023,Civil Engineering and Architecture,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmental Sound Character,diamond,NOT_RETRIEVED,,,,,openalex:URLError
972,BORDERLINE,10.1016/j.envres.2023.115501,2023,ENVIRONMENTAL RESEARCH,Unintended impacts of the Open Streets program on noise complaints in New York City,bronze,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
982,BORDERLINE,10.1016/j.apacoust.2024.110036,2024,APPLIED ACOUSTICS,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",closed,NOT_RETRIEVED,,,,,
998,BORDERLINE,10.1016/j.envpol.2024.123559,2024,ENVIRONMENTAL POLLUTION,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",hybrid,NOT_RETRIEVED,,,,,openalex:not_pdf | openalex:URLError
1002,BORDERLINE,10.1007/s43621-024-00605-8,2024,DISCOVER SUSTAINABILITY,Comparison of current and proposed travel modes for students considering travelling and sustainable indicators,gold,NOT_RETRIEVED,,,,,openalex:not_pdf | semanticscholar:not_pdf
1013,BORDERLINE,10.1093/geroni/igad066,2024,INNOVATION IN AGING,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10993715/fullTextXML,1013_2024_Engaging Nigerian Older Persons in Neighborhood Environment.xml,,openalex:HTTP403 | europepmc_pdf:HTTP403
1016,BORDERLINE,10.1080/14616688.2024.2412984,2024,Tourism Geographies,Experiencing therapeutic soundscapes in rural tourism destinations,closed,NOT_RETRIEVED,,,,,
1074,BORDERLINE,,2024,Florida Geographer,"Tourists, residents, and chickens in urban spaces: the case of Ybor City",,NOT_RETRIEVED,,,,,
1092,BORDERLINE,10.1016/j.envres.2025.120874,2025,ENVIRONMENTAL RESEARCH,A sensor-based study on the environmental determinants of sleep in older adults,green,OK_PDF,openalex,https://hal.sorbonne-universite.fr/hal-05017197v1/document,1092_2025_A sensor-based study on the environmental determinants of sl.pdf,37,
1101,BORDERLINE,10.1007/s11524-024-00947-8,2025,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,Association Between Residential Exposure to Road Traffic Noise and Psychological Health in Preschool Children,green,NOT_RETRIEVED,,,,,semanticscholar:not_pdf | europepmc_pdf:HTTP403 | europepmc_xml:HTTP500
1143,BORDERLINE,10.1038/s41598-025-08524-y,2025,SCIENTIFIC REPORTS,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12328657/fullTextXML,1143_2025_Human sounds and associated tonality disrupting perceived so.xml,,openalex:not_pdf | europepmc_pdf:HTTP403
1169,BORDERLINE,10.22616/j.landarchart.2025.27.02,2025,LANDSCAPE ARCHITECTURE AND ART,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS,diamond,NOT_RETRIEVED,,,,,openalex:URLError
1172,BORDERLINE,10.1038/s41598-025-30347-0,2025,SCIENTIFIC REPORTS,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12669665/fullTextXML,1172_2025_Study on the correlation between soundscape perception and p.xml,,openalex:not_pdf | europepmc_pdf:HTTP403
1175,BORDERLINE,10.1016/j.envint.2025.109876,2025,ENVIRONMENT INTERNATIONAL,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort",gold,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
1179,BORDERLINE,10.1038/s41598-025-19918-3,2025,SCIENTIFIC REPORTS,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12528384/fullTextXML,1179_2025_The impact of spatial distribution of noise pollution from m.xml,,openalex:not_pdf | europepmc_pdf:HTTP403
1182,BORDERLINE,10.1183/23120541.00132-2025,2025,ERJ OPEN RESEARCH,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,gold,OK_PDF,openalex,https://deustoteka.deusto.es/bitstreams/4a95faf5-b1d9-4a9a-88bc-3803ff295460/download,1182_2025_The role of neighbourhood-level sociodemographic and socioec.pdf,11,
1190,BORDERLINE,10.1016/j.trf.2025.01.012,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,hybrid,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
1191,BORDERLINE,10.32738/jeppm-2025-228,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,diamond,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
1200,BORDERLINE,10.1038/s41598-026-61794-y,2026,Scientific reports,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",gold,NOT_RETRIEVED,,,,,openalex:not_pdf
1203,BORDERLINE,10.1038/s41370-025-00765-3,2026,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,green,OK_PDF,openalex,https://hal.science/hal-05013876/document,1203_2026_Assessing the relationship between space-time behaviours and.pdf,34,
1215,BORDERLINE,10.1016/j.dib.2026.112981,2026,DATA IN BRIEF,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13315897/fullTextXML,1215_2026_Data from a public participation GIS survey on the everyday.xml,,openalex:not_pdf | openalex:URLError | semanticscholar:not_pdf | europepmc_pdf:HTTP403
1218,BORDERLINE,10.3390/land15050811,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,gold,NOT_RETRIEVED,,,,,semanticscholar:HTTP403
1239,BORDERLINE,10.1093/pnasnexus/pgag181,2026,PNAS NEXUS,Heart rate synchrony as a marker of real-world social engagement,gold,OK_XML,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13288439/fullTextXML,1239_2026_Heart rate synchrony as a marker of real-world social engage.xml,,semanticscholar:HTTP403 | europepmc_pdf:HTTP403
1250,BORDERLINE,10.1016/j.tra.2026.105090,2026,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a controlled before-after quasi-experimental study in Berlin",hybrid,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
1264,BORDERLINE,10.1088/2631-8695/ae3b99,2026,ENGINEERING RESEARCH EXPRESS,"Noise pollution of different vehicles: a case study at Agartala city, India",closed,NOT_RETRIEVED,,,,,
1271,BORDERLINE,10.47836/ac.19.1.paper06,2026,Alam Cipta,"Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding Ceremony in Chenyang Eight Village, China",closed,NOT_RETRIEVED,,,,,
1275,BORDERLINE,10.3390/land15060919,2026,LAND,Public Perception of Urban Forests in Portugal,gold,NOT_RETRIEVED,,,,,semanticscholar:HTTP403
1276,INCLUDE,10.1080/23748834.2026.2616563,2026,CITIES & HEALTH,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation,closed,NOT_RETRIEVED,,,,,
1291,BORDERLINE,10.13284/j.cnki.rddl.20250846,2026,Tropical Geography,Soundscape-Based Mitigation of the Tidal Phenomenon in Rural Destinations: Sensory Capital Activation and Spatio-Temporal Fixation,green,NOT_RETRIEVED,,,,,
1305,BORDERLINE,10.1007/s12662-026-01101-z,2026,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,hybrid,NOT_RETRIEVED,,,,,openalex:not_pdf
1315,BORDERLINE,10.1016/j.jtrangeo.2026.104697,2026,JOURNAL OF TRANSPORT GEOGRAPHY,Walking barriers in older age: A comparison of perceived and measured conditions,hybrid,NOT_RETRIEVED,,,,,semanticscholar:not_pdf
