rec,screen,state,reason,oa_status,year,journal,doi,title
190,RETRIEVE,not-retrieved,pay-per-view only (개별 구매 필요),bronze,2020,Environment and Planning B Urban Analytics and City Science,10.1177/2399808320965243,The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies
208,RETRIEVE,retrieved,,gold,2023,Land,10.3390/land12101838,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting"
209,RETRIEVE,retrieved,,gold,2016,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2016.1172076,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS
212,UNCERTAIN,retrieved,,closed,2024,Cities,10.1016/j.cities.2024.105543,How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data
219,UNCERTAIN,retrieved,,green,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience
220,RETRIEVE,retrieved,,gold,2024,Land,10.3390/land14010050,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology
221,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2024,Applied Geography,10.1016/j.apgeog.2024.103274,Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu
223,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2019,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2019.100227,Perceived importance of and satisfaction with nature observation activities in urban green areas
233,RETRIEVE,retrieved,,gold,2024,Journal of Urban Management,10.1016/j.jum.2024.05.004,Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study
241,UNCERTAIN,retrieved,,closed,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128539,Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial
264,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2024,Applied Geography,10.1016/j.apgeog.2024.103382,Comparing the impacts of built environment across different objective life neighborhoods on the out-of-home leisure activities of employed people using massive mobile phone data
265,UNCERTAIN,retrieved,,green,2024,Building and Environment,10.1016/j.buildenv.2024.112261,Determinants of soundscape quality of communal open space in Hong Kong
267,UNCERTAIN,retrieved,,closed,2024,Journal of Transport Geography,10.1016/j.jtrangeo.2024.103811,Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore
268,RETRIEVE,retrieved,,gold,2021,Sustainability,10.3390/su13158423,"Acoustic Environment of Urban Historical Places: A Case Study in Kastamonu, Turkey"
269,RETRIEVE,retrieved,,gold,2024,ISPRS International Journal of Geo-Information,10.3390/ijgi13070262,The Influence of Perceptions of the Park Environment on the Health of the Elderly: The Mediating Role of Social Interaction
273,RETRIEVE,retrieved,,hybrid,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128869,Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning
274,UNCERTAIN,retrieved,,closed,2024,Cities,10.1016/j.cities.2024.105253,COVID-19 pandemic changes the outdoor physical activity preference in Chinese city: A 7-year GPS trajectory data analysis
285,UNCERTAIN,retrieved,,closed,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128325,"Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona"
296,RETRIEVE,retrieved,,gold,2022,Journal of Engineering and Technological Sciences,10.5614/j.eng.technol.sci.2022.54.1.7,The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various Activities
307,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,green,2023,Environmental Science and Pollution Research,10.1007/s11356-023-30631-4,Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city
309,RETRIEVE,retrieved,,gold,2025,Infrastructures,10.3390/infrastructures10060137,"Older Adults’ Walking Behavior and the Associated Built Environment in Medium-Income Central Neighborhoods of Santiago, Chile"
313,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2025,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2025.102348,The association of subjective physical disorder and pedestrian volume: A big urban data and machine-learning approach
320,RETRIEVE,retrieved,,hybrid,2023,PLANNING MALAYSIA,10.21837/pm.v21i30.1406,"EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY: THE CASE OF GULANGYU, CHINA"
322,RETRIEVE,retrieved,,gold,2024,Applied Sciences,10.3390/app142311212,Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments
327,RETRIEVE,retrieved,,green,2022,Noise & Vibration Worldwide,10.1177/09574565221114660,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria
328,UNCERTAIN,retrieved,,gold,2025,Basic and Applied Ecology,10.1016/j.baae.2025.12.007,Social-ecological relationships on biodiverse and health-promoting city soundscapes
329,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128929,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies"
335,RETRIEVE,retrieved,,closed,2022,i-com,10.1515/icom-2022-0020,EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas
342,RETRIEVE,retrieved,,gold,2025,Sustainability,10.3390/su17167564,Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin
343,UNCERTAIN,retrieved,,closed,2025,Cities,10.1016/j.cities.2025.106467,Women's walking behavior: Investigating contributing factors in urban contexts
348,RETRIEVE,retrieved,,gold,2025,Sensors,10.3390/s25123604,Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision
356,RETRIEVE,retrieved,,hybrid,2025,Journal of Urbanism International Research on Placemaking and Urban Sustainability,10.1080/17549175.2025.2529175,Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown
360,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2026,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2026.102412,Decoding urban soundscapes: spatial prediction and influence mechanism analysis with interpretable semi-supervised learning
365,RETRIEVE,retrieved,,gold,2024,Journal of Degraded and Mining Lands Management,10.15243/jdmlm.2024.113.5695,"Peri-urban forests: an exploratory study of users' recreational activities: The case of the El Meridj-Est recreational forest in Constantine, Algeria"
369,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2025,Transport Policy,10.1016/j.tranpol.2025.05.015,"Identifying the effect of street network system on activity behaviours near the homes of older adults: An analytical framework integrating transportation, social, and natural attributes"
371,RETRIEVE,retrieved,,hybrid,2024,Journal of Transport & Health,10.1016/j.jth.2024.101938,Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada)
373,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2026,Environmental Impact Assessment Review,10.1016/j.eiar.2026.108451,Health-related activity outcomes of visual characteristics in urban green spaces: An on-site comparison between self-reported and observed activities
378,RETRIEVE,retrieved,,gold,2026,International Journal of Environmental Research and Public Health,10.3390/ijerph23020206,Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas of a Metropolitan Region: Exploring Measurement Perspectives
382,RETRIEVE,retrieved,,gold,2026,Acta Acustica,10.1051/aacus/2026051,Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study
390,RETRIEVE,retrieved,,closed,2025,Journal of Resources and Ecology,10.5814/j.issn.1674-764x.2025.03.019,"The Impact of Parental and Park Factors on Children's Urban Park Use in Shanghai, China"
391,RETRIEVE,not-retrieved,pay-per-view only (개별 구매 필요),closed,2025,PRESENCE Virtual and Augmented Reality,10.1162/pres.a.8,The Impact of Auditory Traffic Perception on Pedestrians’ Street-Crossing Behavior: Insights from Real and Virtual Environments
395,RETRIEVE,retrieved,,gold,2025,Ecological Informatics,10.1016/j.ecoinf.2025.103548,"Associations among park features, physical activities, and sensory perceptions from online reviews: A domain-specific named entity recognition model"
397,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2025,Applied Spatial Analysis and Policy,10.1007/s12061-025-09779-8,Beyond the Sound Source Itself: how Daily Activities and Demographics Influence Residential Soundscape Perception and Satisfaction
399,RETRIEVE,not-retrieved,pay-per-view only (개별 구매 필요),closed,2026,Tourism Recreation Research,10.1080/02508281.2025.2611770,How does destination soundscape promote tourists’ pro-environmental behaviour? A Reasonable Person Model
402,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2026,Landscape and Ecological Engineering,10.1007/s11355-026-00712-w,The effect of park quality on health benefits: mediating roles of behavioral patterns
405,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2026,Landscape and Ecological Engineering,10.1007/s11355-026-00718-4,Unveiling hidden inequities: a dual-perspectives diagnostic framework for pedestrian environment mismatches in urban park accessibility
410,RETRIEVE,retrieved,,diamond,2026,Landscape Architecture,10.3724/j.fjyl.la20250363,Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity
413,UNCERTAIN,retrieved,,closed,2026,Journal of Transport Geography,10.1016/j.jtrangeo.2026.104653,Understanding the cooling and air purification effects of green spaces on running behavior — Evidence from Guangzhou
414,RETRIEVE,retrieved,,gold,2026,Frontiers in Psychology,10.3389/fpsyg.2026.1733848,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing"
422,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2026,Sustainable Cities and Society,10.1016/j.scs.2026.107693,Prioritizing jogging-friendly streets in active mobility planning: A decision-support framework integrating trajectory evidence and expert judgment
427,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2026,GeoJournal,10.1007/s10708-026-11638-z,"Urban rhythms and sonic identity: a case study of the Grand Bazaar of Rasht, Iran"
428,UNCERTAIN,retrieved,,closed,2026,Building and Environment,10.1016/j.buildenv.2026.115060,Dynamic Audio-Visual Preference in Waterfront Walking Environments: Effects of Distance-Layered Spatial Structure and Soundscape
