file,matched,how,no,doi,newname,note
2096-336X-2024-6-47.pdf,YES,doi,941,10.15302/j-laf-1-020106,2024_LandArch_et al_Research on the Combined Effects of Plant Odor and Traffic Noise on Crow.pdf,
51021920210102.pdf,YES,doi,760,10.22034/ijhcum.2021.01.02,2021_InteJour_Unknown_Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method.pdf,
Directional guidance from audible pedestrian signals for street crossing.pdf,YES,doi,53,10.1080/00140130410001712609,2004_Ergo_Wall et al_Directional guidance from audible pedestrian signals for street crossing.pdf,
Effects of interactions between thermal and acoustic environments on subjective comfort evaluations in outdoor public spaces.pdf,YES,doi,1121,10.1080/13467581.2023.2292069,2025_JourOf_Lin et al_Effects of interactions between thermal and acoustic environments on sub.pdf,
Exploring tourists  soundscape emotion and its impact on sustainable tourism development.pdf,YES,doi,469,10.1080/10941665.2018.1494614,2018_AsiaPaci_Qiu et al_Exploring tourists’ soundscape emotion and its impact on sustainable tou.pdf,
Marquart-et-al_2022_How-are-air-pollution-and-noise-perceived-en-route.pdf,YES,doi,833,10.1016/j.jth.2021.101325,2022_JourOf_Marquart et al_How are air pollution and noise perceived en route Investigating cyclist.pdf,
People and Nature - 2022 - Uebel - Urban park soundscapes  Spatial and social factors influencing bird and traffic sound.pdf,YES,doi,883,10.1002/pan3.10409,2022_PeopAnd_Uebel et al_Urban park soundscapes Spatial and social factors influencing bird and t.pdf,
Research_on_the_Effect_of_Rura.pdf,YES,doi,1280,10.3390/buildings16101973,2026_Buil_Fu et al_Research on the Effect of Rural Composite Environments on the Spatiotemp.pdf,
Towards_an_Evidence-based_Mode.pdf,YES,title,271,10.18848/2324-7576/cgp/v09i01/53520,2014_TheInte_Bishop & Marshall_Towards an Evidence-based Model for Assessing Urban Squares as Social Pl.pdf,
def6c8dc9e69daf9988ddb78443d8a525d05.pdf,YES,title,532,10.7717/peerj.7711,2019_Peer_Franěk et al_Effect of birdsongs and traffic noise on pedestrian walking speed during.pdf,
merlino-et-al-2022-walking-through-the-city-soundscape-an-audio-visual-analysis-of-sensory-experience-for-people-with.pdf,YES,doi,979,10.1177/14703572211052638,2023_VisuComm_Merlino et al_Walking through the city soundscape an audio-visual analysis of sensory.pdf,
pdf.rB3PwC.pdf,YES,doi,520,10.3813/aaa.919327,2019_ActaAcus_Bild et al_An Exploratory Study on the Influence of Activities on Public Space User.pdf,
retrieve (1).pdf,NO,,,,,매칭 실패
retrieve (2).pdf,YES,doi,984,10.1080/01426397.2024.2307003,2024_LandRese_Wang & Xiao_A study on the fusion of musical theme landscape and soundscape in Hefei.pdf,
retrieve (3).pdf,YES,doi,435,10.1080/20551940.2018.1451221,2017_SounStud_Pakravan_Soundscape and sonic memory dynamics of Jewish and Muslim day-to-day soc.pdf,
retrieve.pdf,YES,doi,1149,10.1080/17533015.2025.2593865,2025_ArtsAmp_Yu_Landscapes of silence designing quiet art spaces for inner peace in urba.pdf,
s11252-024-01593-3.pdf,YES,doi,1053,10.1007/s11252-024-01593-3,2024_UrbaEcos_Joo et al_Socio-environmental drivers of human-nature interactions in urban green.pdf,
s11734-026-02140-1.pdf,YES,doi,1211,10.1140/epjs/s11734-026-02140-1,2026_TheEuro_Hüg et al_Chromatic recurrences applied to joint walking time series of a blind mo.pdf,
