uid,source,no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
323,db-search,323,FINAL_INCLUDE,2016,APPLIED SCIENCES-BASEL,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Pub,United Kingdom,campus,field-experiment,NR (five consecutive working days of covert video observation of a campus concourse),three instrumental music excerpts (classical / jazz / ambient electronic) vs a no-music control played over two loudspeakers; background level profiled with ten microphones and SPL propagation simulated as homogeneous across the observation area,staying; space-use,number of people stopping in the observation area; duration of stay in seconds coded from a BORIS ethogram,observation (covert video recording),forward,The presence of music had no effect on the number of people stopping but a statistically significant positive effect on the duration of stay of those who stopped (magnitude not in excerpt).,NR
341,db-search,341,FINAL_INCLUDE,2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open ,China,"park (송화강 수변 Stalin park, 보행가로형)",mixed,"NR (상황별 10–15개 그룹 영상, 각 3–5분)","음원 관련 활동 7종 — music-related(Folk Dancing, Zombie Dancing, Qing Gong, Tai Ji) 4종과 human sound-related(Whip Whipping, Roller Skidding, Playing Cards) 3종; 활동 유형·참여 인원(1–3명 vs 6명 초과) 및 aural-visual 4조건(음·활동 유무 조합)",movement; staying; activity,"활동 구역 외곽 0–10 m 내 보행자 행동 4종의 비율 — standing and watching, passing by, performing exercises, sitting (현장 영상 촬영 후 실험실에서 코딩)",observation,both,"음악 관련 활동은 통과 보행자의 5.1–21.5%를 서서 구경하는 행동으로 전환시킨 반면 운동 행동에는 영향이 작았고, 참여 인원이 1–3명이면 보행자 행동 영향이 미미하나 6명 초과 시 뚜렷했으며, 역방향으로 이 활동들이 음압을 9.6–16.4 dBA 상승시켰다",music-related activities caused 5.1–21.5% of persons who pass by the area to stand and watch; sound level increase 10.8 to 16.4 dBA (music-related) and 9.6 to 12.8 dBA (RS·PC)
372,db-search,372,FINAL_INCLUDE,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective,Sweden,"campus (Alnarp rehabilitation garden - SLU 캠퍼스 내 2 ha 설계 치유정원, 프로그램 참가자 한정 접근)",survey (회고적 반구조화 인터뷰 59건 · Interpretative Phenomenological Analysis),"59 (사운드 언급 27명; 여성 50·남성 9, 25-62세)","재활정원 사운드스케이프 — 자연음(바람에 흔들리는 식생·연못과 폭포 물소리·새소리)·기술음(약 0.6 km 동쪽 E6 고속도로 교통소음, 지자체 LAeq 24h 소음지도 제시)·인간음(치료사와 동료 목소리·자갈길 발소리); 현장 음압 실측은 없음",space-use; staying; movement; social,"정원 내 체류 장소 선택·회피(소음 최소 구역 선택, 연못 물소리 곁 체류), 포장재별 보행 속도 변화, 사회적 접근·회피(자갈길 발소리 경고 활용·흡연구역 은신처화·사교/사적 구역의 암묵적 코드)",self-report (semi-structured interviews),forward,"환자들은 소리 특성에 따라 정원 내 자리를 의도적으로 선택·회피했고(고속도로 소음이 가장 적은 구역 선택 vs 연못 물소리 곁 체류), 자갈길 발소리가 타인의 접근을 미리 알려 사회적 회피를 가능하게 했으며, 딱딱한 자갈에서 나무 데크로 바뀔 때 보행 속도가 느려졌다",NR (질적 IPA 연구 · 통계량 보고 없음)
379,db-search,379,FINAL_INCLUDE,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts,Brazil; Portugal,park,mixed,NR,"공원 내·외부 LAeq 1/3-octave 측정과 음원별 가청도(masking threshold) 실험실 분석, 사운드맵(<45~>75 dB 5 dB 간격); 음원은 도로교통·기타 전기기계음(환기·공사·레크리에이션)·인간음(대화·아이놀이·고함)·동물음(주로 새)·자연음(물·바람·비)",activity; space-use,"공원별 여가활동 종류와 이용 실태(Table 4), 방문 목적·계획된 활동에 대한 기대 — 사운드워크·인터뷰·설문으로 수집",self-report,reverse,"지리·기후가 공원 이용 활동과 행태를 결정하고 그 활동이 방출하는 자연·인공 음이 공원 사운드스케이프를 형성해, Belém과 Lisbon의 상이한 사회문화·환경 맥락에서 소리환경 평가와 평온감이 서로 다르게 나타났다",NR
406,db-search,406,FINAL_INCLUDE,2017,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of temporary open-air markets on the sound environment and acoustic perception base,China,"street (Wenxing Street 임시 노천시장, 폭 10 m·길이 600 m)",mixed,NR,"임시 노천시장 개설 여부와 구역화 개입(2016년 8월 청과·식품·의류 3개 존으로 분리, 전후 7월·9월 측정); 시장 미개설 대비 SPL·주관적 loudness 변화 및 존별 음압",space-use,"군중밀도(person/m²) — 40 m×10 m 조사구역을 고소에서 30초 간격 5분간 촬영, 5 m×5 m 그리드로 인원 계수 후 면적으로 나눈 평균값",observation,reverse,"구역화 없는 임시 노천시장은 시장 부재 대비 음압 2.4 dBA와 주관적 loudness 0.21을 높였고, 군중밀도 증가에 따라 음압·loudness는 증가하는 반면 음향 쾌적성은 포물선 관계를 보이며 판매 존별로 상반된 추세를 나타냈다",a temporary open-air market without zoning increases the sound pressure level and subjective loudness by 2.4 dBA and 0.21 respectively; relationship between crowd density and perceived acoustic comfort is parabolic
435,db-search,435,FINAL_INCLUDE,2017,Sound Studies,Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions ,Iran,street (Udlajan 구도심 근린의 골목·가로·인도·상점 앞·시나고그 마당 등 옥외/반옥외 공공공간; 일부 실내 서술 혼재),mixed (ethnography: 참여관찰 + 심층 반구조화 회고 인터뷰 · 내러티브 분석),"10 (유대인 5·무슬림 5, 전 거주민; 45-70대)",1959-1979년 및 현재 Udlajan 근린의 일상 사운드스케이프 — 골목 행상의 호객 노래·가금상점 닭 소리·상거래음·유대-페르시아어 억양·시나고그 히브리어 기도·무하람 북과 애도 낭송·현재의 교통소음 (음향 실측 없음),space-use; social; movement,"회고 내러티브에 나타난 공공공간 이용·출입·회피 행동(닭 소리를 듣고 길 건너편으로 방향 전환, 시나고그·모스크 출입 자제, 무하람 행렬을 인도에서 관람·기부, 마당 결혼식을 지붕에서 관람)과 유대인-무슬림 간 일상 사회적 상호작용·포함/배제 실천",self-report (ethnographic interviews + 참여관찰),both,"특정 소리가 집단 경계 표지로 작동해 공공공간 이용·회피 행동을 유발했고(가금상점 소리에 길 반대편으로 방향 전환, 기도 소리에 시나고그 출입 자제), 역으로 종교의례·행상·상거래 등 주민 행위가 근린 사운드스케이프를 형성했으며, 권력관계는 유대인의 공적 소리 실천(토라 이송 행렬·확성기 사용)을 제약했다",NR (질적 민족지 · 통계량 보고 없음)
461,db-search,461,FINAL_INCLUDE,2018,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed,Czech Republic,street,field-experiment,83 (forest birdsong 31 / traffic noise 26 / control 26),headphone playback during a 1.8 km urban walk: traffic noise track at mean 53 dBA vs forest birdsong track at mean 56 dBA vs a no-sound control; route traffic noise about Lday 55-60 dBA in sections 1-4 and 50-55 dBA in sections 5-7,movement,walking speed (m/s) across seven marked sections of the route,sensor-GPS-video (waist-worn video camera used to time marked section crossings),forward,Participants listening to traffic noise walked significantly faster than both the forest-birdsong and the control participants while birdsong listeners walked slightly slower than controls (not significant).,NR
469,db-search,469,SENS_ONLY,2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development,China,recreation,survey,566 (700부 배포·유효응답률 80.9%),"Kulangsu 관광지의 다층 사운드스케이프(피아노 음·파도가 바위를 치는 소리·고전 정원의 고요·관광객 목소리) 경험에서 형성된 tourists' soundscape emotion(TSE, positive vs negative)을 조절변수로 투입",social; activity,Halpenny(2010) 6항목 자기보고 pro-environmental behaviour(PEB) 척도,self-report,forward,connectedness to nature·place attachment가 PEB로 이어지는 모든 경로가 negative soundscape emotion 집단보다 positive soundscape emotion 집단에서 더 유의하게 강했다,"NR (PLS-SEM·5000회 부트스트랩 multi-group analysis Table 5, H1 미지지 등 β 수치는 발췌에 없음)"
480,db-search,480,FINAL_INCLUDE,2018,APPLIED SCIENCES-BASEL,Influence of Contextual Factors on Soundscape in Urban Open Spaces,China,street (two commercial pedestrian streets - Kuan Alley and Central Avenue),mixed (field-observation of crowds + acoustic measurement + questionnaire),26 survey days over two seasons; questionnaire respondent count NR (about 40% male / 60% female),contextual factors of the acoustic environment - shop openness (semi-open vs closed) season (summer vs winter) and commercial function zone (dining with hawking / shopping with pop background music at 95-100 bpm / performance with live instrumental music),social; space-use,number of talkers counted every 30 s from video of the survey zone; crowd density (persons/m2) measured photographically with a drone,sensor-GPS-video and observation (drone photography + video counting) plus self-report questionnaire for acoustic comfort,reverse,Crowd and talking behaviour shaped the soundscape - a 0.1 persons/m2 rise in crowd density raised sound pressure level by 1.3 dBA in winter and 2.2 dBA in summer - and the number of talkers rose with density (higher in Central Avenue) while acoustic comfort declined in Kuan Alley and was parabolic in Central Avenue.,crowd density +0.1 persons/m2 -> SPL +1.3 dBA (winter) and +2.2 dBA (summer); Kolmogorov-Smirnov normality test and t-tests at p<0.01 and p<0.05
481,db-search,481,FINAL_INCLUDE,2018,FRONTIERS IN PSYCHOLOGY,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces,China,square (100 m x 70 m urban leisure square in Harbin),field-experiment,NR (on-site crowd observation; crowd density under 0.05 persons/m2),familiar pop song 'Free to Fly' at 120 bpm reproduced through a concealed loudspeaker at 88-90 dBA cyclically alternated with silence; background level 56.7 dBA and 88.3 dBA at 2 m from the source,movement; staying; space-use,path and speed of passing-by behaviour; area perimeter and speed of walking-around paths; crowd density of sitting behaviour by distance from the sound source,observation (on-site behavioural observation) combined with grid sound level measurement,forward,Music centralised passing-by paths (8.3% of people walked near the square edge without music vs 0% with music) reduced the mean area and perimeter of walking-around paths slowed walking-around speed by 0.296 m/s and concentrated sitting nearer the sound source while passing-by speed was unchanged.,passing-by near edge 8.3% (no music) vs 0% (music); walking-around mean speed 0.296 m/s slower with music
492,db-search,492,FINAL_INCLUDE,2018,FRONTIERS IN PSYCHOLOGY,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-B,Netherlands,park (three public spaces in Amsterdam including two traditional urban parks),mixed (behavioural mapping observation + on-site questionnaire + spatial analysis),NR (park users approached on site; count not in excerpt),everyday in-situ soundscapes of three Amsterdam public spaces with no intervention; users' ranked soundscape evaluations and free-response descriptions of what they heard,activity; social; space-use,observable activity categories and their locations recorded by non-intrusive behavioural mapping; level of social interaction of the activity (solitary vs socially interactive),observation (behavioural mapping) plus self-report (on-site questionnaire with ranked evaluations and open-ended justifications),reverse,Socially interactive users rated their soundscapes as more suitable and less disruptive for their activity than solitary users - so the social level of the ongoing activity shapes soundscape evaluation (magnitudes not in excerpt).,NR
494,db-search,494,FINAL_INCLUDE,2018,SCIENCE OF THE TOTAL ENVIRONMENT,"Relationships among satisfaction, noise perception, and use of urban green spaces",Spain,park,survey,182,"Cáceres 도시 녹지 7곳의 소음 — 설문과 동시에 실측한 Leq(dB)·sharpness 등 음향지표, 주 음원은 도로교통과 사람 소리(목소리·아이들·공사·유지관리)이며 동물·물소리 포함",activity; space-use; social,"녹지 내 활동(talking·reading·relaxing·walking·exercising) 수행 빈도와 소음으로 방해받는 빈도(5점 Likert), 녹지 이용 유형",self-report,forward,"소음이 낮은 지점일수록 산책·휴식 활동 빈도가 높았고, 소음으로 가장 자주 방해받는 활동은 걷기·대화(및 대화 중단)였다",NR (행태 관련 다항 로지스틱 회귀는 Table 5-6에 있으나 발췌에 수치 없음; 전반 만족도 설명력만 71.4% 제시)
499,db-search,499,FINAL_INCLUDE,2018,URBAN FORESTRY & URBAN GREENING,Spatial-temporal change analysis of plant soundscapes and their design methods,China,"park (Jinan Forest Park, Jinan - urban park of 69.5 hm2 with 60.1 hm2 green area at the foot of Kuangshan Mountain; 14 plant-space observation points S1-S14 classified as open, semi-open, closed or vertical space, Table 1)","survey (on-site LAeq and frequency measurements + researcher soundwalks rating sound-element clarity + interviews with passers-by; descriptive statistics, ANOVA and Spearman correlation)","1260 interviewees (convenience sampling of passers-by at each observation point, 5 females and 5 males in each of 3 age groups, over 3 days; section 2.2) (acoustic unit: 14 observation points measured in April, July, October 2014 and January 2015)","Reverse: visitor characteristics including self-reported visitation frequency (with age, gender and satisfaction with the park) related to preference ratings (5-point, 1 very dislike-5 very like) for 12 sound elements (bird chirping, frog and insect chirping, leaves rustling, brook babbling, artistic conception of sculpture, talking, children frolicking, singing and dancing, peddling, broadcast, traffic noise, constructing). Acoustic context: LAeq and octave-band levels measured with an AWA 6228-3 analyser in triplicate every 3 h from 6:00 to 18:00 for 3 days per season; soundwalk clarity ratings (-1 to 1) by 3 researchers",space-use,Self-reported visitation frequency to the park collected in the interview (response categories not reported),self-report (face-to-face interviews with passers-by; about 6 min each),reverse,"Visitation frequency was positively correlated with preference for nature sounds (bird chirping, leaves rustling, brook babbling) and negatively with preference for children frolicking; age showed a similar pattern, while gender and park satisfaction were not correlated with sound preference. The authors also attributed the highest LAeq at entrance/square points and the 9:00 LAeq peak at S2 and S11 to human activities such as dancing, but visitor activity was not measured.","Table 3 Spearman correlation of visitation frequency with preference: V1 bird chirping 0.263*, V2 frog and insect chirping 0.110, V3 leaves rustling in the wind 0.300**, V4 brook babbling 0.278*, V5 artistic conception of sculpture 0.017, V6 talking -0.060, V7 children frolicking -0.276*, V8 singing and dancing -0.045, V9 peddling -0.096, V10 broadcast 0.136, V11 traffic noise -0.179, V12 constructing -0.071 (n used for the correlations NR); LAeq differed across observation points and seasons, ANOVA F = 17.092, P < 0.001 (section 3.1, df NR)"
