tier,route,freq,doi,year,journal,cited_by,title
T2,backward,6,10.1016/j.scitotenv.2019.134571,2019,The Science of The Total Environment,120,Effects of adding natural sounds to urban noises on the perceived loudness of noise and soundscape quality
T2,backward,6,10.1016/j.landurbplan.2019.103705,2019,Landscape and Urban Planning,117,Interactive soundscape augmentation by natural sounds in a noise polluted urban park
T2,backward,6,10.1016/j.buildenv.2017.10.021,2017,Building and Environment,99,"Relationship between spatiotemporal variability of soundscape and urban morphology in a multifunctional urban area: A case study in Seoul, Korea"
T2,backward,6,10.1016/j.buildenv.2020.106975,2020,Building and Environment,93,Effect of the appropriateness of sound environment on urban soundscape assessment
T2,backward,5,10.1016/j.cities.2005.05.003,2005,Cities,312,Urban soundscapes: Experiences and knowledge
T2,backward,5,10.1016/j.ufug.2014.04.002,2014,Urban forestry & urban greening,173,Bird song diversity influences young people's appreciation of urban landscapes
T2,backward,5,10.1016/j.scitotenv.2009.08.039,2009,The Science of The Total Environment,170,Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise
T2,backward,5,10.1121/1.4807801,2013,The Journal of the Acoustical Society of America,120,Soundwalk approach to identify urban soundscapes individually
T2,backward,5,10.1016/j.compenvurbsys.2022.101915,2022,Computers Environment and Urban Systems,118,Sensing urban soundscapes from street view imagery
T2,backward,5,10.1121/1.3693644,2012,The Journal of the Acoustical Society of America,103,Perception of urban park soundscape
T2,backward,5,10.3389/fpsyg.2014.01361,2014,Frontiers in Psychology,77,Tempo and walking speed with music in the urban context
T2,backward,5,10.3390/ijerph17165659,2020,International Journal of Environmental Research and Public Health,69,Effect of Birdsong Soundscape on Perceived Restorativeness in an Urban Park
T2,backward,4,10.1016/j.healthplace.2010.03.003,2010,Health & Place,1022,Characteristics of urban parks associated with park use and physical activity: A review of qualitative research
T2,backward,4,10.1177/001391656900100104,1969,Environment and Behavior,501,The Sonic Environment of Cities
T2,backward,4,10.1016/j.landurbplan.2011.08.001,2011,Landscape and Urban Planning,174,Analysis and interpretation of variability in soundscapes along an urban–rural gradient
T2,backward,4,10.1121/1.3681938,2012,The Journal of the Acoustical Society of America,153,Acoustical characteristics of water sounds for soundscape enhancement in urban open spaces
T2,backward,4,10.1016/j.tbs.2023.100673,2023,Travel Behaviour and Society,143,Exploring non-linear and synergistic effects of green spaces on active travel using crowdsourced data and interpretable machine learning
T2,backward,4,10.1016/j.apacoust.2020.107372,2020,Applied Acoustics,138,A review of audio-visual interaction on soundscape assessment in urban built environments
T2,backward,4,10.1016/j.landurbplan.2013.12.005,2014,Landscape and Urban Planning,130,A field experiment on the impact of sounds from a jet-and-basin fountain on soundscape quality in an urban park
T2,backward,4,10.1068/b38061,2013,Environment and Planning B Planning and Design,99,Tranquillity and Soundscapes in Urban Green Spaces—Predicted and Actual Assessments from a Questionnaire Survey
T2,backward,4,10.1121/1.4807811,2013,The Journal of the Acoustical Society of America,96,The perceived quality of soundscape in three urban parks in Rome
T2,backward,4,10.3389/fpsyg.2017.01705,2017,Frontiers in Psychology,90,Restorative Qualities of and Preference for Natural and Urban Soundscapes
T2,backward,4,10.1016/j.landurbplan.2019.04.016,2019,Landscape and Urban Planning,89,Classification of soundscapes of urban public open spaces
T2,backward,4,10.1016/j.hbrcj.2014.12.005,2015,HBRC Journal,86,The phonic identity of the city urban soundscape for sustainable spaces
T2,backward,4,10.1016/j.apacoust.2019.05.024,2019,Applied Acoustics,84,Exploring the compatibility of “Method A” and “Method B” data collection protocols reported in the ISO/TS 12913-2:2018 for urban soundscape via a soundwalk
T2,backward,4,10.3846/16486897.2014.998676,2015,Journal of Environmental Engineering and Landscape Management,49,SOUNDSCAPE DESIGN IN CITY PARKS: EXPLORING THE RELATIONSHIPS BETWEEN SOUNDSCAPE COMPOSITION PARAMETERS AND PHYSICAL AND PSYCHOACOUSTIC PARAMETERS
T2,backward,4,10.1016/j.ufug.2021.127088,2021,Urban forestry & urban greening,46,An application of artificial intelligence techniques in prediction of birds soundscape impact on tourists’ mental restoration in natural urban areas
T2,backward,3,10.2307/1251706,1982,Journal of Marketing,846,Using Background Music to Affect the Behavior of Supermarket Shoppers
T2,backward,3,10.1177/002224298204600313,1982,Journal of Marketing,461,Using Background Music to Affect the Behavior of Supermarket Shoppers
T2,backward,3,10.1016/j.ufug.2015.09.006,2015,Urban forestry & urban greening,171,Green spaces and environmental noise perception
T2,backward,3,10.1016/j.landurbplan.2015.05.005,2015,Landscape and Urban Planning,159,Classification of urban park soundscapes through perceptions of the acoustical environments
T2,backward,3,10.1016/j.landurbplan.2012.06.017,2012,Landscape and Urban Planning,143,"Urban traffic noise and the relation to urban density, form, and traffic elasticity"
T2,backward,3,10.1016/j.apacoust.2017.12.016,2017,Applied Acoustics,130,"A cross-national comparison in assessment of urban park soundscapes in France, Korea, and Sweden through laboratory experiments"
T2,backward,3,10.1121/1.3652902,2011,The Journal of the Acoustical Society of America,122,Non-auditory factors affecting urban soundscape evaluation
T2,backward,3,10.1016/j.landurbplan.2016.08.006,2016,Landscape and Urban Planning,105,Exploring spatial relationships among soundscape variables in urban areas: A spatial statistical modelling approach
T2,backward,3,10.3390/ijerph10062348,2013,International Journal of Environmental Research and Public Health,83,"The Soundscape Quality in Some Urban Parks in Milan, Italy"
T2,backward,3,10.1016/j.ufug.2024.128286,2024,Urban forestry & urban greening,80,Landscape and soundscape quality promote stress recovery in nearby urban nature: A multisensory field experiment
T2,backward,3,10.3390/ijerph15061118,2018,International Journal of Environmental Research and Public Health,66,Influence of Personal Factors on Sound Perception and Overall Experience in Urban Green Areas. A Case Study of a Cycling Path Highly Exposed to Road Traffic Noise
T2,backward,3,10.1016/j.apacoust.2013.02.003,2013,Applied Acoustics,65,Field study on the influence of spatial and environmental characteristics on the evaluation of subjective loudness and acoustic comfort in underground shopping streets
T2,backward,3,10.1016/j.scs.2016.03.002,2016,Sustainable Cities and Society,58,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
T2,backward,3,10.1057/udi.2010.20,2010,URBAN DESIGN International,57,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS
T2,backward,3,10.1016/j.landurbplan.2021.104241,2021,Landscape and Urban Planning,57,"Urban soundscape categorization based on individual recognition, perception, and assessment of sound environments"
T2,backward,3,10.1016/j.scs.2020.102475,2020,Sustainable Cities and Society,54,Effects of contexts in urban residential areas on the pleasantness and appropriateness of natural sounds
T2,backward,3,10.1016/j.apacoust.2021.108580,2022,Applied Acoustics,49,The effects of visual landscape and traffic type on soundscape perception in high-rise residential estates of an urban city
T2,backward,3,10.3397/1.3484180,2010,Noise Control Engineering Journal,44,Perspective of the soundscape approach as a tool for urban space design
T2,backward,3,10.3813/aaa.918965,2016,Acta acustica united with Acustica,40,Development of Indicators for the Soundscape in Urban Shopping Streets
T2,backward,3,10.1515/noise-2017-0007,2017,Noise Mapping,39,Soundscape mapping in environmental noise management and urban planning: case studies in two UK cities
T2,backward,3,10.1016/j.scs.2022.103996,2022,Sustainable Cities and Society,26,"Characteristics and perception evaluation of the soundscapes of public spaces on both sides of the elevated road: A case study in Suzhou, China"
T2,backward,3,10.3390/app7020173,2017,Applied Sciences,25,Analysis of Field Data to Describe the Effect of Context (Acoustic and Non-Acoustic Factors) on Urban Soundscapes
T2,backward,3,10.1016/j.landurbplan.2022.104534,2022,Landscape and Urban Planning,24,Potential mutual efforts of landscape factors to improve residential soundscapes in compact urban cities
T2,backward,3,10.3846/16486897.2016.1172076,2016,Journal of Environmental Engineering and Landscape Management,18,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS
T2,forward,3,10.1016/j.ecolind.2024.112172,2024,Ecological Indicators,10,Graph Enhanced Co-Occurrence: Deep dive into urban park soundscape
T2,forward,3,10.1016/j.apacoust.2025.111092,2025,Applied Acoustics,4,Exploring the relationship between urban acoustic environments and mental well-being
T2,forward,3,10.1016/j.scs.2025.106918,2025,Sustainable Cities and Society,3,Characterizing urban soundscapes via facial action coding system
T2,forward,3,10.1016/j.ecolind.2026.115162,2026,Ecological Indicators,0,Urban soundscape service-supply potential: Proxy-based open-data screening for soundscape resource planning
T2,backward,2,10.2105/ajph.2007.129064,2008,American Journal of Public Health,749,"Association of Park Size, Distance, and Features With Physical Activity in Neighborhood Parks"
T2,backward,2,10.1016/j.envint.2016.02.029,2016,Environment International,599,"Green spaces and General Health: Roles of mental health status, social support, and physical activity"
T2,backward,2,10.1016/j.envint.2021.106850,2021,Environment International,329,"New urban models for more sustainable, liveable and healthier cities post covid19; reducing air pollution, noise and heat island effects and increasing green space and physical activity"
T2,backward,2,10.1037/0022-3514.32.4.571,1975,Journal of Personality and Social Psychology,254,Environmental noise level as a determinant of helping behavior.
T2,backward,2,10.1016/j.cities.2019.01.003,2019,Cities,239,Associations between overhead-view and eye-level urban greenness and cycling behaviors
T2,backward,2,10.1016/j.envint.2019.105016,2019,Environment International,237,"Neighbourhood blue space, health and wellbeing: The mediating role of different types of physical activity"
T2,backward,2,10.1016/j.landurbplan.2015.11.002,2016,Landscape and Urban Planning,171,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá
T2,backward,2,10.1177/0013916512470134,2013,Environment and Behavior,168,Park Use Among Youth and Adults
T2,backward,2,10.1016/j.jth.2018.11.003,2018,Journal of Transport & Health,147,Green streetscape and walking: Exploring active mobility patterns in dense and compact cities
T2,backward,2,10.1016/j.apacoust.2007.04.008,2007,Applied Acoustics,133,US National Parks and management of park soundscapes: A review
T2,backward,2,10.1016/j.apacoust.2011.03.006,2011,Applied Acoustics,116,"An exploratory evaluation of perceptual, psychoacoustic and acoustical properties of urban soundscapes"
T2,backward,2,,2006,Acta acustica united with Acustica,115,On a tool for measuring soundscape quality in urban residential areas
T2,backward,2,10.3390/ijerph15081712,2018,International Journal of Environmental Research and Public Health,106,Towards an Urban Vibrancy Model: A Soundscape Approach
T2,backward,2,10.1016/j.landurbplan.2016.12.004,2017,Landscape and Urban Planning,105,Park attributes that encourage park visitation among adolescents: A conjoint analysis
T2,backward,2,10.1016/j.envpol.2017.10.126,2017,Environmental Pollution,105,Analysis of the relationships between environmental noise and urban morphology
T2,backward,2,10.1098/rsos.170037,2017,Royal Society Open Science,104,Evaluation of natural sounds in urban greenery: potential impact for urban nature preservation
T2,backward,2,10.1007/s10980-011-9639-6,2011,Landscape Ecology,92,Measuring and interpreting the temporal variability in the soundscape at four places in Sequoia National Park
T2,backward,2,10.1186/1476-072x-13-28,2014,International Journal of Health Geographics,89,How do changes to the built environment influence walking behaviors? a longitudinal study within a university campus in Hong Kong
T2,backward,2,10.1016/j.scs.2021.103360,2021,Sustainable Cities and Society,89,Physiological indicators and subjective restorativeness with audio-visual interactions in urban soundscapes
T2,backward,2,10.1016/j.buildenv.2019.106517,2019,Building and Environment,84,Combined effects of the thermal-acoustic environment on subjective evaluations in urban squares
T2,backward,2,10.1016/j.buildenv.2022.109884,2022,Building and Environment,84,The influence of outdoor thermal comfort on acoustic comfort of urban parks based on plant communities
T2,backward,2,10.1016/j.landurbplan.2021.104188,2021,Landscape and Urban Planning,81,"Potential restorative effects of urban soundscapes: Personality traits, temperament, and perceptions of VR urban environments"
T2,backward,2,10.3397/1.3484183,2010,Noise Control Engineering Journal,79,Evaluating water sounds to improve the soundscape of urban areas affected by traffic noise
T2,backward,2,10.1016/j.cities.2023.104472,2023,Cities,79,Measuring streetscape perceptions from driveways and sidewalks to inform pedestrian-oriented street renewal in Düsseldorf
T2,backward,2,10.1016/j.jenvp.2005.10.003,2005,Journal of Environmental Psychology,72,Applying the methods of image evaluation and spatial analysis to study the sound environment of urban street areas
T2,backward,2,10.1007/s44213-022-00005-6,2023,City and Built Environment,69,Soundscape in city and built environment: current developments and design potentials
T2,backward,2,10.1016/j.landurbplan.2015.01.006,2015,Landscape and Urban Planning,61,Integrated effects of urban morphology on birdsong loudness and visibility of green areas
T2,backward,2,10.1016/j.apacoust.2009.11.008,2009,Applied Acoustics,61,"Characteristics of road traffic noise in Hanoi and Ho Chi Minh City, Vietnam"
T2,backward,2,10.1016/j.ufug.2021.127269,2021,Urban forestry & urban greening,61,"Soundscape components, perceptions, and EEG reactions in typical mountainous urban parks"
T2,backward,2,10.1177/0013916589212001,1989,Environment and Behavior,60,The Pace of Pedestrian Flows in Cities
T2,backward,2,10.1186/s12940-015-0009-8,2015,Environmental Health,57,Quantification of the exposure and effects of road traffic noise in a dense Asian city: a comparison with western cities
T2,backward,2,10.1016/j.landurbplan.2021.104351,2022,Landscape and Urban Planning,55,Comprehensive audio-visual environmental effects on residential soundscapes and satisfaction: Partial least square structural equation modeling approach
T2,backward,2,10.3390/app7010091,2017,Applied Sciences,50,The Personal Viewpoint on the Meaning of Tranquility Affects the Appraisal of the Urban Park Soundscape
T2,backward,2,10.1016/j.apacoust.2009.08.004,2009,Applied Acoustics,48,Community responses to road traffic noise in Hanoi and Ho Chi Minh City
T2,backward,2,10.1016/j.tbs.2021.05.006,2021,Travel Behaviour and Society,45,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting
T2,backward,2,10.1177/0013916589213002,1989,Environment and Behavior,43,Perceived Crowding in Recreational Settings
T2,backward,2,10.1016/j.ufug.2022.127555,2022,Urban forestry & urban greening,43,Soundscapes of urban parks: An innovative approach for ecosystem monitoring and adaptive management
T2,backward,2,10.3390/su13020841,2021,Sustainability,42,"Soundwalk, Questionnaires and Noise Measurements in a University Campus: A Soundscape Study"
T2,backward,2,10.1016/j.scs.2024.105525,2024,Sustainable Cities and Society,40,Beyond built environment: Unveiling the interplay of streetscape perceptions and cycling behavior
T2,backward,2,10.1016/j.ufug.2017.08.018,2017,Urban forestry & urban greening,39,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park
T2,backward,2,10.1007/s11869-017-0532-6,2017,Air Quality Atmosphere & Health,39,Evaluation of daily time spent in transportation and traffic-influenced microenvironments by urban Canadians
T2,backward,2,10.1177/23998083231185589,2023,Environment and Planning B Urban Analytics and City Science,39,The effects of street environment features on road running: An analysis using crowdsourced fitness tracker data and machine learning
T2,backward,2,10.3390/ijerph13090934,2016,International Journal of Environmental Research and Public Health,39,"Acoustic, Visual and Spatial Indicators for the Description of the Soundscape of Waterfront Areas with and without Road Traffic Flow"
T2,forward,2,10.1016/j.apacoust.2022.108717,2022,Applied Acoustics,39,Effect of audio-visual interaction on soundscape in the urban residential context: A virtual reality experiment
T2,backward,2,10.1016/j.apacoust.2016.10.002,2016,Applied Acoustics,37,Soundscape research on the Gezi Park – Tunel Square route
T2,backward,2,10.1111/1477-8947.12025,2013,Natural Resources Forum,37,Improving visitor management approaches for the changing preferences and behaviours of country park visitors in<scp>H</scp>ong<scp>K</scp>ong
T2,backward,2,10.1016/j.eti.2020.100998,2020,Environmental Technology & Innovation,34,Understanding the soundscape environment of an urban park through landscape elements
T2,forward,2,10.1121/10.0020842,2023,The Journal of the Acoustical Society of America,34,Soundscape experience of public spaces in different world regions: A comparison between the European and Chinese contexts via a large-scale on-site survey
T2,backward,2,10.1016/j.scitotenv.2012.06.105,2012,The Science of The Total Environment,32,Effects of individual sound sources on the subjective loudness and acoustic comfort in underground shopping streets
T2,forward,2,10.3390/app10030960,2020,Applied Sciences,32,Cross-National Comparison of Soundscape in Urban Public Open Spaces between China and Croatia
T2,backward,2,10.1016/j.scitotenv.2021.149869,2021,The Science of The Total Environment,30,Effects of a human sound-based index on the soundscapes of urban open spaces
T2,backward,2,10.1016/j.ufug.2022.127766,2022,Urban forestry & urban greening,28,Research on spatiotemporal variation characteristics of soundscapes in a newly established suburban forest park
T2,backward,2,10.3390/f13081262,2022,Forests,26,Improving Soundscape Comfort in Urban Green Spaces Based on Aural-Visual Interaction Attributes of Landscape Experience
T2,backward,2,10.1016/j.compenvurbsys.2010.05.007,2010,Computers Environment and Urban Systems,25,Digital representation of park use and visual analysis of visitor activities
T2,backward,2,10.1016/j.jtrangeo.2025.104179,2025,Journal of Transport Geography,24,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning
T2,backward,2,10.1016/j.scs.2021.102860,2021,Sustainable Cities and Society,23,The influence of companion factors on soundscape evaluations in urban public spaces
T2,forward,2,10.3390/ijerph18062972,2021,International Journal of Environmental Research and Public Health,22,Redefinition of Park Design Criteria as a Result of Analysis of Well-Being and Soundscape: The Case Study of the Kortowo Park (Poland)
T2,backward,2,10.7717/peerj.16592,2024,PeerJ,21,Understanding park visitors’ soundscape perception using subjective and objective measurement
T2,backward,2,10.3390/su11174789,2019,Sustainability,18,Perceived Occurrences of Soundscape Influencing Pleasantness in Urban Forests: A Comparison of Broad-Leaved and Coniferous Forests
T2,backward,2,10.1016/j.jtrangeo.2022.103510,2022,Journal of Transport Geography,16,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience
T2,forward,2,10.3390/urbansci8010013,2024,Urban Science,15,Investigating Noise Mapping in Cities to Associate Noise Levels with Sources of Noise Using Crowdsourcing Applications
T2,backward,2,10.1016/j.buildenv.2019.03.046,2019,Building and Environment,14,Effects of vegetation on soundscape of an urban religious precinct: Case study of Myeong-dong cathedral in Seoul
T2,forward,2,10.3390/su142316132,2022,Sustainability,14,Soundscape Perception Preference in an Urban Forest Park: Evidence from Moon Island Forest Park in Lu’an City
T2,forward,2,10.3390/buildings15010079,2024,Buildings,13,The Impact of Campus Soundscape on Enhancing Student Emotional Well-Being: A Case Study of Fuzhou University
T2,forward,2,10.1121/10.0022531,2023,The Journal of the Acoustical Society of America,13,Characterization of soundscape assessment in outdoor public spaces of urban high-rise residential communities
T2,forward,2,10.1016/j.landurbplan.2024.105173,2024,Landscape and Urban Planning,12,Shaping city soundscapes: In situ comparison of four sound installations in an urban public space
T2,backward,2,10.3390/su17083329,2025,Sustainability,10,Soundscape Research in Streets: A Scoping Review
T2,backward,2,10.3390/f14101946,2023,Forests,9,Predicting and Visualizing Human Soundscape Perception in Large-Scale Urban Green Spaces: A Case Study of the Chengdu Outer Ring Ecological Zone
T2,backward,2,10.3390/ijerph182211756,2021,International Journal of Environmental Research and Public Health,9,Residents’ Spatial Preference for Urban Forest Park Route during Physical Activities
T2,backward,2,10.1016/j.buildenv.2024.112261,2024,Building and Environment,8,Determinants of soundscape quality of communal open space in Hong Kong
T2,forward,2,10.3390/f15122171,2024,Forests,8,Landscape Characteristics Influencing the Spatiotemporal Dynamics of Soundscapes in Urban Forests
T2,backward,2,10.3389/fpsyg.2021.750421,2021,Frontiers in Psychology,7,Soundscape Preference of Urban Residents in China in the Post-pandemic Era
T2,forward,2,10.3390/ijerph20043743,2023,International Journal of Environmental Research and Public Health,7,Pedestrians’ Perceptions of Motorized Traffic Variables in Relation to Appraisals of Urban Route Environments
T2,forward,2,10.1038/s41598-025-98125-6,2025,Scientific Reports,7,How soundscape perception enhances the well-being of elderly recreational visitors in urban parks: a case study of Zhengzhou People’s Park
T2,forward,2,10.3390/ijerph20031971,2023,International Journal of Environmental Research and Public Health,7,"A Study on the Soundscape of Underground Commercial Space in Lu’an City and Hefei City, China"
T2,backward,2,10.5846/stxb202011192976,2021,Acta Ecologica Sinica,6,Urban parks soundscape and its relationship with vegetation structure: A pilot study
T2,forward,2,10.1016/j.enbuild.2025.116329,2025,Energy and Buildings,6,Comprehensive effects of thermal and acoustic environments on overall comfort in urban parks of cold regions in China
T2,forward,2,10.3390/app14166946,2024,Applied Sciences,5,"Identification, Evaluation, and Influencing Factors of Soundscapes in Public Open Spaces in High-Density Residential Areas"
T2,forward,2,10.5755/j01.erem.78.4.31244,2022,Environmental Research Engineering and Management,5,"Evaluation of Soundscape Variations through the Open Public Spaces in Saharan Cities: A Case of Biskra, Algeria"
T2,forward,2,10.1016/j.trd.2024.104583,2025,Transportation Research Part D Transport and Environment,4,Impact of visual factors on soundscapes in pedestrian spaces along trunk roads
T2,forward,2,10.47836/pjssh.31.4.14,2023,Pertanika journal of social science & humanities,3,Influence of Perceived Soundscape and Sound Environment on Subjective Well-being of Park Visitors
T2,forward,2,10.1177/09574565221114660,2022,Noise & Vibration Worldwide,3,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria
T2,forward,2,10.1016/j.baae.2025.12.007,2025,Basic and Applied Ecology,3,Social-ecological relationships on biodiverse and health-promoting city soundscapes
T2,forward,2,10.3390/buildings13123091,2023,Buildings,2,Assessing the Soundscape Characteristics of Historical Urban Environments: An Analysis of the Historical Erbil Citadel and Its Environments
T2,forward,2,10.1007/s12273-025-1387-7,2025,Building Simulation,1,Assessing the spatial variation of soundscape perception in high-density urban mountain parks
T2,forward,2,10.1007/s10661-026-15458-z,2026,Environmental Monitoring and Assessment,1,Study on the influence of urban park landscape space structure on boundary soundscape characteristics
T2,forward,2,10.1080/17549175.2025.2529175,2025,Journal of Urbanism International Research on Placemaking and Urban Sustainability,1,Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown
T2,forward,2,10.3390/urbansci8030116,2024,Urban Science,0,Perceptual Differences in Urban Soundscape Assessment Using Protocol Proposed in Method a of the ISO/TS 12913–2: A Cross-Language Comparison between Arabic and French Attributes
T2,forward,2,10.1177/20592043251384052,2025,Music & Science,0,Bringing the Coastline to the City: Laboratory Evaluation of Urban Soundscapes in the Presence of Ambient Sound art
T2,forward,2,10.3390/ijerph23020206,2026,International Journal of Environmental Research and Public Health,0,Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas of a Metropolitan Region: Exploring Measurement Perspectives
T2,forward,2,10.1016/j.apacoust.2026.111301,2026,Applied Acoustics,0,Evaluation of soundscape authenticity in historic districts: weighted formulae and spatial typology-based sound selection
T2,forward,2,10.35631/aijbes.827017,2026,Advanced International Journal of Business Entrepreneurship and SMEs,0,CONCEPTUALISING SOUNDSCAPE PREFERENCE IN HIGH-TRAFFIC COMMERCIAL STREETS
T2,forward,2,10.1016/j.apacoust.2026.111386,2026,Applied Acoustics,0,Understanding compact urban university campus soundscapes: A cluster-based analysis of sound sources and student perceptual responses
T2,forward,2,10.1051/aacus/2026051,2026,Acta Acustica,0,Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study
T2,forward,2,10.1371/journal.pone.0344125,2026,PLoS ONE,0,Exploring the relationship between mental health and urban green space soundscapes: A scoping review
T2,forward,2,10.1016/j.scs.2026.107411,2026,Sustainable Cities and Society,0,Nonlinear responses of perceived soundscape restorativeness to spatiotemporal drivers in urban forest park
T2,forward,1,10.1016/j.apacoust.2017.01.007,2017,Applied Acoustics,227,Urban cities and road traffic noise: Reduction through vegetation
T2,forward,1,10.1177/0013916517738563,2017,Environment and Behavior,178,"Do Physical Activity, Social Cohesion, and Loneliness Mediate the Association Between Time Spent Visiting Green Space and Mental Health?"
T2,forward,1,10.1371/journal.pmed.1003213,2020,PLoS Medicine,113,"Residential green space and child intelligence and behavior across urban, suburban, and rural areas in Belgium: A longitudinal birth cohort study of twins"
T2,forward,1,10.1016/j.landurbplan.2013.11.006,2014,Landscape and Urban Planning,109,Noise pollution in national parks: Soundscape and economic valuation
T2,forward,1,10.1007/s11524-017-0191-9,2017,Journal of Urban Health,100,The Aging Urban Brain: Analyzing Outdoor Physical Activity Using the Emotiv Affectiv Suite in Older People
T2,forward,1,10.1016/j.buildenv.2021.108166,2021,Building and Environment,90,Overall environmental assessment in urban parks: Modelling audio-visual interaction with a structural equation model based on soundscape and landscape indices
T2,forward,1,10.1016/j.habitatint.2015.08.010,2015,Habitat International,85,"Encouraging the use of urban green space: The mediating role of attitude, perceived usefulness and perceived behavioural control"
T2,forward,1,10.3390/ijerph7093359,2010,International Journal of Environmental Research and Public Health,85,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
T2,forward,1,10.1016/j.apacoust.2020.107293,2020,Applied Acoustics,78,Restorative effects of urban park soundscapes on children’s psychophysiological stress
T2,forward,1,10.1016/j.apacoust.2021.108305,2021,Applied Acoustics,77,"Indoor soundscapes at home during the COVID-19 lockdown in London – Part I: Associations between the perception of the acoustic environment, occupantś activity and well-being"
T2,forward,1,10.3390/s18113794,2018,Sensors,75,A System for Generating Customized Pleasant Pedestrian Routes Based on OpenStreetMap Data
