sid,verdict,reason_code,note,doi,title,year,journal
15,EXCLUDE,E4,"라이다 식생과 생물·인위음 관계, 인간 없음",10.1016/j.ufug.2025.129131,Elucidating the influence of vegetation spatial characteristics on bio-anthrophonic soundscapes in urban parks using lidar data,2025,Urban forestry & urban greening
16,EXCLUDE,E1,"안데스 산림 무미류 음향, 동물",10.1016/j.rsase.2022.100903,Soundscapes of the Yungas Andean forest: Identifying the acoustic footprint of an anuran assemblage,2023,Remote Sensing Applications Society and Environment
17,EXCLUDE,E4,"교통소음 센서망·동적 지도, 행태 없음",10.3390/app11188363,Optimized Sensors Network and Dynamical Maps for Monitoring Traffic Noise in a Large Urban Zone,2021,Applied Sciences
18,EXCLUDE,E3,"수관피복과 열섬, 음환경 변수 없음",,"TREE CANOPY COVER VARIATION EFFECTS ON URBAN HEAT ISLAND IN ENUGU CITY, NIGERIA",2012,Developing Country Studies
19,EXCLUDE,E4,"도시 음향쾌적성 통계분석, 지각 평가만",10.5505/megaron.2014.46338,An Applied Approach to the Examination of Urban Acoustic Comfort: The Soundscape Concept - Statistical Analysis,2014,MEGARON / Yıldız Technical University Faculty of Architecture E-Journal
20,EXCLUDE,E1,도시소음이 쥐 두 종 행동에 미친 영향,10.4236/nr.2017.82004,The Impact of Urban Noise on the Behavior of Two Mouse Species Belonging to the Genus &amp;lt;i&amp;gt;Apodemus&amp;lt;/i&amp;gt;,2017,Natural Resources
21,EXCLUDE,E4,"아동용 회복적 사운드스케이프 척도 개발, 지각",10.3389/fpsyg.2024.1362096,Development and validation of the perceived restorative soundscape scale for children,2024,Frontiers in Psychology
22,EXCLUDE,E4,"드론 소음 사운드워크, 쾌적성·다사성 지각만",10.1121/10.0039523,Shaping future soundscapes: Affective impact of unmanned aircraft systems noise in urban environments,2025,The Journal of the Acoustical Society of America
23,EXCLUDE,E5,"미디어아트 사운드스케이프 논고, 비실증",,"Situated Soundscapes: Redefining Media Art and the Urban Experience + Interview, Statement, Artwork",2013,Leonardo electronic almanac
24,EXCLUDE,E4,"소음노출 변수의 통계적 거동, 인간 행태 아님",10.3397/1.2832081,The Behavior of Noise Exposure Variables in an Urban Noise Survey Sample,1978,Noise Control Engineering
25,EXCLUDE,E4,"국립공원 정온도 매핑, 지각 평가",10.1515/noise-2020-0025,Tranquillity mapping in New Zealand national parks – a pilot study,2020,Noise Mapping
26,EXCLUDE,E2,"철도역 대합실, 실내 세팅",10.4028/www.scientific.net/amr.518-523.3830,The Influence of Users' Behavioral Characteristics on Soundscape in the Waiting Halls of Railway Stations,2012,Advanced materials research
27,EXCLUDE,E4,"도로교통소음 측정 사례연구, 행태 없음",,Effect of Road Traffic Noise Pollution in Cuddalore Town: A Case Study,2013,International Journal of Innovative Research in Science Engineering and Technology
28,EXCLUDE,E4,"주민 환경소음 지각 조사, 행태 없음",,Investigation of Environmental Noise Perception of Residents in Lu'an City,2007,Journal of environmental health
29,EXCLUDE,E4,"이질 교통 소음 유발 파라미터 분석, 행태 없음",10.47577/technium.v13i.9572,A study of heterogeneous traffic noise trigger parameters for urban areas,2023,Technium Romanian Journal of Applied Sciences and Technology
30,EXCLUDE,E5,"소음경관 디자인 이론 논고, 비실증",10.7146/se.v3i3.18442,"Conceptual overlays for urban soundscape design emerging from a transversal analysis of Lefebvre, Deleuze and Guattari, and Arendt",2013,SoundEffects - An Interdisciplinary Journal of Sound and Sound Experience
31,EXCLUDE,E1,"공원 생물음 음향지수 평가, 동물",10.47176/ijae.9.3.12371,"Evaluation of Biophonies in Isfahan Parks, Using Acoustic Indices",2020,Iranian Journal of Applied Ecology
32,EXCLUDE,E4,"항공기 소음과 정신건강, 행태 아웃컴 없음",10.1016/0022-460x(78)90482-0,Effects of aircraft noise on mental health,1978,Journal of Sound and Vibration
33,EXCLUDE,E4,"인도르시 환경소음 측정, 행태 없음",,Environmental Noise Assessment in Indore City,2015,Industrial engineering letters
34,EXCLUDE,E5,"위구르 사운드스케이프 서평, 비실증",10.5406/21567417.67.3.11,Soundscapes of Uyghur Islam,2023,Ethnomusicology
35,EXCLUDE,E2,"매장 내 자극과 충동구매, 실내 소매 세팅",,External Stimuli and Impulsive Buying Behavior,2018,Market Forces
36,EXCLUDE,E4,"알렉산드리아 도시이미지·소음측정, 행태 아웃컴 없음",10.21608/auej.2017.19265,SOUNDSCAPE EXPERIENCE AND ITS IMPACT ON THE IMAGE OF ALEXANDRIA,2017,Journal of Al-Azhar University Engineering Sector
37,EXCLUDE,E2,공공도서관 실내 세팅,10.28932/srjd.v7i2.6470,The effect of soundscape on sense of place in the public library of Disarpus Bandung,2023,Serat Rupa Journal of Design
38,EXCLUDE,E1,소음이 조류에 미치는 영향 리뷰,10.1525/om.2012.74.1.6,Chapter 2: Effects of noise pollution on birds: A brief review of our knowledge,2012,Ornithological Monographs
39,EXCLUDE,E1,해양소음과 고래류 영향,10.1139/z07-101,The impacts of anthropogenic ocean noise on cetaceans and implications for management,2007,Canadian Journal of Zoology
40,UNCERTAIN,,소음과 사회적 행동 언급하나 초록 없어 판단 불가,,Noise Pollution and Its Impact on Human Health and Social Behavior using Systems Approach-A Case Study in Kurnool City,2016,Civil and environmental research
41,RETRIEVE,,"시장 소리가 이동·주의·사회적 상호작용 유발, 관찰",10.46248/kidrs.2025.2.49,"Sound, Symbol, and Space: An Ethnosemiotic Analysis of Vernacular Soundscapes in Honghai Morning Market",2025,Korea Institute of Design Research Society
42,EXCLUDE,E3,"생태관광 지속가능성, 음환경 변수 없음",,"Prospects and sustainability of ecotourism in Finima Nature Park, Bonny Island, Rivers State, Nigeria",2016,"Journal of Research in Forestry, Wildlife and Environment"
43,EXCLUDE,E4,"계절·청각요소와 청각선호, 지각만",,"Interaction Between Seasons and Auditory Elements, Features and Impressions of Soundscape in Influencing Auditory Preferences",2007,The Journal of the Acoustical Society of Korea
44,EXCLUDE,E1,"일식 중 생물음 변화, 동물",10.1080/14888386.2020.1715834,Soundscape shifts during the 2017 total solar eclipse: an application of dispersed automated recording units to study ephemeral acoustic events,2020,Biodiversity
45,EXCLUDE,E5,도시녹지 편익 종합 리뷰,10.9734/ijecc/2025/v15i95007,A Review on Urban Green Space Ecological and Socioeconomic Benefits: A Comprehensive Analysis,2025,International Journal of Environment and Climate Change
46,EXCLUDE,E6,"도시개발과 지구물리학, 주제 무관",10.1088/1742-2140/4/3/e01,Sustainable urban development and geophysics,2007,Journal of Geophysics and Engineering
47,EXCLUDE,E5,미국 국립공원 자원관리 정책 논고,10.24294/nrcr.v5i2.1578,"Natural resource management in American national parks: Principles, problems and enlightenment",2022,Natural Resources Conservation and Research
48,EXCLUDE,E3,"자전거 이용 증진 조사, 음환경 노출 없음",10.1093/eurpub/ckaa166.096,Urban health and Physical Activity: how urban design can improve cycling,2020,European Journal of Public Health
49,EXCLUDE,E5,모라비안 사운드스케이프 서평,10.1525/jams.2022.75.1.200,"<i>Moravian Soundscapes: A Sonic History of the Moravian Missions in Early Pennsylvania</i>, by Sarah Justina Eyerly",2022,Journal of the American Musicological Society
50,RETRIEVE,,"노인 공원 인지→활동특성, 음환경 변수·언어 확인 필요",10.3724/j.fjyl.202409200552,Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of Green Spaces and Their Activity Characteristics,2025,Landscape Architecture
51,EXCLUDE,E2,"다중감각장애 아동 교실 청취, 실내",10.1111/j.1467-8578.1992.tb00429.x,Does the Acoustic Environment Make a Difference to Children with Multi‐sensory Impairments?,1992,British Journal of Special Education
52,EXCLUDE,E5,건조환경·정신건강 방법론 리뷰,10.1016/j.copsyc.2019.08.026,"Studying the impact of built environments on human mental health in everyday life: methodological developments, state-of-the-art and technological frontiers",2019,Current Opinion in Psychology
53,EXCLUDE,E2,모스크 실내 음향쾌적 설계,10.1016/j.rineng.2025.108142,Modern mosque design proposal and investigation of acoustic comfort conditions,2025,Results in Engineering
54,EXCLUDE,E5,"민족지 영상 리뷰, 비실증",10.1111/j.1548-7458.2009.01022.x,Oak Park Stories Directed by Jay Ruby,2009,Visual Anthropology Review
55,EXCLUDE,E4,"녹지·대기오염·소음과 사망률, 행태 없음",10.1097/01.ee9.0000608120.50052.1d,"Associations of exposure to surrounding green, air pollution and traffic noise with mortality in a large national health survey",2019,Environmental Epidemiology
56,EXCLUDE,E4,"주거지 환경소음과 삶의 질, 행태 없음",10.21834/ebpj.v7i22.4161,"Environmental Noise in Residential Environments: The Case for Quality of Life in Minna, Nigeria",2022,Environment-Behaviour Proceedings Journal
57,EXCLUDE,E4,"GPS 일기·신경과학 정신건강, 행태 아웃컴 없음",10.1016/j.euroneuro.2017.12.120,GPS-triggered electronic diaries and neuroscience to unravel risk and resilience factors of city dwellers mental health in everyday life,2018,European Neuropsychopharmacology
58,EXCLUDE,E4,"나이지리아 소음 측정·규제, 행태 없음",10.12691/wjee-1-1-2,Effective Noise Control Measures and Sustainable Development in Nigeria,2013,World journal of environmental engineering
59,EXCLUDE,E1,도시화와 조류 새벽합창 리뷰,10.1111/ibi.12949,A global synthesis of the impacts of urbanization on bird dawn choruses,2021,Ibis
60,EXCLUDE,E5,"차로변경 소음 시뮬레이션, 비실증",10.5050/ksnve.2025.35.3.298,Microscopic Approach to Analyze the Impact of Lane Change on Road Traffic Noise,2025,Transactions of the Korean Society for Noise and Vibration Engineering
61,EXCLUDE,E5,창면적비 환기·소음 최적화 시뮬레이션,10.20961/arst.v16i1.20092,WWR OPTIMIZATION FOR VENTILATION AND ENVIRONMENTAL NOISE CONTROL OF TROPICAL DWELLING,2018,Arsitektura
62,EXCLUDE,E5,잔향실 음장재현 이론·설계,10.1121/1.1863032,Theory and design of sound field reproduction in reverberant rooms,2005,The Journal of the Acoustical Society of America
63,EXCLUDE,E1,도시소음 속 조류 노래 트레이드오프,10.1121/1.5137045,Singing in the city: Trade-offs between signal salience and vocal performance in the presence of anthropogenic noise,2019,The Journal of the Acoustical Society of America
64,EXCLUDE,E5,"소음공해 개관 기사, 비실증",10.1016/j.cub.2019.07.018,Noise pollution,2019,Current Biology
65,EXCLUDE,E1,볼리비아 대나무쥐 울음 기록,10.12933/therya_notes-25-202,"First record and detailed description of calls from the Bolivian bamboo rat Dactylomys boliviensis in Carrasco National Park, Bolivia",2025,Therya notes
66,EXCLUDE,E4,"도시 공공공간 교통소음 측정·지각, 행태 없음",10.17271/2318847297220212964,Automotive traffic noise and urban public spaces,2021,Revista Nacional de Gerenciamento de Cidades
67,EXCLUDE,E2,"배경음악·화면읽기 아이트래킹, 실내 실험",10.33736/jcshd.5933.2023,The Effects of Background Music on The Screen-Based Reading Material Among University Students: An Eye Tracking Study,2023,Journal of Cognitive Sciences and Human Development
68,EXCLUDE,E4,"사운드스케이프와 도시매력·의도만, 행태 없음",10.47577/sustainability.v7i.11678,The Role of Soundscape on Urban Attractiveness in Traditional Cities,2024,Technium Sustainability
69,EXCLUDE,E1,"조류 노래 논평, 동물",10.1093/beheco/arw103,Moving beyond species-specific noise-induced changes in birdsong: a comment on Roca et al.,2016,Behavioral Ecology
70,EXCLUDE,E1,교통소음과 회색앵무 활동,10.23880/jenr-16000342,"The Environmental Consequence of Automobile and Motor-bike Traffic Noise Intensity on the Activity of African Grey Parrots (Psithacus erittacus) in Limbe Botanic Garden, Southwest Region, Cameroon",2023,Journal of Ecology & Natural Resources
71,EXCLUDE,E2,쇼핑몰 실내 세팅,10.30822/arteks.v7i3.1837,"The relationship of soundscape and shopping behaviors in Malioboro Mall and Ambarrukmo Plaza, Yogyakarta",2022,ARTEKS Jurnal Teknik Arsitektur
72,EXCLUDE,E1,도시공원 식생관리·조류 음향 평가,10.1186/s42854-025-00072-y,Evaluating the efficacy of small-plot restorative management in an urban park using low-tech soundscape tools: an exploratory study,2025,Urban Transformations
73,RETRIEVE,,교통·항공소음 가로의 이웃 사회적 교류 평가,10.1121/1.409379,"Auto traffic noise, air traffic noise, and the environmental quality of city streets: Test of a model",1994,The Journal of the Acoustical Society of America
74,EXCLUDE,E5,수면교육 체계적 리뷰 프로토콜,10.11124/jbisrir-2015-2311,"The effectiveness of sleep education programs in improving sleep hygiene knowledge, sleep behavior practices and/or sleep quality of college students: a systematic review protocol",2015,The JBI Database of Systematic Reviews and Implementation Reports
75,EXCLUDE,E4,"공원 소음지도·지각 조사, 행태 없음",10.32890/jeth2022.2.6,"SOUNDSCAPE MAPPING OF AGODI PARK AND GARDENS, IBADAN SOUTHWESTERN NIGERIA",2022,Journal of Event Tourism and Hospitality Studies
76,EXCLUDE,E5,스마트폰 소음 모니터링 개관,10.1007/s13762-022-04240-6,"Smartphones, a tool for noise monitoring and noise mapping: an overview",2022,International Journal of Environmental Science and Technology
77,EXCLUDE,E5,"소음 저감 교통배정 모형, 비실증",,A TRAFFIC ASSIGNMENT MODEL TO REDUCE NOISE ANNOYANCE IN URBAN NETWORKS,1987,Transportation Research Record Journal of the Transportation Research Board
78,EXCLUDE,E1,도시소음과 조류 행동 변화,10.61511/jocae.v3i1.2025.2077,The behavioral changes of birds as a result of urban noise levels,2025,Journal of Character and Environment
79,EXCLUDE,E1,"음향 생물다양성 개관, 동물",10.1016/j.cub.2021.08.063,Acoustic biodiversity,2021,Current Biology
80,EXCLUDE,E6,"학생 음주·약물 태도, 주제 무관",10.1016/0022-4375(90)90035-a,Drug and alcohol attitudes and usage among elementary and secondary students,1990,Journal of Safety Research
81,EXCLUDE,E3,"자전거도로 전후 연구, 음환경 없음",,Bicycle Tracks and Lanes: a Before-After Study,2008,Transportation Research Board 87th Annual MeetingTransportation Research Board
82,EXCLUDE,E2,"학교 실내 아동 인지·혈압, 행태 아님",10.1121/1.2004991,Aircraft noise and the health and behavior of children,1980,The Journal of the Acoustical Society of America
83,EXCLUDE,E6,"ECG 잡음제거 알고리즘, 주제 무관",10.5958/2249-7315.2016.01018.2,Performance Analysis of Robust Recursive Least Square and its Lattice Structure for Noise Cancellation in ECG Signals,2016,Asian Journal of Research in Social Sciences and Humanities
84,EXCLUDE,E3,"장애인 공원설계 논의, 음환경 변수 없음",,The design analysis of the urban parks for the disable,2009,Shanxi Architecture
85,EXCLUDE,E4,카이로 환경소음·건강영향 개관,10.21608/ejom.2016.845,COMMUNITY NOISE IN GREATER CAIRO,2016,Egyptian Journal of Occupational Medicine
86,EXCLUDE,E1,야생동물원 코뿔소 음환경 측정,10.1121/1.4877667,"Measuring the sonic, infrasonic and seismic soundscape of the Southern White Rhinoceros <i>(Ceratotherium simum simum)</i> at a wildlife park conservation center",2014,The Journal of the Acoustical Society of America
87,EXCLUDE,E4,"가로경관 청각이미지 평가구조, 지각만",,The Evaluation Structure of Auditory Images on the Streetscapes - The Semantic Issues of Soundscape based on the Students' Fieldwork -,2005,The Journal of the Acoustical Society of Korea
88,EXCLUDE,E5,"청각의 역사 논고, 비실증",10.1086/ahr.116.2.316,On Being Heard: A Case for Paying Attention to the Historical Ear,2011,The American Historical Review
89,EXCLUDE,E6,"힙합 도시전설 분석, 주제 무관",10.5406/19452349.40.4.15,“The Music Industry Funds Private Prisons”: Analyzing Hip-Hop Urban Legend,2022,American Music
90,EXCLUDE,E5,도시소음 저감 국제사례 리뷰,10.32347/2786-7269.2024.7.208-220,ANALYSIS OF THE DEGREE OF STUDY AND GLOBAL EXPERIENCE IN OPTIMIZING URBAN NOISE POLLUTION,2024,Spatial development
91,EXCLUDE,E4,"협곡·터널 도시공간 음향 거동, 행태 없음",10.17271/2318847297220212962,Acoustic Behavior and Design of Large Urban Spaces – Canyon and Tunnel,2021,Revista Nacional de Gerenciamento de Cidades
92,EXCLUDE,E2,"교실 내 주의산만, 실내 세팅",10.1097/01.ede.0000362413.04194.60,Current Traffic Noise Exposure Assessment and Noise Effect of Distraction in Class Among Children in Xiʼan City,2009,Epidemiology
93,EXCLUDE,E1,"노랑솔새 노래 주파수, 동물",10.13001/uwnpsrc.2017.5583,Environmental noise influences song frequency of Yellow Warblers (Dendroica petechia) in Grand Teton National Park,2017,The UW National Parks Service Research Station Annual Reports
94,EXCLUDE,E1,"SID 93 중복, 동물",10.13001/uwnpsrc.2018.5665,Environmental noise influences song frequency of Yellow Warblers (Dendroica petechia) in Grand Teton National Park,2018,The UW National Parks Service Research Station Annual Reports
95,EXCLUDE,E5,수목의 기후·소음 완화 개관,10.48044/jauf.1977.054,Trees Modify Metropolitan Climate and Noise,1977,Arboriculture & Urban Forestry
96,EXCLUDE,E5,반종교개혁 사운드스케이프 서평,10.1525/jams.2015.68.2.435,"Review: Music, Piety, and Propaganda: The Soundscapes of Counter-Reformation Bavaria by Alexander J. Fisher",2015,Journal of the American Musicological Society
97,EXCLUDE,E5,유럽 대기오염 불평등 논평,10.1097/ee9.0000000000000383,Air pollution inequalities in Europe: A deeper understating of challenges in Eastern Europe and pathways forward towards closing the gap between East and West,2025,Environmental Epidemiology
98,EXCLUDE,E5,"밤의 역사 서평, 비실증",10.1093/ehr/cem188,At Day's Close: A History of Nighttime,2007,The English Historical Review
99,EXCLUDE,E7,"학회 프로시딩, 초록 불일치",10.1098/rspb.2009.1155,Urban planning and traffic noise in Portugal: how did we get here?,2006,"TRA - TRANSPORT RESEARCH ARENA EUROPE 2006: GOETEBORG, SWEDEN, JUNE 12TH-15TH 2006: GREENER, SAFER AND SMARTER ROAD TRANSPORT FOR EUROPE. PROCEEDINGS"
100,EXCLUDE,E2,카페·펍 등 실내 사회공간,10.21810/aer.v12i1.6112,Interferences Between Acoustic Communication Threads in Enclosed Social Environments of Istanbul,2023,Acoustic Ecology Review
101,EXCLUDE,E4,"지면효과 소음저감 실험, 행태 없음",10.1515/noise-2016-0001,Exploiting ground effects for surface transportnoise abatement,2016,Noise Mapping
102,EXCLUDE,E4,임신 중 소음노출과 태아성장,10.1016/j.envint.2023.107730,"Exposure to outdoor residential noise during pregnancy, embryonic size, fetal growth, and birth outcomes",2023,Environment International
103,EXCLUDE,E6,"도시 인프라 종합평가, 주제 무관",10.70028/dcea.v2i2.79,"Integrated Evaluation of Urban Transportation, Structural Performance, Environmental Impacts, and Human Safety in Developing Cities",2025,Disaster in Civil Engineering and Architecture
104,EXCLUDE,E4,"열환경과 소음민원 분포, 대상 행태 아님",10.3390/su18147478,Amplified by Heat: Modeling the Spatially Varying Impact of Thermal Environment on Urban Noise Complaints,2026,Sustainability
105,EXCLUDE,E1,"선박소음과 고래, 동물",10.1121/1.2021023,"Compatibility of ships and whales in Glacier Bay, Alaska",1983,The Journal of the Acoustical Society of America
106,EXCLUDE,E5,"공간과 음악 작곡론, 비실증",10.7757/persnewmusi.58.1.0005,Composing Music with a Space,2020,Perspectives of New Music
107,EXCLUDE,E5,"SID 106 중복, 작곡론",10.1353/pnm.2020.0000,Composing Music with a Space,2020,Perspectives of New Music
108,EXCLUDE,E1,조류와 항공기 충돌 리뷰,10.1642/0004-8038(2002)119[0587:citabv]2.0.co;2,COMPETITION IN THE AIR: BIRDS VERSUS AIRCRAFT,2002,The Auk
109,EXCLUDE,E4,"쿠리치바 소음 짜증 설문, 행태 없음",10.1121/1.4777474,"Social survey carried out in the city of Curitiba, Brazil",2001,The Journal of the Acoustical Society of America
110,EXCLUDE,E2,"수술실 소음, 실내 의료 세팅",10.1097/aln.0000000000000319,Noise in the Operating Room,2014,Anesthesiology
111,EXCLUDE,E5,소음 건강 정책 논설·실증 아님,10.1016/j.outlook.2017.08.001,Reduce noise: Improve the nation's health,2017,Nursing Outlook
112,EXCLUDE,E5,도시 청취 도서 서평·비실증,10.1353/atj.2020.0049,Tokyo Listening: Sound and Sense in a Contemporary City by Lorraine Plourde,2020,Asian Theatre Journal
113,EXCLUDE,E7,카탈루냐어 지역 논문·문헌유형 불명,,El Sanatori del Montseny,2008,Monografies del Montseny
114,EXCLUDE,E5,특집호 편집 사설·실증 아님,10.1515/noise-2021-0015,Noise Mapping Special Issue: The noise climate at the time of SARS-CoV-2 Virus/COVID-19 Disease,2021,Noise Mapping
115,EXCLUDE,E5,신경발달 소음 논평·실증 아님,10.1038/s41370-024-00725-3,Neurodevelopmental costs of noise pollution–is history rhyming again?,2024,Journal of Exposure Science & Environmental Epidemiology
116,EXCLUDE,E5,도시화·정신건강 사설·비실증,10.4103/ipj.ipj_299_23,Declining mental health: An aftermath of fast-paced urbanization,2023,Industrial Psychiatry Journal
117,EXCLUDE,E2,치매 환자 임상 청각검사·실내 임상,10.1002/alz.080144,The auditory phenotype of behavioural variant frontotemporal dementia,2023,Alzheimer s & Dementia
118,EXCLUDE,E5,제인 오스틴 소설 문학비평·비실증,10.1353/ecy.2023.a950265,“Noisy Pleasures” and “Noisy Evil[s]”: The Political Dimensions of Sound in Jane Austen’s Mansfield Park,2023,"The Eighteenth century/The eighteenth century (Lubbock, Tex. Online)"
119,EXCLUDE,E4,위성영상 소음지도 추정·행태 아웃컴 없음,10.6008/cbpc2179-6858.2022.007.0006,Environmental noise assessment using vegetation indices extracted from satellite imaging,2023,Revista Ibero-Americana de Ciências Ambientais
120,EXCLUDE,E1,고대 문헌 속 조류 도서 서평,10.1093/auk/ukz001,Birds in the Ancient World: Winged Words,2019,The Auk
121,EXCLUDE,E5,환경·정신건강 임상진료지침·비실증,10.4103/indianjpsychiatry.indianjpsychiatry_792_23,Clinical practice guidelines on the environment and mental well-being,2024,Indian Journal of Psychiatry
122,EXCLUDE,E5,예술 설치작품 소개 논설·비실증,10.21037/cdt.2017.03.08,The landscape of congenital heart disease,2017,Cardiovascular Diagnosis and Therapy
123,EXCLUDE,E5,차량추종 교통소음 예측 시뮬레이션·행태 없음,,Research on Road Traffic Noise Prediction Model Based on Car-following Theory,2004,Acta Simulata Systematica Sinica
124,EXCLUDE,E1,동물 의사소통 진화 도서 서평,10.1641/0006-3568(2006)56[849:waash]2.0.co;2,The Evolution of Animal Communication: Reliability and Deception in Signaling Systems,2006,BioScience
125,RETRIEVE,,도시광장 이용·체류 의향과 교통소음 함께 다룸,10.47116/apjcri.2025.08.30,"An Analysis of Environmental Design Perception and Experience in Urban Squares Based on Phenomenology of Perception: A Citizen Interview Study of Dongfanghong Square in Lanzhou, China",2025,Asia-pacific Journal of Convergent Research Interchange
126,EXCLUDE,E7,말레이어 논문·언어 부적합,,Tahap kebisingan trafik dan kesannya terhadap persekitaran pengajaran-pembelajaran sekolah di pusat bandar Kuala Terengganu (Traffic noise and its impact on school teaching and learning environment in Kuala Terengganu city center),2017,Malaysian Journal of Society and Space
127,EXCLUDE,E4,관상동맥 석회화 결과·행태 아웃컴 아님,10.1097/01.ede.0000392485.59925.d8,Does Traffic Noise Explain the Association of Residential Proximity to Traffic With Coronary Artery Calcification?,2010,Epidemiology
128,EXCLUDE,E4,SID 127 동일연구 독일 학회초록·건강 결과만,10.1055/s-0030-1266411,Does traffic noise explain the association of residential proximity to traffic with coronary artery calcification?,2010,Das Gesundheitswesen
129,EXCLUDE,E1,동물 전통·문화 도서 서평,10.1641/0006-3568(2004)054[0958:dfc]2.0.co;2,DIVING FOR CHOCOLATE,2004,BioScience
130,EXCLUDE,E3,"직장인 스트레스·대처, 음환경 변수 없음",10.1016/0091-7435(79)90307-4,Perceived stress and coping behavior: A social-psychologic comparison of hypertensive and normotensive employees,1979,Preventive Medicine
131,EXCLUDE,E7,INTER-NOISE 학회초록·차량 소음규제,,A speed and acceleration limit in the noise type approval of vehicles will enable silent cars to reveal their silence.,2001,INTER-NOISE 2001 - ABSTRACTS FROM INTERNATIONAL CONGRESS AND EXHIBITION ON NOISE CONTROL ENGINEERING
132,EXCLUDE,E5,청소년 비만·야간소음 논평·비실증,10.1002/oby.20712,"Teens' obesity, noise and sleep deprivation: A perverse liaison. Let's move beyond “movida”",2014,Obesity
133,EXCLUDE,E6,대류권 전파 산란 물리학·주제 무관,10.1016/0021-9169(59)90103-5,Radio scattering by tropospheric irregularities,1959,Journal of Atmospheric and Terrestrial Physics
134,EXCLUDE,E4,소음짜증·혈압 결과·행태 아웃컴 없음,10.1097/00001648-200407000-00416,"URBANIZATION, HOUSING QUALITY AND COMMUNITY NOISE ANNOYANCE",2004,Epidemiology
135,EXCLUDE,E6,건물일체형 태양광 리모델링·주제 무관,10.69554/tmpv1796,BIPV solutions in district renovations towards nearly zero-energy cities,2016,"Journal of building survey, appraisal & valuation"
136,EXCLUDE,E2,학교 실내 대상·옥외 공공공간 아님,,Impact of Traffic-Related Environmental Noise on School Children and Teachers in a Northeast Brazilian Capital,2018,Canadian acoustics
137,EXCLUDE,E2,치매 환자 임상 청각검사·실내 임상,10.1002/alz.091457,The auditory phenotype of behavioural variant and right temporal variant frontotemporal dementia,2024,Alzheimer s & Dementia
138,EXCLUDE,E4,혈압·고혈압 유병 결과·행태 아님,10.1055/s-0030-1266410,Do proximity to high traffic and traffic noise influence blood pressure and hypertension in the general population?,2010,Das Gesundheitswesen
