no,verdict,doi,status,url,n_cand,journal
485,BORDERLINE,10.4103/nah.nah_9_18,ERR:HTTPError,,1,NOISE & HEALTH
489,BORDERLINE,10.1016/j.envres.2018.06.031,NO_REPO_CANDIDATE,,0,ENVIRONMENTAL RESEARCH
492,INCLUDE,10.3389/fpsyg.2018.01593,OK_REPO,https://pure.rug.nl/ws/files/71389104/fpsyg_09_01593.pdf,9,FRONTIERS IN PSYCHOLOGY
494,INCLUDE,10.1016/j.scitotenv.2017.12.148,ERR:URLError,,2,SCIENCE OF THE TOTAL ENVIRONMENT
499,BORDERLINE,10.1016/j.ufug.2017.11.002,NO_REPO_CANDIDATE,,0,URBAN FORESTRY & URBAN GREENING
509,BORDERLINE,10.1016/j.ufug.2017.11.015,ERR:HTTPError,,1,Urban Forestry and Urban Greening
512,BORDERLINE,10.1016/j.envres.2017.09.015,NO_REPO_CANDIDATE,,0,ENVIRONMENTAL RESEARCH
520,INCLUDE,10.3813/aaa.919327,ERR:HTTPError,,5,ACTA ACUSTICA UNITED WITH ACUSTICA
532,INCLUDE,10.7717/peerj.7711,NOT_PDF,,3,PEERJ
556,BORDERLINE,10.1016/j.landurbplan.2019.103602,NO_REPO_CANDIDATE,,0,LANDSCAPE AND URBAN PLANNING
559,BORDERLINE,10.1016/j.apacoust.2019.07.014,NO_REPO_CANDIDATE,,0,APPLIED ACOUSTICS
560,INCLUDE,10.1016/j.ufug.2019.126470,ERR:URLError,,2,URBAN FORESTRY & URBAN GREENING
562,BORDERLINE,10.1016/j.trf.2019.08.006,NO_REPO_CANDIDATE,,0,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVI
569,BORDERLINE,10.18666/jpra-2019-9149,NO_REPO_CANDIDATE,,0,JOURNAL OF PARK AND RECREATION ADMINISTRATION
599,BORDERLINE,10.1121/10.0002008,NOT_PDF,,2,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA
602,INCLUDE,10.1016/j.buildenv.2020.107327,NO_REPO_CANDIDATE,,0,BUILDING AND ENVIRONMENT
615,BORDERLINE,10.1016/j.apacoust.2019.107023,NO_REPO_CANDIDATE,,0,APPLIED ACOUSTICS
623,BORDERLINE,10.14324/111.444/ucloe.000009,NOT_PDF,,5,UCL open. Environment
624,BORDERLINE,10.1016/j.tmp.2020.100666,NO_REPO_CANDIDATE,,0,TOURISM MANAGEMENT PERSPECTIVES
639,BORDERLINE,10.1515/noise-2020-0021,ERR:URLError,,7,NOISE MAPPING
666,INCLUDE,10.1016/j.landurbplan.2020.103890,NO_REPO_CANDIDATE,,0,LANDSCAPE AND URBAN PLANNING
684,BORDERLINE,10.1175/wcas-d-21-0020.1,NO_REPO_CANDIDATE,,0,WEATHER CLIMATE AND SOCIETY
692,BORDERLINE,10.3389/fsoc.2021.729453,NOT_PDF,,5,FRONTIERS IN SOCIOLOGY
709,BORDERLINE,10.1002/pan3.10156,NOT_PDF,,4,PEOPLE AND NATURE
713,BORDERLINE,10.1016/j.apacoust.2020.107570,NOT_PDF,,2,APPLIED ACOUSTICS
724,INCLUDE,10.1016/j.emospa.2021.100848,NO_REPO_CANDIDATE,,0,EMOTION SPACE AND SOCIETY
732,INCLUDE,10.1016/j.buildenv.2020.107490,NOT_PDF,,1,BUILDING AND ENVIRONMENT
744,INCLUDE,10.1142/s0219525921500119,NO_REPO_CANDIDATE,,0,ADVANCES IN COMPLEX SYSTEMS
746,INCLUDE,10.1016/j.tbs.2021.01.002,NO_REPO_CANDIDATE,,0,TRAVEL BEHAVIOUR AND SOCIETY
760,INCLUDE,10.22034/ijhcum.2021.01.02,NO_REPO_CANDIDATE,,0,International Journal of Human Capital in Urban Management
772,BORDERLINE,10.1080/14790718.2020.1766048,NO_REPO_CANDIDATE,,0,INTERNATIONAL JOURNAL OF MULTILINGUALISM
779,INCLUDE,10.1016/j.envint.2021.106700,ERR:HTTPError,,3,ENVIRONMENT INTERNATIONAL
819,BORDERLINE,10.1016/j.apacoust.2022.109129,NOT_PDF,,1,APPLIED ACOUSTICS
823,BORDERLINE,10.3233/ais-220621,ERR:URLError,,2,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS
831,BORDERLINE,10.1016/j.gloenvcha.2022.102497,NOT_PDF,,4,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS
833,INCLUDE,10.1016/j.jth.2021.101325,NO_REPO_CANDIDATE,,0,JOURNAL OF TRANSPORT & HEALTH
848,BORDERLINE,10.1016/j.biocon.2022.109600,NO_REPO_CANDIDATE,,0,BIOLOGICAL CONSERVATION
853,INCLUDE,10.2148/benv.48.2.244,NO_REPO_CANDIDATE,,0,Built Environment
880,INCLUDE,10.1016/j.envres.2022.113956,ERR:URLError,,2,ENVIRONMENTAL RESEARCH
883,INCLUDE,10.1002/pan3.10409,ERR:HTTPError,,2,PEOPLE AND NATURE
888,BORDERLINE,10.3390/ijerph20042932,NOT_PDF,,2,International Journal of Environmental Research and Public H
901,INCLUDE,10.1016/j.ecolind.2023.110729,NOT_PDF,,4,ECOLOGICAL INDICATORS
912,INCLUDE,10.1016/j.scitotenv.2023.161819,NO_REPO_CANDIDATE,,0,SCIENCE OF THE TOTAL ENVIRONMENT
917,BORDERLINE,10.1016/j.apacoust.2023.109350,NO_REPO_CANDIDATE,,0,APPLIED ACOUSTICS
927,BORDERLINE,10.1016/j.envres.2023.116087,NOT_PDF,,1,ENVIRONMENTAL RESEARCH
931,INCLUDE,10.1016/j.landurbplan.2023.104870,OK_REPO,https://discovery.ucl.ac.uk/10176186/1/Kang_Natural%20sounds%20can%20encourage%20social%20interactions%20in%20urban%20parks_VoR.pdf,2,LANDSCAPE AND URBAN PLANNING
932,BORDERLINE,10.1080/17450101.2023.2226357,ERR:URLError,,2,Mobilities
941,INCLUDE,10.15302/j-laf-1-020106,NO_REPO_CANDIDATE,,0,LANDSCAPE ARCHITECTURE FRONTIERS
951,INCLUDE,10.1016/j.scs.2022.104336,NO_REPO_CANDIDATE,,0,SUSTAINABLE CITIES AND SOCIETY
957,BORDERLINE,10.13189/cea.2023.110132,ERR:URLError,,2,Civil Engineering and Architecture
972,BORDERLINE,10.1016/j.envres.2023.115501,NO_REPO_CANDIDATE,,0,ENVIRONMENTAL RESEARCH
979,INCLUDE,10.1177/14703572211052638,NOT_PDF,,3,VISUAL COMMUNICATION
982,BORDERLINE,10.1016/j.apacoust.2024.110036,NO_REPO_CANDIDATE,,0,APPLIED ACOUSTICS
984,INCLUDE,10.1080/01426397.2024.2307003,NO_REPO_CANDIDATE,,0,LANDSCAPE RESEARCH
998,BORDERLINE,10.1016/j.envpol.2024.123559,ERR:URLError,,5,ENVIRONMENTAL POLLUTION
999,INCLUDE,10.1016/j.scitotenv.2024.172198,NO_REPO_CANDIDATE,,0,SCIENCE OF THE TOTAL ENVIRONMENT
1002,BORDERLINE,10.1007/s43621-024-00605-8,ERR:HTTPError,,2,DISCOVER SUSTAINABILITY
1005,INCLUDE,10.1016/j.heliyon.2024.e27918,ERR:HTTPError,,4,HELIYON
1009,BORDERLINE,10.1057/s41599-024-03929-y,OK_REPO,https://discovery.ucl.ac.uk/10200485/1/s41599-024-03929-y.pdf,4,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
1013,BORDERLINE,10.1093/geroni/igad066,NOT_PDF,,2,INNOVATION IN AGING
1016,BORDERLINE,10.1080/14616688.2024.2412984,NO_REPO_CANDIDATE,,0,Tourism Geographies
1018,INCLUDE,10.1016/j.ecolind.2024.112022,ERR:HTTPError,,2,ECOLOGICAL INDICATORS
1053,INCLUDE,10.1007/s11252-024-01593-3,NOT_PDF,,1,URBAN ECOSYSTEMS
1069,INCLUDE,10.1016/j.buildenv.2024.112094,NOT_PDF,,1,BUILDING AND ENVIRONMENT
1092,BORDERLINE,10.1016/j.envres.2025.120874,NOT_PDF,,3,ENVIRONMENTAL RESEARCH
1101,BORDERLINE,10.1007/s11524-024-00947-8,NOT_PDF,,1,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF 
1110,INCLUDE,10.1016/j.tra.2025.104586,NO_REPO_CANDIDATE,,0,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE
1121,INCLUDE,10.1080/13467581.2023.2292069,ERR:HTTPError,,2,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING
1122,INCLUDE,10.1016/j.jenvp.2025.102630,NOT_PDF,,1,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY
1141,INCLUDE,10.1016/j.ufug.2025.128683,NOT_PDF,,1,URBAN FORESTRY & URBAN GREENING
1143,BORDERLINE,10.1038/s41598-025-08524-y,ERR:URLError,,5,SCIENTIFIC REPORTS
1149,INCLUDE,10.1080/17533015.2025.2593865,NO_REPO_CANDIDATE,,0,ARTS & HEALTH
1169,BORDERLINE,10.22616/j.landarchart.2025.27.02,ERR:URLError,,2,LANDSCAPE ARCHITECTURE AND ART
1172,BORDERLINE,10.1038/s41598-025-30347-0,ERR:HTTPError,,2,SCIENTIFIC REPORTS
1174,INCLUDE,10.1016/j.trd.2025.104806,NO_REPO_CANDIDATE,,0,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT
1175,BORDERLINE,10.1016/j.envint.2025.109876,ERR:HTTPError,,4,ENVIRONMENT INTERNATIONAL
1179,BORDERLINE,10.1038/s41598-025-19918-3,NOT_PDF,,3,SCIENTIFIC REPORTS
1182,BORDERLINE,10.1183/23120541.00132-2025,NOT_PDF,,4,ERJ OPEN RESEARCH
1190,BORDERLINE,10.1016/j.trf.2025.01.012,NOT_PDF,,1,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVI
1191,BORDERLINE,10.32738/jeppm-2025-228,NOT_PDF,,1,"Journal of Engineering, Project, and Production Management"
1200,BORDERLINE,10.1038/s41598-026-61794-y,NOT_PDF,,1,Scientific reports
1202,INCLUDE,10.1016/j.jum.2026.04.003,NOT_PDF,,1,Journal of Urban Management
1203,BORDERLINE,10.1038/s41370-025-00765-3,NO_REPO_CANDIDATE,,0,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY
1211,INCLUDE,10.1140/epjs/s11734-026-02140-1,NO_REPO_CANDIDATE,,0,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS
1215,BORDERLINE,10.1016/j.dib.2026.112981,NOT_PDF,,3,DATA IN BRIEF
1218,BORDERLINE,10.3390/land15050811,ERR:HTTPError,,2,LAND
1221,INCLUDE,10.1016/j.apacoust.2025.111101,NO_REPO_CANDIDATE,,0,APPLIED ACOUSTICS
1226,INCLUDE,10.1016/j.ijheh.2026.114816,NOT_PDF,,3,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH
1239,BORDERLINE,10.1093/pnasnexus/pgag181,NOT_PDF,,2,PNAS NEXUS
1250,BORDERLINE,10.1016/j.tra.2026.105090,NOT_PDF,,1,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE
1264,BORDERLINE,10.1088/2631-8695/ae3b99,NO_REPO_CANDIDATE,,0,ENGINEERING RESEARCH EXPRESS
1271,BORDERLINE,10.47836/ac.19.1.paper06,NO_REPO_CANDIDATE,,0,Alam Cipta
1272,INCLUDE,10.1016/j.trf.2026.103707,NOT_PDF,,1,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVI
1275,BORDERLINE,10.3390/land15060919,ERR:HTTPError,,1,LAND
1276,INCLUDE,10.1080/23748834.2026.2616563,NO_REPO_CANDIDATE,,0,CITIES & HEALTH
1280,INCLUDE,10.3390/buildings16101973,ERR:HTTPError,,2,BUILDINGS
1291,BORDERLINE,10.13284/j.cnki.rddl.20250846,ERR:HTTPError,,1,Tropical Geography
1305,BORDERLINE,10.1007/s12662-026-01101-z,NOT_PDF,,1,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH
1306,INCLUDE,10.1016/j.jth.2026.102313,NO_REPO_CANDIDATE,,0,JOURNAL OF TRANSPORT & HEALTH
1315,BORDERLINE,10.1016/j.jtrangeo.2026.104697,NOT_PDF,,1,JOURNAL OF TRANSPORT GEOGRAPHY
