no,cluster,contrast,stat_type,stat_verbatim,location,n1,n2,n_total,computable,convert_path,note
90,MA1,"music vs no-music control — 'fast walkers' subgroup, Exp1",F,"[F(1, 69) = 2.922, p = 0.09, Cohen's d = 0.333)",Experiment 1 Results 본문,,,72,yes,reported Cohen's d → Hedges g,동일 대비의 다른 하위군 — 3항에 따라 주효과와 평균 합성하거나 택1 필요
90,MA1,"Music B (124 bpm) vs Music A (114 bpm) — faster vs slower tempo, Exp1 route average",mean_sd,"Music A 1.60 m/s (SD = 0.13), Music B 1.68 m/s (SD = 0.13); Cohen's d = 0.62; [F(1, 750) = 3.943, p = 0.05, eta2 = 0.07]",Table 3 'Average speed on the route' · Exp1 Results 본문,35,33,68,yes,mean_sd → Hedges g,배정 교락(느린보행자=A·빠른보행자=B) — 저자도 음악 자체 효과가 아닐 수 있다고 명시. 사용 비권고
90,MA1,"motivational music vs non-motivational music (Exp2, between-subjects)",mean_sd,"Table 3 Average speed on the route: Motivational m. M 1.67, SD 0.17; Non-motivational m. M 1.47, SD 0.14",Table 3,62,59,121,yes,mean_sd → Hedges g,음악 대 음악(무음악 대조 없음)이라 (P) 프레임 부적합. 검정통계는 원문 절단으로 미확인
90,MA1,"no-music control vs Music A / Music B (Exp1 route average, raw M/SD)",mean_sd,"Table 3 Average speed on the route: No-music condition M 1.59, SD 0.14; Music A M 1.60, SD 0.13; Music B M 1.68, SD 0.13",Table 3,79,,79,no,,무음악 79명이 음악조건 72명으로 재참여(within-subject 중첩) — 독립군 대비 아님
126,MA4,"measured LAeq (dB) vs 'raising the volume of their voice to speak with someone nearby' (item e, 0-10)",r,"Table 2, LAeq (dB) x e): 0.65*** (*** Significant at p <=0.001)",Table 2,,,29,yes,r → Fisher z,PRIMARY. CT0322와 동일 데이터셋(Caceres 105명) — 중복 투입 금지. n=29는 가로 표본지점(응답 집계 단위)
126,MA4,"measured LAeq (dB) vs 'interrupting a conversation with someone nearby' (item d, 0-10)",r,"Table 2, LAeq (dB) x d): 0.63***",Table 2,,,29,yes,r → Fisher z,동급 다중효과 — 3항에 따라 e)와 평균 합성하거나 대표 1개 선택
126,MA4,"measured LAeq (dB) vs 'raising the volume of their voice on a phone conversation' (item g, 0-10)",r,"Table 2, LAeq (dB) x g): 0.64***",Table 2,,,29,yes,r → Fisher z,동급 다중효과
126,MA4,"measured LAeq (dB) vs 'interrupting a phone conversation' (item f, 0-10)",r,"Table 2, LAeq (dB) x f): 0.54**",Table 2,,,29,yes,r → Fisher z,동급 다중효과. 행태 4항목 중 가장 약함
126,MA4,alternative acoustic indices (LAFmax/LAF10/LAF50/LAF90) vs behaviour items d-g,r,"Table 2 LAF50: d) 0.66***, e) 0.70***, f) 0.60***, g) 0.69***; LAF90: d) 0.61***, e) 0.64***, f) 0.57**, g) 0.62***; LAF10: d) 0.62***, e) 0.65***, f) 0.54**, g) 0.63***; LAFmax: d) 0.44*, e) 0.50**, f) 0.28 n.s., g) 0.42*",Table 2,,,29,yes,r → Fisher z,동일 표본의 지표 중복 — 음향지표 선택 민감도 전용(풀링 중복 투입 금지)
126,MA4,street category SC (Spearman) vs behaviour items d-g,rho,"Table 2 SC: d) -0.62***, e) -0.58***, f) -0.49**, g) -0.64***",Table 2,,,29,yes,"rho → r 근사 → Fisher z (1항, 민감도 제외 검토)",가로 위계가 낮을수록 감소해 부호 반대. 음향 아닌 도시변수라 노출 프레임 불일치
126,none,"LAeq bivariate regression (참고, Table 2 상관과 동일 정보)",beta,"Table 5 LAeq Slope/Intercept/R2: d) 0.21 / -10.61 / 0.39***, e) 0.25 / -12.63 / 0.42***, f) 0.18 / -8.43 / 0.29**, g) 0.24 / -12.20 / 0.41***",Table 5,,,29,no,,Table 2 r의 회귀 표현 — 중복 투입 금지. 1 dB당 점수 상승 해석용
137,MA4,music perceived pleasant vs unpleasant → enjoyment of watching square dance (numeric score),mean_sd,"Table 4: Describe Square Dancing Music as Pleasant n 57, Mean 2.42, Std. Deviation 0.68, 95% CI 2.2436-2.5964; as unpleasant n 49, Mean 1.98, Std. Deviation 0.83, 95% CI 1.7448-2.2152; Pr(|T| > |t|) = 0.004, t = 2.9673",Table 4,57,49,106,yes,mean_sd → Hedges g (d→r 환산은 1항 규약 외 추가결정 필요),PRIMARY. 실제 음조건 조작이 아닌 지각 기반 군분리 — 관람을 행태로 인정할 때만 유효
137,MA4,regularity of square-dance participation (Regularly vs Rarely) x enjoyment of watching square dance,chi2,"Table 12 (n = 106): Yes Regularly 30 / Rarely 16; Do not Know 5 / 32; No 0 / 23; chi2 = 39.27, phi = 0.37, p = 0.000, df = 2",Table 12,35,71,106,no,,df=2 옴니버스라 5항 미변환·셀 0 존재. 보고된 phi가 chi2/n 값과 일치해 라벨 오류 의심
137,MA4,regularity of participation (Regularly vs Rarely) x perceived unpleasantness of square dance music,chi2,"Table 11 (n = 106): Yes Regularly 3 / Rarely 11; Do not Know 1 / 9; Occasionally 8 / 27; No 23 / 24; chi2 = 10.26, phi = 0.097, p = 0.0165, df = 3",Table 11,35,71,106,no,,df=3 옴니버스(5항 미변환). Table 7은 같은 군을 29/77로 보고해 표본 표기 불일치
137,none,during square dance vs without square dance 시간대 음압(행태에서 음환경 방향),other,"Table 2 LAeq (mean): Site 1 point a 87.50 (without 64.03), point c 75.10 (without 71.43); Site 2 point a 104.43 (without 59.57), point c 74.30 (without 69.03); LAmax max 109.27",Table 2,,,,narrative,,행태가 음환경을 바꾼 역방향이고 통계 검정 없음 — 서술 종합 전용
166,MA1,"route sections differing in perceived noise/traffic (sections 5-7 oak alley = lowest noise vs street sections), Study 1",F,"Study 1 within-subjects main effect of the section walked (F10,102 = 19.40, p < 0.001, eta2 = 0.16); direction of the walk (F1,102 = 1.65, p = 0.20, eta2 = 0.02); section x direction (F10,102 = 6.61, p < 0.001, eta2 = 0.06)",Study 1 Results 본문 · Table 1,,,105,narrative,,PRIMARY(서술). 분자 df=10 옴니버스(5항 미변환)이고 소음-보행속도 직접 검정 부재. 구간 대비에 녹지·교통 혼입
166,none,perceived environmental properties across 11 route sections (Study 2),F,"Table 3: 7. Traffic F 264.43, p 0.001, eta2 0.79, df 1,10; 8. Noise F 179.36, p 0.001, eta2 0.72, df 1,10; 9. Nature F 100.88, eta2 0.60; 10. Leave F 64.66, eta2 0.48; 11. Liking F 75.45, eta2 0.52",Table 3,,,72,narrative,,종속변수 전부 지각이고 Study 1 보행속도와 다른 표본 — 소음-속도 연결은 저자 서술뿐
166,none,look around vs do not look around instruction (Study 3),mean_sd,"look around 1.60 m/s (SD = 0.14) vs do not look around 1.65 m/s (SD = 0.13); t = 2.19, p < 0.05, Cohen's d = 0.37; section F7,73 = 53.21, p < 0.001, eta2 = 0.42; condition F1,73 = 4.79, p <=0.05, eta2 = 0.06",Study 3 Results 본문 · Table 4,,,79,narrative,,노출이 음환경이 아닌 주의 지시문 조작 — 클러스터 부적합
175,MA2,perceived park sound level 'Quiet' vs 'Noisy or very noisy' (reference) → visiting park >3 times per week,OR,"Table 3 Sound level in the park, >3 times per week: Quiet Sig. 0.052, OR 0.3, 95% CI 0.09, 1.0 (reference category = Noisy or very noisy)",Table 3,427,42,865,yes,adjusted OR + 95% CI → ln(OR)와 SE → Chinn d = ln(OR)*sqrt(3)/pi,PRIMARY. 공변량 보정 다항로지스틱 OR(1항 주의 라벨). OR<1 = 조용할수록 빈번방문 낮음(귀무·역방향)
175,MA2,"perceived sound level (Very quiet / Quiet / Adequate vs Noisy or very noisy) → visit frequency, 3 models",OR,"Table 3 (Sig. / OR / 95% CI) >3 times per week: Very quiet 0.24 / 0.37 / 0.07, 1.92; Quiet 0.052 / 0.3 / 0.09, 1.0; Adequate 0.054 / 0.31 / 0.1, 1.0. Weekly: Very quiet 0.79 / 1.2 / 0.3, 4.97; Quiet 0.99 / 0.99 / 0.31, 3.15; Adequate 0.37 / 1.68 / 0.54, 5.18. Monthly: Very quiet 0.3 / 0.5 / 0.14, 1.85; Quiet 0.59 / 0.77 / 0.3, 1.97; Adequate 0.8 / 1.13 / 0.45, 2.8",Table 3,,,865,yes,OR + 95% CI → Chinn d,전체 블록. 모델 간 부호 반전이라 단일 대표효과 선택 필수. 노출군 n = 53 / 427 / 343 / 42
175,MA2,'park is valuable as a quiet area' 동의수준 → visit frequency,OR,"Table 3 Strongly agree (ref = Somewhat/Strongly disagree): >3/wk 0.62 / 1.39 / 0.38, 5.04; Weekly 0.1 / 2.23 / 0.86, 5.84; Monthly 0.1 / 2.05 / 0.87, 4.8",Table 3,,,865,yes,OR + 95% CI → Chinn d,전부 비유의. 음환경 지각이 아닌 가치평가 문항이라 MA2 노출 정의와 거리 있음
175,none,likelihood ratio omnibus tests for the two sound predictors,chi2,"Table 2: Sound level in the park -2LL 1806.2, Chi-Square 15.45, df 9, Sig. 0.08; Agree or disagree that the park is valuable as a quiet area -2LL 1806.6, Chi-Square 15.80, df 9, Sig. 0.07; Model: Intercept Only -2LL 2193.360, Final 1790.760, Chi-Square 402.606, df 63, Sig. 0.000, Nagelkerke R2 0.4",Table 2,,,865,no,,df=9 옴니버스(5항 미변환)이고 비유의. 음량 지각·조용지역 가치 모두 방문빈도 예측 실패
